dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,0.0,0.0709625,0.01817745398380459,16,0.004544363495951147
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,10000.0,0.069103125,0.022578315094355463,32,0.003991319927746333
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,20000.0,0.0549125,0.020297127557779553,32,0.003588059133678567
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,30000.0,0.0524375,0.01800503065902022,32,0.0031828698186162226
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,40000.0,0.05705625,0.03427421618595077,32,0.00605888267123488
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,50000.0,0.041975,0.012840234145186986,32,0.0022698541590211925
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,60000.0,0.04104375,0.013586946712478927,32,0.00240185553900353
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,70000.0,0.05135625,0.03269428220208661,32,0.005779587162780523
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,80000.0,0.04311875,0.02284101344426929,32,0.0040377588739039785
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,90000.0,0.036215625,0.018138945969573224,32,0.003206542924665405
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,100000.0,0.037928125,0.016872677558226228,32,0.0029826961795489607
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,110000.0,0.0420375,0.02741610958024732,32,0.004846529249486588
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,120000.0,0.0292875,0.014687316230833872,32,0.0025963752260634685
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,130000.0,0.027865625,0.014389638058955549,32,0.0025437526625768743
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,140000.0,0.0315875,0.021755321929543225,32,0.0038458339158191053
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,150000.0,0.028934375000000002,0.01974594461222436,32,0.003490622834059454
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,160000.0,0.018615625,0.014707538321137971,32,0.0025999500203594175
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,170000.0,0.021686666666666667,0.015110643276508287,30,0.0027588133936524537
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,180000.0,0.023524999999999997,0.013996444654374298,28,0.0026450794138966984
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,190000.0,0.02392142857142857,0.014709542308332877,28,0.002779842203387984
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,200000.0,0.02637857142857143,0.026000731572939292,28,0.004913676403410188
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,210000.0,0.024907142857142857,0.02311774897044082,28,0.004368843903386135
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,220000.0,0.02244642857142857,0.014196543192775437,28,0.00268289448320505
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,230000.0,0.02441923076923077,0.017464043500421526,26,0.0034249807151877924
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,240000.0,0.029315384615384615,0.03402891349787932,26,0.006673618998155676
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,250000.0,0.022992307692307694,0.02577474613767396,26,0.005054843596688454
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,260000.0,0.019665384615384616,0.016717725737855432,26,0.0032786157600083535
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,270000.0,0.026538461538461535,0.026117765247786067,26,0.005122115178842179
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,280000.0,0.019715384615384614,0.015237682036522284,26,0.0029883553094672837
