dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,0.0,0.01375625,0.0029626494336432497,16,0.0007406623584108124
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,10000.0,0.014334375,0.0035810080915313364,32,0.0006330387762514262
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,20000.0,0.01418125,0.004336078018283937,32,0.0007665175426206247
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,30000.0,0.013640625,0.0031367601299594505,32,0.0005545060897124809
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,40000.0,0.01565625,0.004625730108021659,32,0.000817721281830224
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,50000.0,0.0130375,0.0032541536732355247,32,0.000575258532341988
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,60000.0,0.012656249999999999,0.0033779109310437,32,0.0005971359313962912
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,70000.0,0.0132375,0.004160082970636601,32,0.0007354057197089544
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,80000.0,0.013465625,0.004280911070878978,32,0.0007567653119687726
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,90000.0,0.011790625,0.004842710476382469,32,0.000856078354293295
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,100000.0,0.0117125,0.004351251210488104,32,0.0007691998093955779
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,110000.0,0.01200625,0.005340831003360021,32,0.0009441344549118059
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,120000.0,0.010753125,0.004834618734342101,32,0.0008546479228762058
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,130000.0,0.0106,0.005281067829459762,32,0.0009335697185292798
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,140000.0,0.010875,0.006179623122447184,32,0.0010924133537648976
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,150000.0,0.0100375,0.005309136981079972,32,0.0009385316903924809
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,160000.0,0.0088875,0.006564801055875632,32,0.0011605038359375666
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,170000.0,0.00931,0.008159798425502162,30,0.001489768554114224
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,180000.0,0.008575000000000001,0.004961975786287526,28,0.0009377252815743552
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,190000.0,0.009767857142857144,0.005916896932697858,28,0.0011181884155085293
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,200000.0,0.00925,0.005752841487924483,28,0.001087184850644498
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,210000.0,0.008450000000000001,0.005573980557847261,28,0.0010533833120552091
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,220000.0,0.008735714285714286,0.005649596136710703,28,0.0010676733132634136
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,230000.0,0.009,0.005570637306448877,26,0.0010924918587973376
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,240000.0,0.012276923076923076,0.021667326696061195,26,0.0042493123704079195
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,250000.0,0.008557692307692308,0.005836517665658047,26,0.0011446352872545918
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,260000.0,0.008961538461538462,0.0060951178445097795,26,0.0011953509548770368
