strain,Bin_Center,mean_density,sd_density,n_datasets,se_density
strain_yTW001,-1100000.0,0.0,0.0,2,0.0
strain_yTW001,-1090000.0,0.0,0.0,2,0.0
strain_yTW001,-1080000.0,0.0,0.0,2,0.0
strain_yTW001,-1070000.0,0.0,0.0,2,0.0
strain_yTW001,-1060000.0,0.0,0.0,2,0.0
strain_yTW001,-1050000.0,0.0,0.0,2,0.0
strain_yTW001,-1040000.0,0.0,0.0,2,0.0
strain_yTW001,-1030000.0,0.0,0.0,2,0.0
strain_yTW001,-1020000.0,0.0,0.0,2,0.0
strain_yTW001,-1010000.0,0.0,0.0,2,0.0
strain_yTW001,-1000000.0,0.0,0.0,2,0.0
strain_yTW001,-990000.0,0.0,0.0,2,0.0
strain_yTW001,-980000.0,0.0,0.0,2,0.0
strain_yTW001,-970000.0,0.0,0.0,2,0.0
strain_yTW001,-960000.0,0.0,0.0,2,0.0
strain_yTW001,-950000.0,0.0,0.0,2,0.0
strain_yTW001,-940000.0,0.0,0.0,4,0.0
strain_yTW001,-930000.0,0.0,0.0,4,0.0
strain_yTW001,-920000.0,0.0,0.0,4,0.0
strain_yTW001,-910000.0,0.0,0.0,4,0.0
strain_yTW001,-900000.0,0.0,0.0,4,0.0
strain_yTW001,-890000.0,0.0,0.0,4,0.0
strain_yTW001,-880000.0,0.0,0.0,4,0.0
strain_yTW001,-870000.0,0.0,0.0,4,0.0
strain_yTW001,-860000.0,0.0,0.0,4,0.0
strain_yTW001,-850000.0,0.0,0.0,4,0.0
strain_yTW001,-840000.0,0.0,0.0,4,0.0
strain_yTW001,-830000.0,0.0,0.0,4,0.0
strain_yTW001,-820000.0,0.0,0.0,4,0.0
strain_yTW001,-810000.0,0.0,0.0,4,0.0
strain_yTW001,-800000.0,0.0,0.0,4,0.0
strain_yTW001,-790000.0,0.0,0.0,4,0.0
strain_yTW001,-780000.0,0.0,0.0,6,0.0
strain_yTW001,-770000.0,0.0,0.0,6,0.0
strain_yTW001,-760000.0,0.0,0.0,6,0.0
strain_yTW001,-750000.0,0.0,0.0,6,0.0
strain_yTW001,-740000.0,0.0,0.0,6,0.0
strain_yTW001,-730000.0,0.0,0.0,6,0.0
strain_yTW001,-720000.0,0.0,0.0,6,0.0
strain_yTW001,-710000.0,0.0,0.0,6,0.0
strain_yTW001,-700000.0,0.0,0.0,6,0.0
strain_yTW001,-690000.0,0.0,0.0,6,0.0
strain_yTW001,-680000.0,0.0,0.0,6,0.0
strain_yTW001,-670000.0,0.0,0.0,8,0.0
strain_yTW001,-660000.0,0.0,0.0,8,0.0
strain_yTW001,-650000.0,0.0,0.0,8,0.0
strain_yTW001,-640000.0,0.0,0.0,10,0.0
strain_yTW001,-630000.0,0.01533,0.0323215803381511,10,0.010220981144467275
strain_yTW001,-620000.0,0.02222,0.04687128474165535,10,0.014822001664192775
strain_yTW001,-610000.0,0.009008333333333333,0.02104075950639759,12,0.006073944082486414
strain_yTW001,-600000.0,0.005766666666666667,0.013541339623090428,12,0.003909048038289702
strain_yTW001,-590000.0,0.005549999999999999,0.014108957874616123,14,0.0037707776036599847
strain_yTW001,-580000.0,0.00505,0.01284348083659566,14,0.003432564638866979
strain_yTW001,-570000.0,0.0053437499999999995,0.014602829349136419,16,0.0036507073372841047
strain_yTW001,-560000.0,0.007681250000000001,0.0143385363618467,16,0.003584634090461675
strain_yTW001,-550000.0,0.022412500000000002,0.04815213217847507,16,0.012038033044618767
strain_yTW001,-540000.0,0.013818750000000001,0.02522948589118164,16,0.00630737147279541
strain_yTW001,-530000.0,0.019818750000000003,0.037209482998289564,16,0.009302370749572391
strain_yTW001,-520000.0,0.0124875,0.022663182330231853,16,0.005665795582557963
strain_yTW001,-510000.0,0.0132875,0.023787640348158397,16,0.005946910087039599
strain_yTW001,-500000.0,0.020075,0.045999760868943654,16,0.011499940217235913
strain_yTW001,-490000.0,0.0149125,0.02256332939380475,16,0.005640832348451187
strain_yTW001,-480000.0,0.0177,0.024185229652276062,16,0.0060463074130690155
strain_yTW001,-470000.0,0.013866666666666666,0.020916163184316123,18,0.004929986941344781
strain_yTW001,-460000.0,0.01224,0.019222393738882567,20,0.0042982579090407765
strain_yTW001,-450000.0,0.012272727272727274,0.016886263276577426,22,0.0036001634271357447
strain_yTW001,-440000.0,0.018929166666666667,0.02243459051218175,24,0.0045794416119275
strain_yTW001,-430000.0,0.031733333333333336,0.039676810297229276,24,0.008098994987451424
strain_yTW001,-420000.0,0.027304166666666668,0.029421664291982955,24,0.006005672074901862
strain_yTW001,-410000.0,0.021183333333333332,0.021952174630648618,24,0.004480968882463241
strain_yTW001,-400000.0,0.021545833333333334,0.022918247508057408,24,0.004678167682796062
strain_yTW001,-390000.0,0.0214625,0.02211147277457722,24,0.0045134854799296995
strain_yTW001,-380000.0,0.020779166666666668,0.021740744740787007,24,0.004437810936918758
strain_yTW001,-370000.0,0.023634615384615386,0.02750764173545515,26,0.005394692383923274
strain_yTW001,-360000.0,0.01941923076923077,0.020122107627796235,26,0.00394626997879797
strain_yTW001,-350000.0,0.03376153846153846,0.03945114525002362,26,0.007737006133209759
strain_yTW001,-340000.0,0.02723461538461538,0.02752778875692986,26,0.00539864353990944
strain_yTW001,-330000.0,0.025023076923076922,0.02294683085207729,26,0.00450024378037904
strain_yTW001,-320000.0,0.030042307692307695,0.026909316945280096,26,0.005277351238516776
strain_yTW001,-310000.0,0.02771923076923077,0.022998748126465827,26,0.004510425595579029
strain_yTW001,-300000.0,0.029411538461538465,0.024137561217705106,26,0.004733765217677644
strain_yTW001,-290000.0,0.030353846153846155,0.025278706149947323,26,0.004957562151421513
strain_yTW001,-280000.0,0.027203846153846155,0.022970807226028966,26,0.004504945934173071
strain_yTW001,-270000.0,0.032238461538461535,0.023457827297907654,26,0.00460045842840464
strain_yTW001,-260000.0,0.03324615384615384,0.028734929695674996,26,0.005635383355383215
strain_yTW001,-250000.0,0.028673076923076926,0.02069658054254002,26,0.004058933386579089
strain_yTW001,-240000.0,0.036123076923076924,0.023689901775943396,26,0.004645971978101221
strain_yTW001,-230000.0,0.04191923076923077,0.029550540018493998,26,0.005795337699673284
strain_yTW001,-220000.0,0.03748571428571429,0.02544335341114124,28,0.004808341831814762
strain_yTW001,-210000.0,0.042489285714285716,0.035230724588439205,28,0.006657981126401325
strain_yTW001,-200000.0,0.03352857142857143,0.02373665484159011,28,0.004485806119101763
strain_yTW001,-190000.0,0.03283928571428572,0.02219258032976611,28,0.004194003464527495
strain_yTW001,-180000.0,0.033275,0.023380787063392538,28,0.004418553430478059
strain_yTW001,-170000.0,0.0272,0.020267759347434463,30,0.0037003696615586805
strain_yTW001,-160000.0,0.0284625,0.025156564589297242,32,0.0044470943531123635
strain_yTW001,-150000.0,0.050203125,0.030616077205738522,32,0.005412208951377149
strain_yTW001,-140000.0,0.05385625,0.03352546396205379,32,0.005926520727498364
strain_yTW001,-130000.0,0.045753125,0.020875359519793787,32,0.0036902770690383346
strain_yTW001,-120000.0,0.047031250000000004,0.022994689955053365,32,0.004064925299625106
strain_yTW001,-110000.0,0.05474375,0.022866187708548636,32,0.004042209097149805
strain_yTW001,-100000.0,0.060909375,0.017682693550748356,32,0.0031258881298444484
strain_yTW001,-90000.0,0.0518,0.011681858005112582,32,0.0020650802530683653
strain_yTW001,-80000.0,0.06446875,0.025328441714353833,32,0.004477478223276954
strain_yTW001,-70000.0,0.062696875,0.027560039847049713,32,0.004871972766405078
strain_yTW001,-60000.0,0.058284375,0.016425925797544916,32,0.002903720879677765
strain_yTW001,-50000.0,0.057490625000000004,0.01488765150514713,32,0.002631789833807912
strain_yTW001,-40000.0,0.0694875,0.01918389361400726,32,0.0033912653160064594
strain_yTW001,-30000.0,0.065621875,0.016931584045990843,32,0.0029931094737875212
strain_yTW001,-20000.0,0.068859375,0.015504190055407393,32,0.0027407794812459004
strain_yTW001,-10000.0,0.083403125,0.024343860382167234,32,0.004303427189122248
strain_yTW001,0.0,0.0847125,0.017343563461653062,32,0.003065937833418528
strain_yTW001,10000.0,0.089703125,0.024024563832434283,32,0.004246983000240838
strain_yTW001,20000.0,0.076775,0.02552842817647202,32,0.004512831169154273
strain_yTW001,30000.0,0.07175625,0.017877611471767807,32,0.0031603450757763576
strain_yTW001,40000.0,0.08173125,0.04517173993449529,32,0.007985310906419197
strain_yTW001,50000.0,0.05840625,0.014954639748252044,32,0.002643631794047726
strain_yTW001,60000.0,0.056784375,0.015202188072031584,32,0.002687392568651695
strain_yTW001,70000.0,0.071503125,0.034346249120231924,32,0.006071616415309621
strain_yTW001,80000.0,0.056959375,0.024903696569436848,32,0.004402393180215239
strain_yTW001,90000.0,0.053121875,0.027958572283163948,32,0.004942424013429871
strain_yTW001,100000.0,0.04880625,0.023248655007922916,32,0.00410982040239222
strain_yTW001,110000.0,0.061121875,0.03881307340753511,32,0.006861246851289835
strain_yTW001,120000.0,0.040559375,0.017239075257269646,32,0.003047466753950148
strain_yTW001,130000.0,0.0392625,0.020597208548733006,32,0.003641106459580659
strain_yTW001,140000.0,0.044059375,0.026343633121655545,32,0.0046569404053532935
strain_yTW001,150000.0,0.037575,0.020119674210150137,32,0.003556689517315314
strain_yTW001,160000.0,0.032478125,0.020210341242669835,32,0.0035727173356964992
strain_yTW001,170000.0,0.03918,0.02297969718596441,30,0.004195499504463566
strain_yTW001,180000.0,0.041682142857142855,0.019734460432741217,28,0.00372946246879124
