strain,Bin_Center,mean_density,sd_density,n_datasets,se_density
strain_yWT04a,-1100000.0,0.0,0.0,2,0.0
strain_yWT04a,-1090000.0,0.0,0.0,2,0.0
strain_yWT04a,-1080000.0,0.0,0.0,2,0.0
strain_yWT04a,-1070000.0,0.0,0.0,2,0.0
strain_yWT04a,-1060000.0,0.0,0.0,2,0.0
strain_yWT04a,-1050000.0,0.0,0.0,2,0.0
strain_yWT04a,-1040000.0,0.0,0.0,2,0.0
strain_yWT04a,-1030000.0,0.0,0.0,2,0.0
strain_yWT04a,-1020000.0,0.0,0.0,2,0.0
strain_yWT04a,-1010000.0,0.0,0.0,2,0.0
strain_yWT04a,-1000000.0,0.0,0.0,2,0.0
strain_yWT04a,-990000.0,0.0,0.0,2,0.0
strain_yWT04a,-980000.0,0.0,0.0,2,0.0
strain_yWT04a,-970000.0,0.0,0.0,2,0.0
strain_yWT04a,-960000.0,0.0,0.0,2,0.0
strain_yWT04a,-950000.0,0.0,0.0,2,0.0
strain_yWT04a,-940000.0,0.0,0.0,4,0.0
strain_yWT04a,-930000.0,0.0,0.0,4,0.0
strain_yWT04a,-920000.0,0.0,0.0,4,0.0
strain_yWT04a,-910000.0,0.0,0.0,4,0.0
strain_yWT04a,-900000.0,0.0,0.0,4,0.0
strain_yWT04a,-890000.0,0.0,0.0,4,0.0
strain_yWT04a,-880000.0,0.0,0.0,4,0.0
strain_yWT04a,-870000.0,0.0,0.0,4,0.0
strain_yWT04a,-860000.0,0.0,0.0,4,0.0
strain_yWT04a,-850000.0,0.0,0.0,4,0.0
strain_yWT04a,-840000.0,0.0,0.0,4,0.0
strain_yWT04a,-830000.0,0.0,0.0,4,0.0
strain_yWT04a,-820000.0,0.0,0.0,4,0.0
strain_yWT04a,-810000.0,0.0,0.0,4,0.0
strain_yWT04a,-800000.0,0.0,0.0,4,0.0
strain_yWT04a,-790000.0,0.0,0.0,4,0.0
strain_yWT04a,-780000.0,0.0,0.0,6,0.0
