Distance_Bin,Value,Bin_Center,Density_per_bp
"[1, 1001)",3006,501.0,3.006
"[1001, 2001)",1541,1501.0,1.541
"[2001, 3001)",3723,2501.0,3.723
"[3001, 4001)",5921,3501.0,5.921
"[4001, 5001)",532,4501.0,0.532
"[5001, 6001)",490,5501.0,0.49
"[6001, 7001)",5,6501.0,0.005
"[7001, 8001)",5693,7501.0,5.693
"[8001, 9001)",2934,8501.0,2.934
"[9001, 10001)",1037,9501.0,1.037
"[10001, 11001)",674,10501.0,0.674
"[11001, 12001)",1250,11501.0,1.25
"[12001, 13001)",1080,12501.0,1.08
"[13001, 14001)",5882,13501.0,5.882
"[14001, 15001)",6306,14501.0,6.306
"[15001, 16001)",2874,15501.0,2.874
"[16001, 17001)",1171,16501.0,1.171
"[17001, 18001)",6406,17501.0,6.406
"[18001, 19001)",297,18501.0,0.297
"[19001, 20001)",615,19501.0,0.615
"[20001, 21001)",3128,20501.0,3.128
"[21001, 22001)",37,21501.0,0.037
"[22001, 23001)",22,22501.0,0.022
"[23001, 24001)",6019,23501.0,6.019
"[24001, 25001)",1713,24501.0,1.713
"[25001, 26001)",7105,25501.0,7.105
"[26001, 27001)",6964,26501.0,6.964
"[27001, 28001)",1833,27501.0,1.833
"[28001, 29001)",5710,28501.0,5.71
"[29001, 30001)",7267,29501.0,7.267
"[30001, 31001)",7891,30501.0,7.891
"[31001, 32001)",2423,31501.0,2.423
"[32001, 33001)",3647,32501.0,3.647
"[33001, 34001)",4346,33501.0,4.346
"[34001, 35001)",1650,34501.0,1.65
"[35001, 36001)",1694,35501.0,1.694
"[36001, 37001)",3056,36501.0,3.056
"[37001, 38001)",7273,37501.0,7.273
"[38001, 39001)",10286,38501.0,10.286
"[39001, 40001)",8950,39501.0,8.95
"[40001, 41001)",15931,40501.0,15.931
"[41001, 42001)",2693,41501.0,2.693
"[42001, 43001)",784,42501.0,0.784
"[43001, 44001)",510,43501.0,0.51
"[44001, 45001)",1070,44501.0,1.07
"[45001, 46001)",329,45501.0,0.329
"[46001, 47001)",2003,46501.0,2.003
"[47001, 48001)",969,47501.0,0.969
"[48001, 49001)",0,48501.0,0.0
"[49001, 50001)",0,49501.0,0.0
"[50001, 51001)",0,50501.0,0.0
"[51001, 52001)",184,51501.0,0.184
"[52001, 53001)",1632,52501.0,1.632
"[53001, 54001)",44,53501.0,0.044
"[54001, 55001)",5667,54501.0,5.667
"[55001, 56001)",905,55501.0,0.905
"[56001, 57001)",2270,56501.0,2.27
"[57001, 58001)",257,57501.0,0.257
"[58001, 59001)",337,58501.0,0.337
"[59001, 60001)",1303,59501.0,1.303
"[60001, 61001)",601,60501.0,0.601
"[61001, 62001)",598,61501.0,0.598
"[62001, 63001)",1172,62501.0,1.172
"[63001, 64001)",1368,63501.0,1.368
"[64001, 65001)",379,64501.0,0.379
"[65001, 66001)",603,65501.0,0.603
"[66001, 67001)",1080,66501.0,1.08
"[67001, 68001)",714,67501.0,0.714
"[68001, 69001)",1419,68501.0,1.419
"[69001, 70001)",1040,69501.0,1.04
"[70001, 71001)",470,70501.0,0.47
"[71001, 72001)",1147,71501.0,1.147
"[72001, 73001)",1537,72501.0,1.537
"[73001, 74001)",821,73501.0,0.821
"[74001, 75001)",1059,74501.0,1.059
"[75001, 76001)",128,75501.0,0.128
"[76001, 77001)",141,76501.0,0.141
"[77001, 78001)",250,77501.0,0.25
"[78001, 79001)",19,78501.0,0.019
