Distance_Bin,Value,Bin_Center,Density_per_bp
"[-497978, -496978)",0,-497478.0,0.0
"[-496978, -495978)",75,-496478.0,0.075
"[-495978, -494978)",0,-495478.0,0.0
"[-494978, -493978)",0,-494478.0,0.0
"[-493978, -492978)",0,-493478.0,0.0
"[-492978, -491978)",0,-492478.0,0.0
"[-491978, -490978)",0,-491478.0,0.0
"[-490978, -489978)",45,-490478.0,0.045
"[-489978, -488978)",60,-489478.0,0.06
"[-488978, -487978)",47,-488478.0,0.047
"[-487978, -486978)",16,-487478.0,0.016
"[-486978, -485978)",96,-486478.0,0.096
"[-485978, -484978)",61,-485478.0,0.061
"[-484978, -483978)",49,-484478.0,0.049
"[-483978, -482978)",46,-483478.0,0.046
"[-482978, -481978)",137,-482478.0,0.137
"[-481978, -480978)",47,-481478.0,0.047
"[-480978, -479978)",69,-480478.0,0.069
"[-479978, -478978)",71,-479478.0,0.071
"[-478978, -477978)",85,-478478.0,0.085
"[-477978, -476978)",56,-477478.0,0.056
"[-476978, -475978)",156,-476478.0,0.156
"[-475978, -474978)",36,-475478.0,0.036
"[-474978, -473978)",123,-474478.0,0.123
"[-473978, -472978)",141,-473478.0,0.141
"[-472978, -471978)",67,-472478.0,0.067
"[-471978, -470978)",83,-471478.0,0.083
"[-470978, -469978)",18,-470478.0,0.018
"[-469978, -468978)",92,-469478.0,0.092
"[-468978, -467978)",39,-468478.0,0.039
"[-467978, -466978)",34,-467478.0,0.034
"[-466978, -465978)",65,-466478.0,0.065
"[-465978, -464978)",77,-465478.0,0.077
"[-464978, -463978)",49,-464478.0,0.049
"[-463978, -462978)",56,-463478.0,0.056
"[-462978, -461978)",78,-462478.0,0.078
"[-461978, -460978)",198,-461478.0,0.198
"[-460978, -459978)",85,-460478.0,0.085
"[-459978, -458978)",24,-459478.0,0.024
"[-458978, -457978)",55,-458478.0,0.055
"[-457978, -456978)",17,-457478.0,0.017
"[-456978, -455978)",11,-456478.0,0.011
"[-455978, -454978)",75,-455478.0,0.075
"[-454978, -453978)",22,-454478.0,0.022
"[-453978, -452978)",69,-453478.0,0.069
"[-452978, -451978)",38,-452478.0,0.038
"[-451978, -450978)",100,-451478.0,0.1
"[-450978, -449978)",25,-450478.0,0.025
"[-449978, -448978)",34,-449478.0,0.034
"[-448978, -447978)",34,-448478.0,0.034
"[-447978, -446978)",47,-447478.0,0.047
"[-446978, -445978)",24,-446478.0,0.024
"[-445978, -444978)",9,-445478.0,0.009
"[-444978, -443978)",51,-444478.0,0.051
"[-443978, -442978)",92,-443478.0,0.092
"[-442978, -441978)",76,-442478.0,0.076
"[-441978, -440978)",99,-441478.0,0.099
"[-440978, -439978)",79,-440478.0,0.079
"[-439978, -438978)",6,-439478.0,0.006
"[-438978, -437978)",31,-438478.0,0.031
"[-437978, -436978)",19,-437478.0,0.019
"[-436978, -435978)",17,-436478.0,0.017
"[-435978, -434978)",25,-435478.0,0.025
"[-434978, -433978)",64,-434478.0,0.064
"[-433978, -432978)",61,-433478.0,0.061
"[-432978, -431978)",83,-432478.0,0.083
"[-431978, -430978)",44,-431478.0,0.044
"[-430978, -429978)",44,-430478.0,0.044
"[-429978, -428978)",71,-429478.0,0.071
"[-428978, -427978)",32,-428478.0,0.032
"[-427978, -426978)",96,-427478.0,0.096
"[-426978, -425978)",32,-426478.0,0.032
"[-425978, -424978)",26,-425478.0,0.026
"[-424978, -423978)",34,-424478.0,0.034
"[-423978, -422978)",99,-423478.0,0.099
"[-422978, -421978)",152,-422478.0,0.152
"[-421978, -420978)",75,-421478.0,0.075
"[-420978, -419978)",93,-420478.0,0.093
"[-419978, -418978)",10,-419478.0,0.01
"[-418978, -417978)",64,-418478.0,0.064
"[-417978, -416978)",49,-417478.0,0.049
"[-416978, -415978)",60,-416478.0,0.06
"[-415978, -414978)",109,-415478.0,0.109
"[-414978, -413978)",102,-414478.0,0.102
"[-413978, -412978)",35,-413478.0,0.035
"[-412978, -411978)",94,-412478.0,0.094
"[-411978, -410978)",51,-411478.0,0.051
"[-410978, -409978)",43,-410478.0,0.043
"[-409978, -408978)",82,-409478.0,0.082
"[-408978, -407978)",36,-408478.0,0.036
"[-407978, -406978)",29,-407478.0,0.029
"[-406978, -405978)",40,-406478.0,0.04
"[-405978, -404978)",58,-405478.0,0.058
"[-404978, -403978)",43,-404478.0,0.043
"[-403978, -402978)",66,-403478.0,0.066
"[-402978, -401978)",96,-402478.0,0.096
"[-401978, -400978)",76,-401478.0,0.076
"[-400978, -399978)",54,-400478.0,0.054
"[-399978, -398978)",85,-399478.0,0.085
"[-398978, -397978)",89,-398478.0,0.089
"[-397978, -396978)",12,-397478.0,0.012
"[-396978, -395978)",9,-396478.0,0.009
"[-395978, -394978)",25,-395478.0,0.025
"[-394978, -393978)",49,-394478.0,0.049
"[-393978, -392978)",20,-393478.0,0.02
"[-392978, -391978)",23,-392478.0,0.023
"[-391978, -390978)",9,-391478.0,0.009
"[-390978, -389978)",4,-390478.0,0.004
"[-389978, -388978)",70,-389478.0,0.07
"[-388978, -387978)",63,-388478.0,0.063
"[-387978, -386978)",51,-387478.0,0.051
"[-386978, -385978)",93,-386478.0,0.093
"[-385978, -384978)",102,-385478.0,0.102
"[-384978, -383978)",99,-384478.0,0.099
"[-383978, -382978)",43,-383478.0,0.043
"[-382978, -381978)",82,-382478.0,0.082
"[-381978, -380978)",154,-381478.0,0.154
"[-380978, -379978)",59,-380478.0,0.059
"[-379978, -378978)",43,-379478.0,0.043
"[-378978, -377978)",37,-378478.0,0.037
"[-377978, -376978)",29,-377478.0,0.029
"[-376978, -375978)",26,-376478.0,0.026
"[-375978, -374978)",94,-375478.0,0.094
"[-374978, -373978)",140,-374478.0,0.14
"[-373978, -372978)",116,-373478.0,0.116
"[-372978, -371978)",103,-372478.0,0.103
"[-371978, -370978)",27,-371478.0,0.027
"[-370978, -369978)",18,-370478.0,0.018
"[-369978, -368978)",18,-369478.0,0.018
"[-368978, -367978)",36,-368478.0,0.036
"[-367978, -366978)",104,-367478.0,0.104
"[-366978, -365978)",52,-366478.0,0.052
"[-365978, -364978)",82,-365478.0,0.082
"[-364978, -363978)",19,-364478.0,0.019
"[-363978, -362978)",28,-363478.0,0.028
"[-362978, -361978)",18,-362478.0,0.018
"[-361978, -360978)",25,-361478.0,0.025
"[-360978, -359978)",29,-360478.0,0.029
"[-359978, -358978)",10,-359478.0,0.01
"[-358978, -357978)",25,-358478.0,0.025
"[-357978, -356978)",66,-357478.0,0.066
"[-356978, -355978)",94,-356478.0,0.094
"[-355978, -354978)",90,-355478.0,0.09
"[-354978, -353978)",43,-354478.0,0.043
"[-353978, -352978)",65,-353478.0,0.065
"[-352978, -351978)",152,-352478.0,0.152
"[-351978, -350978)",43,-351478.0,0.043
"[-350978, -349978)",26,-350478.0,0.026
"[-349978, -348978)",69,-349478.0,0.069
"[-348978, -347978)",46,-348478.0,0.046
"[-347978, -346978)",95,-347478.0,0.095
"[-346978, -345978)",92,-346478.0,0.092
"[-345978, -344978)",55,-345478.0,0.055
"[-344978, -343978)",95,-344478.0,0.095
"[-343978, -342978)",97,-343478.0,0.097
"[-342978, -341978)",130,-342478.0,0.13
"[-341978, -340978)",56,-341478.0,0.056
"[-340978, -339978)",150,-340478.0,0.15
"[-339978, -338978)",125,-339478.0,0.125
"[-338978, -337978)",86,-338478.0,0.086
"[-337978, -336978)",119,-337478.0,0.119
"[-336978, -335978)",48,-336478.0,0.048
"[-335978, -334978)",33,-335478.0,0.033
"[-334978, -333978)",53,-334478.0,0.053
"[-333978, -332978)",63,-333478.0,0.063
"[-332978, -331978)",66,-332478.0,0.066
"[-331978, -330978)",149,-331478.0,0.149
"[-330978, -329978)",206,-330478.0,0.206
"[-329978, -328978)",89,-329478.0,0.089
"[-328978, -327978)",16,-328478.0,0.016
"[-327978, -326978)",17,-327478.0,0.017
"[-326978, -325978)",26,-326478.0,0.026
"[-325978, -324978)",32,-325478.0,0.032
"[-324978, -323978)",40,-324478.0,0.04
"[-323978, -322978)",46,-323478.0,0.046
"[-322978, -321978)",81,-322478.0,0.081
"[-321978, -320978)",77,-321478.0,0.077
"[-320978, -319978)",54,-320478.0,0.054
"[-319978, -318978)",12,-319478.0,0.012
"[-318978, -317978)",16,-318478.0,0.016
"[-317978, -316978)",41,-317478.0,0.041
"[-316978, -315978)",74,-316478.0,0.074
"[-315978, -314978)",34,-315478.0,0.034
"[-314978, -313978)",54,-314478.0,0.054
"[-313978, -312978)",18,-313478.0,0.018
"[-312978, -311978)",27,-312478.0,0.027
"[-311978, -310978)",72,-311478.0,0.072
"[-310978, -309978)",40,-310478.0,0.04
"[-309978, -308978)",49,-309478.0,0.049
"[-308978, -307978)",7,-308478.0,0.007
"[-307978, -306978)",21,-307478.0,0.021
"[-306978, -305978)",62,-306478.0,0.062
"[-305978, -304978)",125,-305478.0,0.125
"[-304978, -303978)",33,-304478.0,0.033
"[-303978, -302978)",91,-303478.0,0.091
"[-302978, -301978)",9,-302478.0,0.009
"[-301978, -300978)",43,-301478.0,0.043
"[-300978, -299978)",96,-300478.0,0.096
"[-299978, -298978)",175,-299478.0,0.175
"[-298978, -297978)",70,-298478.0,0.07
"[-297978, -296978)",50,-297478.0,0.05
"[-296978, -295978)",95,-296478.0,0.095
"[-295978, -294978)",46,-295478.0,0.046
"[-294978, -293978)",88,-294478.0,0.088
"[-293978, -292978)",31,-293478.0,0.031
"[-292978, -291978)",54,-292478.0,0.054
"[-291978, -290978)",104,-291478.0,0.104
"[-290978, -289978)",121,-290478.0,0.121
"[-289978, -288978)",75,-289478.0,0.075
"[-288978, -287978)",55,-288478.0,0.055
"[-287978, -286978)",52,-287478.0,0.052
"[-286978, -285978)",103,-286478.0,0.103
"[-285978, -284978)",32,-285478.0,0.032
"[-284978, -283978)",60,-284478.0,0.06
"[-283978, -282978)",82,-283478.0,0.082
"[-282978, -281978)",33,-282478.0,0.033
"[-281978, -280978)",32,-281478.0,0.032
"[-280978, -279978)",76,-280478.0,0.076
"[-279978, -278978)",106,-279478.0,0.106
"[-278978, -277978)",28,-278478.0,0.028
"[-277978, -276978)",24,-277478.0,0.024
"[-276978, -275978)",73,-276478.0,0.073
"[-275978, -274978)",35,-275478.0,0.035
"[-274978, -273978)",21,-274478.0,0.021
"[-273978, -272978)",12,-273478.0,0.012
"[-272978, -271978)",30,-272478.0,0.03
"[-271978, -270978)",97,-271478.0,0.097
"[-270978, -269978)",127,-270478.0,0.127
"[-269978, -268978)",42,-269478.0,0.042
"[-268978, -267978)",122,-268478.0,0.122
"[-267978, -266978)",119,-267478.0,0.119
"[-266978, -265978)",36,-266478.0,0.036
"[-265978, -264978)",16,-265478.0,0.016
"[-264978, -263978)",48,-264478.0,0.048
"[-263978, -262978)",28,-263478.0,0.028
"[-262978, -261978)",94,-262478.0,0.094
"[-261978, -260978)",31,-261478.0,0.031
"[-260978, -259978)",65,-260478.0,0.065
"[-259978, -258978)",8,-259478.0,0.008
"[-258978, -257978)",60,-258478.0,0.06
"[-257978, -256978)",38,-257478.0,0.038
"[-256978, -255978)",38,-256478.0,0.038
"[-255978, -254978)",54,-255478.0,0.054
"[-254978, -253978)",16,-254478.0,0.016
"[-253978, -252978)",30,-253478.0,0.03
"[-252978, -251978)",44,-252478.0,0.044
"[-251978, -250978)",120,-251478.0,0.12
"[-250978, -249978)",42,-250478.0,0.042
"[-249978, -248978)",37,-249478.0,0.037
"[-248978, -247978)",50,-248478.0,0.05
"[-247978, -246978)",43,-247478.0,0.043
"[-246978, -245978)",11,-246478.0,0.011
"[-245978, -244978)",4,-245478.0,0.004
"[-244978, -243978)",28,-244478.0,0.028
"[-243978, -242978)",90,-243478.0,0.09
"[-242978, -241978)",114,-242478.0,0.114
"[-241978, -240978)",126,-241478.0,0.126
"[-240978, -239978)",58,-240478.0,0.058
"[-239978, -238978)",50,-239478.0,0.05
"[-238978, -237978)",24,-238478.0,0.024
"[-237978, -236978)",36,-237478.0,0.036
"[-236978, -235978)",54,-236478.0,0.054
"[-235978, -234978)",45,-235478.0,0.045
"[-234978, -233978)",49,-234478.0,0.049
"[-233978, -232978)",28,-233478.0,0.028
"[-232978, -231978)",23,-232478.0,0.023
"[-231978, -230978)",51,-231478.0,0.051
"[-230978, -229978)",34,-230478.0,0.034
"[-229978, -228978)",7,-229478.0,0.007
"[-228978, -227978)",14,-228478.0,0.014
"[-227978, -226978)",41,-227478.0,0.041
"[-226978, -225978)",80,-226478.0,0.08
"[-225978, -224978)",219,-225478.0,0.219
"[-224978, -223978)",106,-224478.0,0.106
"[-223978, -222978)",58,-223478.0,0.058
"[-222978, -221978)",50,-222478.0,0.05
"[-221978, -220978)",9,-221478.0,0.009
"[-220978, -219978)",74,-220478.0,0.074
"[-219978, -218978)",48,-219478.0,0.048
"[-218978, -217978)",61,-218478.0,0.061
"[-217978, -216978)",34,-217478.0,0.034
"[-216978, -215978)",58,-216478.0,0.058
"[-215978, -214978)",150,-215478.0,0.15
"[-214978, -213978)",26,-214478.0,0.026
"[-213978, -212978)",27,-213478.0,0.027
"[-212978, -211978)",73,-212478.0,0.073
"[-211978, -210978)",42,-211478.0,0.042
"[-210978, -209978)",77,-210478.0,0.077
"[-209978, -208978)",168,-209478.0,0.168
"[-208978, -207978)",106,-208478.0,0.106
"[-207978, -206978)",83,-207478.0,0.083
"[-206978, -205978)",18,-206478.0,0.018
"[-205978, -204978)",49,-205478.0,0.049
"[-204978, -203978)",27,-204478.0,0.027
"[-203978, -202978)",105,-203478.0,0.105
"[-202978, -201978)",41,-202478.0,0.041
"[-201978, -200978)",91,-201478.0,0.091
"[-200978, -199978)",24,-200478.0,0.024
"[-199978, -198978)",24,-199478.0,0.024
"[-198978, -197978)",11,-198478.0,0.011
"[-197978, -196978)",41,-197478.0,0.041
"[-196978, -195978)",15,-196478.0,0.015
"[-195978, -194978)",65,-195478.0,0.065
"[-194978, -193978)",35,-194478.0,0.035
"[-193978, -192978)",102,-193478.0,0.102
"[-192978, -191978)",64,-192478.0,0.064
"[-191978, -190978)",7,-191478.0,0.007
"[-190978, -189978)",58,-190478.0,0.058
"[-189978, -188978)",59,-189478.0,0.059
"[-188978, -187978)",52,-188478.0,0.052
"[-187978, -186978)",42,-187478.0,0.042
"[-186978, -185978)",112,-186478.0,0.112
"[-185978, -184978)",28,-185478.0,0.028
"[-184978, -183978)",68,-184478.0,0.068
"[-183978, -182978)",75,-183478.0,0.075
"[-182978, -181978)",72,-182478.0,0.072
"[-181978, -180978)",11,-181478.0,0.011
"[-180978, -179978)",76,-180478.0,0.076
"[-179978, -178978)",61,-179478.0,0.061
"[-178978, -177978)",40,-178478.0,0.04
"[-177978, -176978)",137,-177478.0,0.137
"[-176978, -175978)",81,-176478.0,0.081
"[-175978, -174978)",47,-175478.0,0.047
"[-174978, -173978)",25,-174478.0,0.025
"[-173978, -172978)",137,-173478.0,0.137
"[-172978, -171978)",118,-172478.0,0.118
"[-171978, -170978)",94,-171478.0,0.094
"[-170978, -169978)",126,-170478.0,0.126
"[-169978, -168978)",44,-169478.0,0.044
"[-168978, -167978)",87,-168478.0,0.087
"[-167978, -166978)",9,-167478.0,0.009
"[-166978, -165978)",86,-166478.0,0.086
"[-165978, -164978)",77,-165478.0,0.077
"[-164978, -163978)",40,-164478.0,0.04
"[-163978, -162978)",43,-163478.0,0.043
"[-162978, -161978)",78,-162478.0,0.078
"[-161978, -160978)",35,-161478.0,0.035
"[-160978, -159978)",12,-160478.0,0.012
"[-159978, -158978)",54,-159478.0,0.054
"[-158978, -157978)",15,-158478.0,0.015
"[-157978, -156978)",26,-157478.0,0.026
"[-156978, -155978)",8,-156478.0,0.008
"[-155978, -154978)",40,-155478.0,0.04
"[-154978, -153978)",24,-154478.0,0.024
"[-153978, -152978)",95,-153478.0,0.095
"[-152978, -151978)",58,-152478.0,0.058
"[-151978, -150978)",181,-151478.0,0.181
"[-150978, -149978)",108,-150478.0,0.108
"[-149978, -148978)",74,-149478.0,0.074
"[-148978, -147978)",34,-148478.0,0.034
"[-147978, -146978)",94,-147478.0,0.094
"[-146978, -145978)",42,-146478.0,0.042
"[-145978, -144978)",21,-145478.0,0.021
"[-144978, -143978)",136,-144478.0,0.136
"[-143978, -142978)",62,-143478.0,0.062
"[-142978, -141978)",40,-142478.0,0.04
"[-141978, -140978)",98,-141478.0,0.098
"[-140978, -139978)",68,-140478.0,0.068
"[-139978, -138978)",98,-139478.0,0.098
"[-138978, -137978)",97,-138478.0,0.097
"[-137978, -136978)",62,-137478.0,0.062
"[-136978, -135978)",29,-136478.0,0.029
"[-135978, -134978)",49,-135478.0,0.049
"[-134978, -133978)",68,-134478.0,0.068
"[-133978, -132978)",75,-133478.0,0.075
"[-132978, -131978)",99,-132478.0,0.099
"[-131978, -130978)",4,-131478.0,0.004
"[-130978, -129978)",130,-130478.0,0.13
"[-129978, -128978)",25,-129478.0,0.025
"[-128978, -127978)",133,-128478.0,0.133
"[-127978, -126978)",12,-127478.0,0.012
"[-126978, -125978)",92,-126478.0,0.092
"[-125978, -124978)",225,-125478.0,0.225
"[-124978, -123978)",37,-124478.0,0.037
"[-123978, -122978)",56,-123478.0,0.056
"[-122978, -121978)",105,-122478.0,0.105
"[-121978, -120978)",69,-121478.0,0.069
"[-120978, -119978)",60,-120478.0,0.06
"[-119978, -118978)",92,-119478.0,0.092
"[-118978, -117978)",26,-118478.0,0.026
"[-117978, -116978)",57,-117478.0,0.057
"[-116978, -115978)",16,-116478.0,0.016
"[-115978, -114978)",104,-115478.0,0.104
"[-114978, -113978)",22,-114478.0,0.022
"[-113978, -112978)",107,-113478.0,0.107
"[-112978, -111978)",227,-112478.0,0.227
"[-111978, -110978)",125,-111478.0,0.125
"[-110978, -109978)",52,-110478.0,0.052
"[-109978, -108978)",53,-109478.0,0.053
"[-108978, -107978)",75,-108478.0,0.075
"[-107978, -106978)",85,-107478.0,0.085
"[-106978, -105978)",35,-106478.0,0.035
"[-105978, -104978)",69,-105478.0,0.069
"[-104978, -103978)",83,-104478.0,0.083
"[-103978, -102978)",122,-103478.0,0.122
"[-102978, -101978)",27,-102478.0,0.027
"[-101978, -100978)",97,-101478.0,0.097
"[-100978, -99978)",88,-100478.0,0.088
"[-99978, -98978)",122,-99478.0,0.122
"[-98978, -97978)",193,-98478.0,0.193
"[-97978, -96978)",10,-97478.0,0.01
"[-96978, -95978)",89,-96478.0,0.089
"[-95978, -94978)",115,-95478.0,0.115
"[-94978, -93978)",106,-94478.0,0.106
"[-93978, -92978)",115,-93478.0,0.115
"[-92978, -91978)",173,-92478.0,0.173
"[-91978, -90978)",204,-91478.0,0.204
"[-90978, -89978)",71,-90478.0,0.071
"[-89978, -88978)",39,-89478.0,0.039
"[-88978, -87978)",54,-88478.0,0.054
"[-87978, -86978)",103,-87478.0,0.103
"[-86978, -85978)",20,-86478.0,0.02
"[-85978, -84978)",73,-85478.0,0.073
"[-84978, -83978)",161,-84478.0,0.161
"[-83978, -82978)",229,-83478.0,0.229
"[-82978, -81978)",125,-82478.0,0.125
"[-81978, -80978)",84,-81478.0,0.084
"[-80978, -79978)",76,-80478.0,0.076
"[-79978, -78978)",121,-79478.0,0.121
"[-78978, -77978)",107,-78478.0,0.107
"[-77978, -76978)",80,-77478.0,0.08
"[-76978, -75978)",117,-76478.0,0.117
"[-75978, -74978)",129,-75478.0,0.129
"[-74978, -73978)",128,-74478.0,0.128
"[-73978, -72978)",159,-73478.0,0.159
"[-72978, -71978)",63,-72478.0,0.063
"[-71978, -70978)",38,-71478.0,0.038
"[-70978, -69978)",42,-70478.0,0.042
"[-69978, -68978)",127,-69478.0,0.127
"[-68978, -67978)",97,-68478.0,0.097
"[-67978, -66978)",55,-67478.0,0.055
"[-66978, -65978)",49,-66478.0,0.049
"[-65978, -64978)",62,-65478.0,0.062
"[-64978, -63978)",73,-64478.0,0.073
"[-63978, -62978)",153,-63478.0,0.153
"[-62978, -61978)",142,-62478.0,0.142
"[-61978, -60978)",71,-61478.0,0.071
"[-60978, -59978)",65,-60478.0,0.065
"[-59978, -58978)",58,-59478.0,0.058
"[-58978, -57978)",146,-58478.0,0.146
"[-57978, -56978)",83,-57478.0,0.083
"[-56978, -55978)",155,-56478.0,0.155
"[-55978, -54978)",58,-55478.0,0.058
"[-54978, -53978)",36,-54478.0,0.036
"[-53978, -52978)",163,-53478.0,0.163
"[-52978, -51978)",76,-52478.0,0.076
"[-51978, -50978)",64,-51478.0,0.064
"[-50978, -49978)",126,-50478.0,0.126
"[-49978, -48978)",56,-49478.0,0.056
"[-48978, -47978)",117,-48478.0,0.117
"[-47978, -46978)",65,-47478.0,0.065
"[-46978, -45978)",91,-46478.0,0.091
"[-45978, -44978)",68,-45478.0,0.068
"[-44978, -43978)",100,-44478.0,0.1
"[-43978, -42978)",47,-43478.0,0.047
"[-42978, -41978)",55,-42478.0,0.055
"[-41978, -40978)",84,-41478.0,0.084
"[-40978, -39978)",66,-40478.0,0.066
"[-39978, -38978)",72,-39478.0,0.072
"[-38978, -37978)",88,-38478.0,0.088
"[-37978, -36978)",109,-37478.0,0.109
