Distance_Bin,Value,Bin_Center,Density_per_bp
"[-239263, -238263)",0,-238763.0,0.0
"[-238263, -237263)",258,-237763.0,0.258
"[-237263, -236263)",111,-236763.0,0.111
"[-236263, -235263)",150,-235763.0,0.15
"[-235263, -234263)",280,-234763.0,0.28
"[-234263, -233263)",242,-233763.0,0.242
"[-233263, -232263)",314,-232763.0,0.314
"[-232263, -231263)",123,-231763.0,0.123
"[-231263, -230263)",103,-230763.0,0.103
"[-230263, -229263)",101,-229763.0,0.101
"[-229263, -228263)",122,-228763.0,0.122
"[-228263, -227263)",150,-227763.0,0.15
"[-227263, -226263)",92,-226763.0,0.092
"[-226263, -225263)",91,-225763.0,0.091
"[-225263, -224263)",83,-224763.0,0.083
"[-224263, -223263)",54,-223763.0,0.054
"[-223263, -222263)",23,-222763.0,0.023
"[-222263, -221263)",27,-221763.0,0.027
"[-221263, -220263)",38,-220763.0,0.038
"[-220263, -219263)",165,-219763.0,0.165
"[-219263, -218263)",77,-218763.0,0.077
"[-218263, -217263)",68,-217763.0,0.068
"[-217263, -216263)",155,-216763.0,0.155
"[-216263, -215263)",60,-215763.0,0.06
"[-215263, -214263)",100,-214763.0,0.1
"[-214263, -213263)",118,-213763.0,0.118
"[-213263, -212263)",100,-212763.0,0.1
"[-212263, -211263)",64,-211763.0,0.064
"[-211263, -210263)",54,-210763.0,0.054
"[-210263, -209263)",278,-209763.0,0.278
"[-209263, -208263)",220,-208763.0,0.22
"[-208263, -207263)",215,-207763.0,0.215
"[-207263, -206263)",190,-206763.0,0.19
"[-206263, -205263)",150,-205763.0,0.15
"[-205263, -204263)",123,-204763.0,0.123
"[-204263, -203263)",157,-203763.0,0.157
"[-203263, -202263)",155,-202763.0,0.155
"[-202263, -201263)",212,-201763.0,0.212
"[-201263, -200263)",28,-200763.0,0.028
"[-200263, -199263)",30,-199763.0,0.03
"[-199263, -198263)",89,-198763.0,0.089
"[-198263, -197263)",98,-197763.0,0.098
"[-197263, -196263)",15,-196763.0,0.015
"[-196263, -195263)",26,-195763.0,0.026
"[-195263, -194263)",147,-194763.0,0.147
"[-194263, -193263)",99,-193763.0,0.099
"[-193263, -192263)",92,-192763.0,0.092
"[-192263, -191263)",91,-191763.0,0.091
"[-191263, -190263)",130,-190763.0,0.13
"[-190263, -189263)",112,-189763.0,0.112
"[-189263, -188263)",100,-188763.0,0.1
"[-188263, -187263)",101,-187763.0,0.101
