Distance_Bin,Value,Bin_Center,Density_per_bp
"[-445000.0, -435000.0)",0,-440000.0,0.0
"[-435000.0, -425000.0)",0,-430000.0,0.0
"[-425000.0, -415000.0)",0,-420000.0,0.0
"[-415000.0, -405000.0)",0,-410000.0,0.0
"[-405000.0, -395000.0)",0,-400000.0,0.0
"[-395000.0, -385000.0)",0,-390000.0,0.0
"[-385000.0, -375000.0)",0,-380000.0,0.0
"[-375000.0, -365000.0)",0,-370000.0,0.0
"[-365000.0, -355000.0)",0,-360000.0,0.0
"[-355000.0, -345000.0)",0,-350000.0,0.0
"[-345000.0, -335000.0)",0,-340000.0,0.0
"[-335000.0, -325000.0)",0,-330000.0,0.0
"[-325000.0, -315000.0)",0,-320000.0,0.0
"[-315000.0, -305000.0)",0,-310000.0,0.0
"[-305000.0, -295000.0)",0,-300000.0,0.0
"[-295000.0, -285000.0)",0,-290000.0,0.0
"[-285000.0, -275000.0)",0,-280000.0,0.0
"[-275000.0, -265000.0)",0,-270000.0,0.0
"[-265000.0, -255000.0)",0,-260000.0,0.0
"[-255000.0, -245000.0)",0,-250000.0,0.0
"[-245000.0, -235000.0)",0,-240000.0,0.0
"[-235000.0, -225000.0)",0,-230000.0,0.0
"[-225000.0, -215000.0)",0,-220000.0,0.0
"[-215000.0, -205000.0)",0,-210000.0,0.0
"[-205000.0, -195000.0)",0,-200000.0,0.0
"[-195000.0, -185000.0)",0,-190000.0,0.0
"[-185000.0, -175000.0)",0,-180000.0,0.0
"[-175000.0, -165000.0)",0,-170000.0,0.0
"[-165000.0, -155000.0)",0,-160000.0,0.0
"[-155000.0, -145000.0)",1597,-150000.0,0.1597
"[-145000.0, -135000.0)",1469,-140000.0,0.1469
"[-135000.0, -125000.0)",1116,-130000.0,0.1116
"[-125000.0, -115000.0)",1046,-120000.0,0.1046
"[-115000.0, -105000.0)",1235,-110000.0,0.1235
"[-105000.0, -95000.0)",676,-100000.0,0.0676
"[-95000.0, -85000.0)",1030,-90000.0,0.103
"[-85000.0, -75000.0)",1185,-80000.0,0.1185
"[-75000.0, -65000.0)",1464,-70000.0,0.1464
"[-65000.0, -55000.0)",725,-60000.0,0.0725
"[-55000.0, -45000.0)",1083,-50000.0,0.1083
"[-45000.0, -35000.0)",1530,-40000.0,0.153
"[-35000.0, -25000.0)",1504,-30000.0,0.1504
"[-25000.0, -15000.0)",1621,-20000.0,0.1621
"[-15000.0, -5000.0)",1760,-10000.0,0.176
"[-5000.0, 5000.0)",2013,0.0,0.2013
"[5000.0, 15000.0)",1349,10000.0,0.1349
"[15000.0, 25000.0)",1157,20000.0,0.1157
"[25000.0, 35000.0)",972,30000.0,0.0972
"[35000.0, 45000.0)",1668,40000.0,0.1668
"[45000.0, 55000.0)",761,50000.0,0.0761
"[55000.0, 65000.0)",1148,60000.0,0.1148
"[65000.0, 75000.0)",1359,70000.0,0.1359
"[75000.0, 85000.0)",763,80000.0,0.0763
"[85000.0, 95000.0)",1327,90000.0,0.1327
"[95000.0, 105000.0)",1001,100000.0,0.1001
"[105000.0, 115000.0)",1635,110000.0,0.1635
"[115000.0, 125000.0)",1175,120000.0,0.1175
"[125000.0, 135000.0)",1132,130000.0,0.1132
"[135000.0, 145000.0)",1012,140000.0,0.1012
"[145000.0, 155000.0)",1006,150000.0,0.1006
"[155000.0, 165000.0)",1045,160000.0,0.1045
"[165000.0, 175000.0)",870,170000.0,0.087
"[175000.0, 185000.0)",1269,180000.0,0.1269
"[185000.0, 195000.0)",735,190000.0,0.0735
"[195000.0, 205000.0)",925,200000.0,0.0925
"[205000.0, 215000.0)",922,210000.0,0.0922
"[215000.0, 225000.0)",659,220000.0,0.0659
"[225000.0, 235000.0)",580,230000.0,0.058
"[235000.0, 245000.0)",773,240000.0,0.0773
"[245000.0, 255000.0)",857,250000.0,0.0857
"[255000.0, 265000.0)",599,260000.0,0.0599
"[265000.0, 275000.0)",870,270000.0,0.087
"[275000.0, 285000.0)",777,280000.0,0.0777
"[285000.0, 295000.0)",1612,290000.0,0.1612
"[295000.0, 305000.0)",1549,300000.0,0.1549
"[305000.0, 315000.0)",931,310000.0,0.0931
"[315000.0, 325000.0)",1066,320000.0,0.1066
"[325000.0, 335000.0)",406,330000.0,0.0406
"[335000.0, 345000.0)",1660,340000.0,0.166
"[345000.0, 355000.0)",1240,350000.0,0.124
"[355000.0, 365000.0)",546,360000.0,0.0546
"[365000.0, 375000.0)",710,370000.0,0.071
"[375000.0, 385000.0)",262,380000.0,0.0262
"[385000.0, 395000.0)",1234,390000.0,0.1234
"[395000.0, 405000.0)",887,400000.0,0.0887
"[405000.0, 415000.0)",1011,410000.0,0.1011
"[415000.0, 425000.0)",2225,420000.0,0.2225
"[425000.0, 435000.0)",0,430000.0,0.0
"[435000.0, 445000.0)",0,440000.0,0.0
