Distance_Bin,Value,Bin_Center,Density_per_bp
"[-442500.0, -441500.0)",0,-442000.0,0.0
"[-441500.0, -440500.0)",0,-441000.0,0.0
"[-440500.0, -439500.0)",109,-440000.0,0.109
"[-439500.0, -438500.0)",106,-439000.0,0.106
"[-438500.0, -437500.0)",86,-438000.0,0.086
"[-437500.0, -436500.0)",40,-437000.0,0.04
"[-436500.0, -435500.0)",30,-436000.0,0.03
"[-435500.0, -434500.0)",55,-435000.0,0.055
"[-434500.0, -433500.0)",148,-434000.0,0.148
"[-433500.0, -432500.0)",55,-433000.0,0.055
"[-432500.0, -431500.0)",92,-432000.0,0.092
"[-431500.0, -430500.0)",85,-431000.0,0.085
"[-430500.0, -429500.0)",86,-430000.0,0.086
"[-429500.0, -428500.0)",102,-429000.0,0.102
"[-428500.0, -427500.0)",159,-428000.0,0.159
"[-427500.0, -426500.0)",101,-427000.0,0.101
"[-426500.0, -425500.0)",97,-426000.0,0.097
"[-425500.0, -424500.0)",73,-425000.0,0.073
"[-424500.0, -423500.0)",60,-424000.0,0.06
"[-423500.0, -422500.0)",67,-423000.0,0.067
"[-422500.0, -421500.0)",148,-422000.0,0.148
"[-421500.0, -420500.0)",103,-421000.0,0.103
"[-420500.0, -419500.0)",230,-420000.0,0.23
"[-419500.0, -418500.0)",214,-419000.0,0.214
"[-418500.0, -417500.0)",169,-418000.0,0.169
"[-417500.0, -416500.0)",84,-417000.0,0.084
"[-416500.0, -415500.0)",83,-416000.0,0.083
"[-415500.0, -414500.0)",123,-415000.0,0.123
"[-414500.0, -413500.0)",34,-414000.0,0.034
"[-413500.0, -412500.0)",76,-413000.0,0.076
"[-412500.0, -411500.0)",56,-412000.0,0.056
"[-411500.0, -410500.0)",54,-411000.0,0.054
"[-410500.0, -409500.0)",74,-410000.0,0.074
"[-409500.0, -408500.0)",85,-409000.0,0.085
"[-408500.0, -407500.0)",71,-408000.0,0.071
"[-407500.0, -406500.0)",24,-407000.0,0.024
"[-406500.0, -405500.0)",61,-406000.0,0.061
"[-405500.0, -404500.0)",9,-405000.0,0.009
"[-404500.0, -403500.0)",51,-404000.0,0.051
"[-403500.0, -402500.0)",66,-403000.0,0.066
"[-402500.0, -401500.0)",172,-402000.0,0.172
"[-401500.0, -400500.0)",98,-401000.0,0.098
"[-400500.0, -399500.0)",12,-400000.0,0.012
"[-399500.0, -398500.0)",14,-399000.0,0.014
"[-398500.0, -397500.0)",39,-398000.0,0.039
"[-397500.0, -396500.0)",58,-397000.0,0.058
"[-396500.0, -395500.0)",37,-396000.0,0.037
"[-395500.0, -394500.0)",77,-395000.0,0.077
"[-394500.0, -393500.0)",59,-394000.0,0.059
"[-393500.0, -392500.0)",77,-393000.0,0.077
"[-392500.0, -391500.0)",103,-392000.0,0.103
"[-391500.0, -390500.0)",69,-391000.0,0.069
"[-390500.0, -389500.0)",56,-390000.0,0.056
"[-389500.0, -388500.0)",29,-389000.0,0.029
"[-388500.0, -387500.0)",65,-388000.0,0.065
"[-387500.0, -386500.0)",76,-387000.0,0.076
"[-386500.0, -385500.0)",54,-386000.0,0.054
"[-385500.0, -384500.0)",53,-385000.0,0.053
"[-384500.0, -383500.0)",70,-384000.0,0.07
"[-383500.0, -382500.0)",28,-383000.0,0.028
"[-382500.0, -381500.0)",34,-382000.0,0.034
"[-381500.0, -380500.0)",19,-381000.0,0.019
"[-380500.0, -379500.0)",25,-380000.0,0.025
"[-379500.0, -378500.0)",28,-379000.0,0.028
"[-378500.0, -377500.0)",9,-378000.0,0.009
"[-377500.0, -376500.0)",66,-377000.0,0.066
"[-376500.0, -375500.0)",45,-376000.0,0.045
"[-375500.0, -374500.0)",54,-375000.0,0.054
"[-374500.0, -373500.0)",89,-374000.0,0.089
"[-373500.0, -372500.0)",98,-373000.0,0.098
"[-372500.0, -371500.0)",212,-372000.0,0.212
"[-371500.0, -370500.0)",281,-371000.0,0.281
"[-370500.0, -369500.0)",158,-370000.0,0.158
"[-369500.0, -368500.0)",266,-369000.0,0.266
"[-368500.0, -367500.0)",42,-368000.0,0.042
"[-367500.0, -366500.0)",42,-367000.0,0.042
"[-366500.0, -365500.0)",160,-366000.0,0.16
"[-365500.0, -364500.0)",79,-365000.0,0.079
