Distance_Bin,Value,Bin_Center,Density_per_bp
"[-152521, -151521)",0,-152021.0,0.0
"[-151521, -150521)",4406,-151021.0,4.406
"[-150521, -149521)",1290,-150021.0,1.29
"[-149521, -148521)",990,-149021.0,0.99
"[-148521, -147521)",486,-148021.0,0.486
"[-147521, -146521)",519,-147021.0,0.519
"[-146521, -145521)",441,-146021.0,0.441
"[-145521, -144521)",1491,-145021.0,1.491
"[-144521, -143521)",488,-144021.0,0.488
"[-143521, -142521)",1270,-143021.0,1.27
"[-142521, -141521)",2363,-142021.0,2.363
"[-141521, -140521)",1238,-141021.0,1.238
"[-140521, -139521)",1299,-140021.0,1.299
"[-139521, -138521)",753,-139021.0,0.753
"[-138521, -137521)",1135,-138021.0,1.135
"[-137521, -136521)",2524,-137021.0,2.524
"[-136521, -135521)",1166,-136021.0,1.166
"[-135521, -134521)",1394,-135021.0,1.394
"[-134521, -133521)",1960,-134021.0,1.96
"[-133521, -132521)",1226,-133021.0,1.226
"[-132521, -131521)",947,-132021.0,0.947
"[-131521, -130521)",3589,-131021.0,3.589
"[-130521, -129521)",951,-130021.0,0.951
"[-129521, -128521)",1044,-129021.0,1.044
"[-128521, -127521)",2003,-128021.0,2.003
"[-127521, -126521)",5202,-127021.0,5.202
"[-126521, -125521)",1305,-126021.0,1.305
"[-125521, -124521)",237,-125021.0,0.237
"[-124521, -123521)",816,-124021.0,0.816
"[-123521, -122521)",1942,-123021.0,1.942
"[-122521, -121521)",2662,-122021.0,2.662
"[-121521, -120521)",1482,-121021.0,1.482
"[-120521, -119521)",3867,-120021.0,3.867
"[-119521, -118521)",6720,-119021.0,6.72
"[-118521, -117521)",4052,-118021.0,4.052
"[-117521, -116521)",6219,-117021.0,6.219
"[-116521, -115521)",2147,-116021.0,2.147
"[-115521, -114521)",2189,-115021.0,2.189
"[-114521, -113521)",1754,-114021.0,1.754
"[-113521, -112521)",1502,-113021.0,1.502
"[-112521, -111521)",4709,-112021.0,4.709
"[-111521, -110521)",146,-111021.0,0.146
"[-110521, -109521)",114,-110021.0,0.114
"[-109521, -108521)",1803,-109021.0,1.803
"[-108521, -107521)",2662,-108021.0,2.662
"[-107521, -106521)",1877,-107021.0,1.877
"[-106521, -105521)",5776,-106021.0,5.776
"[-105521, -104521)",714,-105021.0,0.714
"[-104521, -103521)",473,-104021.0,0.473
"[-103521, -102521)",3244,-103021.0,3.244
"[-102521, -101521)",441,-102021.0,0.441
"[-101521, -100521)",468,-101021.0,0.468
"[-100521, -99521)",890,-100021.0,0.89
"[-99521, -98521)",2293,-99021.0,2.293
"[-98521, -97521)",1816,-98021.0,1.816
"[-97521, -96521)",926,-97021.0,0.926
"[-96521, -95521)",12,-96021.0,0.012
"[-95521, -94521)",797,-95021.0,0.797
"[-94521, -93521)",1837,-94021.0,1.837
"[-93521, -92521)",3753,-93021.0,3.753
"[-92521, -91521)",416,-92021.0,0.416
"[-91521, -90521)",19,-91021.0,0.019
"[-90521, -89521)",3797,-90021.0,3.797
"[-89521, -88521)",1794,-89021.0,1.794
"[-88521, -87521)",20,-88021.0,0.02
"[-87521, -86521)",9,-87021.0,0.009
"[-86521, -85521)",146,-86021.0,0.146
"[-85521, -84521)",1405,-85021.0,1.405
"[-84521, -83521)",127,-84021.0,0.127
"[-83521, -82521)",5513,-83021.0,5.513
"[-82521, -81521)",4970,-82021.0,4.97
"[-81521, -80521)",6183,-81021.0,6.183
"[-80521, -79521)",6287,-80021.0,6.287
"[-79521, -78521)",9,-79021.0,0.009
"[-78521, -77521)",1781,-78021.0,1.781
"[-77521, -76521)",1137,-77021.0,1.137
"[-76521, -75521)",1587,-76021.0,1.587
"[-75521, -74521)",2056,-75021.0,2.056
"[-74521, -73521)",11,-74021.0,0.011
"[-73521, -72521)",19,-73021.0,0.019
"[-72521, -71521)",1595,-72021.0,1.595
"[-71521, -70521)",1223,-71021.0,1.223
"[-70521, -69521)",1199,-70021.0,1.199
"[-69521, -68521)",2969,-69021.0,2.969
"[-68521, -67521)",844,-68021.0,0.844
"[-67521, -66521)",1099,-67021.0,1.099
"[-66521, -65521)",1024,-66021.0,1.024
"[-65521, -64521)",521,-65021.0,0.521
"[-64521, -63521)",3812,-64021.0,3.812
"[-63521, -62521)",560,-63021.0,0.56
"[-62521, -61521)",396,-62021.0,0.396
"[-61521, -60521)",411,-61021.0,0.411
