Distance_Bin,Value,Bin_Center,Density_per_bp
"[-441186, -440186)",0,-440686.0,0.0
"[-440186, -439186)",116,-439686.0,0.116
"[-439186, -438186)",74,-438686.0,0.074
"[-438186, -437186)",49,-437686.0,0.049
"[-437186, -436186)",19,-436686.0,0.019
"[-436186, -435186)",47,-435686.0,0.047
"[-435186, -434186)",91,-434686.0,0.091
"[-434186, -433186)",91,-433686.0,0.091
"[-433186, -432186)",45,-432686.0,0.045
"[-432186, -431186)",71,-431686.0,0.071
"[-431186, -430186)",69,-430686.0,0.069
"[-430186, -429186)",55,-429686.0,0.055
"[-429186, -428186)",128,-428686.0,0.128
"[-428186, -427186)",123,-427686.0,0.123
"[-427186, -426186)",65,-426686.0,0.065
"[-426186, -425186)",69,-425686.0,0.069
"[-425186, -424186)",47,-424686.0,0.047
"[-424186, -423186)",56,-423686.0,0.056
"[-423186, -422186)",92,-422686.0,0.092
"[-422186, -421186)",100,-421686.0,0.1
"[-421186, -420186)",85,-420686.0,0.085
"[-420186, -419186)",279,-419686.0,0.279
"[-419186, -418186)",177,-418686.0,0.177
"[-418186, -417186)",100,-417686.0,0.1
"[-417186, -416186)",67,-416686.0,0.067
"[-416186, -415186)",103,-415686.0,0.103
"[-415186, -414186)",80,-414686.0,0.08
"[-414186, -413186)",27,-413686.0,0.027
"[-413186, -412186)",63,-412686.0,0.063
"[-412186, -411186)",39,-411686.0,0.039
"[-411186, -410186)",36,-410686.0,0.036
"[-410186, -409186)",74,-409686.0,0.074
"[-409186, -408186)",73,-408686.0,0.073
"[-408186, -407186)",17,-407686.0,0.017
"[-407186, -406186)",22,-406686.0,0.022
"[-406186, -405186)",54,-405686.0,0.054
"[-405186, -404186)",12,-404686.0,0.012
"[-404186, -403186)",53,-403686.0,0.053
"[-403186, -402186)",53,-402686.0,0.053
"[-402186, -401186)",152,-401686.0,0.152
"[-401186, -400186)",35,-400686.0,0.035
"[-400186, -399186)",15,-399686.0,0.015
"[-399186, -398186)",13,-398686.0,0.013
"[-398186, -397186)",48,-397686.0,0.048
"[-397186, -396186)",50,-396686.0,0.05
"[-396186, -395186)",50,-395686.0,0.05
"[-395186, -394186)",71,-394686.0,0.071
"[-394186, -393186)",74,-393686.0,0.074
"[-393186, -392186)",54,-392686.0,0.054
"[-392186, -391186)",98,-391686.0,0.098
"[-391186, -390186)",58,-390686.0,0.058
"[-390186, -389186)",36,-389686.0,0.036
"[-389186, -388186)",21,-388686.0,0.021
"[-388186, -387186)",45,-387686.0,0.045
"[-387186, -386186)",79,-386686.0,0.079
"[-386186, -385186)",30,-385686.0,0.03
"[-385186, -384186)",81,-384686.0,0.081
"[-384186, -383186)",15,-383686.0,0.015
"[-383186, -382186)",10,-382686.0,0.01
"[-382186, -381186)",22,-381686.0,0.022
"[-381186, -380186)",16,-380686.0,0.016
"[-380186, -379186)",18,-379686.0,0.018
"[-379186, -378186)",13,-378686.0,0.013
"[-378186, -377186)",8,-377686.0,0.008
"[-377186, -376186)",81,-376686.0,0.081
"[-376186, -375186)",26,-375686.0,0.026
"[-375186, -374186)",47,-374686.0,0.047
"[-374186, -373186)",81,-373686.0,0.081
"[-373186, -372186)",92,-372686.0,0.092
"[-372186, -371186)",243,-371686.0,0.243
"[-371186, -370186)",227,-370686.0,0.227
"[-370186, -369186)",209,-369686.0,0.209
"[-369186, -368186)",142,-368686.0,0.142
"[-368186, -367186)",35,-367686.0,0.035
"[-367186, -366186)",70,-366686.0,0.07
"[-366186, -365186)",116,-365686.0,0.116
"[-365186, -364186)",82,-364686.0,0.082
"[-364186, -363186)",16,-363686.0,0.016
"[-363186, -362186)",44,-362686.0,0.044
"[-362186, -361186)",46,-361686.0,0.046
"[-361186, -360186)",37,-360686.0,0.037
"[-360186, -359186)",104,-359686.0,0.104
"[-359186, -358186)",51,-358686.0,0.051
"[-358186, -357186)",89,-357686.0,0.089
"[-357186, -356186)",49,-356686.0,0.049
"[-356186, -355186)",108,-355686.0,0.108
"[-355186, -354186)",28,-354686.0,0.028
"[-354186, -353186)",70,-353686.0,0.07
"[-353186, -352186)",37,-352686.0,0.037
"[-352186, -351186)",49,-351686.0,0.049
"[-351186, -350186)",53,-350686.0,0.053
"[-350186, -349186)",38,-349686.0,0.038
"[-349186, -348186)",141,-348686.0,0.141
"[-348186, -347186)",145,-347686.0,0.145
"[-347186, -346186)",160,-346686.0,0.16
"[-346186, -345186)",100,-345686.0,0.1
"[-345186, -344186)",73,-344686.0,0.073
"[-344186, -343186)",106,-343686.0,0.106
"[-343186, -342186)",35,-342686.0,0.035
"[-342186, -341186)",80,-341686.0,0.08
"[-341186, -340186)",220,-340686.0,0.22
"[-340186, -339186)",55,-339686.0,0.055
"[-339186, -338186)",12,-338686.0,0.012
"[-338186, -337186)",3,-337686.0,0.003
"[-337186, -336186)",17,-336686.0,0.017
