Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",197,500.0,0.197
"[1000, 2000)",126,1500.0,0.126
"[2000, 3000)",106,2500.0,0.106
"[3000, 4000)",138,3500.0,0.138
"[4000, 5000)",130,4500.0,0.13
"[5000, 6000)",66,5500.0,0.066
"[6000, 7000)",27,6500.0,0.027
"[7000, 8000)",136,7500.0,0.136
"[8000, 9000)",260,8500.0,0.26
"[9000, 10000)",154,9500.0,0.154
"[10000, 11000)",202,10500.0,0.202
"[11000, 12000)",129,11500.0,0.129
"[12000, 13000)",129,12500.0,0.129
"[13000, 14000)",235,13500.0,0.235
"[14000, 15000)",170,14500.0,0.17
"[15000, 16000)",106,15500.0,0.106
"[16000, 17000)",402,16500.0,0.402
"[17000, 18000)",193,17500.0,0.193
"[18000, 19000)",143,18500.0,0.143
"[19000, 20000)",98,19500.0,0.098
"[20000, 21000)",113,20500.0,0.113
"[21000, 22000)",233,21500.0,0.233
"[22000, 23000)",387,22500.0,0.387
"[23000, 24000)",197,23500.0,0.197
"[24000, 25000)",160,24500.0,0.16
"[25000, 26000)",163,25500.0,0.163
"[26000, 27000)",158,26500.0,0.158
"[27000, 28000)",191,27500.0,0.191
"[28000, 29000)",100,28500.0,0.1
"[29000, 30000)",118,29500.0,0.118
"[30000, 31000)",53,30500.0,0.053
"[31000, 32000)",232,31500.0,0.232
"[32000, 33000)",141,32500.0,0.141
"[33000, 34000)",6,33500.0,0.006
"[34000, 35000)",11,34500.0,0.011
"[35000, 36000)",96,35500.0,0.096
"[36000, 37000)",95,36500.0,0.095
"[37000, 38000)",231,37500.0,0.231
"[38000, 39000)",213,38500.0,0.213
"[39000, 40000)",64,39500.0,0.064
"[40000, 41000)",404,40500.0,0.404
"[41000, 42000)",100,41500.0,0.1
"[42000, 43000)",154,42500.0,0.154
"[43000, 44000)",55,43500.0,0.055
"[44000, 45000)",107,44500.0,0.107
"[45000, 46000)",138,45500.0,0.138
"[46000, 47000)",42,46500.0,0.042
"[47000, 48000)",20,47500.0,0.02
"[48000, 49000)",18,48500.0,0.018
"[49000, 50000)",63,49500.0,0.063
"[50000, 51000)",145,50500.0,0.145
"[51000, 52000)",98,51500.0,0.098
"[52000, 53000)",109,52500.0,0.109
"[53000, 54000)",136,53500.0,0.136
"[54000, 55000)",91,54500.0,0.091
"[55000, 56000)",94,55500.0,0.094
"[56000, 57000)",79,56500.0,0.079
"[57000, 58000)",83,57500.0,0.083
"[58000, 59000)",30,58500.0,0.03
"[59000, 60000)",97,59500.0,0.097
"[60000, 61000)",47,60500.0,0.047
"[61000, 62000)",80,61500.0,0.08
"[62000, 63000)",46,62500.0,0.046
"[63000, 64000)",149,63500.0,0.149
"[64000, 65000)",79,64500.0,0.079
"[65000, 66000)",51,65500.0,0.051
"[66000, 67000)",99,66500.0,0.099
"[67000, 68000)",115,67500.0,0.115
