Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",162,500.0,0.162
"[1000, 2000)",142,1500.0,0.142
"[2000, 3000)",258,2500.0,0.258
"[3000, 4000)",140,3500.0,0.14
"[4000, 5000)",167,4500.0,0.167
"[5000, 6000)",128,5500.0,0.128
"[6000, 7000)",67,6500.0,0.067
"[7000, 8000)",155,7500.0,0.155
"[8000, 9000)",16,8500.0,0.016
"[9000, 10000)",234,9500.0,0.234
"[10000, 11000)",156,10500.0,0.156
"[11000, 12000)",172,11500.0,0.172
"[12000, 13000)",134,12500.0,0.134
"[13000, 14000)",108,13500.0,0.108
"[14000, 15000)",69,14500.0,0.069
"[15000, 16000)",8,15500.0,0.008
"[16000, 17000)",399,16500.0,0.399
"[17000, 18000)",207,17500.0,0.207
"[18000, 19000)",193,18500.0,0.193
"[19000, 20000)",87,19500.0,0.087
"[20000, 21000)",194,20500.0,0.194
"[21000, 22000)",27,21500.0,0.027
"[22000, 23000)",55,22500.0,0.055
"[23000, 24000)",80,23500.0,0.08
"[24000, 25000)",4,24500.0,0.004
"[25000, 26000)",87,25500.0,0.087
"[26000, 27000)",59,26500.0,0.059
"[27000, 28000)",95,27500.0,0.095
"[28000, 29000)",115,28500.0,0.115
"[29000, 30000)",64,29500.0,0.064
"[30000, 31000)",60,30500.0,0.06
"[31000, 32000)",79,31500.0,0.079
"[32000, 33000)",106,32500.0,0.106
"[33000, 34000)",145,33500.0,0.145
"[34000, 35000)",75,34500.0,0.075
"[35000, 36000)",79,35500.0,0.079
"[36000, 37000)",50,36500.0,0.05
"[37000, 38000)",12,37500.0,0.012
"[38000, 39000)",115,38500.0,0.115
"[39000, 40000)",14,39500.0,0.014
"[40000, 41000)",124,40500.0,0.124
"[41000, 42000)",88,41500.0,0.088
"[42000, 43000)",35,42500.0,0.035
"[43000, 44000)",144,43500.0,0.144
"[44000, 45000)",106,44500.0,0.106
"[45000, 46000)",199,45500.0,0.199
"[46000, 47000)",41,46500.0,0.041
"[47000, 48000)",9,47500.0,0.009
"[48000, 49000)",9,48500.0,0.009
"[49000, 50000)",7,49500.0,0.007
"[50000, 51000)",27,50500.0,0.027
"[51000, 52000)",25,51500.0,0.025
"[52000, 53000)",20,52500.0,0.02
"[53000, 54000)",82,53500.0,0.082
"[54000, 55000)",104,54500.0,0.104
"[55000, 56000)",61,55500.0,0.061
"[56000, 57000)",17,56500.0,0.017
"[57000, 58000)",11,57500.0,0.011
"[58000, 59000)",19,58500.0,0.019
"[59000, 60000)",103,59500.0,0.103
"[60000, 61000)",43,60500.0,0.043
"[61000, 62000)",89,61500.0,0.089
"[62000, 63000)",81,62500.0,0.081
"[63000, 64000)",109,63500.0,0.109
"[64000, 65000)",67,64500.0,0.067
"[65000, 66000)",100,65500.0,0.1
"[66000, 67000)",74,66500.0,0.074
"[67000, 68000)",150,67500.0,0.15
"[68000, 69000)",102,68500.0,0.102
"[69000, 70000)",219,69500.0,0.219
"[70000, 71000)",166,70500.0,0.166
"[71000, 72000)",162,71500.0,0.162
"[72000, 73000)",124,72500.0,0.124
"[73000, 74000)",58,73500.0,0.058
"[74000, 75000)",83,74500.0,0.083
"[75000, 76000)",18,75500.0,0.018
"[76000, 77000)",116,76500.0,0.116
"[77000, 78000)",68,77500.0,0.068
"[78000, 79000)",107,78500.0,0.107
"[79000, 80000)",58,79500.0,0.058
"[80000, 81000)",51,80500.0,0.051
"[81000, 82000)",60,81500.0,0.06
"[82000, 83000)",107,82500.0,0.107
"[83000, 84000)",68,83500.0,0.068
"[84000, 85000)",163,84500.0,0.163
"[85000, 86000)",19,85500.0,0.019
"[86000, 87000)",41,86500.0,0.041
"[87000, 88000)",87,87500.0,0.087
"[88000, 89000)",93,88500.0,0.093
"[89000, 90000)",94,89500.0,0.094
"[90000, 91000)",45,90500.0,0.045
"[91000, 92000)",44,91500.0,0.044
"[92000, 93000)",125,92500.0,0.125
"[93000, 94000)",75,93500.0,0.075
"[94000, 95000)",41,94500.0,0.041
