Distance_Bin,Value,Bin_Center,Density_per_bp
"[-149563, -148563)",0,-149063.0,0.0
"[-148563, -147563)",862,-148063.0,0.862
"[-147563, -146563)",893,-147063.0,0.893
"[-146563, -145563)",3892,-146063.0,3.892
"[-145563, -144563)",2785,-145063.0,2.785
"[-144563, -143563)",11378,-144063.0,11.378
"[-143563, -142563)",2521,-143063.0,2.521
"[-142563, -141563)",2361,-142063.0,2.361
"[-141563, -140563)",724,-141063.0,0.724
"[-140563, -139563)",1135,-140063.0,1.135
"[-139563, -138563)",1799,-139063.0,1.799
"[-138563, -137563)",1621,-138063.0,1.621
"[-137563, -136563)",3231,-137063.0,3.231
"[-136563, -135563)",2881,-136063.0,2.881
"[-135563, -134563)",977,-135063.0,0.977
"[-134563, -133563)",1241,-134063.0,1.241
"[-133563, -132563)",497,-133063.0,0.497
"[-132563, -131563)",2225,-132063.0,2.225
"[-131563, -130563)",765,-131063.0,0.765
"[-130563, -129563)",842,-130063.0,0.842
"[-129563, -128563)",437,-129063.0,0.437
"[-128563, -127563)",862,-128063.0,0.862
"[-127563, -126563)",1226,-127063.0,1.226
"[-126563, -125563)",1936,-126063.0,1.936
"[-125563, -124563)",1919,-125063.0,1.919
"[-124563, -123563)",638,-124063.0,0.638
"[-123563, -122563)",463,-123063.0,0.463
"[-122563, -121563)",522,-122063.0,0.522
"[-121563, -120563)",1858,-121063.0,1.858
"[-120563, -119563)",1547,-120063.0,1.547
"[-119563, -118563)",660,-119063.0,0.66
"[-118563, -117563)",590,-118063.0,0.59
"[-117563, -116563)",1157,-117063.0,1.157
"[-116563, -115563)",10293,-116063.0,10.293
"[-115563, -114563)",1679,-115063.0,1.679
"[-114563, -113563)",476,-114063.0,0.476
"[-113563, -112563)",568,-113063.0,0.568
"[-112563, -111563)",1616,-112063.0,1.616
"[-111563, -110563)",392,-111063.0,0.392
"[-110563, -109563)",538,-110063.0,0.538
"[-109563, -108563)",157,-109063.0,0.157
"[-108563, -107563)",1498,-108063.0,1.498
"[-107563, -106563)",586,-107063.0,0.586
"[-106563, -105563)",947,-106063.0,0.947
"[-105563, -104563)",891,-105063.0,0.891
"[-104563, -103563)",977,-104063.0,0.977
"[-103563, -102563)",1209,-103063.0,1.209
"[-102563, -101563)",1152,-102063.0,1.152
"[-101563, -100563)",2019,-101063.0,2.019
"[-100563, -99563)",1652,-100063.0,1.652
"[-99563, -98563)",1795,-99063.0,1.795
"[-98563, -97563)",750,-98063.0,0.75
"[-97563, -96563)",972,-97063.0,0.972
"[-96563, -95563)",1457,-96063.0,1.457
"[-95563, -94563)",158,-95063.0,0.158
"[-94563, -93563)",792,-94063.0,0.792
"[-93563, -92563)",1147,-93063.0,1.147
"[-92563, -91563)",2622,-92063.0,2.622
"[-91563, -90563)",236,-91063.0,0.236
"[-90563, -89563)",4061,-90063.0,4.061
"[-89563, -88563)",41,-89063.0,0.041
"[-88563, -87563)",30,-88063.0,0.03
"[-87563, -86563)",154,-87063.0,0.154
"[-86563, -85563)",104,-86063.0,0.104
"[-85563, -84563)",496,-85063.0,0.496
"[-84563, -83563)",1563,-84063.0,1.563
"[-83563, -82563)",4012,-83063.0,4.012
"[-82563, -81563)",593,-82063.0,0.593
"[-81563, -80563)",571,-81063.0,0.571
"[-80563, -79563)",1030,-80063.0,1.03
"[-79563, -78563)",440,-79063.0,0.44
"[-78563, -77563)",81,-78063.0,0.081
"[-77563, -76563)",142,-77063.0,0.142
"[-76563, -75563)",220,-76063.0,0.22
"[-75563, -74563)",383,-75063.0,0.383
"[-74563, -73563)",3779,-74063.0,3.779
"[-73563, -72563)",629,-73063.0,0.629
"[-72563, -71563)",564,-72063.0,0.564
"[-71563, -70563)",1307,-71063.0,1.307
"[-70563, -69563)",16,-70063.0,0.016
"[-69563, -68563)",1414,-69063.0,1.414
"[-68563, -67563)",1666,-68063.0,1.666
"[-67563, -66563)",1033,-67063.0,1.033
"[-66563, -65563)",910,-66063.0,0.91
"[-65563, -64563)",1076,-65063.0,1.076
"[-64563, -63563)",273,-64063.0,0.273
"[-63563, -62563)",196,-63063.0,0.196
"[-62563, -61563)",273,-62063.0,0.273
"[-61563, -60563)",1308,-61063.0,1.308
"[-60563, -59563)",188,-60063.0,0.188
"[-59563, -58563)",408,-59063.0,0.408
"[-58563, -57563)",5077,-58063.0,5.077
"[-57563, -56563)",707,-57063.0,0.707
"[-56563, -55563)",565,-56063.0,0.565
"[-55563, -54563)",2151,-55063.0,2.151
"[-54563, -53563)",16,-54063.0,0.016
"[-53563, -52563)",12635,-53063.0,12.635
"[-52563, -51563)",1622,-52063.0,1.622
"[-51563, -50563)",1621,-51063.0,1.621
"[-50563, -49563)",1343,-50063.0,1.343
"[-49563, -48563)",615,-49063.0,0.615
"[-48563, -47563)",496,-48063.0,0.496
"[-47563, -46563)",3001,-47063.0,3.001
"[-46563, -45563)",106,-46063.0,0.106
"[-45563, -44563)",3040,-45063.0,3.04
"[-44563, -43563)",1593,-44063.0,1.593
"[-43563, -42563)",388,-43063.0,0.388
"[-42563, -41563)",4808,-42063.0,4.808
"[-41563, -40563)",2836,-41063.0,2.836
"[-40563, -39563)",1622,-40063.0,1.622
"[-39563, -38563)",748,-39063.0,0.748
"[-38563, -37563)",4141,-38063.0,4.141
"[-37563, -36563)",1364,-37063.0,1.364
"[-36563, -35563)",847,-36063.0,0.847
"[-35563, -34563)",944,-35063.0,0.944
"[-34563, -33563)",2671,-34063.0,2.671
"[-33563, -32563)",2135,-33063.0,2.135
"[-32563, -31563)",127,-32063.0,0.127
"[-31563, -30563)",104,-31063.0,0.104
"[-30563, -29563)",927,-30063.0,0.927
"[-29563, -28563)",3473,-29063.0,3.473
"[-28563, -27563)",20,-28063.0,0.02
"[-27563, -26563)",5,-27063.0,0.005
"[-26563, -25563)",8,-26063.0,0.008
"[-25563, -24563)",3021,-25063.0,3.021
"[-24563, -23563)",933,-24063.0,0.933
"[-23563, -22563)",478,-23063.0,0.478
"[-22563, -21563)",751,-22063.0,0.751
"[-21563, -20563)",989,-21063.0,0.989
"[-20563, -19563)",1520,-20063.0,1.52
"[-19563, -18563)",1821,-19063.0,1.821
"[-18563, -17563)",1952,-18063.0,1.952
"[-17563, -16563)",2110,-17063.0,2.11
"[-16563, -15563)",942,-16063.0,0.942
"[-15563, -14563)",694,-15063.0,0.694
"[-14563, -13563)",1869,-14063.0,1.869
"[-13563, -12563)",1415,-13063.0,1.415
"[-12563, -11563)",2234,-12063.0,2.234
"[-11563, -10563)",4400,-11063.0,4.4
"[-10563, -9563)",6637,-10063.0,6.637
"[-9563, -8563)",761,-9063.0,0.761
"[-8563, -7563)",808,-8063.0,0.808
"[-7563, -6563)",562,-7063.0,0.562
"[-6563, -5563)",576,-6063.0,0.576
"[-5563, -4563)",835,-5063.0,0.835
"[-4563, -3563)",2520,-4063.0,2.52
"[-3563, -2563)",174,-3063.0,0.174
"[-2563, -1563)",1491,-2063.0,1.491
"[-1563, -563)",2044,-1063.0,2.044
"[-563, 437)",1551,-63.0,1.551
"[437, 1437)",1549,937.0,1.549
"[1437, 2437)",37,1937.0,0.037
"[2437, 3437)",616,2937.0,0.616
"[3437, 4437)",1092,3937.0,1.092
"[4437, 5437)",2574,4937.0,2.574
"[5437, 6437)",255,5937.0,0.255
"[6437, 7437)",946,6937.0,0.946
"[7437, 8437)",2971,7937.0,2.971
"[8437, 9437)",4357,8937.0,4.357
"[9437, 10437)",1756,9937.0,1.756
"[10437, 11437)",2971,10937.0,2.971
"[11437, 12437)",2036,11937.0,2.036
"[12437, 13437)",563,12937.0,0.563
"[13437, 14437)",1151,13937.0,1.151
"[14437, 15437)",921,14937.0,0.921
"[15437, 16437)",3299,15937.0,3.299
"[16437, 17437)",377,16937.0,0.377
"[17437, 18437)",1494,17937.0,1.494
"[18437, 19437)",3954,18937.0,3.954
