Distance_Bin,Value,Bin_Center,Density_per_bp
"[-150500.0, -149500.0)",0,-150000.0,0.0
"[-149500.0, -148500.0)",15,-149000.0,0.015
"[-148500.0, -147500.0)",156,-148000.0,0.156
"[-147500.0, -146500.0)",167,-147000.0,0.167
"[-146500.0, -145500.0)",303,-146000.0,0.303
"[-145500.0, -144500.0)",248,-145000.0,0.248
"[-144500.0, -143500.0)",347,-144000.0,0.347
"[-143500.0, -142500.0)",124,-143000.0,0.124
"[-142500.0, -141500.0)",141,-142000.0,0.141
"[-141500.0, -140500.0)",97,-141000.0,0.097
"[-140500.0, -139500.0)",106,-140000.0,0.106
"[-139500.0, -138500.0)",139,-139000.0,0.139
"[-138500.0, -137500.0)",120,-138000.0,0.12
"[-137500.0, -136500.0)",188,-137000.0,0.188
"[-136500.0, -135500.0)",175,-136000.0,0.175
"[-135500.0, -134500.0)",105,-135000.0,0.105
"[-134500.0, -133500.0)",120,-134000.0,0.12
"[-133500.0, -132500.0)",56,-133000.0,0.056
"[-132500.0, -131500.0)",144,-132000.0,0.144
"[-131500.0, -130500.0)",80,-131000.0,0.08
"[-130500.0, -129500.0)",59,-130000.0,0.059
"[-129500.0, -128500.0)",52,-129000.0,0.052
"[-128500.0, -127500.0)",79,-128000.0,0.079
"[-127500.0, -126500.0)",94,-127000.0,0.094
"[-126500.0, -125500.0)",124,-126000.0,0.124
"[-125500.0, -124500.0)",75,-125000.0,0.075
"[-124500.0, -123500.0)",65,-124000.0,0.065
"[-123500.0, -122500.0)",45,-123000.0,0.045
"[-122500.0, -121500.0)",52,-122000.0,0.052
"[-121500.0, -120500.0)",108,-121000.0,0.108
"[-120500.0, -119500.0)",93,-120000.0,0.093
"[-119500.0, -118500.0)",68,-119000.0,0.068
"[-118500.0, -117500.0)",72,-118000.0,0.072
"[-117500.0, -116500.0)",88,-117000.0,0.088
"[-116500.0, -115500.0)",243,-116000.0,0.243
"[-115500.0, -114500.0)",113,-115000.0,0.113
"[-114500.0, -113500.0)",38,-114000.0,0.038
"[-113500.0, -112500.0)",50,-113000.0,0.05
"[-112500.0, -111500.0)",90,-112000.0,0.09
"[-111500.0, -110500.0)",36,-111000.0,0.036
"[-110500.0, -109500.0)",59,-110000.0,0.059
"[-109500.0, -108500.0)",35,-109000.0,0.035
"[-108500.0, -107500.0)",85,-108000.0,0.085
"[-107500.0, -106500.0)",57,-107000.0,0.057
"[-106500.0, -105500.0)",88,-106000.0,0.088
"[-105500.0, -104500.0)",60,-105000.0,0.06
"[-104500.0, -103500.0)",61,-104000.0,0.061
"[-103500.0, -102500.0)",110,-103000.0,0.11
"[-102500.0, -101500.0)",65,-102000.0,0.065
"[-101500.0, -100500.0)",108,-101000.0,0.108
"[-100500.0, -99500.0)",126,-100000.0,0.126
"[-99500.0, -98500.0)",98,-99000.0,0.098
"[-98500.0, -97500.0)",72,-98000.0,0.072
"[-97500.0, -96500.0)",97,-97000.0,0.097
"[-96500.0, -95500.0)",108,-96000.0,0.108
"[-95500.0, -94500.0)",29,-95000.0,0.029
"[-94500.0, -93500.0)",70,-94000.0,0.07
"[-93500.0, -92500.0)",89,-93000.0,0.089
"[-92500.0, -91500.0)",82,-92000.0,0.082
"[-91500.0, -90500.0)",44,-91000.0,0.044
"[-90500.0, -89500.0)",138,-90000.0,0.138
"[-89500.0, -88500.0)",12,-89000.0,0.012
"[-88500.0, -87500.0)",9,-88000.0,0.009
"[-87500.0, -86500.0)",31,-87000.0,0.031
"[-86500.0, -85500.0)",33,-86000.0,0.033
"[-85500.0, -84500.0)",64,-85000.0,0.064
"[-84500.0, -83500.0)",125,-84000.0,0.125
"[-83500.0, -82500.0)",124,-83000.0,0.124
"[-82500.0, -81500.0)",70,-82000.0,0.07
"[-81500.0, -80500.0)",53,-81000.0,0.053
"[-80500.0, -79500.0)",85,-80000.0,0.085
"[-79500.0, -78500.0)",67,-79000.0,0.067
"[-78500.0, -77500.0)",20,-78000.0,0.02
"[-77500.0, -76500.0)",32,-77000.0,0.032
"[-76500.0, -75500.0)",25,-76000.0,0.025
"[-75500.0, -74500.0)",47,-75000.0,0.047
"[-74500.0, -73500.0)",213,-74000.0,0.213
"[-73500.0, -72500.0)",36,-73000.0,0.036
"[-72500.0, -71500.0)",96,-72000.0,0.096
"[-71500.0, -70500.0)",83,-71000.0,0.083
"[-70500.0, -69500.0)",12,-70000.0,0.012
"[-69500.0, -68500.0)",106,-69000.0,0.106
"[-68500.0, -67500.0)",123,-68000.0,0.123
"[-67500.0, -66500.0)",104,-67000.0,0.104
"[-66500.0, -65500.0)",66,-66000.0,0.066
"[-65500.0, -64500.0)",88,-65000.0,0.088
"[-64500.0, -63500.0)",41,-64000.0,0.041
"[-63500.0, -62500.0)",31,-63000.0,0.031
"[-62500.0, -61500.0)",33,-62000.0,0.033
"[-61500.0, -60500.0)",119,-61000.0,0.119
"[-60500.0, -59500.0)",35,-60000.0,0.035
"[-59500.0, -58500.0)",32,-59000.0,0.032
"[-58500.0, -57500.0)",187,-58000.0,0.187
"[-57500.0, -56500.0)",68,-57000.0,0.068
"[-56500.0, -55500.0)",66,-56000.0,0.066
"[-55500.0, -54500.0)",97,-55000.0,0.097
"[-54500.0, -53500.0)",13,-54000.0,0.013
