Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",297,500.0,0.297
"[1000, 2000)",289,1500.0,0.289
"[2000, 3000)",102,2500.0,0.102
"[3000, 4000)",130,3500.0,0.13
"[4000, 5000)",106,4500.0,0.106
"[5000, 6000)",42,5500.0,0.042
"[6000, 7000)",10,6500.0,0.01
"[7000, 8000)",216,7500.0,0.216
"[8000, 9000)",210,8500.0,0.21
"[9000, 10000)",119,9500.0,0.119
"[10000, 11000)",159,10500.0,0.159
"[11000, 12000)",14,11500.0,0.014
"[12000, 13000)",129,12500.0,0.129
"[13000, 14000)",73,13500.0,0.073
"[14000, 15000)",145,14500.0,0.145
"[15000, 16000)",116,15500.0,0.116
"[16000, 17000)",64,16500.0,0.064
"[17000, 18000)",37,17500.0,0.037
"[18000, 19000)",6,18500.0,0.006
"[19000, 20000)",66,19500.0,0.066
"[20000, 21000)",63,20500.0,0.063
"[21000, 22000)",146,21500.0,0.146
"[22000, 23000)",147,22500.0,0.147
"[23000, 24000)",70,23500.0,0.07
"[24000, 25000)",86,24500.0,0.086
"[25000, 26000)",153,25500.0,0.153
"[26000, 27000)",139,26500.0,0.139
"[27000, 28000)",24,27500.0,0.024
"[28000, 29000)",17,28500.0,0.017
"[29000, 30000)",12,29500.0,0.012
"[30000, 31000)",93,30500.0,0.093
"[31000, 32000)",34,31500.0,0.034
"[32000, 33000)",139,32500.0,0.139
"[33000, 34000)",46,33500.0,0.046
"[34000, 35000)",85,34500.0,0.085
"[35000, 36000)",177,35500.0,0.177
"[36000, 37000)",132,36500.0,0.132
"[37000, 38000)",84,37500.0,0.084
"[38000, 39000)",34,38500.0,0.034
"[39000, 40000)",98,39500.0,0.098
"[40000, 41000)",108,40500.0,0.108
"[41000, 42000)",251,41500.0,0.251
"[42000, 43000)",230,42500.0,0.23
"[43000, 44000)",147,43500.0,0.147
"[44000, 45000)",144,44500.0,0.144
"[45000, 46000)",7,45500.0,0.007
"[46000, 47000)",86,46500.0,0.086
"[47000, 48000)",13,47500.0,0.013
"[48000, 49000)",57,48500.0,0.057
"[49000, 50000)",56,49500.0,0.056
"[50000, 51000)",122,50500.0,0.122
"[51000, 52000)",74,51500.0,0.074
"[52000, 53000)",99,52500.0,0.099
"[53000, 54000)",66,53500.0,0.066
"[54000, 55000)",16,54500.0,0.016
"[55000, 56000)",110,55500.0,0.11
"[56000, 57000)",90,56500.0,0.09
"[57000, 58000)",67,57500.0,0.067
"[58000, 59000)",125,58500.0,0.125
"[59000, 60000)",139,59500.0,0.139
"[60000, 61000)",92,60500.0,0.092
"[61000, 62000)",67,61500.0,0.067
"[62000, 63000)",84,62500.0,0.084
"[63000, 64000)",48,63500.0,0.048
"[64000, 65000)",42,64500.0,0.042
"[65000, 66000)",65,65500.0,0.065
"[66000, 67000)",39,66500.0,0.039
"[67000, 68000)",43,67500.0,0.043
"[68000, 69000)",53,68500.0,0.053
"[69000, 70000)",193,69500.0,0.193
"[70000, 71000)",301,70500.0,0.301
"[71000, 72000)",127,71500.0,0.127
"[72000, 73000)",20,72500.0,0.02
"[73000, 74000)",125,73500.0,0.125
"[74000, 75000)",62,74500.0,0.062
"[75000, 76000)",7,75500.0,0.007
"[76000, 77000)",81,76500.0,0.081
"[77000, 78000)",120,77500.0,0.12
"[78000, 79000)",23,78500.0,0.023
"[79000, 80000)",32,79500.0,0.032
"[80000, 81000)",56,80500.0,0.056
"[81000, 82000)",43,81500.0,0.043
"[82000, 83000)",120,82500.0,0.12
"[83000, 84000)",43,83500.0,0.043
"[84000, 85000)",22,84500.0,0.022
"[85000, 86000)",109,85500.0,0.109
"[86000, 87000)",176,86500.0,0.176
"[87000, 88000)",79,87500.0,0.079
"[88000, 89000)",55,88500.0,0.055
"[89000, 90000)",105,89500.0,0.105
"[90000, 91000)",261,90500.0,0.261
"[91000, 92000)",116,91500.0,0.116
"[92000, 93000)",41,92500.0,0.041
"[93000, 94000)",62,93500.0,0.062
"[94000, 95000)",84,94500.0,0.084
"[95000, 96000)",52,95500.0,0.052
"[96000, 97000)",61,96500.0,0.061
"[97000, 98000)",69,97500.0,0.069
"[98000, 99000)",121,98500.0,0.121
"[99000, 100000)",124,99500.0,0.124
"[100000, 101000)",39,100500.0,0.039
"[101000, 102000)",58,101500.0,0.058
"[102000, 103000)",83,102500.0,0.083
"[103000, 104000)",82,103500.0,0.082
"[104000, 105000)",103,104500.0,0.103
"[105000, 106000)",52,105500.0,0.052
"[106000, 107000)",218,106500.0,0.218
"[107000, 108000)",150,107500.0,0.15
"[108000, 109000)",151,108500.0,0.151
"[109000, 110000)",219,109500.0,0.219
"[110000, 111000)",86,110500.0,0.086
"[111000, 112000)",53,111500.0,0.053
"[112000, 113000)",205,112500.0,0.205
"[113000, 114000)",127,113500.0,0.127
"[114000, 115000)",141,114500.0,0.141
"[115000, 116000)",56,115500.0,0.056
"[116000, 117000)",186,116500.0,0.186
"[117000, 118000)",63,117500.0,0.063
"[118000, 119000)",78,118500.0,0.078
"[119000, 120000)",119,119500.0,0.119
"[120000, 121000)",94,120500.0,0.094
"[121000, 122000)",50,121500.0,0.05
"[122000, 123000)",105,122500.0,0.105
"[123000, 124000)",59,123500.0,0.059
"[124000, 125000)",71,124500.0,0.071
"[125000, 126000)",52,125500.0,0.052
"[126000, 127000)",51,126500.0,0.051
"[127000, 128000)",75,127500.0,0.075
"[128000, 129000)",75,128500.0,0.075
"[129000, 130000)",128,129500.0,0.128
"[130000, 131000)",121,130500.0,0.121
"[131000, 132000)",64,131500.0,0.064
"[132000, 133000)",162,132500.0,0.162
"[133000, 134000)",109,133500.0,0.109
"[134000, 135000)",87,134500.0,0.087
"[135000, 136000)",153,135500.0,0.153
"[136000, 137000)",115,136500.0,0.115
"[137000, 138000)",81,137500.0,0.081
"[138000, 139000)",48,138500.0,0.048
"[139000, 140000)",79,139500.0,0.079
"[140000, 141000)",108,140500.0,0.108
"[141000, 142000)",19,141500.0,0.019
"[142000, 143000)",104,142500.0,0.104
"[143000, 144000)",87,143500.0,0.087
"[144000, 145000)",17,144500.0,0.017
"[145000, 146000)",34,145500.0,0.034
"[146000, 147000)",145,146500.0,0.145
"[147000, 148000)",19,147500.0,0.019
"[148000, 149000)",16,148500.0,0.016
"[149000, 150000)",42,149500.0,0.042
"[150000, 151000)",88,150500.0,0.088
"[151000, 152000)",208,151500.0,0.208
"[152000, 153000)",53,152500.0,0.053
"[153000, 154000)",93,153500.0,0.093
"[154000, 155000)",68,154500.0,0.068
"[155000, 156000)",50,155500.0,0.05
"[156000, 157000)",51,156500.0,0.051
"[157000, 158000)",46,157500.0,0.046
"[158000, 159000)",59,158500.0,0.059
"[159000, 160000)",273,159500.0,0.273
"[160000, 161000)",124,160500.0,0.124
"[161000, 162000)",91,161500.0,0.091
"[162000, 163000)",73,162500.0,0.073
"[163000, 164000)",25,163500.0,0.025
"[164000, 165000)",92,164500.0,0.092
"[165000, 166000)",90,165500.0,0.09
"[166000, 167000)",97,166500.0,0.097
"[167000, 168000)",100,167500.0,0.1
"[168000, 169000)",45,168500.0,0.045
"[169000, 170000)",72,169500.0,0.072
"[170000, 171000)",73,170500.0,0.073
"[171000, 172000)",95,171500.0,0.095
"[172000, 173000)",31,172500.0,0.031
"[173000, 174000)",22,173500.0,0.022
"[174000, 175000)",79,174500.0,0.079
"[175000, 176000)",109,175500.0,0.109
"[176000, 177000)",70,176500.0,0.07
"[177000, 178000)",52,177500.0,0.052
"[178000, 179000)",64,178500.0,0.064
"[179000, 180000)",24,179500.0,0.024
"[180000, 181000)",79,180500.0,0.079
"[181000, 182000)",153,181500.0,0.153
"[182000, 183000)",78,182500.0,0.078
"[183000, 184000)",306,183500.0,0.306
"[184000, 185000)",133,184500.0,0.133
"[185000, 186000)",85,185500.0,0.085
"[186000, 187000)",66,186500.0,0.066
"[187000, 188000)",92,187500.0,0.092
"[188000, 189000)",23,188500.0,0.023
"[189000, 190000)",14,189500.0,0.014
"[190000, 191000)",160,190500.0,0.16
"[191000, 192000)",115,191500.0,0.115
"[192000, 193000)",7,192500.0,0.007
"[193000, 194000)",9,193500.0,0.009
"[194000, 195000)",12,194500.0,0.012
"[195000, 196000)",77,195500.0,0.077
"[196000, 197000)",77,196500.0,0.077
"[197000, 198000)",117,197500.0,0.117
"[198000, 199000)",26,198500.0,0.026
"[199000, 200000)",91,199500.0,0.091
"[200000, 201000)",46,200500.0,0.046
"[201000, 202000)",83,201500.0,0.083
"[202000, 203000)",121,202500.0,0.121
"[203000, 204000)",113,203500.0,0.113
"[204000, 205000)",34,204500.0,0.034
"[205000, 206000)",55,205500.0,0.055
"[206000, 207000)",71,206500.0,0.071
"[207000, 208000)",93,207500.0,0.093
"[208000, 209000)",54,208500.0,0.054
"[209000, 210000)",90,209500.0,0.09
"[210000, 211000)",104,210500.0,0.104
"[211000, 212000)",71,211500.0,0.071
"[212000, 213000)",114,212500.0,0.114
"[213000, 214000)",50,213500.0,0.05
"[214000, 215000)",98,214500.0,0.098
"[215000, 216000)",83,215500.0,0.083
"[216000, 217000)",38,216500.0,0.038
"[217000, 218000)",34,217500.0,0.034
"[218000, 219000)",28,218500.0,0.028
"[219000, 220000)",49,219500.0,0.049
"[220000, 221000)",66,220500.0,0.066
"[221000, 222000)",23,221500.0,0.023
