Distance_Bin,Value,Bin_Center,Density_per_bp
"[-151886, -150886)",0,-151386.0,0.0
"[-150886, -149886)",3009,-150386.0,3.009
"[-149886, -148886)",549,-149386.0,0.549
"[-148886, -147886)",856,-148386.0,0.856
"[-147886, -146886)",3277,-147386.0,3.277
"[-146886, -145886)",1120,-146386.0,1.12
"[-145886, -144886)",6138,-145386.0,6.138
"[-144886, -143886)",1150,-144386.0,1.15
"[-143886, -142886)",750,-143386.0,0.75
"[-142886, -141886)",821,-142386.0,0.821
"[-141886, -140886)",3574,-141386.0,3.574
"[-140886, -139886)",2855,-140386.0,2.855
"[-139886, -138886)",4804,-139386.0,4.804
"[-138886, -137886)",652,-138386.0,0.652
"[-137886, -136886)",833,-137386.0,0.833
"[-136886, -135886)",545,-136386.0,0.545
"[-135886, -134886)",495,-135386.0,0.495
"[-134886, -133886)",3128,-134386.0,3.128
"[-133886, -132886)",2134,-133386.0,2.134
"[-132886, -131886)",887,-132386.0,0.887
"[-131886, -130886)",712,-131386.0,0.712
"[-130886, -129886)",894,-130386.0,0.894
"[-129886, -128886)",3027,-129386.0,3.027
"[-128886, -127886)",3580,-128386.0,3.58
"[-127886, -126886)",1241,-127386.0,1.241
"[-126886, -125886)",367,-126386.0,0.367
"[-125886, -124886)",799,-125386.0,0.799
"[-124886, -123886)",1365,-124386.0,1.365
"[-123886, -122886)",786,-123386.0,0.786
"[-122886, -121886)",2095,-122386.0,2.095
"[-121886, -120886)",6101,-121386.0,6.101
"[-120886, -119886)",419,-120386.0,0.419
"[-119886, -118886)",598,-119386.0,0.598
"[-118886, -117886)",554,-118386.0,0.554
"[-117886, -116886)",327,-117386.0,0.327
"[-116886, -115886)",379,-116386.0,0.379
"[-115886, -114886)",851,-115386.0,0.851
"[-114886, -113886)",2436,-114386.0,2.436
"[-113886, -112886)",1019,-113386.0,1.019
"[-112886, -111886)",547,-112386.0,0.547
"[-111886, -110886)",1602,-111386.0,1.602
"[-110886, -109886)",1987,-110386.0,1.987
"[-109886, -108886)",516,-109386.0,0.516
"[-108886, -107886)",391,-108386.0,0.391
"[-107886, -106886)",730,-107386.0,0.73
"[-106886, -105886)",203,-106386.0,0.203
"[-105886, -104886)",92,-105386.0,0.092
"[-104886, -103886)",1089,-104386.0,1.089
"[-103886, -102886)",409,-103386.0,0.409
"[-102886, -101886)",1319,-102386.0,1.319
"[-101886, -100886)",2323,-101386.0,2.323
"[-100886, -99886)",53,-100386.0,0.053
"[-99886, -98886)",410,-99386.0,0.41
"[-98886, -97886)",835,-98386.0,0.835
"[-97886, -96886)",480,-97386.0,0.48
"[-96886, -95886)",2535,-96386.0,2.535
"[-95886, -94886)",708,-95386.0,0.708
"[-94886, -93886)",189,-94386.0,0.189
"[-93886, -92886)",163,-93386.0,0.163
"[-92886, -91886)",311,-92386.0,0.311
"[-91886, -90886)",113,-91386.0,0.113
"[-90886, -89886)",185,-90386.0,0.185
"[-89886, -88886)",203,-89386.0,0.203
"[-88886, -87886)",159,-88386.0,0.159
"[-87886, -86886)",1582,-87386.0,1.582
"[-86886, -85886)",498,-86386.0,0.498
"[-85886, -84886)",3403,-85386.0,3.403
"[-84886, -83886)",3993,-84386.0,3.993
"[-83886, -82886)",9,-83386.0,0.009
"[-82886, -81886)",1187,-82386.0,1.187
"[-81886, -80886)",12,-81386.0,0.012
"[-80886, -79886)",62,-80386.0,0.062
"[-79886, -78886)",3,-79386.0,0.003
"[-78886, -77886)",24,-78386.0,0.024
"[-77886, -76886)",1871,-77386.0,1.871
"[-76886, -75886)",406,-76386.0,0.406
"[-75886, -74886)",157,-75386.0,0.157
"[-74886, -73886)",959,-74386.0,0.959
"[-73886, -72886)",74,-73386.0,0.074
"[-72886, -71886)",12,-72386.0,0.012
"[-71886, -70886)",41,-71386.0,0.041
"[-70886, -69886)",1339,-70386.0,1.339
"[-69886, -68886)",1401,-69386.0,1.401
"[-68886, -67886)",1138,-68386.0,1.138
"[-67886, -66886)",2705,-67386.0,2.705
"[-66886, -65886)",2912,-66386.0,2.912
"[-65886, -64886)",936,-65386.0,0.936
"[-64886, -63886)",1216,-64386.0,1.216
"[-63886, -62886)",300,-63386.0,0.3
"[-62886, -61886)",709,-62386.0,0.709
"[-61886, -60886)",817,-61386.0,0.817
"[-60886, -59886)",1860,-60386.0,1.86
"[-59886, -58886)",1850,-59386.0,1.85
"[-58886, -57886)",2773,-58386.0,2.773
"[-57886, -56886)",555,-57386.0,0.555
"[-56886, -55886)",4572,-56386.0,4.572
"[-55886, -54886)",1097,-55386.0,1.097
"[-54886, -53886)",1099,-54386.0,1.099
"[-53886, -52886)",1721,-53386.0,1.721
"[-52886, -51886)",2912,-52386.0,2.912
