Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",170,500.0,0.17
"[1000, 2000)",167,1500.0,0.167
"[2000, 3000)",216,2500.0,0.216
"[3000, 4000)",135,3500.0,0.135
"[4000, 5000)",161,4500.0,0.161
"[5000, 6000)",165,5500.0,0.165
"[6000, 7000)",95,6500.0,0.095
"[7000, 8000)",150,7500.0,0.15
"[8000, 9000)",101,8500.0,0.101
"[9000, 10000)",163,9500.0,0.163
"[10000, 11000)",200,10500.0,0.2
"[11000, 12000)",230,11500.0,0.23
"[12000, 13000)",130,12500.0,0.13
"[13000, 14000)",154,13500.0,0.154
"[14000, 15000)",99,14500.0,0.099
"[15000, 16000)",106,15500.0,0.106
"[16000, 17000)",242,16500.0,0.242
"[17000, 18000)",106,17500.0,0.106
"[18000, 19000)",104,18500.0,0.104
"[19000, 20000)",149,19500.0,0.149
"[20000, 21000)",127,20500.0,0.127
"[21000, 22000)",57,21500.0,0.057
"[22000, 23000)",12,22500.0,0.012
"[23000, 24000)",17,23500.0,0.017
"[24000, 25000)",7,24500.0,0.007
"[25000, 26000)",125,25500.0,0.125
"[26000, 27000)",142,26500.0,0.142
"[27000, 28000)",183,27500.0,0.183
"[28000, 29000)",142,28500.0,0.142
"[29000, 30000)",112,29500.0,0.112
"[30000, 31000)",229,30500.0,0.229
"[31000, 32000)",126,31500.0,0.126
"[32000, 33000)",147,32500.0,0.147
"[33000, 34000)",105,33500.0,0.105
"[34000, 35000)",148,34500.0,0.148
"[35000, 36000)",108,35500.0,0.108
"[36000, 37000)",29,36500.0,0.029
"[37000, 38000)",90,37500.0,0.09
"[38000, 39000)",113,38500.0,0.113
"[39000, 40000)",38,39500.0,0.038
"[40000, 41000)",99,40500.0,0.099
"[41000, 42000)",18,41500.0,0.018
"[42000, 43000)",9,42500.0,0.009
"[43000, 44000)",89,43500.0,0.089
"[44000, 45000)",55,44500.0,0.055
"[45000, 46000)",38,45500.0,0.038
"[46000, 47000)",29,46500.0,0.029
"[47000, 48000)",103,47500.0,0.103
"[48000, 49000)",66,48500.0,0.066
"[49000, 50000)",44,49500.0,0.044
"[50000, 51000)",45,50500.0,0.045
"[51000, 52000)",108,51500.0,0.108
"[52000, 53000)",111,52500.0,0.111
