Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",73,500.0,0.073
"[1000, 2000)",71,1500.0,0.071
"[2000, 3000)",165,2500.0,0.165
"[3000, 4000)",19,3500.0,0.019
"[4000, 5000)",175,4500.0,0.175
"[5000, 6000)",151,5500.0,0.151
"[6000, 7000)",146,6500.0,0.146
"[7000, 8000)",67,7500.0,0.067
"[8000, 9000)",134,8500.0,0.134
"[9000, 10000)",83,9500.0,0.083
"[10000, 11000)",148,10500.0,0.148
"[11000, 12000)",141,11500.0,0.141
"[12000, 13000)",179,12500.0,0.179
"[13000, 14000)",158,13500.0,0.158
"[14000, 15000)",63,14500.0,0.063
"[15000, 16000)",44,15500.0,0.044
"[16000, 17000)",208,16500.0,0.208
"[17000, 18000)",133,17500.0,0.133
"[18000, 19000)",46,18500.0,0.046
"[19000, 20000)",56,19500.0,0.056
"[20000, 21000)",129,20500.0,0.129
"[21000, 22000)",184,21500.0,0.184
"[22000, 23000)",111,22500.0,0.111
"[23000, 24000)",150,23500.0,0.15
"[24000, 25000)",37,24500.0,0.037
"[25000, 26000)",57,25500.0,0.057
"[26000, 27000)",59,26500.0,0.059
"[27000, 28000)",135,27500.0,0.135
"[28000, 29000)",28,28500.0,0.028
"[29000, 30000)",114,29500.0,0.114
"[30000, 31000)",116,30500.0,0.116
"[31000, 32000)",27,31500.0,0.027
"[32000, 33000)",5,32500.0,0.005
"[33000, 34000)",65,33500.0,0.065
"[34000, 35000)",122,34500.0,0.122
"[35000, 36000)",61,35500.0,0.061
"[36000, 37000)",75,36500.0,0.075
"[37000, 38000)",154,37500.0,0.154
"[38000, 39000)",55,38500.0,0.055
"[39000, 40000)",34,39500.0,0.034
"[40000, 41000)",70,40500.0,0.07
"[41000, 42000)",80,41500.0,0.08
"[42000, 43000)",110,42500.0,0.11
"[43000, 44000)",94,43500.0,0.094
"[44000, 45000)",172,44500.0,0.172
"[45000, 46000)",103,45500.0,0.103
"[46000, 47000)",106,46500.0,0.106
"[47000, 48000)",72,47500.0,0.072
"[48000, 49000)",64,48500.0,0.064
"[49000, 50000)",121,49500.0,0.121
"[50000, 51000)",70,50500.0,0.07
