Distance_Bin,Value,Bin_Center,Density_per_bp
"[-441186, -440186)",0,-440686.0,0.0
"[-440186, -439186)",1917,-439686.0,1.917
"[-439186, -438186)",803,-438686.0,0.803
"[-438186, -437186)",637,-437686.0,0.637
"[-437186, -436186)",42,-436686.0,0.042
"[-436186, -435186)",414,-435686.0,0.414
"[-435186, -434186)",1304,-434686.0,1.304
"[-434186, -433186)",1331,-433686.0,1.331
"[-433186, -432186)",436,-432686.0,0.436
"[-432186, -431186)",766,-431686.0,0.766
"[-431186, -430186)",850,-430686.0,0.85
"[-430186, -429186)",581,-429686.0,0.581
"[-429186, -428186)",1507,-428686.0,1.507
"[-428186, -427186)",2283,-427686.0,2.283
"[-427186, -426186)",812,-426686.0,0.812
"[-426186, -425186)",865,-425686.0,0.865
"[-425186, -424186)",604,-424686.0,0.604
"[-424186, -423186)",677,-423686.0,0.677
"[-423186, -422186)",1404,-422686.0,1.404
"[-422186, -421186)",1605,-421686.0,1.605
"[-421186, -420186)",774,-420686.0,0.774
"[-420186, -419186)",6172,-419686.0,6.172
"[-419186, -418186)",2717,-418686.0,2.717
"[-418186, -417186)",1973,-417686.0,1.973
"[-417186, -416186)",990,-416686.0,0.99
"[-416186, -415186)",1604,-415686.0,1.604
"[-415186, -414186)",1248,-414686.0,1.248
"[-414186, -413186)",213,-413686.0,0.213
"[-413186, -412186)",761,-412686.0,0.761
"[-412186, -411186)",464,-411686.0,0.464
"[-411186, -410186)",426,-410686.0,0.426
"[-410186, -409186)",1397,-409686.0,1.397
"[-409186, -408186)",1024,-408686.0,1.024
"[-408186, -407186)",88,-407686.0,0.088
"[-407186, -406186)",81,-406686.0,0.081
"[-406186, -405186)",277,-405686.0,0.277
"[-405186, -404186)",18,-404686.0,0.018
"[-404186, -403186)",546,-403686.0,0.546
"[-403186, -402186)",703,-402686.0,0.703
"[-402186, -401186)",3292,-401686.0,3.292
"[-401186, -400186)",492,-400686.0,0.492
"[-400186, -399186)",11,-399686.0,0.011
"[-399186, -398186)",31,-398686.0,0.031
"[-398186, -397186)",607,-397686.0,0.607
"[-397186, -396186)",540,-396686.0,0.54
"[-396186, -395186)",684,-395686.0,0.684
"[-395186, -394186)",928,-394686.0,0.928
"[-394186, -393186)",1165,-393686.0,1.165
"[-393186, -392186)",355,-392686.0,0.355
"[-392186, -391186)",2006,-391686.0,2.006
"[-391186, -390186)",416,-390686.0,0.416
"[-390186, -389186)",254,-389686.0,0.254
"[-389186, -388186)",158,-388686.0,0.158
"[-388186, -387186)",704,-387686.0,0.704
"[-387186, -386186)",1126,-386686.0,1.126
"[-386186, -385186)",101,-385686.0,0.101
"[-385186, -384186)",1400,-384686.0,1.4
"[-384186, -383186)",20,-383686.0,0.02
"[-383186, -382186)",11,-382686.0,0.011
"[-382186, -381186)",40,-381686.0,0.04
"[-381186, -380186)",17,-380686.0,0.017
"[-380186, -379186)",36,-379686.0,0.036
"[-379186, -378186)",26,-378686.0,0.026
"[-378186, -377186)",21,-377686.0,0.021
"[-377186, -376186)",1191,-376686.0,1.191
"[-376186, -375186)",102,-375686.0,0.102
"[-375186, -374186)",303,-374686.0,0.303
"[-374186, -373186)",646,-373686.0,0.646
"[-373186, -372186)",868,-372686.0,0.868
"[-372186, -371186)",8647,-371686.0,8.647
"[-371186, -370186)",9235,-370686.0,9.235
"[-370186, -369186)",3971,-369686.0,3.971
"[-369186, -368186)",2229,-368686.0,2.229
"[-368186, -367186)",342,-367686.0,0.342
"[-367186, -366186)",1294,-366686.0,1.294
"[-366186, -365186)",1866,-365686.0,1.866
"[-365186, -364186)",1526,-364686.0,1.526
"[-364186, -363186)",222,-363686.0,0.222
"[-363186, -362186)",296,-362686.0,0.296
"[-362186, -361186)",740,-361686.0,0.74
"[-361186, -360186)",254,-360686.0,0.254
"[-360186, -359186)",2979,-359686.0,2.979
"[-359186, -358186)",355,-358686.0,0.355
"[-358186, -357186)",1311,-357686.0,1.311
"[-357186, -356186)",278,-356686.0,0.278
"[-356186, -355186)",2122,-355686.0,2.122
"[-355186, -354186)",212,-354686.0,0.212
"[-354186, -353186)",833,-353686.0,0.833
"[-353186, -352186)",355,-352686.0,0.355
"[-352186, -351186)",509,-351686.0,0.509
"[-351186, -350186)",537,-350686.0,0.537
"[-350186, -349186)",363,-349686.0,0.363
"[-349186, -348186)",3154,-348686.0,3.154
"[-348186, -347186)",2669,-347686.0,2.669
