Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",165,500.0,0.165
"[1000, 2000)",163,1500.0,0.163
"[2000, 3000)",136,2500.0,0.136
"[3000, 4000)",27,3500.0,0.027
"[4000, 5000)",152,4500.0,0.152
"[5000, 6000)",89,5500.0,0.089
"[6000, 7000)",189,6500.0,0.189
"[7000, 8000)",145,7500.0,0.145
"[8000, 9000)",406,8500.0,0.406
"[9000, 10000)",370,9500.0,0.37
"[10000, 11000)",216,10500.0,0.216
"[11000, 12000)",207,11500.0,0.207
"[12000, 13000)",168,12500.0,0.168
"[13000, 14000)",247,13500.0,0.247
"[14000, 15000)",77,14500.0,0.077
"[15000, 16000)",74,15500.0,0.074
"[16000, 17000)",41,16500.0,0.041
"[17000, 18000)",204,17500.0,0.204
"[18000, 19000)",139,18500.0,0.139
"[19000, 20000)",167,19500.0,0.167
"[20000, 21000)",93,20500.0,0.093
"[21000, 22000)",74,21500.0,0.074
"[22000, 23000)",215,22500.0,0.215
"[23000, 24000)",84,23500.0,0.084
"[24000, 25000)",63,24500.0,0.063
"[25000, 26000)",78,25500.0,0.078
"[26000, 27000)",131,26500.0,0.131
"[27000, 28000)",104,27500.0,0.104
"[28000, 29000)",93,28500.0,0.093
"[29000, 30000)",112,29500.0,0.112
"[30000, 31000)",62,30500.0,0.062
"[31000, 32000)",30,31500.0,0.03
"[32000, 33000)",45,32500.0,0.045
"[33000, 34000)",124,33500.0,0.124
"[34000, 35000)",10,34500.0,0.01
"[35000, 36000)",4,35500.0,0.004
"[36000, 37000)",0,36500.0,0.0
"[37000, 38000)",154,37500.0,0.154
"[38000, 39000)",120,38500.0,0.12
"[39000, 40000)",115,39500.0,0.115
"[40000, 41000)",101,40500.0,0.101
"[41000, 42000)",87,41500.0,0.087
"[42000, 43000)",143,42500.0,0.143
"[43000, 44000)",292,43500.0,0.292
"[44000, 45000)",114,44500.0,0.114
"[45000, 46000)",79,45500.0,0.079
"[46000, 47000)",110,46500.0,0.11
"[47000, 48000)",56,47500.0,0.056
"[48000, 49000)",136,48500.0,0.136
"[49000, 50000)",245,49500.0,0.245
"[50000, 51000)",78,50500.0,0.078
"[51000, 52000)",87,51500.0,0.087
"[52000, 53000)",99,52500.0,0.099
"[53000, 54000)",109,53500.0,0.109
"[54000, 55000)",165,54500.0,0.165
"[55000, 56000)",154,55500.0,0.154
"[56000, 57000)",59,56500.0,0.059
"[57000, 58000)",22,57500.0,0.022
