Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",183,500.0,0.183
"[1000, 2000)",6,1500.0,0.006
"[2000, 3000)",3,2500.0,0.003
"[3000, 4000)",240,3500.0,0.24
"[4000, 5000)",211,4500.0,0.211
"[5000, 6000)",163,5500.0,0.163
"[6000, 7000)",57,6500.0,0.057
"[7000, 8000)",175,7500.0,0.175
"[8000, 9000)",45,8500.0,0.045
"[9000, 10000)",102,9500.0,0.102
"[10000, 11000)",73,10500.0,0.073
"[11000, 12000)",161,11500.0,0.161
"[12000, 13000)",134,12500.0,0.134
"[13000, 14000)",67,13500.0,0.067
"[14000, 15000)",164,14500.0,0.164
"[15000, 16000)",300,15500.0,0.3
"[16000, 17000)",146,16500.0,0.146
"[17000, 18000)",35,17500.0,0.035
"[18000, 19000)",128,18500.0,0.128
"[19000, 20000)",110,19500.0,0.11
"[20000, 21000)",56,20500.0,0.056
"[21000, 22000)",138,21500.0,0.138
"[22000, 23000)",142,22500.0,0.142
"[23000, 24000)",71,23500.0,0.071
"[24000, 25000)",48,24500.0,0.048
"[25000, 26000)",49,25500.0,0.049
"[26000, 27000)",83,26500.0,0.083
"[27000, 28000)",12,27500.0,0.012
"[28000, 29000)",105,28500.0,0.105
"[29000, 30000)",36,29500.0,0.036
"[30000, 31000)",150,30500.0,0.15
"[31000, 32000)",60,31500.0,0.06
"[32000, 33000)",147,32500.0,0.147
"[33000, 34000)",74,33500.0,0.074
"[34000, 35000)",197,34500.0,0.197
"[35000, 36000)",99,35500.0,0.099
"[36000, 37000)",39,36500.0,0.039
"[37000, 38000)",133,37500.0,0.133
"[38000, 39000)",286,38500.0,0.286
"[39000, 40000)",113,39500.0,0.113
"[40000, 41000)",153,40500.0,0.153
"[41000, 42000)",223,41500.0,0.223
"[42000, 43000)",82,42500.0,0.082
"[43000, 44000)",98,43500.0,0.098
"[44000, 45000)",104,44500.0,0.104
"[45000, 46000)",64,45500.0,0.064
"[46000, 47000)",75,46500.0,0.075
"[47000, 48000)",99,47500.0,0.099
"[48000, 49000)",96,48500.0,0.096
"[49000, 50000)",89,49500.0,0.089
"[50000, 51000)",134,50500.0,0.134
"[51000, 52000)",50,51500.0,0.05
"[52000, 53000)",104,52500.0,0.104
"[53000, 54000)",92,53500.0,0.092
"[54000, 55000)",13,54500.0,0.013
"[55000, 56000)",77,55500.0,0.077
"[56000, 57000)",40,56500.0,0.04
"[57000, 58000)",120,57500.0,0.12
"[58000, 59000)",48,58500.0,0.048
"[59000, 60000)",57,59500.0,0.057
"[60000, 61000)",18,60500.0,0.018
"[61000, 62000)",44,61500.0,0.044
"[62000, 63000)",137,62500.0,0.137
"[63000, 64000)",77,63500.0,0.077
"[64000, 65000)",33,64500.0,0.033
"[65000, 66000)",43,65500.0,0.043
"[66000, 67000)",114,66500.0,0.114
"[67000, 68000)",55,67500.0,0.055
"[68000, 69000)",60,68500.0,0.06
"[69000, 70000)",91,69500.0,0.091
"[70000, 71000)",4,70500.0,0.004
