Distance_Bin,Value,Bin_Center,Density_per_bp
"[-437321, -436321)",0,-436821.0,0.0
"[-436321, -435321)",3765,-435821.0,3.765
"[-435321, -434321)",817,-434821.0,0.817
"[-434321, -433321)",1435,-433821.0,1.435
"[-433321, -432321)",12537,-432821.0,12.537
"[-432321, -431321)",1802,-431821.0,1.802
"[-431321, -430321)",2175,-430821.0,2.175
"[-430321, -429321)",4715,-429821.0,4.715
"[-429321, -428321)",1818,-428821.0,1.818
"[-428321, -427321)",1491,-427821.0,1.491
"[-427321, -426321)",877,-426821.0,0.877
"[-426321, -425321)",2155,-425821.0,2.155
"[-425321, -424321)",1256,-424821.0,1.256
"[-424321, -423321)",408,-423821.0,0.408
"[-423321, -422321)",372,-422821.0,0.372
"[-422321, -421321)",868,-421821.0,0.868
"[-421321, -420321)",2022,-420821.0,2.022
"[-420321, -419321)",1970,-419821.0,1.97
"[-419321, -418321)",851,-418821.0,0.851
"[-418321, -417321)",1143,-417821.0,1.143
"[-417321, -416321)",814,-416821.0,0.814
"[-416321, -415321)",1845,-415821.0,1.845
"[-415321, -414321)",916,-414821.0,0.916
"[-414321, -413321)",1507,-413821.0,1.507
"[-413321, -412321)",1195,-412821.0,1.195
"[-412321, -411321)",501,-411821.0,0.501
"[-411321, -410321)",844,-410821.0,0.844
"[-410321, -409321)",1258,-409821.0,1.258
"[-409321, -408321)",638,-408821.0,0.638
"[-408321, -407321)",1637,-407821.0,1.637
"[-407321, -406321)",2168,-406821.0,2.168
"[-406321, -405321)",258,-405821.0,0.258
"[-405321, -404321)",655,-404821.0,0.655
"[-404321, -403321)",807,-403821.0,0.807
"[-403321, -402321)",1245,-402821.0,1.245
"[-402321, -401321)",826,-401821.0,0.826
"[-401321, -400321)",1583,-400821.0,1.583
"[-400321, -399321)",6702,-399821.0,6.702
"[-399321, -398321)",2420,-398821.0,2.42
"[-398321, -397321)",214,-397821.0,0.214
"[-397321, -396321)",201,-396821.0,0.201
"[-396321, -395321)",882,-395821.0,0.882
"[-395321, -394321)",2210,-394821.0,2.21
"[-394321, -393321)",746,-393821.0,0.746
"[-393321, -392321)",390,-392821.0,0.39
"[-392321, -391321)",396,-391821.0,0.396
"[-391321, -390321)",242,-390821.0,0.242
"[-390321, -389321)",241,-389821.0,0.241
"[-389321, -388321)",921,-388821.0,0.921
"[-388321, -387321)",570,-387821.0,0.57
"[-387321, -386321)",1048,-386821.0,1.048
"[-386321, -385321)",1876,-385821.0,1.876
"[-385321, -384321)",63,-384821.0,0.063
"[-384321, -383321)",189,-383821.0,0.189
"[-383321, -382321)",687,-382821.0,0.687
"[-382321, -381321)",1825,-381821.0,1.825
"[-381321, -380321)",910,-380821.0,0.91
"[-380321, -379321)",804,-379821.0,0.804
"[-379321, -378321)",469,-378821.0,0.469
"[-378321, -377321)",1882,-377821.0,1.882
"[-377321, -376321)",1858,-376821.0,1.858
"[-376321, -375321)",4809,-375821.0,4.809
"[-375321, -374321)",1176,-374821.0,1.176
"[-374321, -373321)",659,-373821.0,0.659
"[-373321, -372321)",1561,-372821.0,1.561
"[-372321, -371321)",452,-371821.0,0.452
"[-371321, -370321)",573,-370821.0,0.573
"[-370321, -369321)",519,-369821.0,0.519
"[-369321, -368321)",1163,-368821.0,1.163
"[-368321, -367321)",1158,-367821.0,1.158
"[-367321, -366321)",593,-366821.0,0.593
"[-366321, -365321)",223,-365821.0,0.223
