Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",114,500.0,0.114
"[1000, 2000)",146,1500.0,0.146
"[2000, 3000)",188,2500.0,0.188
"[3000, 4000)",43,3500.0,0.043
"[4000, 5000)",181,4500.0,0.181
"[5000, 6000)",80,5500.0,0.08
"[6000, 7000)",262,6500.0,0.262
"[7000, 8000)",104,7500.0,0.104
"[8000, 9000)",204,8500.0,0.204
"[9000, 10000)",143,9500.0,0.143
"[10000, 11000)",68,10500.0,0.068
"[11000, 12000)",115,11500.0,0.115
"[12000, 13000)",158,12500.0,0.158
"[13000, 14000)",2,13500.0,0.002
"[14000, 15000)",86,14500.0,0.086
"[15000, 16000)",218,15500.0,0.218
"[16000, 17000)",147,16500.0,0.147
"[17000, 18000)",147,17500.0,0.147
"[18000, 19000)",280,18500.0,0.28
"[19000, 20000)",145,19500.0,0.145
"[20000, 21000)",106,20500.0,0.106
"[21000, 22000)",106,21500.0,0.106
"[22000, 23000)",130,22500.0,0.13
"[23000, 24000)",166,23500.0,0.166
"[24000, 25000)",17,24500.0,0.017
"[25000, 26000)",126,25500.0,0.126
"[26000, 27000)",156,26500.0,0.156
"[27000, 28000)",123,27500.0,0.123
"[28000, 29000)",49,28500.0,0.049
"[29000, 30000)",107,29500.0,0.107
"[30000, 31000)",146,30500.0,0.146
"[31000, 32000)",136,31500.0,0.136
"[32000, 33000)",178,32500.0,0.178
"[33000, 34000)",90,33500.0,0.09
"[34000, 35000)",133,34500.0,0.133
"[35000, 36000)",196,35500.0,0.196
"[36000, 37000)",400,36500.0,0.4
"[37000, 38000)",341,37500.0,0.341
"[38000, 39000)",232,38500.0,0.232
"[39000, 40000)",254,39500.0,0.254
"[40000, 41000)",163,40500.0,0.163
"[41000, 42000)",198,41500.0,0.198
"[42000, 43000)",515,42500.0,0.515
"[43000, 44000)",260,43500.0,0.26
"[44000, 45000)",272,44500.0,0.272
"[45000, 46000)",223,45500.0,0.223
