Distance_Bin,Value,Bin_Center,Density_per_bp
"[0, 1000)",182,500.0,0.182
"[1000, 2000)",179,1500.0,0.179
"[2000, 3000)",310,2500.0,0.31
"[3000, 4000)",163,3500.0,0.163
"[4000, 5000)",171,4500.0,0.171
"[5000, 6000)",164,5500.0,0.164
"[6000, 7000)",81,6500.0,0.081
"[7000, 8000)",188,7500.0,0.188
"[8000, 9000)",23,8500.0,0.023
"[9000, 10000)",258,9500.0,0.258
"[10000, 11000)",186,10500.0,0.186
"[11000, 12000)",247,11500.0,0.247
"[12000, 13000)",173,12500.0,0.173
"[13000, 14000)",165,13500.0,0.165
"[14000, 15000)",77,14500.0,0.077
"[15000, 16000)",30,15500.0,0.03
"[16000, 17000)",467,16500.0,0.467
"[17000, 18000)",246,17500.0,0.246
"[18000, 19000)",255,18500.0,0.255
"[19000, 20000)",79,19500.0,0.079
"[20000, 21000)",209,20500.0,0.209
"[21000, 22000)",42,21500.0,0.042
"[22000, 23000)",69,22500.0,0.069
"[23000, 24000)",88,23500.0,0.088
"[24000, 25000)",10,24500.0,0.01
"[25000, 26000)",102,25500.0,0.102
"[26000, 27000)",83,26500.0,0.083
"[27000, 28000)",111,27500.0,0.111
"[28000, 29000)",138,28500.0,0.138
"[29000, 30000)",93,29500.0,0.093
"[30000, 31000)",104,30500.0,0.104
"[31000, 32000)",107,31500.0,0.107
"[32000, 33000)",134,32500.0,0.134
"[33000, 34000)",144,33500.0,0.144
"[34000, 35000)",71,34500.0,0.071
"[35000, 36000)",91,35500.0,0.091
"[36000, 37000)",76,36500.0,0.076
"[37000, 38000)",17,37500.0,0.017
"[38000, 39000)",124,38500.0,0.124
"[39000, 40000)",15,39500.0,0.015
"[40000, 41000)",159,40500.0,0.159
"[41000, 42000)",107,41500.0,0.107
"[42000, 43000)",46,42500.0,0.046
"[43000, 44000)",171,43500.0,0.171
"[44000, 45000)",119,44500.0,0.119
"[45000, 46000)",245,45500.0,0.245
"[46000, 47000)",41,46500.0,0.041
"[47000, 48000)",12,47500.0,0.012
"[48000, 49000)",15,48500.0,0.015
"[49000, 50000)",9,49500.0,0.009
"[50000, 51000)",22,50500.0,0.022
"[51000, 52000)",33,51500.0,0.033
"[52000, 53000)",21,52500.0,0.021
"[53000, 54000)",99,53500.0,0.099
"[54000, 55000)",126,54500.0,0.126
"[55000, 56000)",80,55500.0,0.08
"[56000, 57000)",34,56500.0,0.034
"[57000, 58000)",16,57500.0,0.016
"[58000, 59000)",26,58500.0,0.026
"[59000, 60000)",119,59500.0,0.119
"[60000, 61000)",53,60500.0,0.053
"[61000, 62000)",112,61500.0,0.112
"[62000, 63000)",110,62500.0,0.11
"[63000, 64000)",133,63500.0,0.133
"[64000, 65000)",66,64500.0,0.066
"[65000, 66000)",127,65500.0,0.127
"[66000, 67000)",81,66500.0,0.081
"[67000, 68000)",176,67500.0,0.176
"[68000, 69000)",136,68500.0,0.136
"[69000, 70000)",268,69500.0,0.268
"[70000, 71000)",178,70500.0,0.178
"[71000, 72000)",165,71500.0,0.165
"[72000, 73000)",136,72500.0,0.136
"[73000, 74000)",61,73500.0,0.061
"[74000, 75000)",81,74500.0,0.081
"[75000, 76000)",22,75500.0,0.022
"[76000, 77000)",153,76500.0,0.153
"[77000, 78000)",69,77500.0,0.069
"[78000, 79000)",97,78500.0,0.097
"[79000, 80000)",66,79500.0,0.066
"[80000, 81000)",58,80500.0,0.058
"[81000, 82000)",60,81500.0,0.06
"[82000, 83000)",137,82500.0,0.137
"[83000, 84000)",101,83500.0,0.101
"[84000, 85000)",187,84500.0,0.187
"[85000, 86000)",40,85500.0,0.04
"[86000, 87000)",54,86500.0,0.054
"[87000, 88000)",106,87500.0,0.106
"[88000, 89000)",98,88500.0,0.098
"[89000, 90000)",102,89500.0,0.102
"[90000, 91000)",38,90500.0,0.038
"[91000, 92000)",57,91500.0,0.057
"[92000, 93000)",149,92500.0,0.149
"[93000, 94000)",86,93500.0,0.086
"[94000, 95000)",52,94500.0,0.052
"[95000, 96000)",120,95500.0,0.12
"[96000, 97000)",72,96500.0,0.072
"[97000, 98000)",71,97500.0,0.071
"[98000, 99000)",122,98500.0,0.122
"[99000, 100000)",105,99500.0,0.105
"[100000, 101000)",127,100500.0,0.127
"[101000, 102000)",142,101500.0,0.142
"[102000, 103000)",77,102500.0,0.077
"[103000, 104000)",146,103500.0,0.146
"[104000, 105000)",52,104500.0,0.052
"[105000, 106000)",40,105500.0,0.04
"[106000, 107000)",187,106500.0,0.187
"[107000, 108000)",420,107500.0,0.42
"[108000, 109000)",405,108500.0,0.405
"[109000, 110000)",427,109500.0,0.427
"[110000, 111000)",260,110500.0,0.26
"[111000, 112000)",68,111500.0,0.068
"[112000, 113000)",164,112500.0,0.164
"[113000, 114000)",93,113500.0,0.093
"[114000, 115000)",65,114500.0,0.065
"[115000, 116000)",73,115500.0,0.073
"[116000, 117000)",88,116500.0,0.088
"[117000, 118000)",41,117500.0,0.041
"[118000, 119000)",76,118500.0,0.076
"[119000, 120000)",104,119500.0,0.104
"[120000, 121000)",20,120500.0,0.02
"[121000, 122000)",91,121500.0,0.091
"[122000, 123000)",29,122500.0,0.029
"[123000, 124000)",86,123500.0,0.086
"[124000, 125000)",82,124500.0,0.082
"[125000, 126000)",104,125500.0,0.104
"[126000, 127000)",110,126500.0,0.11
"[127000, 128000)",41,127500.0,0.041
"[128000, 129000)",19,128500.0,0.019
"[129000, 130000)",57,129500.0,0.057
"[130000, 131000)",74,130500.0,0.074
"[131000, 132000)",105,131500.0,0.105
"[132000, 133000)",121,132500.0,0.121
"[133000, 134000)",68,133500.0,0.068
"[134000, 135000)",16,134500.0,0.016
"[135000, 136000)",63,135500.0,0.063
"[136000, 137000)",83,136500.0,0.083
"[137000, 138000)",46,137500.0,0.046
"[138000, 139000)",57,138500.0,0.057
"[139000, 140000)",71,139500.0,0.071
"[140000, 141000)",130,140500.0,0.13
"[141000, 142000)",31,141500.0,0.031
"[142000, 143000)",14,142500.0,0.014
"[143000, 144000)",66,143500.0,0.066
"[144000, 145000)",110,144500.0,0.11
"[145000, 146000)",91,145500.0,0.091
"[146000, 147000)",37,146500.0,0.037
"[147000, 148000)",25,147500.0,0.025
"[148000, 149000)",19,148500.0,0.019
"[149000, 150000)",13,149500.0,0.013
"[150000, 151000)",125,150500.0,0.125
"[151000, 152000)",57,151500.0,0.057
"[152000, 153000)",76,152500.0,0.076
"[153000, 154000)",7,153500.0,0.007
"[154000, 155000)",27,154500.0,0.027
"[155000, 156000)",27,155500.0,0.027
"[156000, 157000)",96,156500.0,0.096
"[157000, 158000)",95,157500.0,0.095
"[158000, 159000)",52,158500.0,0.052
"[159000, 160000)",50,159500.0,0.05
"[160000, 161000)",71,160500.0,0.071
"[161000, 162000)",243,161500.0,0.243
"[162000, 163000)",84,162500.0,0.084
"[163000, 164000)",73,163500.0,0.073
"[164000, 165000)",45,164500.0,0.045
"[165000, 166000)",47,165500.0,0.047
"[166000, 167000)",147,166500.0,0.147
"[167000, 168000)",21,167500.0,0.021
"[168000, 169000)",48,168500.0,0.048
"[169000, 170000)",66,169500.0,0.066
"[170000, 171000)",52,170500.0,0.052
"[171000, 172000)",53,171500.0,0.053
"[172000, 173000)",90,172500.0,0.09
"[173000, 174000)",95,173500.0,0.095
"[174000, 175000)",208,174500.0,0.208
"[175000, 176000)",130,175500.0,0.13
"[176000, 177000)",27,176500.0,0.027
"[177000, 178000)",69,177500.0,0.069
"[178000, 179000)",67,178500.0,0.067
"[179000, 180000)",85,179500.0,0.085
"[180000, 181000)",39,180500.0,0.039
"[181000, 182000)",99,181500.0,0.099
"[182000, 183000)",45,182500.0,0.045
"[183000, 184000)",67,183500.0,0.067
"[184000, 185000)",172,184500.0,0.172
"[185000, 186000)",130,185500.0,0.13
"[186000, 187000)",30,186500.0,0.03
"[187000, 188000)",111,187500.0,0.111
"[188000, 189000)",130,188500.0,0.13
"[189000, 190000)",86,189500.0,0.086
"[190000, 191000)",98,190500.0,0.098
"[191000, 192000)",237,191500.0,0.237
"[192000, 193000)",109,192500.0,0.109
"[193000, 194000)",164,193500.0,0.164
"[194000, 195000)",60,194500.0,0.06
"[195000, 196000)",38,195500.0,0.038
"[196000, 197000)",177,196500.0,0.177
"[197000, 198000)",26,197500.0,0.026
"[198000, 199000)",31,198500.0,0.031
"[199000, 200000)",13,199500.0,0.013
"[200000, 201000)",13,200500.0,0.013
"[201000, 202000)",10,201500.0,0.01
"[202000, 203000)",22,202500.0,0.022
"[203000, 204000)",27,203500.0,0.027
"[204000, 205000)",46,204500.0,0.046
"[205000, 206000)",29,205500.0,0.029
"[206000, 207000)",19,206500.0,0.019
"[207000, 208000)",24,207500.0,0.024
"[208000, 209000)",45,208500.0,0.045
"[209000, 210000)",55,209500.0,0.055
"[210000, 211000)",83,210500.0,0.083
"[211000, 212000)",34,211500.0,0.034
"[212000, 213000)",14,212500.0,0.014
"[213000, 214000)",28,213500.0,0.028
"[214000, 215000)",120,214500.0,0.12
"[215000, 216000)",53,215500.0,0.053
"[216000, 217000)",45,216500.0,0.045
"[217000, 218000)",111,217500.0,0.111
"[218000, 219000)",104,218500.0,0.104
"[219000, 220000)",97,219500.0,0.097
"[220000, 221000)",39,220500.0,0.039
"[221000, 222000)",21,221500.0,0.021
"[222000, 223000)",65,222500.0,0.065
"[223000, 224000)",60,223500.0,0.06
"[224000, 225000)",76,224500.0,0.076
"[225000, 226000)",44,225500.0,0.044
"[226000, 227000)",109,226500.0,0.109
"[227000, 228000)",82,227500.0,0.082
"[228000, 229000)",29,228500.0,0.029
"[229000, 230000)",104,229500.0,0.104
"[230000, 231000)",145,230500.0,0.145
"[231000, 232000)",48,231500.0,0.048
"[232000, 233000)",100,232500.0,0.1
"[233000, 234000)",70,233500.0,0.07
"[234000, 235000)",82,234500.0,0.082
"[235000, 236000)",98,235500.0,0.098
"[236000, 237000)",122,236500.0,0.122
"[237000, 238000)",37,237500.0,0.037
"[238000, 239000)",48,238500.0,0.048
"[239000, 240000)",21,239500.0,0.021
"[240000, 241000)",62,240500.0,0.062
"[241000, 242000)",29,241500.0,0.029
"[242000, 243000)",20,242500.0,0.02
"[243000, 244000)",48,243500.0,0.048
"[244000, 245000)",35,244500.0,0.035
"[245000, 246000)",19,245500.0,0.019
"[246000, 247000)",88,246500.0,0.088
"[247000, 248000)",101,247500.0,0.101
"[248000, 249000)",48,248500.0,0.048
"[249000, 250000)",105,249500.0,0.105
"[250000, 251000)",62,250500.0,0.062
"[251000, 252000)",54,251500.0,0.054
"[252000, 253000)",103,252500.0,0.103
"[253000, 254000)",57,253500.0,0.057
"[254000, 255000)",81,254500.0,0.081
"[255000, 256000)",102,255500.0,0.102
"[256000, 257000)",99,256500.0,0.099
"[257000, 258000)",55,257500.0,0.055
"[258000, 259000)",76,258500.0,0.076
"[259000, 260000)",50,259500.0,0.05
"[260000, 261000)",49,260500.0,0.049
"[261000, 262000)",41,261500.0,0.041
"[262000, 263000)",108,262500.0,0.108
"[263000, 264000)",77,263500.0,0.077
"[264000, 265000)",112,264500.0,0.112
"[265000, 266000)",84,265500.0,0.084
"[266000, 267000)",110,266500.0,0.11
"[267000, 268000)",41,267500.0,0.041
"[268000, 269000)",134,268500.0,0.134
"[269000, 270000)",153,269500.0,0.153
"[270000, 271000)",38,270500.0,0.038
"[271000, 272000)",68,271500.0,0.068
"[272000, 273000)",131,272500.0,0.131
"[273000, 274000)",141,273500.0,0.141
"[274000, 275000)",200,274500.0,0.2
"[275000, 276000)",145,275500.0,0.145
"[276000, 277000)",48,276500.0,0.048
"[277000, 278000)",109,277500.0,0.109
"[278000, 279000)",40,278500.0,0.04
