Distance_Bin,Value,Bin_Center,Density_per_bp
"[-575000.0, -565000.0)",0,-570000.0,0.0
"[-565000.0, -555000.0)",330,-560000.0,0.033
"[-555000.0, -545000.0)",2094,-550000.0,0.2094
"[-545000.0, -535000.0)",1132,-540000.0,0.1132
"[-535000.0, -525000.0)",917,-530000.0,0.0917
"[-525000.0, -515000.0)",672,-520000.0,0.0672
"[-515000.0, -505000.0)",848,-510000.0,0.0848
"[-505000.0, -495000.0)",2094,-500000.0,0.2094
"[-495000.0, -485000.0)",918,-490000.0,0.0918
"[-485000.0, -475000.0)",988,-480000.0,0.0988
"[-475000.0, -465000.0)",779,-470000.0,0.0779
"[-465000.0, -455000.0)",656,-460000.0,0.0656
"[-455000.0, -445000.0)",680,-450000.0,0.068
"[-445000.0, -435000.0)",606,-440000.0,0.0606
"[-435000.0, -425000.0)",934,-430000.0,0.0934
"[-425000.0, -415000.0)",840,-420000.0,0.084
"[-415000.0, -405000.0)",577,-410000.0,0.0577
"[-405000.0, -395000.0)",580,-400000.0,0.058
"[-395000.0, -385000.0)",695,-390000.0,0.0695
"[-385000.0, -375000.0)",612,-380000.0,0.0612
"[-375000.0, -365000.0)",636,-370000.0,0.0636
"[-365000.0, -355000.0)",815,-360000.0,0.0815
"[-355000.0, -345000.0)",769,-350000.0,0.0769
"[-345000.0, -335000.0)",1050,-340000.0,0.105
"[-335000.0, -325000.0)",749,-330000.0,0.0749
"[-325000.0, -315000.0)",505,-320000.0,0.0505
"[-315000.0, -305000.0)",615,-310000.0,0.0615
"[-305000.0, -295000.0)",844,-300000.0,0.0844
"[-295000.0, -285000.0)",525,-290000.0,0.0525
"[-285000.0, -275000.0)",628,-280000.0,0.0628
"[-275000.0, -265000.0)",615,-270000.0,0.0615
"[-265000.0, -255000.0)",922,-260000.0,0.0922
"[-255000.0, -245000.0)",629,-250000.0,0.0629
"[-245000.0, -235000.0)",476,-240000.0,0.0476
"[-235000.0, -225000.0)",482,-230000.0,0.0482
"[-225000.0, -215000.0)",986,-220000.0,0.0986
"[-215000.0, -205000.0)",657,-210000.0,0.0657
"[-205000.0, -195000.0)",562,-200000.0,0.0562
"[-195000.0, -185000.0)",736,-190000.0,0.0736
"[-185000.0, -175000.0)",794,-180000.0,0.0794
"[-175000.0, -165000.0)",638,-170000.0,0.0638
"[-165000.0, -155000.0)",310,-160000.0,0.031
"[-155000.0, -145000.0)",820,-150000.0,0.082
"[-145000.0, -135000.0)",799,-140000.0,0.0799
"[-135000.0, -125000.0)",912,-130000.0,0.0912
"[-125000.0, -115000.0)",1217,-120000.0,0.1217
"[-115000.0, -105000.0)",938,-110000.0,0.0938
"[-105000.0, -95000.0)",1156,-100000.0,0.1156
"[-95000.0, -85000.0)",913,-90000.0,0.0913
"[-85000.0, -75000.0)",980,-80000.0,0.098
"[-75000.0, -65000.0)",1102,-70000.0,0.1102
"[-65000.0, -55000.0)",977,-60000.0,0.0977
"[-55000.0, -45000.0)",902,-50000.0,0.0902
"[-45000.0, -35000.0)",1052,-40000.0,0.1052
"[-35000.0, -25000.0)",1234,-30000.0,0.1234
"[-25000.0, -15000.0)",671,-20000.0,0.0671
"[-15000.0, -5000.0)",1091,-10000.0,0.1091
"[-5000.0, 5000.0)",1755,0.0,0.1755
"[5000.0, 15000.0)",1731,10000.0,0.1731
"[15000.0, 25000.0)",1101,20000.0,0.1101
"[25000.0, 35000.0)",1733,30000.0,0.1733
"[35000.0, 45000.0)",820,40000.0,0.082
"[45000.0, 55000.0)",901,50000.0,0.0901
"[55000.0, 65000.0)",870,60000.0,0.087
"[65000.0, 75000.0)",994,70000.0,0.0994
"[75000.0, 85000.0)",562,80000.0,0.0562
"[85000.0, 95000.0)",1073,90000.0,0.1073
"[95000.0, 105000.0)",590,100000.0,0.059
"[105000.0, 115000.0)",709,110000.0,0.0709
"[115000.0, 125000.0)",1014,120000.0,0.1014
"[125000.0, 135000.0)",940,130000.0,0.094
"[135000.0, 145000.0)",1069,140000.0,0.1069
"[145000.0, 155000.0)",749,150000.0,0.0749
"[155000.0, 165000.0)",652,160000.0,0.0652
"[165000.0, 175000.0)",637,170000.0,0.0637
"[175000.0, 185000.0)",540,180000.0,0.054
"[185000.0, 195000.0)",617,190000.0,0.0617
"[195000.0, 205000.0)",740,200000.0,0.074
"[205000.0, 215000.0)",656,210000.0,0.0656
"[215000.0, 225000.0)",673,220000.0,0.0673
"[225000.0, 235000.0)",995,230000.0,0.0995
"[235000.0, 245000.0)",642,240000.0,0.0642
"[245000.0, 255000.0)",2090,250000.0,0.209
"[255000.0, 265000.0)",684,260000.0,0.0684
"[265000.0, 275000.0)",1342,270000.0,0.1342
"[275000.0, 285000.0)",1152,280000.0,0.1152
"[285000.0, 295000.0)",2366,290000.0,0.2366
"[295000.0, 305000.0)",1763,300000.0,0.1763
"[305000.0, 315000.0)",682,310000.0,0.0682
"[315000.0, 325000.0)",618,320000.0,0.0618
"[325000.0, 335000.0)",654,330000.0,0.0654
"[335000.0, 345000.0)",491,340000.0,0.0491
"[345000.0, 355000.0)",539,350000.0,0.0539
"[355000.0, 365000.0)",446,360000.0,0.0446
"[365000.0, 375000.0)",1233,370000.0,0.1233
"[375000.0, 385000.0)",811,380000.0,0.0811
"[385000.0, 395000.0)",1679,390000.0,0.1679
"[395000.0, 405000.0)",0,400000.0,0.0
"[405000.0, 415000.0)",0,410000.0,0.0
"[415000.0, 425000.0)",0,420000.0,0.0
"[425000.0, 435000.0)",0,430000.0,0.0
"[435000.0, 445000.0)",0,440000.0,0.0
