Distance_Bin,Value,Bin_Center,Density_per_bp
"[-327641, -326641)",0,-327141.0,0.0
"[-326641, -325641)",123,-326141.0,0.123
"[-325641, -324641)",83,-325141.0,0.083
"[-324641, -323641)",51,-324141.0,0.051
"[-323641, -322641)",87,-323141.0,0.087
"[-322641, -321641)",131,-322141.0,0.131
"[-321641, -320641)",146,-321141.0,0.146
"[-320641, -319641)",83,-320141.0,0.083
"[-319641, -318641)",85,-319141.0,0.085
"[-318641, -317641)",75,-318141.0,0.075
"[-317641, -316641)",84,-317141.0,0.084
"[-316641, -315641)",87,-316141.0,0.087
"[-315641, -314641)",100,-315141.0,0.1
"[-314641, -313641)",103,-314141.0,0.103
"[-313641, -312641)",42,-313141.0,0.042
"[-312641, -311641)",87,-312141.0,0.087
"[-311641, -310641)",190,-311141.0,0.19
"[-310641, -309641)",95,-310141.0,0.095
"[-309641, -308641)",98,-309141.0,0.098
"[-308641, -307641)",121,-308141.0,0.121
"[-307641, -306641)",99,-307141.0,0.099
"[-306641, -305641)",71,-306141.0,0.071
"[-305641, -304641)",205,-305141.0,0.205
"[-304641, -303641)",81,-304141.0,0.081
"[-303641, -302641)",106,-303141.0,0.106
"[-302641, -301641)",94,-302141.0,0.094
"[-301641, -300641)",86,-301141.0,0.086
"[-300641, -299641)",142,-300141.0,0.142
"[-299641, -298641)",186,-299141.0,0.186
"[-298641, -297641)",84,-298141.0,0.084
"[-297641, -296641)",36,-297141.0,0.036
"[-296641, -295641)",49,-296141.0,0.049
"[-295641, -294641)",73,-295141.0,0.073
"[-294641, -293641)",108,-294141.0,0.108
"[-293641, -292641)",126,-293141.0,0.126
"[-292641, -291641)",108,-292141.0,0.108
"[-291641, -290641)",73,-291141.0,0.073
"[-290641, -289641)",61,-290141.0,0.061
"[-289641, -288641)",76,-289141.0,0.076
"[-288641, -287641)",119,-288141.0,0.119
"[-287641, -286641)",120,-287141.0,0.12
"[-286641, -285641)",155,-286141.0,0.155
"[-285641, -284641)",86,-285141.0,0.086
"[-284641, -283641)",75,-284141.0,0.075
"[-283641, -282641)",89,-283141.0,0.089
"[-282641, -281641)",49,-282141.0,0.049
"[-281641, -280641)",31,-281141.0,0.031
"[-280641, -279641)",43,-280141.0,0.043
"[-279641, -278641)",82,-279141.0,0.082
"[-278641, -277641)",111,-278141.0,0.111
