Distance_Bin,Value,Bin_Center,Density_per_bp
"[-356686, -355686)",0,-356186.0,0.0
"[-355686, -354686)",3099,-355186.0,3.099
"[-354686, -353686)",818,-354186.0,0.818
"[-353686, -352686)",1237,-353186.0,1.237
"[-352686, -351686)",11008,-352186.0,11.008
"[-351686, -350686)",1547,-351186.0,1.547
"[-350686, -349686)",2214,-350186.0,2.214
"[-349686, -348686)",5221,-349186.0,5.221
"[-348686, -347686)",1737,-348186.0,1.737
"[-347686, -346686)",976,-347186.0,0.976
"[-346686, -345686)",1005,-346186.0,1.005
"[-345686, -344686)",1340,-345186.0,1.34
"[-344686, -343686)",959,-344186.0,0.959
"[-343686, -342686)",509,-343186.0,0.509
"[-342686, -341686)",350,-342186.0,0.35
"[-341686, -340686)",586,-341186.0,0.586
"[-340686, -339686)",2014,-340186.0,2.014
"[-339686, -338686)",2691,-339186.0,2.691
"[-338686, -337686)",687,-338186.0,0.687
"[-337686, -336686)",625,-337186.0,0.625
"[-336686, -335686)",923,-336186.0,0.923
"[-335686, -334686)",771,-335186.0,0.771
"[-334686, -333686)",2788,-334186.0,2.788
"[-333686, -332686)",1678,-333186.0,1.678
"[-332686, -331686)",266,-332186.0,0.266
"[-331686, -330686)",272,-331186.0,0.272
"[-330686, -329686)",202,-330186.0,0.202
"[-329686, -328686)",1394,-329186.0,1.394
"[-328686, -327686)",944,-328186.0,0.944
"[-327686, -326686)",2278,-327186.0,2.278
"[-326686, -325686)",921,-326186.0,0.921
"[-325686, -324686)",785,-325186.0,0.785
"[-324686, -323686)",1794,-324186.0,1.794
"[-323686, -322686)",879,-323186.0,0.879
"[-322686, -321686)",2515,-322186.0,2.515
"[-321686, -320686)",1503,-321186.0,1.503
"[-320686, -319686)",1983,-320186.0,1.983
"[-319686, -318686)",2451,-319186.0,2.451
"[-318686, -317686)",1197,-318186.0,1.197
"[-317686, -316686)",639,-317186.0,0.639
"[-316686, -315686)",562,-316186.0,0.562
"[-315686, -314686)",925,-315186.0,0.925
"[-314686, -313686)",1972,-314186.0,1.972
"[-313686, -312686)",392,-313186.0,0.392
"[-312686, -311686)",382,-312186.0,0.382
"[-311686, -310686)",256,-311186.0,0.256
"[-310686, -309686)",689,-310186.0,0.689
"[-309686, -308686)",1042,-309186.0,1.042
"[-308686, -307686)",1972,-308186.0,1.972
"[-307686, -306686)",2687,-307186.0,2.687
"[-306686, -305686)",337,-306186.0,0.337
"[-305686, -304686)",309,-305186.0,0.309
"[-304686, -303686)",634,-304186.0,0.634
"[-303686, -302686)",1186,-303186.0,1.186
"[-302686, -301686)",2162,-302186.0,2.162
"[-301686, -300686)",2777,-301186.0,2.777
"[-300686, -299686)",803,-300186.0,0.803
"[-299686, -298686)",1407,-299186.0,1.407
"[-298686, -297686)",1116,-298186.0,1.116
"[-297686, -296686)",523,-297186.0,0.523
"[-296686, -295686)",310,-296186.0,0.31
"[-295686, -294686)",680,-295186.0,0.68
"[-294686, -293686)",367,-294186.0,0.367
"[-293686, -292686)",1031,-293186.0,1.031
"[-292686, -291686)",524,-292186.0,0.524
"[-291686, -290686)",780,-291186.0,0.78
"[-290686, -289686)",247,-290186.0,0.247
"[-289686, -288686)",223,-289186.0,0.223
"[-288686, -287686)",253,-288186.0,0.253
"[-287686, -286686)",2007,-287186.0,2.007
"[-286686, -285686)",311,-286186.0,0.311
"[-285686, -284686)",193,-285186.0,0.193
"[-284686, -283686)",6,-284186.0,0.006
"[-283686, -282686)",16,-283186.0,0.016
"[-282686, -281686)",680,-282186.0,0.68
"[-281686, -280686)",522,-281186.0,0.522
"[-280686, -279686)",436,-280186.0,0.436
"[-279686, -278686)",975,-279186.0,0.975
"[-278686, -277686)",1223,-278186.0,1.223
"[-277686, -276686)",216,-277186.0,0.216
"[-276686, -275686)",34,-276186.0,0.034
"[-275686, -274686)",294,-275186.0,0.294
"[-274686, -273686)",25,-274186.0,0.025
"[-273686, -272686)",441,-273186.0,0.441
"[-272686, -271686)",1279,-272186.0,1.279
"[-271686, -270686)",255,-271186.0,0.255
"[-270686, -269686)",862,-270186.0,0.862
"[-269686, -268686)",327,-269186.0,0.327
"[-268686, -267686)",298,-268186.0,0.298
"[-267686, -266686)",685,-267186.0,0.685
"[-266686, -265686)",906,-266186.0,0.906
"[-265686, -264686)",635,-265186.0,0.635
"[-264686, -263686)",686,-264186.0,0.686
"[-263686, -262686)",1173,-263186.0,1.173
"[-262686, -261686)",2608,-262186.0,2.608
"[-261686, -260686)",1025,-261186.0,1.025
"[-260686, -259686)",449,-260186.0,0.449
"[-259686, -258686)",3526,-259186.0,3.526
"[-258686, -257686)",589,-258186.0,0.589
"[-257686, -256686)",50,-257186.0,0.05
"[-256686, -255686)",2717,-256186.0,2.717
"[-255686, -254686)",1373,-255186.0,1.373
"[-254686, -253686)",570,-254186.0,0.57
"[-253686, -252686)",3650,-253186.0,3.65
"[-252686, -251686)",562,-252186.0,0.562
"[-251686, -250686)",441,-251186.0,0.441
"[-250686, -249686)",750,-250186.0,0.75
"[-249686, -248686)",873,-249186.0,0.873
"[-248686, -247686)",247,-248186.0,0.247
"[-247686, -246686)",38,-247186.0,0.038
"[-246686, -245686)",103,-246186.0,0.103
"[-245686, -244686)",120,-245186.0,0.12
"[-244686, -243686)",66,-244186.0,0.066
"[-243686, -242686)",160,-243186.0,0.16
"[-242686, -241686)",1609,-242186.0,1.609
"[-241686, -240686)",383,-241186.0,0.383
"[-240686, -239686)",200,-240186.0,0.2
"[-239686, -238686)",319,-239186.0,0.319
"[-238686, -237686)",887,-238186.0,0.887
"[-237686, -236686)",7,-237186.0,0.007
"[-236686, -235686)",5,-236186.0,0.005
"[-235686, -234686)",9,-235186.0,0.009
"[-234686, -233686)",578,-234186.0,0.578
"[-233686, -232686)",1879,-233186.0,1.879
"[-232686, -231686)",548,-232186.0,0.548
"[-231686, -230686)",477,-231186.0,0.477
"[-230686, -229686)",1276,-230186.0,1.276
"[-229686, -228686)",2185,-229186.0,2.185
"[-228686, -227686)",2235,-228186.0,2.235
"[-227686, -226686)",1690,-227186.0,1.69
"[-226686, -225686)",4380,-226186.0,4.38
"[-225686, -224686)",3246,-225186.0,3.246
"[-224686, -223686)",1113,-224186.0,1.113
"[-223686, -222686)",1119,-223186.0,1.119
"[-222686, -221686)",735,-222186.0,0.735
"[-221686, -220686)",2278,-221186.0,2.278
"[-220686, -219686)",1210,-220186.0,1.21
"[-219686, -218686)",654,-219186.0,0.654
"[-218686, -217686)",343,-218186.0,0.343
"[-217686, -216686)",1596,-217186.0,1.596
"[-216686, -215686)",2016,-216186.0,2.016
"[-215686, -214686)",186,-215186.0,0.186
"[-214686, -213686)",1128,-214186.0,1.128
"[-213686, -212686)",3897,-213186.0,3.897
"[-212686, -211686)",1517,-212186.0,1.517
"[-211686, -210686)",488,-211186.0,0.488
"[-210686, -209686)",29,-210186.0,0.029
"[-209686, -208686)",20,-209186.0,0.02
"[-208686, -207686)",33,-208186.0,0.033
"[-207686, -206686)",208,-207186.0,0.208
"[-206686, -205686)",539,-206186.0,0.539
"[-205686, -204686)",3607,-205186.0,3.607
"[-204686, -203686)",2451,-204186.0,2.451
"[-203686, -202686)",779,-203186.0,0.779
"[-202686, -201686)",399,-202186.0,0.399
"[-201686, -200686)",1463,-201186.0,1.463
"[-200686, -199686)",1632,-200186.0,1.632
"[-199686, -198686)",590,-199186.0,0.59
"[-198686, -197686)",264,-198186.0,0.264
"[-197686, -196686)",26,-197186.0,0.026
"[-196686, -195686)",353,-196186.0,0.353
"[-195686, -194686)",2675,-195186.0,2.675
"[-194686, -193686)",3257,-194186.0,3.257
"[-193686, -192686)",705,-193186.0,0.705
"[-192686, -191686)",730,-192186.0,0.73
"[-191686, -190686)",408,-191186.0,0.408
"[-190686, -189686)",750,-190186.0,0.75
"[-189686, -188686)",1669,-189186.0,1.669
"[-188686, -187686)",570,-188186.0,0.57
"[-187686, -186686)",692,-187186.0,0.692
"[-186686, -185686)",2670,-186186.0,2.67
"[-185686, -184686)",97,-185186.0,0.097
"[-184686, -183686)",829,-184186.0,0.829
"[-183686, -182686)",992,-183186.0,0.992
"[-182686, -181686)",1689,-182186.0,1.689
"[-181686, -180686)",108,-181186.0,0.108
"[-180686, -179686)",2367,-180186.0,2.367
"[-179686, -178686)",30667,-179186.0,30.667
"[-178686, -177686)",4330,-178186.0,4.33
"[-177686, -176686)",1199,-177186.0,1.199
"[-176686, -175686)",334,-176186.0,0.334
"[-175686, -174686)",1899,-175186.0,1.899
"[-174686, -173686)",115,-174186.0,0.115
"[-173686, -172686)",689,-173186.0,0.689
"[-172686, -171686)",2912,-172186.0,2.912
"[-171686, -170686)",526,-171186.0,0.526
"[-170686, -169686)",540,-170186.0,0.54
"[-169686, -168686)",616,-169186.0,0.616
"[-168686, -167686)",1445,-168186.0,1.445
"[-167686, -166686)",2112,-167186.0,2.112
"[-166686, -165686)",1337,-166186.0,1.337
"[-165686, -164686)",756,-165186.0,0.756
"[-164686, -163686)",54,-164186.0,0.054
"[-163686, -162686)",44,-163186.0,0.044
"[-162686, -161686)",3570,-162186.0,3.57
"[-161686, -160686)",2191,-161186.0,2.191
"[-160686, -159686)",627,-160186.0,0.627
"[-159686, -158686)",776,-159186.0,0.776
"[-158686, -157686)",3117,-158186.0,3.117
"[-157686, -156686)",1236,-157186.0,1.236
"[-156686, -155686)",2671,-156186.0,2.671
"[-155686, -154686)",2607,-155186.0,2.607
"[-154686, -153686)",582,-154186.0,0.582
"[-153686, -152686)",1293,-153186.0,1.293
"[-152686, -151686)",724,-152186.0,0.724
"[-151686, -150686)",916,-151186.0,0.916
"[-150686, -149686)",1738,-150186.0,1.738
"[-149686, -148686)",2263,-149186.0,2.263
"[-148686, -147686)",4477,-148186.0,4.477
"[-147686, -146686)",701,-147186.0,0.701
"[-146686, -145686)",1900,-146186.0,1.9
"[-145686, -144686)",1821,-145186.0,1.821
"[-144686, -143686)",814,-144186.0,0.814
"[-143686, -142686)",1293,-143186.0,1.293
"[-142686, -141686)",26,-142186.0,0.026
"[-141686, -140686)",706,-141186.0,0.706
"[-140686, -139686)",1992,-140186.0,1.992
"[-139686, -138686)",4109,-139186.0,4.109
"[-138686, -137686)",1249,-138186.0,1.249
"[-137686, -136686)",308,-137186.0,0.308
"[-136686, -135686)",47,-136186.0,0.047
"[-135686, -134686)",1702,-135186.0,1.702
"[-134686, -133686)",1482,-134186.0,1.482
"[-133686, -132686)",3809,-133186.0,3.809
"[-132686, -131686)",1225,-132186.0,1.225
"[-131686, -130686)",235,-131186.0,0.235
"[-130686, -129686)",685,-130186.0,0.685
"[-129686, -128686)",2211,-129186.0,2.211
"[-128686, -127686)",282,-128186.0,0.282
"[-127686, -126686)",200,-127186.0,0.2
"[-126686, -125686)",339,-126186.0,0.339
"[-125686, -124686)",1718,-125186.0,1.718
"[-124686, -123686)",1450,-124186.0,1.45
"[-123686, -122686)",1834,-123186.0,1.834
"[-122686, -121686)",405,-122186.0,0.405
"[-121686, -120686)",5,-121186.0,0.005
"[-120686, -119686)",826,-120186.0,0.826
"[-119686, -118686)",548,-119186.0,0.548
"[-118686, -117686)",1282,-118186.0,1.282
"[-117686, -116686)",875,-117186.0,0.875
"[-116686, -115686)",797,-116186.0,0.797
"[-115686, -114686)",918,-115186.0,0.918
"[-114686, -113686)",5263,-114186.0,5.263
"[-113686, -112686)",1099,-113186.0,1.099
"[-112686, -111686)",1315,-112186.0,1.315
"[-111686, -110686)",721,-111186.0,0.721
"[-110686, -109686)",2260,-110186.0,2.26
"[-109686, -108686)",736,-109186.0,0.736
"[-108686, -107686)",3179,-108186.0,3.179
"[-107686, -106686)",3494,-107186.0,3.494
"[-106686, -105686)",10540,-106186.0,10.54
"[-105686, -104686)",1924,-105186.0,1.924
"[-104686, -103686)",1397,-104186.0,1.397
"[-103686, -102686)",1698,-103186.0,1.698
"[-102686, -101686)",1587,-102186.0,1.587
"[-101686, -100686)",4579,-101186.0,4.579
"[-100686, -99686)",1331,-100186.0,1.331
"[-99686, -98686)",388,-99186.0,0.388
"[-98686, -97686)",2559,-98186.0,2.559
"[-97686, -96686)",5176,-97186.0,5.176
