Distance_Bin,Value,Bin_Center,Density_per_bp
"[-153500.0, -152500.0)",0,-153000.0,0.0
"[-152500.0, -151500.0)",1,-152000.0,0.001
"[-151500.0, -150500.0)",152,-151000.0,0.152
"[-150500.0, -149500.0)",105,-150000.0,0.105
"[-149500.0, -148500.0)",81,-149000.0,0.081
"[-148500.0, -147500.0)",52,-148000.0,0.052
"[-147500.0, -146500.0)",56,-147000.0,0.056
"[-146500.0, -145500.0)",57,-146000.0,0.057
"[-145500.0, -144500.0)",107,-145000.0,0.107
"[-144500.0, -143500.0)",73,-144000.0,0.073
"[-143500.0, -142500.0)",89,-143000.0,0.089
"[-142500.0, -141500.0)",199,-142000.0,0.199
"[-141500.0, -140500.0)",121,-141000.0,0.121
"[-140500.0, -139500.0)",140,-140000.0,0.14
"[-139500.0, -138500.0)",94,-139000.0,0.094
"[-138500.0, -137500.0)",91,-138000.0,0.091
"[-137500.0, -136500.0)",182,-137000.0,0.182
"[-136500.0, -135500.0)",107,-136000.0,0.107
"[-135500.0, -134500.0)",144,-135000.0,0.144
"[-134500.0, -133500.0)",162,-134000.0,0.162
"[-133500.0, -132500.0)",104,-133000.0,0.104
"[-132500.0, -131500.0)",105,-132000.0,0.105
"[-131500.0, -130500.0)",183,-131000.0,0.183
"[-130500.0, -129500.0)",115,-130000.0,0.115
"[-129500.0, -128500.0)",106,-129000.0,0.106
"[-128500.0, -127500.0)",153,-128000.0,0.153
"[-127500.0, -126500.0)",204,-127000.0,0.204
"[-126500.0, -125500.0)",93,-126000.0,0.093
"[-125500.0, -124500.0)",31,-125000.0,0.031
"[-124500.0, -123500.0)",70,-124000.0,0.07
"[-123500.0, -122500.0)",111,-123000.0,0.111
"[-122500.0, -121500.0)",148,-122000.0,0.148
"[-121500.0, -120500.0)",103,-121000.0,0.103
"[-120500.0, -119500.0)",205,-120000.0,0.205
"[-119500.0, -118500.0)",272,-119000.0,0.272
"[-118500.0, -117500.0)",200,-118000.0,0.2
"[-117500.0, -116500.0)",281,-117000.0,0.281
"[-116500.0, -115500.0)",148,-116000.0,0.148
"[-115500.0, -114500.0)",128,-115000.0,0.128
"[-114500.0, -113500.0)",117,-114000.0,0.117
"[-113500.0, -112500.0)",110,-113000.0,0.11
"[-112500.0, -111500.0)",99,-112000.0,0.099
"[-111500.0, -110500.0)",41,-111000.0,0.041
"[-110500.0, -109500.0)",53,-110000.0,0.053
"[-109500.0, -108500.0)",139,-109000.0,0.139
"[-108500.0, -107500.0)",150,-108000.0,0.15
"[-107500.0, -106500.0)",134,-107000.0,0.134
"[-106500.0, -105500.0)",224,-106000.0,0.224
"[-105500.0, -104500.0)",89,-105000.0,0.089
"[-104500.0, -103500.0)",54,-104000.0,0.054
"[-103500.0, -102500.0)",168,-103000.0,0.168
"[-102500.0, -101500.0)",43,-102000.0,0.043
"[-101500.0, -100500.0)",71,-101000.0,0.071
"[-100500.0, -99500.0)",101,-100000.0,0.101
"[-99500.0, -98500.0)",178,-99000.0,0.178
"[-98500.0, -97500.0)",117,-98000.0,0.117
"[-97500.0, -96500.0)",85,-97000.0,0.085
"[-96500.0, -95500.0)",3,-96000.0,0.003
"[-95500.0, -94500.0)",59,-95000.0,0.059
"[-94500.0, -93500.0)",132,-94000.0,0.132
"[-93500.0, -92500.0)",180,-93000.0,0.18
"[-92500.0, -91500.0)",55,-92000.0,0.055
"[-91500.0, -90500.0)",6,-91000.0,0.006
"[-90500.0, -89500.0)",141,-90000.0,0.141
"[-89500.0, -88500.0)",110,-89000.0,0.11
"[-88500.0, -87500.0)",11,-88000.0,0.011
"[-87500.0, -86500.0)",9,-87000.0,0.009
"[-86500.0, -85500.0)",51,-86000.0,0.051
"[-85500.0, -84500.0)",37,-85000.0,0.037
"[-84500.0, -83500.0)",52,-84000.0,0.052
"[-83500.0, -82500.0)",336,-83000.0,0.336
"[-82500.0, -81500.0)",282,-82000.0,0.282
"[-81500.0, -80500.0)",266,-81000.0,0.266
"[-80500.0, -79500.0)",242,-80000.0,0.242
"[-79500.0, -78500.0)",24,-79000.0,0.024
