Distance_Bin,Value,Bin_Center,Density_per_bp
"[-150500.0, -149500.0)",0,-150000.0,0.0
"[-149500.0, -148500.0)",20,-149000.0,0.02
"[-148500.0, -147500.0)",185,-148000.0,0.185
"[-147500.0, -146500.0)",202,-147000.0,0.202
"[-146500.0, -145500.0)",363,-146000.0,0.363
"[-145500.0, -144500.0)",279,-145000.0,0.279
"[-144500.0, -143500.0)",390,-144000.0,0.39
"[-143500.0, -142500.0)",179,-143000.0,0.179
"[-142500.0, -141500.0)",175,-142000.0,0.175
"[-141500.0, -140500.0)",138,-141000.0,0.138
"[-140500.0, -139500.0)",134,-140000.0,0.134
"[-139500.0, -138500.0)",172,-139000.0,0.172
"[-138500.0, -137500.0)",167,-138000.0,0.167
"[-137500.0, -136500.0)",220,-137000.0,0.22
"[-136500.0, -135500.0)",235,-136000.0,0.235
"[-135500.0, -134500.0)",130,-135000.0,0.13
"[-134500.0, -133500.0)",150,-134000.0,0.15
"[-133500.0, -132500.0)",80,-133000.0,0.08
"[-132500.0, -131500.0)",137,-132000.0,0.137
"[-131500.0, -130500.0)",70,-131000.0,0.07
"[-130500.0, -129500.0)",59,-130000.0,0.059
"[-129500.0, -128500.0)",80,-129000.0,0.08
"[-128500.0, -127500.0)",94,-128000.0,0.094
"[-127500.0, -126500.0)",100,-127000.0,0.1
"[-126500.0, -125500.0)",132,-126000.0,0.132
"[-125500.0, -124500.0)",110,-125000.0,0.11
"[-124500.0, -123500.0)",63,-124000.0,0.063
"[-123500.0, -122500.0)",40,-123000.0,0.04
"[-122500.0, -121500.0)",63,-122000.0,0.063
"[-121500.0, -120500.0)",118,-121000.0,0.118
"[-120500.0, -119500.0)",87,-120000.0,0.087
"[-119500.0, -118500.0)",80,-119000.0,0.08
"[-118500.0, -117500.0)",102,-118000.0,0.102
"[-117500.0, -116500.0)",97,-117000.0,0.097
"[-116500.0, -115500.0)",319,-116000.0,0.319
"[-115500.0, -114500.0)",128,-115000.0,0.128
"[-114500.0, -113500.0)",70,-114000.0,0.07
"[-113500.0, -112500.0)",80,-113000.0,0.08
"[-112500.0, -111500.0)",103,-112000.0,0.103
"[-111500.0, -110500.0)",59,-111000.0,0.059
"[-110500.0, -109500.0)",73,-110000.0,0.073
"[-109500.0, -108500.0)",40,-109000.0,0.04
"[-108500.0, -107500.0)",111,-108000.0,0.111
"[-107500.0, -106500.0)",66,-107000.0,0.066
"[-106500.0, -105500.0)",101,-106000.0,0.101
"[-105500.0, -104500.0)",71,-105000.0,0.071
"[-104500.0, -103500.0)",69,-104000.0,0.069
"[-103500.0, -102500.0)",119,-103000.0,0.119
"[-102500.0, -101500.0)",83,-102000.0,0.083
"[-101500.0, -100500.0)",150,-101000.0,0.15
"[-100500.0, -99500.0)",140,-100000.0,0.14
"[-99500.0, -98500.0)",112,-99000.0,0.112
"[-98500.0, -97500.0)",85,-98000.0,0.085
"[-97500.0, -96500.0)",119,-97000.0,0.119
"[-96500.0, -95500.0)",140,-96000.0,0.14
"[-95500.0, -94500.0)",47,-95000.0,0.047
"[-94500.0, -93500.0)",88,-94000.0,0.088
"[-93500.0, -92500.0)",106,-93000.0,0.106
"[-92500.0, -91500.0)",113,-92000.0,0.113
"[-91500.0, -90500.0)",47,-91000.0,0.047
"[-90500.0, -89500.0)",159,-90000.0,0.159
"[-89500.0, -88500.0)",17,-89000.0,0.017
"[-88500.0, -87500.0)",16,-88000.0,0.016
"[-87500.0, -86500.0)",31,-87000.0,0.031
"[-86500.0, -85500.0)",45,-86000.0,0.045
"[-85500.0, -84500.0)",90,-85000.0,0.09
"[-84500.0, -83500.0)",164,-84000.0,0.164
"[-83500.0, -82500.0)",144,-83000.0,0.144
"[-82500.0, -81500.0)",74,-82000.0,0.074
"[-81500.0, -80500.0)",79,-81000.0,0.079
"[-80500.0, -79500.0)",135,-80000.0,0.135
"[-79500.0, -78500.0)",73,-79000.0,0.073
"[-78500.0, -77500.0)",48,-78000.0,0.048
"[-77500.0, -76500.0)",41,-77000.0,0.041
"[-76500.0, -75500.0)",42,-76000.0,0.042
"[-75500.0, -74500.0)",57,-75000.0,0.057
