Distance_Bin,Value,Bin_Center,Density_per_bp
"[-785000.0, -775000.0)",0,-780000.0,0.0
"[-775000.0, -765000.0)",0,-770000.0,0.0
"[-765000.0, -755000.0)",0,-760000.0,0.0
"[-755000.0, -745000.0)",0,-750000.0,0.0
"[-745000.0, -735000.0)",0,-740000.0,0.0
"[-735000.0, -725000.0)",0,-730000.0,0.0
"[-725000.0, -715000.0)",0,-720000.0,0.0
"[-715000.0, -705000.0)",0,-710000.0,0.0
"[-705000.0, -695000.0)",0,-700000.0,0.0
"[-695000.0, -685000.0)",0,-690000.0,0.0
"[-685000.0, -675000.0)",0,-680000.0,0.0
"[-675000.0, -665000.0)",0,-670000.0,0.0
"[-665000.0, -655000.0)",0,-660000.0,0.0
"[-655000.0, -645000.0)",0,-650000.0,0.0
"[-645000.0, -635000.0)",0,-640000.0,0.0
"[-635000.0, -625000.0)",0,-630000.0,0.0
"[-625000.0, -615000.0)",0,-620000.0,0.0
"[-615000.0, -605000.0)",0,-610000.0,0.0
"[-605000.0, -595000.0)",0,-600000.0,0.0
"[-595000.0, -585000.0)",0,-590000.0,0.0
"[-585000.0, -575000.0)",0,-580000.0,0.0
"[-575000.0, -565000.0)",0,-570000.0,0.0
"[-565000.0, -555000.0)",0,-560000.0,0.0
"[-555000.0, -545000.0)",0,-550000.0,0.0
"[-545000.0, -535000.0)",0,-540000.0,0.0
"[-535000.0, -525000.0)",0,-530000.0,0.0
"[-525000.0, -515000.0)",0,-520000.0,0.0
"[-515000.0, -505000.0)",0,-510000.0,0.0
"[-505000.0, -495000.0)",0,-500000.0,0.0
"[-495000.0, -485000.0)",0,-490000.0,0.0
"[-485000.0, -475000.0)",0,-480000.0,0.0
"[-475000.0, -465000.0)",0,-470000.0,0.0
"[-465000.0, -455000.0)",0,-460000.0,0.0
"[-455000.0, -445000.0)",0,-450000.0,0.0
"[-445000.0, -435000.0)",0,-440000.0,0.0
"[-435000.0, -425000.0)",0,-430000.0,0.0
"[-425000.0, -415000.0)",0,-420000.0,0.0
"[-415000.0, -405000.0)",0,-410000.0,0.0
"[-405000.0, -395000.0)",0,-400000.0,0.0
"[-395000.0, -385000.0)",0,-390000.0,0.0
"[-385000.0, -375000.0)",0,-380000.0,0.0
"[-375000.0, -365000.0)",0,-370000.0,0.0
"[-365000.0, -355000.0)",0,-360000.0,0.0
"[-355000.0, -345000.0)",0,-350000.0,0.0
"[-345000.0, -335000.0)",0,-340000.0,0.0
"[-335000.0, -325000.0)",188,-330000.0,0.0188
"[-325000.0, -315000.0)",1018,-320000.0,0.1018
"[-315000.0, -305000.0)",1113,-310000.0,0.1113
"[-305000.0, -295000.0)",997,-300000.0,0.0997
"[-295000.0, -285000.0)",1097,-290000.0,0.1097
"[-285000.0, -275000.0)",591,-280000.0,0.0591
"[-275000.0, -265000.0)",670,-270000.0,0.067
"[-265000.0, -255000.0)",700,-260000.0,0.07
"[-255000.0, -245000.0)",876,-250000.0,0.0876
"[-245000.0, -235000.0)",995,-240000.0,0.0995
"[-235000.0, -225000.0)",945,-230000.0,0.0945
"[-225000.0, -215000.0)",1058,-220000.0,0.1058
"[-215000.0, -205000.0)",1872,-210000.0,0.1872
"[-205000.0, -195000.0)",1051,-200000.0,0.1051
"[-195000.0, -185000.0)",635,-190000.0,0.0635
"[-185000.0, -175000.0)",742,-180000.0,0.0742
"[-175000.0, -165000.0)",775,-170000.0,0.0775
"[-165000.0, -155000.0)",1173,-160000.0,0.1173
"[-155000.0, -145000.0)",252,-150000.0,0.0252
"[-145000.0, -135000.0)",548,-140000.0,0.0548
"[-135000.0, -125000.0)",679,-130000.0,0.0679
"[-125000.0, -115000.0)",757,-120000.0,0.0757
"[-115000.0, -105000.0)",1209,-110000.0,0.1209
"[-105000.0, -95000.0)",1124,-100000.0,0.1124
"[-95000.0, -85000.0)",1091,-90000.0,0.1091
"[-85000.0, -75000.0)",945,-80000.0,0.0945
"[-75000.0, -65000.0)",815,-70000.0,0.0815
"[-65000.0, -55000.0)",800,-60000.0,0.08
"[-55000.0, -45000.0)",1001,-50000.0,0.1001
"[-45000.0, -35000.0)",1141,-40000.0,0.1141
"[-35000.0, -25000.0)",1190,-30000.0,0.119
"[-25000.0, -15000.0)",1678,-20000.0,0.1678
"[-15000.0, -5000.0)",1022,-10000.0,0.1022
"[-5000.0, 5000.0)",1522,0.0,0.1522
"[5000.0, 15000.0)",1612,10000.0,0.1612
"[15000.0, 25000.0)",1299,20000.0,0.1299
"[25000.0, 35000.0)",1011,30000.0,0.1011
"[35000.0, 45000.0)",1097,40000.0,0.1097
"[45000.0, 55000.0)",1219,50000.0,0.1219
"[55000.0, 65000.0)",1425,60000.0,0.1425
"[65000.0, 75000.0)",1204,70000.0,0.1204
"[75000.0, 85000.0)",1063,80000.0,0.1063
"[85000.0, 95000.0)",806,90000.0,0.0806
"[95000.0, 105000.0)",1233,100000.0,0.1233
"[105000.0, 115000.0)",789,110000.0,0.0789
"[115000.0, 125000.0)",918,120000.0,0.0918
"[125000.0, 135000.0)",675,130000.0,0.0675
"[135000.0, 145000.0)",941,140000.0,0.0941
"[145000.0, 155000.0)",1218,150000.0,0.1218
"[155000.0, 165000.0)",918,160000.0,0.0918
"[165000.0, 175000.0)",863,170000.0,0.0863
"[175000.0, 185000.0)",794,180000.0,0.0794
"[185000.0, 195000.0)",1073,190000.0,0.1073
"[195000.0, 205000.0)",748,200000.0,0.0748
"[205000.0, 215000.0)",468,210000.0,0.0468
"[215000.0, 225000.0)",618,220000.0,0.0618
"[225000.0, 235000.0)",660,230000.0,0.066
"[235000.0, 245000.0)",2502,240000.0,0.2502
"[245000.0, 255000.0)",808,250000.0,0.0808
"[255000.0, 265000.0)",776,260000.0,0.0776
"[265000.0, 275000.0)",2041,270000.0,0.2041
"[275000.0, 285000.0)",604,280000.0,0.0604
"[285000.0, 295000.0)",633,290000.0,0.0633
"[295000.0, 305000.0)",604,300000.0,0.0604
"[305000.0, 315000.0)",660,310000.0,0.066
"[315000.0, 325000.0)",740,320000.0,0.074
"[325000.0, 335000.0)",714,330000.0,0.0714
"[335000.0, 345000.0)",973,340000.0,0.0973
"[345000.0, 355000.0)",800,350000.0,0.08
"[355000.0, 365000.0)",932,360000.0,0.0932
"[365000.0, 375000.0)",608,370000.0,0.0608
"[375000.0, 385000.0)",1469,380000.0,0.1469
"[385000.0, 395000.0)",567,390000.0,0.0567
"[395000.0, 405000.0)",503,400000.0,0.0503
"[405000.0, 415000.0)",448,410000.0,0.0448
"[415000.0, 425000.0)",751,420000.0,0.0751
"[425000.0, 435000.0)",799,430000.0,0.0799
"[435000.0, 445000.0)",1031,440000.0,0.1031
"[445000.0, 455000.0)",810,450000.0,0.081
"[455000.0, 465000.0)",636,460000.0,0.0636
"[465000.0, 475000.0)",510,470000.0,0.051
"[475000.0, 485000.0)",458,480000.0,0.0458
"[485000.0, 495000.0)",589,490000.0,0.0589
"[495000.0, 505000.0)",697,500000.0,0.0697
"[505000.0, 515000.0)",926,510000.0,0.0926
"[515000.0, 525000.0)",792,520000.0,0.0792
"[525000.0, 535000.0)",588,530000.0,0.0588
"[535000.0, 545000.0)",638,540000.0,0.0638
"[545000.0, 555000.0)",920,550000.0,0.092
"[555000.0, 565000.0)",746,560000.0,0.0746
"[565000.0, 575000.0)",743,570000.0,0.0743
"[575000.0, 585000.0)",927,580000.0,0.0927
"[585000.0, 595000.0)",805,590000.0,0.0805
"[595000.0, 605000.0)",504,600000.0,0.0504
"[605000.0, 615000.0)",503,610000.0,0.0503
"[615000.0, 625000.0)",385,620000.0,0.0385
"[625000.0, 635000.0)",616,630000.0,0.0616
"[635000.0, 645000.0)",957,640000.0,0.0957
"[645000.0, 655000.0)",1713,650000.0,0.1713
"[655000.0, 665000.0)",1256,660000.0,0.1256
"[665000.0, 675000.0)",685,670000.0,0.0685
"[675000.0, 685000.0)",1003,680000.0,0.1003
"[685000.0, 695000.0)",554,690000.0,0.0554
"[695000.0, 705000.0)",640,700000.0,0.064
"[705000.0, 715000.0)",562,710000.0,0.0562
"[715000.0, 725000.0)",1001,720000.0,0.1001
"[725000.0, 735000.0)",1004,730000.0,0.1004
"[735000.0, 745000.0)",725,740000.0,0.0725
"[745000.0, 755000.0)",1272,750000.0,0.1272
"[755000.0, 765000.0)",2358,760000.0,0.2358
"[765000.0, 775000.0)",0,770000.0,0.0
"[775000.0, 785000.0)",0,780000.0,0.0
