Distance_Bin,Value,Bin_Center,Density_per_bp
"[-204500.0, -203500.0)",0,-204000.0,0.0
"[-203500.0, -202500.0)",0,-203000.0,0.0
"[-202500.0, -201500.0)",0,-202000.0,0.0
"[-201500.0, -200500.0)",0,-201000.0,0.0
"[-200500.0, -199500.0)",0,-200000.0,0.0
"[-199500.0, -198500.0)",0,-199000.0,0.0
"[-198500.0, -197500.0)",0,-198000.0,0.0
"[-197500.0, -196500.0)",0,-197000.0,0.0
"[-196500.0, -195500.0)",0,-196000.0,0.0
"[-195500.0, -194500.0)",0,-195000.0,0.0
"[-194500.0, -193500.0)",0,-194000.0,0.0
"[-193500.0, -192500.0)",0,-193000.0,0.0
"[-192500.0, -191500.0)",0,-192000.0,0.0
"[-191500.0, -190500.0)",0,-191000.0,0.0
"[-190500.0, -189500.0)",0,-190000.0,0.0
"[-189500.0, -188500.0)",0,-189000.0,0.0
"[-188500.0, -187500.0)",0,-188000.0,0.0
"[-187500.0, -186500.0)",0,-187000.0,0.0
"[-186500.0, -185500.0)",0,-186000.0,0.0
"[-185500.0, -184500.0)",0,-185000.0,0.0
"[-184500.0, -183500.0)",0,-184000.0,0.0
"[-183500.0, -182500.0)",0,-183000.0,0.0
"[-182500.0, -181500.0)",0,-182000.0,0.0
"[-181500.0, -180500.0)",0,-181000.0,0.0
"[-180500.0, -179500.0)",0,-180000.0,0.0
"[-179500.0, -178500.0)",0,-179000.0,0.0
"[-178500.0, -177500.0)",0,-178000.0,0.0
"[-177500.0, -176500.0)",0,-177000.0,0.0
"[-176500.0, -175500.0)",0,-176000.0,0.0
"[-175500.0, -174500.0)",0,-175000.0,0.0
"[-174500.0, -173500.0)",0,-174000.0,0.0
"[-173500.0, -172500.0)",0,-173000.0,0.0
"[-172500.0, -171500.0)",0,-172000.0,0.0
"[-171500.0, -170500.0)",0,-171000.0,0.0
"[-170500.0, -169500.0)",0,-170000.0,0.0
"[-169500.0, -168500.0)",0,-169000.0,0.0
"[-168500.0, -167500.0)",0,-168000.0,0.0
"[-167500.0, -166500.0)",0,-167000.0,0.0
"[-166500.0, -165500.0)",0,-166000.0,0.0
"[-165500.0, -164500.0)",0,-165000.0,0.0
"[-164500.0, -163500.0)",0,-164000.0,0.0
"[-163500.0, -162500.0)",0,-163000.0,0.0
"[-162500.0, -161500.0)",0,-162000.0,0.0
"[-161500.0, -160500.0)",0,-161000.0,0.0
"[-160500.0, -159500.0)",0,-160000.0,0.0
"[-159500.0, -158500.0)",0,-159000.0,0.0
"[-158500.0, -157500.0)",0,-158000.0,0.0
"[-157500.0, -156500.0)",0,-157000.0,0.0
"[-156500.0, -155500.0)",0,-156000.0,0.0
"[-155500.0, -154500.0)",0,-155000.0,0.0
"[-154500.0, -153500.0)",0,-154000.0,0.0
"[-153500.0, -152500.0)",0,-153000.0,0.0
"[-152500.0, -151500.0)",0,-152000.0,0.0
"[-151500.0, -150500.0)",0,-151000.0,0.0
"[-150500.0, -149500.0)",0,-150000.0,0.0
"[-149500.0, -148500.0)",0,-149000.0,0.0
"[-148500.0, -147500.0)",0,-148000.0,0.0
"[-147500.0, -146500.0)",0,-147000.0,0.0
"[-146500.0, -145500.0)",0,-146000.0,0.0
"[-145500.0, -144500.0)",0,-145000.0,0.0
"[-144500.0, -143500.0)",0,-144000.0,0.0
"[-143500.0, -142500.0)",0,-143000.0,0.0
"[-142500.0, -141500.0)",0,-142000.0,0.0
"[-141500.0, -140500.0)",0,-141000.0,0.0
"[-140500.0, -139500.0)",0,-140000.0,0.0
"[-139500.0, -138500.0)",0,-139000.0,0.0
"[-138500.0, -137500.0)",0,-138000.0,0.0
"[-137500.0, -136500.0)",0,-137000.0,0.0
"[-136500.0, -135500.0)",0,-136000.0,0.0
"[-135500.0, -134500.0)",0,-135000.0,0.0
"[-134500.0, -133500.0)",0,-134000.0,0.0
"[-133500.0, -132500.0)",0,-133000.0,0.0
"[-132500.0, -131500.0)",0,-132000.0,0.0
"[-131500.0, -130500.0)",0,-131000.0,0.0
"[-130500.0, -129500.0)",0,-130000.0,0.0
"[-129500.0, -128500.0)",0,-129000.0,0.0
"[-128500.0, -127500.0)",0,-128000.0,0.0
"[-127500.0, -126500.0)",0,-127000.0,0.0
"[-126500.0, -125500.0)",0,-126000.0,0.0
"[-125500.0, -124500.0)",0,-125000.0,0.0
"[-124500.0, -123500.0)",0,-124000.0,0.0
"[-123500.0, -122500.0)",0,-123000.0,0.0
"[-122500.0, -121500.0)",0,-122000.0,0.0
"[-121500.0, -120500.0)",0,-121000.0,0.0
"[-120500.0, -119500.0)",0,-120000.0,0.0
"[-119500.0, -118500.0)",0,-119000.0,0.0
"[-118500.0, -117500.0)",0,-118000.0,0.0
"[-117500.0, -116500.0)",0,-117000.0,0.0
"[-116500.0, -115500.0)",0,-116000.0,0.0
"[-115500.0, -114500.0)",0,-115000.0,0.0
"[-114500.0, -113500.0)",55,-114000.0,0.055
"[-113500.0, -112500.0)",17,-113000.0,0.017
"[-112500.0, -111500.0)",16,-112000.0,0.016
"[-111500.0, -110500.0)",9,-111000.0,0.009
"[-110500.0, -109500.0)",10,-110000.0,0.01
"[-109500.0, -108500.0)",7,-109000.0,0.007
"[-108500.0, -107500.0)",19,-108000.0,0.019
"[-107500.0, -106500.0)",35,-107000.0,0.035
"[-106500.0, -105500.0)",16,-106000.0,0.016
"[-105500.0, -104500.0)",27,-105000.0,0.027
"[-104500.0, -103500.0)",25,-104000.0,0.025
"[-103500.0, -102500.0)",14,-103000.0,0.014
"[-102500.0, -101500.0)",24,-102000.0,0.024
"[-101500.0, -100500.0)",52,-101000.0,0.052
"[-100500.0, -99500.0)",19,-100000.0,0.019
"[-99500.0, -98500.0)",17,-99000.0,0.017
"[-98500.0, -97500.0)",21,-98000.0,0.021
"[-97500.0, -96500.0)",49,-97000.0,0.049
"[-96500.0, -95500.0)",25,-96000.0,0.025
"[-95500.0, -94500.0)",15,-95000.0,0.015
"[-94500.0, -93500.0)",14,-94000.0,0.014
"[-93500.0, -92500.0)",8,-93000.0,0.008
"[-92500.0, -91500.0)",34,-92000.0,0.034
"[-91500.0, -90500.0)",34,-91000.0,0.034
"[-90500.0, -89500.0)",66,-90000.0,0.066
"[-89500.0, -88500.0)",21,-89000.0,0.021
"[-88500.0, -87500.0)",34,-88000.0,0.034
"[-87500.0, -86500.0)",42,-87000.0,0.042
"[-86500.0, -85500.0)",14,-86000.0,0.014
"[-85500.0, -84500.0)",12,-85000.0,0.012
"[-84500.0, -83500.0)",10,-84000.0,0.01
"[-83500.0, -82500.0)",34,-83000.0,0.034
"[-82500.0, -81500.0)",10,-82000.0,0.01
"[-81500.0, -80500.0)",12,-81000.0,0.012
"[-80500.0, -79500.0)",21,-80000.0,0.021
"[-79500.0, -78500.0)",35,-79000.0,0.035
"[-78500.0, -77500.0)",27,-78000.0,0.027
"[-77500.0, -76500.0)",43,-77000.0,0.043
"[-76500.0, -75500.0)",41,-76000.0,0.041
"[-75500.0, -74500.0)",74,-75000.0,0.074
"[-74500.0, -73500.0)",51,-74000.0,0.051
"[-73500.0, -72500.0)",82,-73000.0,0.082
"[-72500.0, -71500.0)",38,-72000.0,0.038
"[-71500.0, -70500.0)",26,-71000.0,0.026
"[-70500.0, -69500.0)",38,-70000.0,0.038
"[-69500.0, -68500.0)",34,-69000.0,0.034
"[-68500.0, -67500.0)",24,-68000.0,0.024
"[-67500.0, -66500.0)",45,-67000.0,0.045
"[-66500.0, -65500.0)",51,-66000.0,0.051
"[-65500.0, -64500.0)",18,-65000.0,0.018
"[-64500.0, -63500.0)",90,-64000.0,0.09
"[-63500.0, -62500.0)",62,-63000.0,0.062
"[-62500.0, -61500.0)",73,-62000.0,0.073
"[-61500.0, -60500.0)",39,-61000.0,0.039
"[-60500.0, -59500.0)",35,-60000.0,0.035
"[-59500.0, -58500.0)",33,-59000.0,0.033
"[-58500.0, -57500.0)",51,-58000.0,0.051
"[-57500.0, -56500.0)",13,-57000.0,0.013
"[-56500.0, -55500.0)",49,-56000.0,0.049
"[-55500.0, -54500.0)",47,-55000.0,0.047
"[-54500.0, -53500.0)",55,-54000.0,0.055
"[-53500.0, -52500.0)",82,-53000.0,0.082
"[-52500.0, -51500.0)",49,-52000.0,0.049
"[-51500.0, -50500.0)",57,-51000.0,0.057
"[-50500.0, -49500.0)",27,-50000.0,0.027
"[-49500.0, -48500.0)",51,-49000.0,0.051
"[-48500.0, -47500.0)",66,-48000.0,0.066
"[-47500.0, -46500.0)",45,-47000.0,0.045
"[-46500.0, -45500.0)",86,-46000.0,0.086
"[-45500.0, -44500.0)",43,-45000.0,0.043
"[-44500.0, -43500.0)",62,-44000.0,0.062
"[-43500.0, -42500.0)",53,-43000.0,0.053
"[-42500.0, -41500.0)",30,-42000.0,0.03
"[-41500.0, -40500.0)",32,-41000.0,0.032
"[-40500.0, -39500.0)",60,-40000.0,0.06
"[-39500.0, -38500.0)",72,-39000.0,0.072
"[-38500.0, -37500.0)",52,-38000.0,0.052
"[-37500.0, -36500.0)",57,-37000.0,0.057
"[-36500.0, -35500.0)",114,-36000.0,0.114
"[-35500.0, -34500.0)",69,-35000.0,0.069
"[-34500.0, -33500.0)",28,-34000.0,0.028
"[-33500.0, -32500.0)",31,-33000.0,0.031
"[-32500.0, -31500.0)",108,-32000.0,0.108
"[-31500.0, -30500.0)",82,-31000.0,0.082
"[-30500.0, -29500.0)",149,-30000.0,0.149
"[-29500.0, -28500.0)",229,-29000.0,0.229
"[-28500.0, -27500.0)",117,-28000.0,0.117
"[-27500.0, -26500.0)",115,-27000.0,0.115
"[-26500.0, -25500.0)",114,-26000.0,0.114
"[-25500.0, -24500.0)",136,-25000.0,0.136
"[-24500.0, -23500.0)",192,-24000.0,0.192
"[-23500.0, -22500.0)",142,-23000.0,0.142
"[-22500.0, -21500.0)",72,-22000.0,0.072
"[-21500.0, -20500.0)",9,-21000.0,0.009
"[-20500.0, -19500.0)",60,-20000.0,0.06
"[-19500.0, -18500.0)",53,-19000.0,0.053
"[-18500.0, -17500.0)",59,-18000.0,0.059
"[-17500.0, -16500.0)",31,-17000.0,0.031
"[-16500.0, -15500.0)",31,-16000.0,0.031
"[-15500.0, -14500.0)",24,-15000.0,0.024
"[-14500.0, -13500.0)",44,-14000.0,0.044
"[-13500.0, -12500.0)",96,-13000.0,0.096
"[-12500.0, -11500.0)",68,-12000.0,0.068
"[-11500.0, -10500.0)",66,-11000.0,0.066
"[-10500.0, -9500.0)",99,-10000.0,0.099
"[-9500.0, -8500.0)",115,-9000.0,0.115
"[-8500.0, -7500.0)",71,-8000.0,0.071
"[-7500.0, -6500.0)",86,-7000.0,0.086
"[-6500.0, -5500.0)",71,-6000.0,0.071
"[-5500.0, -4500.0)",63,-5000.0,0.063
"[-4500.0, -3500.0)",20,-4000.0,0.02
"[-3500.0, -2500.0)",93,-3000.0,0.093
"[-2500.0, -1500.0)",57,-2000.0,0.057
"[-1500.0, -500.0)",28,-1000.0,0.028
"[-500.0, 500.0)",98,0.0,0.098
"[500.0, 1500.0)",71,1000.0,0.071
