Distance_Bin,Value,Bin_Center,Density_per_bp
"[-115407, -114407)",0,-114907.0,0.0
"[-114407, -113407)",58,-113907.0,0.058
"[-113407, -112407)",15,-112907.0,0.015
"[-112407, -111407)",17,-111907.0,0.017
"[-111407, -110407)",7,-110907.0,0.007
"[-110407, -109407)",10,-109907.0,0.01
"[-109407, -108407)",7,-108907.0,0.007
"[-108407, -107407)",26,-107907.0,0.026
"[-107407, -106407)",31,-106907.0,0.031
"[-106407, -105407)",15,-105907.0,0.015
"[-105407, -104407)",26,-104907.0,0.026
"[-104407, -103407)",27,-103907.0,0.027
"[-103407, -102407)",14,-102907.0,0.014
"[-102407, -101407)",21,-101907.0,0.021
"[-101407, -100407)",54,-100907.0,0.054
"[-100407, -99407)",18,-99907.0,0.018
"[-99407, -98407)",20,-98907.0,0.02
"[-98407, -97407)",23,-97907.0,0.023
"[-97407, -96407)",45,-96907.0,0.045
"[-96407, -95407)",23,-95907.0,0.023
"[-95407, -94407)",16,-94907.0,0.016
"[-94407, -93407)",13,-93907.0,0.013
"[-93407, -92407)",8,-92907.0,0.008
"[-92407, -91407)",34,-91907.0,0.034
"[-91407, -90407)",35,-90907.0,0.035
"[-90407, -89407)",67,-89907.0,0.067
"[-89407, -88407)",22,-88907.0,0.022
"[-88407, -87407)",31,-87907.0,0.031
"[-87407, -86407)",43,-86907.0,0.043
"[-86407, -85407)",14,-85907.0,0.014
"[-85407, -84407)",12,-84907.0,0.012
"[-84407, -83407)",10,-83907.0,0.01
"[-83407, -82407)",33,-82907.0,0.033
"[-82407, -81407)",10,-81907.0,0.01
"[-81407, -80407)",15,-80907.0,0.015
"[-80407, -79407)",22,-79907.0,0.022
"[-79407, -78407)",35,-78907.0,0.035
"[-78407, -77407)",29,-77907.0,0.029
"[-77407, -76407)",38,-76907.0,0.038
"[-76407, -75407)",52,-75907.0,0.052
"[-75407, -74407)",68,-74907.0,0.068
"[-74407, -73407)",57,-73907.0,0.057
"[-73407, -72407)",76,-72907.0,0.076
"[-72407, -71407)",33,-71907.0,0.033
"[-71407, -70407)",29,-70907.0,0.029
"[-70407, -69407)",34,-69907.0,0.034
"[-69407, -68407)",37,-68907.0,0.037
"[-68407, -67407)",35,-67907.0,0.035
"[-67407, -66407)",34,-66907.0,0.034
"[-66407, -65407)",49,-65907.0,0.049
"[-65407, -64407)",18,-64907.0,0.018
"[-64407, -63407)",96,-63907.0,0.096
"[-63407, -62407)",58,-62907.0,0.058
"[-62407, -61407)",75,-61907.0,0.075
"[-61407, -60407)",36,-60907.0,0.036
"[-60407, -59407)",35,-59907.0,0.035
"[-59407, -58407)",34,-58907.0,0.034
"[-58407, -57407)",50,-57907.0,0.05
"[-57407, -56407)",15,-56907.0,0.015
"[-56407, -55407)",56,-55907.0,0.056
"[-55407, -54407)",39,-54907.0,0.039
"[-54407, -53407)",58,-53907.0,0.058
"[-53407, -52407)",79,-52907.0,0.079
"[-52407, -51407)",54,-51907.0,0.054
"[-51407, -50407)",52,-50907.0,0.052
