Distance_Bin,Value,Bin_Center,Density_per_bp
"[-575000.0, -565000.0)",0,-570000.0,0.0
"[-565000.0, -555000.0)",181,-560000.0,0.0181
"[-555000.0, -545000.0)",997,-550000.0,0.0997
"[-545000.0, -535000.0)",417,-540000.0,0.0417
"[-535000.0, -525000.0)",305,-530000.0,0.0305
"[-525000.0, -515000.0)",243,-520000.0,0.0243
"[-515000.0, -505000.0)",295,-510000.0,0.0295
"[-505000.0, -495000.0)",1251,-500000.0,0.1251
"[-495000.0, -485000.0)",466,-490000.0,0.0466
"[-485000.0, -475000.0)",335,-480000.0,0.0335
"[-475000.0, -465000.0)",245,-470000.0,0.0245
"[-465000.0, -455000.0)",226,-460000.0,0.0226
"[-455000.0, -445000.0)",293,-450000.0,0.0293
"[-445000.0, -435000.0)",251,-440000.0,0.0251
"[-435000.0, -425000.0)",294,-430000.0,0.0294
"[-425000.0, -415000.0)",348,-420000.0,0.0348
"[-415000.0, -405000.0)",221,-410000.0,0.0221
"[-405000.0, -395000.0)",203,-400000.0,0.0203
"[-395000.0, -385000.0)",300,-390000.0,0.03
"[-385000.0, -375000.0)",226,-380000.0,0.0226
"[-375000.0, -365000.0)",234,-370000.0,0.0234
"[-365000.0, -355000.0)",308,-360000.0,0.0308
"[-355000.0, -345000.0)",310,-350000.0,0.031
"[-345000.0, -335000.0)",421,-340000.0,0.0421
"[-335000.0, -325000.0)",247,-330000.0,0.0247
"[-325000.0, -315000.0)",172,-320000.0,0.0172
"[-315000.0, -305000.0)",248,-310000.0,0.0248
"[-305000.0, -295000.0)",260,-300000.0,0.026
"[-295000.0, -285000.0)",188,-290000.0,0.0188
"[-285000.0, -275000.0)",246,-280000.0,0.0246
"[-275000.0, -265000.0)",238,-270000.0,0.0238
"[-265000.0, -255000.0)",327,-260000.0,0.0327
"[-255000.0, -245000.0)",226,-250000.0,0.0226
"[-245000.0, -235000.0)",195,-240000.0,0.0195
"[-235000.0, -225000.0)",235,-230000.0,0.0235
"[-225000.0, -215000.0)",339,-220000.0,0.0339
"[-215000.0, -205000.0)",272,-210000.0,0.0272
"[-205000.0, -195000.0)",205,-200000.0,0.0205
"[-195000.0, -185000.0)",303,-190000.0,0.0303
"[-185000.0, -175000.0)",293,-180000.0,0.0293
"[-175000.0, -165000.0)",261,-170000.0,0.0261
"[-165000.0, -155000.0)",127,-160000.0,0.0127
"[-155000.0, -145000.0)",320,-150000.0,0.032
"[-145000.0, -135000.0)",299,-140000.0,0.0299
"[-135000.0, -125000.0)",349,-130000.0,0.0349
"[-125000.0, -115000.0)",560,-120000.0,0.056
"[-115000.0, -105000.0)",437,-110000.0,0.0437
"[-105000.0, -95000.0)",491,-100000.0,0.0491
"[-95000.0, -85000.0)",380,-90000.0,0.038
"[-85000.0, -75000.0)",361,-80000.0,0.0361
"[-75000.0, -65000.0)",450,-70000.0,0.045
"[-65000.0, -55000.0)",385,-60000.0,0.0385
"[-55000.0, -45000.0)",327,-50000.0,0.0327
"[-45000.0, -35000.0)",439,-40000.0,0.0439
"[-35000.0, -25000.0)",550,-30000.0,0.055
"[-25000.0, -15000.0)",253,-20000.0,0.0253
"[-15000.0, -5000.0)",440,-10000.0,0.044
"[-5000.0, 5000.0)",865,0.0,0.0865
"[5000.0, 15000.0)",755,10000.0,0.0755
"[15000.0, 25000.0)",483,20000.0,0.0483
"[25000.0, 35000.0)",688,30000.0,0.0688
"[35000.0, 45000.0)",352,40000.0,0.0352
"[45000.0, 55000.0)",393,50000.0,0.0393
"[55000.0, 65000.0)",303,60000.0,0.0303
"[65000.0, 75000.0)",383,70000.0,0.0383
"[75000.0, 85000.0)",241,80000.0,0.0241
"[85000.0, 95000.0)",465,90000.0,0.0465
"[95000.0, 105000.0)",247,100000.0,0.0247
"[105000.0, 115000.0)",282,110000.0,0.0282
"[115000.0, 125000.0)",375,120000.0,0.0375
"[125000.0, 135000.0)",335,130000.0,0.0335
"[135000.0, 145000.0)",396,140000.0,0.0396
"[145000.0, 155000.0)",281,150000.0,0.0281
"[155000.0, 165000.0)",222,160000.0,0.0222
"[165000.0, 175000.0)",280,170000.0,0.028
"[175000.0, 185000.0)",194,180000.0,0.0194
"[185000.0, 195000.0)",244,190000.0,0.0244
"[195000.0, 205000.0)",263,200000.0,0.0263
"[205000.0, 215000.0)",274,210000.0,0.0274
"[215000.0, 225000.0)",246,220000.0,0.0246
"[225000.0, 235000.0)",364,230000.0,0.0364
"[235000.0, 245000.0)",194,240000.0,0.0194
"[245000.0, 255000.0)",1342,250000.0,0.1342
"[255000.0, 265000.0)",307,260000.0,0.0307
"[265000.0, 275000.0)",530,270000.0,0.053
"[275000.0, 285000.0)",417,280000.0,0.0417
"[285000.0, 295000.0)",1466,290000.0,0.1466
"[295000.0, 305000.0)",1178,300000.0,0.1178
"[305000.0, 315000.0)",263,310000.0,0.0263
"[315000.0, 325000.0)",246,320000.0,0.0246
"[325000.0, 335000.0)",270,330000.0,0.027
"[335000.0, 345000.0)",221,340000.0,0.0221
"[345000.0, 355000.0)",217,350000.0,0.0217
"[355000.0, 365000.0)",153,360000.0,0.0153
"[365000.0, 375000.0)",454,370000.0,0.0454
"[375000.0, 385000.0)",282,380000.0,0.0282
"[385000.0, 395000.0)",868,390000.0,0.0868
"[395000.0, 405000.0)",0,400000.0,0.0
"[405000.0, 415000.0)",0,410000.0,0.0
"[415000.0, 425000.0)",0,420000.0,0.0
"[425000.0, 435000.0)",0,430000.0,0.0
"[435000.0, 445000.0)",0,440000.0,0.0
"[445000.0, 455000.0)",0,450000.0,0.0
"[455000.0, 465000.0)",0,460000.0,0.0
"[465000.0, 475000.0)",0,470000.0,0.0
"[475000.0, 485000.0)",0,480000.0,0.0
"[485000.0, 495000.0)",0,490000.0,0.0
"[495000.0, 505000.0)",0,500000.0,0.0
"[505000.0, 515000.0)",0,510000.0,0.0
"[515000.0, 525000.0)",0,520000.0,0.0
"[525000.0, 535000.0)",0,530000.0,0.0
"[535000.0, 545000.0)",0,540000.0,0.0
"[545000.0, 555000.0)",0,550000.0,0.0
"[555000.0, 565000.0)",0,560000.0,0.0
"[565000.0, 575000.0)",0,570000.0,0.0
