Distance_Bin,Value,Bin_Center,Density_per_bp
"[-645000.0, -635000.0)",0,-640000.0,0.0
"[-635000.0, -625000.0)",589,-630000.0,0.0589
"[-625000.0, -615000.0)",840,-620000.0,0.084
"[-615000.0, -605000.0)",367,-610000.0,0.0367
"[-605000.0, -595000.0)",224,-600000.0,0.0224
"[-595000.0, -585000.0)",268,-590000.0,0.0268
"[-585000.0, -575000.0)",227,-580000.0,0.0227
"[-575000.0, -565000.0)",295,-570000.0,0.0295
"[-565000.0, -555000.0)",232,-560000.0,0.0232
"[-555000.0, -545000.0)",237,-550000.0,0.0237
"[-545000.0, -535000.0)",302,-540000.0,0.0302
"[-535000.0, -525000.0)",957,-530000.0,0.0957
"[-525000.0, -515000.0)",349,-520000.0,0.0349
"[-515000.0, -505000.0)",341,-510000.0,0.0341
"[-505000.0, -495000.0)",126,-500000.0,0.0126
"[-495000.0, -485000.0)",251,-490000.0,0.0251
"[-485000.0, -475000.0)",242,-480000.0,0.0242
"[-475000.0, -465000.0)",186,-470000.0,0.0186
"[-465000.0, -455000.0)",246,-460000.0,0.0246
"[-455000.0, -445000.0)",179,-450000.0,0.0179
"[-445000.0, -435000.0)",224,-440000.0,0.0224
"[-435000.0, -425000.0)",374,-430000.0,0.0374
"[-425000.0, -415000.0)",233,-420000.0,0.0233
"[-415000.0, -405000.0)",323,-410000.0,0.0323
"[-405000.0, -395000.0)",231,-400000.0,0.0231
"[-395000.0, -385000.0)",339,-390000.0,0.0339
"[-385000.0, -375000.0)",236,-380000.0,0.0236
"[-375000.0, -365000.0)",251,-370000.0,0.0251
"[-365000.0, -355000.0)",276,-360000.0,0.0276
"[-355000.0, -345000.0)",331,-350000.0,0.0331
"[-345000.0, -335000.0)",235,-340000.0,0.0235
"[-335000.0, -325000.0)",289,-330000.0,0.0289
"[-325000.0, -315000.0)",249,-320000.0,0.0249
"[-315000.0, -305000.0)",251,-310000.0,0.0251
"[-305000.0, -295000.0)",224,-300000.0,0.0224
"[-295000.0, -285000.0)",438,-290000.0,0.0438
"[-285000.0, -275000.0)",398,-280000.0,0.0398
"[-275000.0, -265000.0)",376,-270000.0,0.0376
"[-265000.0, -255000.0)",272,-260000.0,0.0272
"[-255000.0, -245000.0)",299,-250000.0,0.0299
"[-245000.0, -235000.0)",259,-240000.0,0.0259
"[-235000.0, -225000.0)",241,-230000.0,0.0241
"[-225000.0, -215000.0)",388,-220000.0,0.0388
"[-215000.0, -205000.0)",302,-210000.0,0.0302
"[-205000.0, -195000.0)",302,-200000.0,0.0302
"[-195000.0, -185000.0)",453,-190000.0,0.0453
"[-185000.0, -175000.0)",360,-180000.0,0.036
"[-175000.0, -165000.0)",201,-170000.0,0.0201
"[-165000.0, -155000.0)",275,-160000.0,0.0275
"[-155000.0, -145000.0)",378,-150000.0,0.0378
"[-145000.0, -135000.0)",325,-140000.0,0.0325
"[-135000.0, -125000.0)",460,-130000.0,0.046
"[-125000.0, -115000.0)",278,-120000.0,0.0278
"[-115000.0, -105000.0)",1003,-110000.0,0.1003
"[-105000.0, -95000.0)",568,-100000.0,0.0568
"[-95000.0, -85000.0)",332,-90000.0,0.0332
"[-85000.0, -75000.0)",520,-80000.0,0.052
"[-75000.0, -65000.0)",740,-70000.0,0.074
"[-65000.0, -55000.0)",918,-60000.0,0.0918
"[-55000.0, -45000.0)",515,-50000.0,0.0515
"[-45000.0, -35000.0)",551,-40000.0,0.0551
"[-35000.0, -25000.0)",526,-30000.0,0.0526
"[-25000.0, -15000.0)",529,-20000.0,0.0529
"[-15000.0, -5000.0)",644,-10000.0,0.0644
"[-5000.0, 5000.0)",1092,0.0,0.1092
"[5000.0, 15000.0)",727,10000.0,0.0727
"[15000.0, 25000.0)",614,20000.0,0.0614
"[25000.0, 35000.0)",428,30000.0,0.0428
"[35000.0, 45000.0)",483,40000.0,0.0483
"[45000.0, 55000.0)",365,50000.0,0.0365
"[55000.0, 65000.0)",613,60000.0,0.0613
"[65000.0, 75000.0)",359,70000.0,0.0359
"[75000.0, 85000.0)",373,80000.0,0.0373
"[85000.0, 95000.0)",338,90000.0,0.0338
"[95000.0, 105000.0)",593,100000.0,0.0593
"[105000.0, 115000.0)",574,110000.0,0.0574
"[115000.0, 125000.0)",341,120000.0,0.0341
"[125000.0, 135000.0)",398,130000.0,0.0398
"[135000.0, 145000.0)",91,140000.0,0.0091
"[145000.0, 155000.0)",245,150000.0,0.0245
"[155000.0, 165000.0)",19,160000.0,0.0019
"[165000.0, 175000.0)",0,170000.0,0.0
"[175000.0, 185000.0)",0,180000.0,0.0
"[185000.0, 195000.0)",0,190000.0,0.0
"[195000.0, 205000.0)",0,200000.0,0.0
"[205000.0, 215000.0)",0,210000.0,0.0
"[215000.0, 225000.0)",0,220000.0,0.0
"[225000.0, 235000.0)",0,230000.0,0.0
"[235000.0, 245000.0)",0,240000.0,0.0
"[245000.0, 255000.0)",0,250000.0,0.0
"[255000.0, 265000.0)",0,260000.0,0.0
"[265000.0, 275000.0)",0,270000.0,0.0
"[275000.0, 285000.0)",0,280000.0,0.0
"[285000.0, 295000.0)",0,290000.0,0.0
"[295000.0, 305000.0)",0,300000.0,0.0
"[305000.0, 315000.0)",0,310000.0,0.0
"[315000.0, 325000.0)",0,320000.0,0.0
"[325000.0, 335000.0)",0,330000.0,0.0
"[335000.0, 345000.0)",0,340000.0,0.0
"[345000.0, 355000.0)",0,350000.0,0.0
"[355000.0, 365000.0)",0,360000.0,0.0
"[365000.0, 375000.0)",0,370000.0,0.0
"[375000.0, 385000.0)",0,380000.0,0.0
"[385000.0, 395000.0)",0,390000.0,0.0
"[395000.0, 405000.0)",0,400000.0,0.0
"[405000.0, 415000.0)",0,410000.0,0.0
"[415000.0, 425000.0)",0,420000.0,0.0
"[425000.0, 435000.0)",0,430000.0,0.0
"[435000.0, 445000.0)",0,440000.0,0.0
"[445000.0, 455000.0)",0,450000.0,0.0
"[455000.0, 465000.0)",0,460000.0,0.0
"[465000.0, 475000.0)",0,470000.0,0.0
"[475000.0, 485000.0)",0,480000.0,0.0
"[485000.0, 495000.0)",0,490000.0,0.0
"[495000.0, 505000.0)",0,500000.0,0.0
"[505000.0, 515000.0)",0,510000.0,0.0
"[515000.0, 525000.0)",0,520000.0,0.0
"[525000.0, 535000.0)",0,530000.0,0.0
"[535000.0, 545000.0)",0,540000.0,0.0
"[545000.0, 555000.0)",0,550000.0,0.0
"[555000.0, 565000.0)",0,560000.0,0.0
"[565000.0, 575000.0)",0,570000.0,0.0
"[575000.0, 585000.0)",0,580000.0,0.0
"[585000.0, 595000.0)",0,590000.0,0.0
"[595000.0, 605000.0)",0,600000.0,0.0
"[605000.0, 615000.0)",0,610000.0,0.0
"[615000.0, 625000.0)",0,620000.0,0.0
"[625000.0, 635000.0)",0,630000.0,0.0
"[635000.0, 645000.0)",0,640000.0,0.0
