Distance_Bin,Value,Bin_Center,Density_per_bp
"[-153500.0, -152500.0)",0,-153000.0,0.0
"[-152500.0, -151500.0)",0,-152000.0,0.0
"[-151500.0, -150500.0)",72,-151000.0,0.072
"[-150500.0, -149500.0)",62,-150000.0,0.062
"[-149500.0, -148500.0)",45,-149000.0,0.045
"[-148500.0, -147500.0)",21,-148000.0,0.021
"[-147500.0, -146500.0)",20,-147000.0,0.02
"[-146500.0, -145500.0)",16,-146000.0,0.016
"[-145500.0, -144500.0)",55,-145000.0,0.055
"[-144500.0, -143500.0)",27,-144000.0,0.027
"[-143500.0, -142500.0)",33,-143000.0,0.033
"[-142500.0, -141500.0)",82,-142000.0,0.082
"[-141500.0, -140500.0)",62,-141000.0,0.062
"[-140500.0, -139500.0)",64,-140000.0,0.064
"[-139500.0, -138500.0)",37,-139000.0,0.037
"[-138500.0, -137500.0)",39,-138000.0,0.039
"[-137500.0, -136500.0)",77,-137000.0,0.077
"[-136500.0, -135500.0)",53,-136000.0,0.053
"[-135500.0, -134500.0)",64,-135000.0,0.064
"[-134500.0, -133500.0)",80,-134000.0,0.08
"[-133500.0, -132500.0)",38,-133000.0,0.038
"[-132500.0, -131500.0)",39,-132000.0,0.039
"[-131500.0, -130500.0)",98,-131000.0,0.098
"[-130500.0, -129500.0)",49,-130000.0,0.049
"[-129500.0, -128500.0)",57,-129000.0,0.057
"[-128500.0, -127500.0)",92,-128000.0,0.092
"[-127500.0, -126500.0)",105,-127000.0,0.105
"[-126500.0, -125500.0)",54,-126000.0,0.054
"[-125500.0, -124500.0)",24,-125000.0,0.024
"[-124500.0, -123500.0)",27,-124000.0,0.027
"[-123500.0, -122500.0)",50,-123000.0,0.05
"[-122500.0, -121500.0)",90,-122000.0,0.09
"[-121500.0, -120500.0)",38,-121000.0,0.038
"[-120500.0, -119500.0)",86,-120000.0,0.086
"[-119500.0, -118500.0)",102,-119000.0,0.102
"[-118500.0, -117500.0)",88,-118000.0,0.088
"[-117500.0, -116500.0)",144,-117000.0,0.144
"[-116500.0, -115500.0)",63,-116000.0,0.063
"[-115500.0, -114500.0)",53,-115000.0,0.053
"[-114500.0, -113500.0)",63,-114000.0,0.063
"[-113500.0, -112500.0)",45,-113000.0,0.045
"[-112500.0, -111500.0)",62,-112000.0,0.062
"[-111500.0, -110500.0)",25,-111000.0,0.025
"[-110500.0, -109500.0)",42,-110000.0,0.042
"[-109500.0, -108500.0)",67,-109000.0,0.067
"[-108500.0, -107500.0)",53,-108000.0,0.053
"[-107500.0, -106500.0)",49,-107000.0,0.049
"[-106500.0, -105500.0)",117,-106000.0,0.117
"[-105500.0, -104500.0)",34,-105000.0,0.034
"[-104500.0, -103500.0)",26,-104000.0,0.026
"[-103500.0, -102500.0)",60,-103000.0,0.06
"[-102500.0, -101500.0)",22,-102000.0,0.022
"[-101500.0, -100500.0)",20,-101000.0,0.02
"[-100500.0, -99500.0)",39,-100000.0,0.039
"[-99500.0, -98500.0)",80,-99000.0,0.08
"[-98500.0, -97500.0)",48,-98000.0,0.048
"[-97500.0, -96500.0)",45,-97000.0,0.045
"[-96500.0, -95500.0)",3,-96000.0,0.003
"[-95500.0, -94500.0)",26,-95000.0,0.026
"[-94500.0, -93500.0)",57,-94000.0,0.057
"[-93500.0, -92500.0)",63,-93000.0,0.063
"[-92500.0, -91500.0)",15,-92000.0,0.015
"[-91500.0, -90500.0)",6,-91000.0,0.006
"[-90500.0, -89500.0)",66,-90000.0,0.066
"[-89500.0, -88500.0)",70,-89000.0,0.07
"[-88500.0, -87500.0)",11,-88000.0,0.011
"[-87500.0, -86500.0)",5,-87000.0,0.005
"[-86500.0, -85500.0)",17,-86000.0,0.017
"[-85500.0, -84500.0)",11,-85000.0,0.011
"[-84500.0, -83500.0)",21,-84000.0,0.021
"[-83500.0, -82500.0)",175,-83000.0,0.175
"[-82500.0, -81500.0)",102,-82000.0,0.102
"[-81500.0, -80500.0)",123,-81000.0,0.123
"[-80500.0, -79500.0)",102,-80000.0,0.102
"[-79500.0, -78500.0)",18,-79000.0,0.018
"[-78500.0, -77500.0)",55,-78000.0,0.055
"[-77500.0, -76500.0)",53,-77000.0,0.053
"[-76500.0, -75500.0)",38,-76000.0,0.038
"[-75500.0, -74500.0)",43,-75000.0,0.043
"[-74500.0, -73500.0)",5,-74000.0,0.005
"[-73500.0, -72500.0)",4,-73000.0,0.004
"[-72500.0, -71500.0)",43,-72000.0,0.043
"[-71500.0, -70500.0)",30,-71000.0,0.03
"[-70500.0, -69500.0)",56,-70000.0,0.056
"[-69500.0, -68500.0)",85,-69000.0,0.085
"[-68500.0, -67500.0)",35,-68000.0,0.035
"[-67500.0, -66500.0)",49,-67000.0,0.049
"[-66500.0, -65500.0)",35,-66000.0,0.035
"[-65500.0, -64500.0)",19,-65000.0,0.019
"[-64500.0, -63500.0)",69,-64000.0,0.069
"[-63500.0, -62500.0)",25,-63000.0,0.025
"[-62500.0, -61500.0)",32,-62000.0,0.032
"[-61500.0, -60500.0)",31,-61000.0,0.031
"[-60500.0, -59500.0)",29,-60000.0,0.029
"[-59500.0, -58500.0)",66,-59000.0,0.066
"[-58500.0, -57500.0)",32,-58000.0,0.032
"[-57500.0, -56500.0)",52,-57000.0,0.052
"[-56500.0, -55500.0)",52,-56000.0,0.052
"[-55500.0, -54500.0)",34,-55000.0,0.034
"[-54500.0, -53500.0)",25,-54000.0,0.025
"[-53500.0, -52500.0)",30,-53000.0,0.03
"[-52500.0, -51500.0)",47,-52000.0,0.047
"[-51500.0, -50500.0)",11,-51000.0,0.011
"[-50500.0, -49500.0)",40,-50000.0,0.04
"[-49500.0, -48500.0)",22,-49000.0,0.022
"[-48500.0, -47500.0)",13,-48000.0,0.013
"[-47500.0, -46500.0)",18,-47000.0,0.018
"[-46500.0, -45500.0)",21,-46000.0,0.021
"[-45500.0, -44500.0)",46,-45000.0,0.046
"[-44500.0, -43500.0)",20,-44000.0,0.02
"[-43500.0, -42500.0)",50,-43000.0,0.05
"[-42500.0, -41500.0)",56,-42000.0,0.056
"[-41500.0, -40500.0)",66,-41000.0,0.066
"[-40500.0, -39500.0)",19,-40000.0,0.019
"[-39500.0, -38500.0)",8,-39000.0,0.008
"[-38500.0, -37500.0)",99,-38000.0,0.099
"[-37500.0, -36500.0)",78,-37000.0,0.078
"[-36500.0, -35500.0)",35,-36000.0,0.035
"[-35500.0, -34500.0)",24,-35000.0,0.024
"[-34500.0, -33500.0)",27,-34000.0,0.027
"[-33500.0, -32500.0)",63,-33000.0,0.063
"[-32500.0, -31500.0)",64,-32000.0,0.064
"[-31500.0, -30500.0)",26,-31000.0,0.026
"[-30500.0, -29500.0)",35,-30000.0,0.035
"[-29500.0, -28500.0)",24,-29000.0,0.024
"[-28500.0, -27500.0)",37,-28000.0,0.037
"[-27500.0, -26500.0)",88,-27000.0,0.088
"[-26500.0, -25500.0)",6,-26000.0,0.006
"[-25500.0, -24500.0)",20,-25000.0,0.02
"[-24500.0, -23500.0)",53,-24000.0,0.053
"[-23500.0, -22500.0)",68,-23000.0,0.068
"[-22500.0, -21500.0)",54,-22000.0,0.054
"[-21500.0, -20500.0)",67,-21000.0,0.067
"[-20500.0, -19500.0)",21,-20000.0,0.021
"[-19500.0, -18500.0)",47,-19000.0,0.047
"[-18500.0, -17500.0)",45,-18000.0,0.045
"[-17500.0, -16500.0)",21,-17000.0,0.021
"[-16500.0, -15500.0)",55,-16000.0,0.055
"[-15500.0, -14500.0)",55,-15000.0,0.055
"[-14500.0, -13500.0)",75,-14000.0,0.075
"[-13500.0, -12500.0)",102,-13000.0,0.102
"[-12500.0, -11500.0)",173,-12000.0,0.173
"[-11500.0, -10500.0)",109,-11000.0,0.109
"[-10500.0, -9500.0)",121,-10000.0,0.121
"[-9500.0, -8500.0)",29,-9000.0,0.029
"[-8500.0, -7500.0)",115,-8000.0,0.115
"[-7500.0, -6500.0)",53,-7000.0,0.053
"[-6500.0, -5500.0)",22,-6000.0,0.022
"[-5500.0, -4500.0)",23,-5000.0,0.023
"[-4500.0, -3500.0)",92,-4000.0,0.092
"[-3500.0, -2500.0)",15,-3000.0,0.015
"[-2500.0, -1500.0)",3,-2000.0,0.003
"[-1500.0, -500.0)",7,-1000.0,0.007
"[-500.0, 500.0)",79,0.0,0.079
"[500.0, 1500.0)",67,1000.0,0.067
"[1500.0, 2500.0)",52,2000.0,0.052
"[2500.0, 3500.0)",98,3000.0,0.098
"[3500.0, 4500.0)",31,4000.0,0.031
"[4500.0, 5500.0)",39,5000.0,0.039
"[5500.0, 6500.0)",0,6000.0,0.0
"[6500.0, 7500.0)",52,7000.0,0.052
"[7500.0, 8500.0)",34,8000.0,0.034
"[8500.0, 9500.0)",215,9000.0,0.215
"[9500.0, 10500.0)",151,10000.0,0.151
"[10500.0, 11500.0)",177,11000.0,0.177
"[11500.0, 12500.0)",166,12000.0,0.166
"[12500.0, 13500.0)",194,13000.0,0.194
"[13500.0, 14500.0)",406,14000.0,0.406
"[14500.0, 15500.0)",112,15000.0,0.112
"[15500.0, 16500.0)",43,16000.0,0.043
"[16500.0, 17500.0)",66,17000.0,0.066
"[17500.0, 18500.0)",68,18000.0,0.068
"[18500.0, 19500.0)",34,19000.0,0.034
"[19500.0, 20500.0)",53,20000.0,0.053
"[20500.0, 21500.0)",28,21000.0,0.028
"[21500.0, 22500.0)",9,22000.0,0.009
"[22500.0, 23500.0)",8,23000.0,0.008
"[23500.0, 24500.0)",92,24000.0,0.092
"[24500.0, 25500.0)",92,25000.0,0.092
"[25500.0, 26500.0)",167,26000.0,0.167
"[26500.0, 27500.0)",57,27000.0,0.057
"[27500.0, 28500.0)",46,28000.0,0.046
"[28500.0, 29500.0)",81,29000.0,0.081
"[29500.0, 30500.0)",124,30000.0,0.124
"[30500.0, 31500.0)",145,31000.0,0.145
"[31500.0, 32500.0)",93,32000.0,0.093
"[32500.0, 33500.0)",88,33000.0,0.088
"[33500.0, 34500.0)",66,34000.0,0.066
