Distance_Bin,Value,Bin_Center,Density_per_bp
"[-149567, -148567)",0,-149067.0,0.0
"[-148567, -147567)",112,-148067.0,0.112
"[-147567, -146567)",84,-147067.0,0.084
"[-146567, -145567)",213,-146067.0,0.213
"[-145567, -144567)",144,-145067.0,0.144
"[-144567, -143567)",195,-144067.0,0.195
"[-143567, -142567)",79,-143067.0,0.079
"[-142567, -141567)",67,-142067.0,0.067
"[-141567, -140567)",46,-141067.0,0.046
"[-140567, -139567)",62,-140067.0,0.062
"[-139567, -138567)",73,-139067.0,0.073
"[-138567, -137567)",68,-138067.0,0.068
"[-137567, -136567)",88,-137067.0,0.088
"[-136567, -135567)",103,-136067.0,0.103
"[-135567, -134567)",71,-135067.0,0.071
"[-134567, -133567)",46,-134067.0,0.046
"[-133567, -132567)",28,-133067.0,0.028
"[-132567, -131567)",70,-132067.0,0.07
"[-131567, -130567)",31,-131067.0,0.031
"[-130567, -129567)",31,-130067.0,0.031
"[-129567, -128567)",15,-129067.0,0.015
"[-128567, -127567)",40,-128067.0,0.04
"[-127567, -126567)",38,-127067.0,0.038
"[-126567, -125567)",45,-126067.0,0.045
"[-125567, -124567)",45,-125067.0,0.045
"[-124567, -123567)",19,-124067.0,0.019
"[-123567, -122567)",32,-123067.0,0.032
"[-122567, -121567)",26,-122067.0,0.026
"[-121567, -120567)",45,-121067.0,0.045
"[-120567, -119567)",32,-120067.0,0.032
"[-119567, -118567)",21,-119067.0,0.021
"[-118567, -117567)",30,-118067.0,0.03
"[-117567, -116567)",43,-117067.0,0.043
"[-116567, -115567)",131,-116067.0,0.131
"[-115567, -114567)",71,-115067.0,0.071
"[-114567, -113567)",25,-114067.0,0.025
"[-113567, -112567)",21,-113067.0,0.021
"[-112567, -111567)",43,-112067.0,0.043
"[-111567, -110567)",17,-111067.0,0.017
"[-110567, -109567)",30,-110067.0,0.03
"[-109567, -108567)",14,-109067.0,0.014
"[-108567, -107567)",44,-108067.0,0.044
"[-107567, -106567)",27,-107067.0,0.027
"[-106567, -105567)",45,-106067.0,0.045
"[-105567, -104567)",31,-105067.0,0.031
"[-104567, -103567)",33,-104067.0,0.033
"[-103567, -102567)",41,-103067.0,0.041
"[-102567, -101567)",29,-102067.0,0.029
"[-101567, -100567)",66,-101067.0,0.066
"[-100567, -99567)",43,-100067.0,0.043
"[-99567, -98567)",59,-99067.0,0.059
"[-98567, -97567)",36,-98067.0,0.036
"[-97567, -96567)",45,-97067.0,0.045
"[-96567, -95567)",59,-96067.0,0.059
"[-95567, -94567)",36,-95067.0,0.036
"[-94567, -93567)",37,-94067.0,0.037
"[-93567, -92567)",48,-93067.0,0.048
"[-92567, -91567)",50,-92067.0,0.05
"[-91567, -90567)",25,-91067.0,0.025
"[-90567, -89567)",70,-90067.0,0.07
"[-89567, -88567)",15,-89067.0,0.015
"[-88567, -87567)",9,-88067.0,0.009
"[-87567, -86567)",22,-87067.0,0.022
"[-86567, -85567)",26,-86067.0,0.026
"[-85567, -84567)",27,-85067.0,0.027
"[-84567, -83567)",51,-84067.0,0.051
"[-83567, -82567)",75,-83067.0,0.075
"[-82567, -81567)",28,-82067.0,0.028
"[-81567, -80567)",27,-81067.0,0.027
"[-80567, -79567)",52,-80067.0,0.052
"[-79567, -78567)",44,-79067.0,0.044
"[-78567, -77567)",22,-78067.0,0.022
"[-77567, -76567)",25,-77067.0,0.025
"[-76567, -75567)",19,-76067.0,0.019
"[-75567, -74567)",26,-75067.0,0.026
"[-74567, -73567)",101,-74067.0,0.101
"[-73567, -72567)",23,-73067.0,0.023
"[-72567, -71567)",52,-72067.0,0.052
"[-71567, -70567)",39,-71067.0,0.039
"[-70567, -69567)",10,-70067.0,0.01
"[-69567, -68567)",47,-69067.0,0.047
"[-68567, -67567)",71,-68067.0,0.071
"[-67567, -66567)",39,-67067.0,0.039
"[-66567, -65567)",43,-66067.0,0.043
"[-65567, -64567)",36,-65067.0,0.036
"[-64567, -63567)",22,-64067.0,0.022
"[-63567, -62567)",9,-63067.0,0.009
"[-62567, -61567)",19,-62067.0,0.019
"[-61567, -60567)",65,-61067.0,0.065
"[-60567, -59567)",18,-60067.0,0.018
"[-59567, -58567)",10,-59067.0,0.01
"[-58567, -57567)",92,-58067.0,0.092
"[-57567, -56567)",26,-57067.0,0.026
"[-56567, -55567)",34,-56067.0,0.034
"[-55567, -54567)",45,-55067.0,0.045
"[-54567, -53567)",9,-54067.0,0.009
"[-53567, -52567)",227,-53067.0,0.227
"[-52567, -51567)",66,-52067.0,0.066
"[-51567, -50567)",78,-51067.0,0.078
"[-50567, -49567)",61,-50067.0,0.061
"[-49567, -48567)",29,-49067.0,0.029
"[-48567, -47567)",39,-48067.0,0.039
"[-47567, -46567)",75,-47067.0,0.075
"[-46567, -45567)",3,-46067.0,0.003
"[-45567, -44567)",91,-45067.0,0.091
"[-44567, -43567)",71,-44067.0,0.071
"[-43567, -42567)",53,-43067.0,0.053
"[-42567, -41567)",127,-42067.0,0.127
"[-41567, -40567)",132,-41067.0,0.132
"[-40567, -39567)",64,-40067.0,0.064
"[-39567, -38567)",33,-39067.0,0.033
"[-38567, -37567)",100,-38067.0,0.1
"[-37567, -36567)",94,-37067.0,0.094
"[-36567, -35567)",46,-36067.0,0.046
"[-35567, -34567)",55,-35067.0,0.055
"[-34567, -33567)",88,-34067.0,0.088
"[-33567, -32567)",82,-33067.0,0.082
"[-32567, -31567)",15,-32067.0,0.015
"[-31567, -30567)",22,-31067.0,0.022
"[-30567, -29567)",58,-30067.0,0.058
"[-29567, -28567)",61,-29067.0,0.061
"[-28567, -27567)",8,-28067.0,0.008
"[-27567, -26567)",8,-27067.0,0.008
"[-26567, -25567)",6,-26067.0,0.006
"[-25567, -24567)",91,-25067.0,0.091
"[-24567, -23567)",54,-24067.0,0.054
"[-23567, -22567)",32,-23067.0,0.032
"[-22567, -21567)",37,-22067.0,0.037
"[-21567, -20567)",54,-21067.0,0.054
"[-20567, -19567)",64,-20067.0,0.064
"[-19567, -18567)",85,-19067.0,0.085
"[-18567, -17567)",71,-18067.0,0.071
"[-17567, -16567)",73,-17067.0,0.073
"[-16567, -15567)",37,-16067.0,0.037
"[-15567, -14567)",44,-15067.0,0.044
"[-14567, -13567)",63,-14067.0,0.063
"[-13567, -12567)",60,-13067.0,0.06
"[-12567, -11567)",82,-12067.0,0.082
"[-11567, -10567)",118,-11067.0,0.118
"[-10567, -9567)",239,-10067.0,0.239
"[-9567, -8567)",126,-9067.0,0.126
"[-8567, -7567)",118,-8067.0,0.118
"[-7567, -6567)",110,-7067.0,0.11
"[-6567, -5567)",140,-6067.0,0.14
"[-5567, -4567)",205,-5067.0,0.205
"[-4567, -3567)",96,-4067.0,0.096
"[-3567, -2567)",22,-3067.0,0.022
"[-2567, -1567)",29,-2067.0,0.029
"[-1567, -567)",71,-1067.0,0.071
"[-567, 433)",92,-67.0,0.092
"[433, 1433)",59,933.0,0.059
"[1433, 2433)",10,1933.0,0.01
"[2433, 3433)",26,2933.0,0.026
"[3433, 4433)",41,3933.0,0.041
"[4433, 5433)",64,4933.0,0.064
"[5433, 6433)",25,5933.0,0.025
"[6433, 7433)",28,6933.0,0.028
"[7433, 8433)",113,7933.0,0.113
"[8433, 9433)",111,8933.0,0.111
"[9433, 10433)",61,9933.0,0.061
"[10433, 11433)",109,10933.0,0.109
"[11433, 12433)",64,11933.0,0.064
"[12433, 13433)",45,12933.0,0.045
"[13433, 14433)",92,13933.0,0.092
"[14433, 15433)",38,14933.0,0.038
"[15433, 16433)",88,15933.0,0.088
"[16433, 17433)",17,16933.0,0.017
"[17433, 18433)",54,17933.0,0.054
"[18433, 19433)",115,18933.0,0.115
"[19433, 20433)",87,19933.0,0.087
"[20433, 21433)",84,20933.0,0.084
"[21433, 22433)",48,21933.0,0.048
