Distance_Bin,Value,Bin_Center,Density_per_bp
"[-497957, -496957)",0,-497457.0,0.0
"[-496957, -495957)",91,-496457.0,0.091
"[-495957, -494957)",0,-495457.0,0.0
"[-494957, -493957)",0,-494457.0,0.0
"[-493957, -492957)",0,-493457.0,0.0
"[-492957, -491957)",0,-492457.0,0.0
"[-491957, -490957)",0,-491457.0,0.0
"[-490957, -489957)",38,-490457.0,0.038
"[-489957, -488957)",58,-489457.0,0.058
"[-488957, -487957)",36,-488457.0,0.036
"[-487957, -486957)",24,-487457.0,0.024
"[-486957, -485957)",86,-486457.0,0.086
"[-485957, -484957)",53,-485457.0,0.053
"[-484957, -483957)",90,-484457.0,0.09
"[-483957, -482957)",50,-483457.0,0.05
"[-482957, -481957)",134,-482457.0,0.134
"[-481957, -480957)",62,-481457.0,0.062
"[-480957, -479957)",75,-480457.0,0.075
"[-479957, -478957)",64,-479457.0,0.064
"[-478957, -477957)",78,-478457.0,0.078
"[-477957, -476957)",71,-477457.0,0.071
"[-476957, -475957)",153,-476457.0,0.153
"[-475957, -474957)",43,-475457.0,0.043
"[-474957, -473957)",109,-474457.0,0.109
"[-473957, -472957)",133,-473457.0,0.133
"[-472957, -471957)",50,-472457.0,0.05
"[-471957, -470957)",49,-471457.0,0.049
"[-470957, -469957)",19,-470457.0,0.019
"[-469957, -468957)",108,-469457.0,0.108
"[-468957, -467957)",47,-468457.0,0.047
"[-467957, -466957)",39,-467457.0,0.039
"[-466957, -465957)",50,-466457.0,0.05
"[-465957, -464957)",67,-465457.0,0.067
"[-464957, -463957)",60,-464457.0,0.06
"[-463957, -462957)",51,-463457.0,0.051
"[-462957, -461957)",72,-462457.0,0.072
"[-461957, -460957)",175,-461457.0,0.175
"[-460957, -459957)",75,-460457.0,0.075
"[-459957, -458957)",22,-459457.0,0.022
"[-458957, -457957)",57,-458457.0,0.057
"[-457957, -456957)",16,-457457.0,0.016
"[-456957, -455957)",12,-456457.0,0.012
"[-455957, -454957)",66,-455457.0,0.066
"[-454957, -453957)",28,-454457.0,0.028
"[-453957, -452957)",64,-453457.0,0.064
"[-452957, -451957)",46,-452457.0,0.046
"[-451957, -450957)",82,-451457.0,0.082
"[-450957, -449957)",29,-450457.0,0.029
"[-449957, -448957)",46,-449457.0,0.046
"[-448957, -447957)",48,-448457.0,0.048
"[-447957, -446957)",50,-447457.0,0.05
"[-446957, -445957)",29,-446457.0,0.029
"[-445957, -444957)",14,-445457.0,0.014
"[-444957, -443957)",73,-444457.0,0.073
"[-443957, -442957)",118,-443457.0,0.118
"[-442957, -441957)",70,-442457.0,0.07
"[-441957, -440957)",90,-441457.0,0.09
"[-440957, -439957)",71,-440457.0,0.071
"[-439957, -438957)",13,-439457.0,0.013
"[-438957, -437957)",26,-438457.0,0.026
"[-437957, -436957)",23,-437457.0,0.023
"[-436957, -435957)",19,-436457.0,0.019
"[-435957, -434957)",21,-435457.0,0.021
"[-434957, -433957)",49,-434457.0,0.049
"[-433957, -432957)",54,-433457.0,0.054
"[-432957, -431957)",54,-432457.0,0.054
"[-431957, -430957)",50,-431457.0,0.05
"[-430957, -429957)",41,-430457.0,0.041
"[-429957, -428957)",62,-429457.0,0.062
"[-428957, -427957)",33,-428457.0,0.033
"[-427957, -426957)",86,-427457.0,0.086
"[-426957, -425957)",51,-426457.0,0.051
"[-425957, -424957)",39,-425457.0,0.039
"[-424957, -423957)",45,-424457.0,0.045
"[-423957, -422957)",90,-423457.0,0.09
"[-422957, -421957)",132,-422457.0,0.132
"[-421957, -420957)",85,-421457.0,0.085
"[-420957, -419957)",84,-420457.0,0.084
"[-419957, -418957)",24,-419457.0,0.024
"[-418957, -417957)",61,-418457.0,0.061
"[-417957, -416957)",44,-417457.0,0.044
"[-416957, -415957)",61,-416457.0,0.061
"[-415957, -414957)",97,-415457.0,0.097
"[-414957, -413957)",64,-414457.0,0.064
"[-413957, -412957)",34,-413457.0,0.034
"[-412957, -411957)",103,-412457.0,0.103
"[-411957, -410957)",49,-411457.0,0.049
"[-410957, -409957)",27,-410457.0,0.027
"[-409957, -408957)",59,-409457.0,0.059
"[-408957, -407957)",43,-408457.0,0.043
"[-407957, -406957)",37,-407457.0,0.037
"[-406957, -405957)",30,-406457.0,0.03
"[-405957, -404957)",46,-405457.0,0.046
"[-404957, -403957)",47,-404457.0,0.047
"[-403957, -402957)",70,-403457.0,0.07
"[-402957, -401957)",90,-402457.0,0.09
"[-401957, -400957)",91,-401457.0,0.091
"[-400957, -399957)",66,-400457.0,0.066
"[-399957, -398957)",108,-399457.0,0.108
"[-398957, -397957)",66,-398457.0,0.066
"[-397957, -396957)",3,-397457.0,0.003
"[-396957, -395957)",15,-396457.0,0.015
"[-395957, -394957)",18,-395457.0,0.018
"[-394957, -393957)",38,-394457.0,0.038
"[-393957, -392957)",17,-393457.0,0.017
"[-392957, -391957)",15,-392457.0,0.015
"[-391957, -390957)",5,-391457.0,0.005
"[-390957, -389957)",6,-390457.0,0.006
"[-389957, -388957)",71,-389457.0,0.071
"[-388957, -387957)",51,-388457.0,0.051
"[-387957, -386957)",57,-387457.0,0.057
"[-386957, -385957)",93,-386457.0,0.093
"[-385957, -384957)",91,-385457.0,0.091
"[-384957, -383957)",80,-384457.0,0.08
"[-383957, -382957)",33,-383457.0,0.033
"[-382957, -381957)",62,-382457.0,0.062
"[-381957, -380957)",145,-381457.0,0.145
"[-380957, -379957)",55,-380457.0,0.055
"[-379957, -378957)",59,-379457.0,0.059
"[-378957, -377957)",30,-378457.0,0.03
"[-377957, -376957)",27,-377457.0,0.027
"[-376957, -375957)",34,-376457.0,0.034
"[-375957, -374957)",87,-375457.0,0.087
"[-374957, -373957)",142,-374457.0,0.142
"[-373957, -372957)",92,-373457.0,0.092
"[-372957, -371957)",85,-372457.0,0.085
"[-371957, -370957)",30,-371457.0,0.03
"[-370957, -369957)",25,-370457.0,0.025
"[-369957, -368957)",23,-369457.0,0.023
"[-368957, -367957)",32,-368457.0,0.032
"[-367957, -366957)",87,-367457.0,0.087
"[-366957, -365957)",58,-366457.0,0.058
"[-365957, -364957)",72,-365457.0,0.072
"[-364957, -363957)",15,-364457.0,0.015
"[-363957, -362957)",41,-363457.0,0.041
"[-362957, -361957)",27,-362457.0,0.027
"[-361957, -360957)",20,-361457.0,0.02
"[-360957, -359957)",31,-360457.0,0.031
"[-359957, -358957)",15,-359457.0,0.015
"[-358957, -357957)",26,-358457.0,0.026
"[-357957, -356957)",55,-357457.0,0.055
"[-356957, -355957)",110,-356457.0,0.11
"[-355957, -354957)",75,-355457.0,0.075
"[-354957, -353957)",37,-354457.0,0.037
"[-353957, -352957)",44,-353457.0,0.044
"[-352957, -351957)",153,-352457.0,0.153
"[-351957, -350957)",41,-351457.0,0.041
"[-350957, -349957)",26,-350457.0,0.026
"[-349957, -348957)",101,-349457.0,0.101
"[-348957, -347957)",50,-348457.0,0.05
"[-347957, -346957)",113,-347457.0,0.113
"[-346957, -345957)",86,-346457.0,0.086
"[-345957, -344957)",51,-345457.0,0.051
"[-344957, -343957)",109,-344457.0,0.109
"[-343957, -342957)",107,-343457.0,0.107
"[-342957, -341957)",114,-342457.0,0.114
"[-341957, -340957)",52,-341457.0,0.052
"[-340957, -339957)",145,-340457.0,0.145
"[-339957, -338957)",109,-339457.0,0.109
"[-338957, -337957)",80,-338457.0,0.08
"[-337957, -336957)",127,-337457.0,0.127
"[-336957, -335957)",51,-336457.0,0.051
"[-335957, -334957)",26,-335457.0,0.026
"[-334957, -333957)",55,-334457.0,0.055
"[-333957, -332957)",74,-333457.0,0.074
"[-332957, -331957)",54,-332457.0,0.054
"[-331957, -330957)",149,-331457.0,0.149
"[-330957, -329957)",191,-330457.0,0.191
"[-329957, -328957)",79,-329457.0,0.079
"[-328957, -327957)",27,-328457.0,0.027
"[-327957, -326957)",16,-327457.0,0.016
"[-326957, -325957)",22,-326457.0,0.022
"[-325957, -324957)",35,-325457.0,0.035
"[-324957, -323957)",48,-324457.0,0.048
"[-323957, -322957)",44,-323457.0,0.044
"[-322957, -321957)",72,-322457.0,0.072
"[-321957, -320957)",70,-321457.0,0.07
"[-320957, -319957)",48,-320457.0,0.048
"[-319957, -318957)",4,-319457.0,0.004
"[-318957, -317957)",18,-318457.0,0.018
"[-317957, -316957)",32,-317457.0,0.032
"[-316957, -315957)",76,-316457.0,0.076
"[-315957, -314957)",36,-315457.0,0.036
"[-314957, -313957)",61,-314457.0,0.061
"[-313957, -312957)",21,-313457.0,0.021
"[-312957, -311957)",44,-312457.0,0.044
"[-311957, -310957)",66,-311457.0,0.066
"[-310957, -309957)",35,-310457.0,0.035
"[-309957, -308957)",37,-309457.0,0.037
"[-308957, -307957)",3,-308457.0,0.003
"[-307957, -306957)",17,-307457.0,0.017
"[-306957, -305957)",68,-306457.0,0.068
"[-305957, -304957)",114,-305457.0,0.114
"[-304957, -303957)",37,-304457.0,0.037
"[-303957, -302957)",84,-303457.0,0.084
"[-302957, -301957)",10,-302457.0,0.01
"[-301957, -300957)",46,-301457.0,0.046
"[-300957, -299957)",66,-300457.0,0.066
"[-299957, -298957)",166,-299457.0,0.166
"[-298957, -297957)",70,-298457.0,0.07
"[-297957, -296957)",62,-297457.0,0.062
"[-296957, -295957)",95,-296457.0,0.095
"[-295957, -294957)",39,-295457.0,0.039
"[-294957, -293957)",99,-294457.0,0.099
"[-293957, -292957)",35,-293457.0,0.035
