Distance_Bin,Value,Bin_Center,Density_per_bp
"[-153040, -152040)",0,-152540.0,0.0
"[-152040, -151040)",238,-151540.0,0.238
"[-151040, -150040)",97,-150540.0,0.097
"[-150040, -149040)",173,-149540.0,0.173
"[-149040, -148040)",335,-148540.0,0.335
"[-148040, -147040)",167,-147540.0,0.167
"[-147040, -146040)",208,-146540.0,0.208
"[-146040, -145040)",165,-145540.0,0.165
"[-145040, -144040)",134,-144540.0,0.134
"[-144040, -143040)",64,-143540.0,0.064
"[-143040, -142040)",119,-142540.0,0.119
"[-142040, -141040)",101,-141540.0,0.101
"[-141040, -140040)",99,-140540.0,0.099
"[-140040, -139040)",105,-139540.0,0.105
"[-139040, -138040)",194,-138540.0,0.194
"[-138040, -137040)",70,-137540.0,0.07
"[-137040, -136040)",116,-136540.0,0.116
"[-136040, -135040)",184,-135540.0,0.184
"[-135040, -134040)",60,-134540.0,0.06
"[-134040, -133040)",112,-133540.0,0.112
"[-133040, -132040)",62,-132540.0,0.062
"[-132040, -131040)",75,-131540.0,0.075
"[-131040, -130040)",112,-130540.0,0.112
"[-130040, -129040)",49,-129540.0,0.049
"[-129040, -128040)",70,-128540.0,0.07
"[-128040, -127040)",61,-127540.0,0.061
"[-127040, -126040)",76,-126540.0,0.076
"[-126040, -125040)",195,-125540.0,0.195
"[-125040, -124040)",168,-124540.0,0.168
"[-124040, -123040)",49,-123540.0,0.049
"[-123040, -122040)",103,-122540.0,0.103
"[-122040, -121040)",73,-121540.0,0.073
"[-121040, -120040)",126,-120540.0,0.126
"[-120040, -119040)",54,-119540.0,0.054
"[-119040, -118040)",94,-118540.0,0.094
"[-118040, -117040)",84,-117540.0,0.084
"[-117040, -116040)",23,-116540.0,0.023
"[-116040, -115040)",38,-115540.0,0.038
"[-115040, -114040)",19,-114540.0,0.019
"[-114040, -113040)",8,-113540.0,0.008
"[-113040, -112040)",71,-112540.0,0.071
"[-112040, -111040)",100,-111540.0,0.1
"[-111040, -110040)",79,-110540.0,0.079
"[-110040, -109040)",315,-109540.0,0.315
"[-109040, -108040)",69,-108540.0,0.069
"[-108040, -107040)",28,-107540.0,0.028
"[-107040, -106040)",107,-106540.0,0.107
"[-106040, -105040)",164,-105540.0,0.164
"[-105040, -104040)",75,-104540.0,0.075
"[-104040, -103040)",33,-103540.0,0.033
"[-103040, -102040)",18,-102540.0,0.018
"[-102040, -101040)",5,-101540.0,0.005
"[-101040, -100040)",92,-100540.0,0.092
"[-100040, -99040)",57,-99540.0,0.057
"[-99040, -98040)",69,-98540.0,0.069
"[-98040, -97040)",25,-97540.0,0.025
"[-97040, -96040)",44,-96540.0,0.044
"[-96040, -95040)",117,-95540.0,0.117
"[-95040, -94040)",46,-94540.0,0.046
"[-94040, -93040)",32,-93540.0,0.032
"[-93040, -92040)",123,-92540.0,0.123
