Distance_Bin,Value,Bin_Center,Density_per_bp
"[-629803, -628803)",0,-629303.0,0.0
"[-628803, -627803)",2931,-628303.0,2.931
"[-627803, -626803)",716,-627303.0,0.716
"[-626803, -625803)",1253,-626303.0,1.253
"[-625803, -624803)",4929,-625303.0,4.929
"[-624803, -623803)",1025,-624303.0,1.025
"[-623803, -622803)",1183,-623303.0,1.183
"[-622803, -621803)",8116,-622303.0,8.116
"[-621803, -620803)",1482,-621303.0,1.482
"[-620803, -619803)",1951,-620303.0,1.951
"[-619803, -618803)",696,-619303.0,0.696
"[-618803, -617803)",1379,-618303.0,1.379
"[-617803, -616803)",1995,-617303.0,1.995
"[-616803, -615803)",2521,-616303.0,2.521
"[-615803, -614803)",2034,-615303.0,2.034
"[-614803, -613803)",2699,-614303.0,2.699
"[-613803, -612803)",1025,-613303.0,1.025
"[-612803, -611803)",732,-612303.0,0.732
"[-611803, -610803)",832,-611303.0,0.832
"[-610803, -609803)",45,-610303.0,0.045
"[-609803, -608803)",776,-609303.0,0.776
"[-608803, -607803)",590,-608303.0,0.59
"[-607803, -606803)",226,-607303.0,0.226
"[-606803, -605803)",996,-606303.0,0.996
"[-605803, -604803)",3899,-605303.0,3.899
"[-604803, -603803)",263,-604303.0,0.263
"[-603803, -602803)",367,-603303.0,0.367
"[-602803, -601803)",556,-602303.0,0.556
"[-601803, -600803)",414,-601303.0,0.414
"[-600803, -599803)",1167,-600303.0,1.167
"[-599803, -598803)",119,-599303.0,0.119
"[-598803, -597803)",94,-598303.0,0.094
"[-597803, -596803)",547,-597303.0,0.547
"[-596803, -595803)",72,-596303.0,0.072
"[-595803, -594803)",210,-595303.0,0.21
"[-594803, -593803)",1795,-594303.0,1.795
"[-593803, -592803)",341,-593303.0,0.341
"[-592803, -591803)",917,-592303.0,0.917
"[-591803, -590803)",1980,-591303.0,1.98
"[-590803, -589803)",399,-590303.0,0.399
"[-589803, -588803)",580,-589303.0,0.58
"[-588803, -587803)",1239,-588303.0,1.239
"[-587803, -586803)",21,-587303.0,0.021
"[-586803, -585803)",1031,-586303.0,1.031
"[-585803, -584803)",392,-585303.0,0.392
"[-584803, -583803)",1483,-584303.0,1.483
"[-583803, -582803)",421,-583303.0,0.421
"[-582803, -581803)",26,-582303.0,0.026
"[-581803, -580803)",9,-581303.0,0.009
"[-580803, -579803)",467,-580303.0,0.467
"[-579803, -578803)",253,-579303.0,0.253
"[-578803, -577803)",154,-578303.0,0.154
"[-577803, -576803)",2198,-577303.0,2.198
"[-576803, -575803)",1595,-576303.0,1.595
"[-575803, -574803)",1369,-575303.0,1.369
"[-574803, -573803)",103,-574303.0,0.103
"[-573803, -572803)",341,-573303.0,0.341
"[-572803, -571803)",842,-572303.0,0.842
"[-571803, -570803)",3441,-571303.0,3.441
"[-570803, -569803)",1273,-570303.0,1.273
"[-569803, -568803)",1648,-569303.0,1.648
"[-568803, -567803)",1413,-568303.0,1.413
"[-567803, -566803)",1164,-567303.0,1.164
"[-566803, -565803)",122,-566303.0,0.122
"[-565803, -564803)",1644,-565303.0,1.644
"[-564803, -563803)",540,-564303.0,0.54
"[-563803, -562803)",1063,-563303.0,1.063
"[-562803, -561803)",2345,-562303.0,2.345
"[-561803, -560803)",303,-561303.0,0.303
"[-560803, -559803)",855,-560303.0,0.855
"[-559803, -558803)",115,-559303.0,0.115
"[-558803, -557803)",35,-558303.0,0.035
"[-557803, -556803)",529,-557303.0,0.529
"[-556803, -555803)",137,-556303.0,0.137
"[-555803, -554803)",239,-555303.0,0.239
"[-554803, -553803)",217,-554303.0,0.217
"[-553803, -552803)",78,-553303.0,0.078
"[-552803, -551803)",1385,-552303.0,1.385
"[-551803, -550803)",574,-551303.0,0.574
"[-550803, -549803)",911,-550303.0,0.911
"[-549803, -548803)",133,-549303.0,0.133
"[-548803, -547803)",1824,-548303.0,1.824
"[-547803, -546803)",380,-547303.0,0.38
"[-546803, -545803)",1554,-546303.0,1.554
"[-545803, -544803)",512,-545303.0,0.512
"[-544803, -543803)",627,-544303.0,0.627
"[-543803, -542803)",153,-543303.0,0.153
"[-542803, -541803)",755,-542303.0,0.755
"[-541803, -540803)",1944,-541303.0,1.944
"[-540803, -539803)",965,-540303.0,0.965
"[-539803, -538803)",2649,-539303.0,2.649
"[-538803, -537803)",2816,-538303.0,2.816
"[-537803, -536803)",2843,-537303.0,2.843
"[-536803, -535803)",21,-536303.0,0.021
"[-535803, -534803)",12,-535303.0,0.012
"[-534803, -533803)",472,-534303.0,0.472
"[-533803, -532803)",464,-533303.0,0.464
"[-532803, -531803)",4374,-532303.0,4.374
"[-531803, -530803)",512,-531303.0,0.512
"[-530803, -529803)",386,-530303.0,0.386
"[-529803, -528803)",866,-529303.0,0.866
"[-528803, -527803)",856,-528303.0,0.856
"[-527803, -526803)",1035,-527303.0,1.035
"[-526803, -525803)",1234,-526303.0,1.234
"[-525803, -524803)",410,-525303.0,0.41
"[-524803, -523803)",1464,-524303.0,1.464
"[-523803, -522803)",1720,-523303.0,1.72
"[-522803, -521803)",433,-522303.0,0.433
"[-521803, -520803)",3273,-521303.0,3.273
"[-520803, -519803)",1661,-520303.0,1.661
"[-519803, -518803)",98,-519303.0,0.098
"[-518803, -517803)",1291,-518303.0,1.291
"[-517803, -516803)",2202,-517303.0,2.202
"[-516803, -515803)",1150,-516303.0,1.15
"[-515803, -514803)",814,-515303.0,0.814
"[-514803, -513803)",486,-514303.0,0.486
"[-513803, -512803)",3701,-513303.0,3.701
"[-512803, -511803)",5456,-512303.0,5.456
"[-511803, -510803)",871,-511303.0,0.871
"[-510803, -509803)",886,-510303.0,0.886
"[-509803, -508803)",1403,-509303.0,1.403
"[-508803, -507803)",377,-508303.0,0.377
"[-507803, -506803)",682,-507303.0,0.682
"[-506803, -505803)",905,-506303.0,0.905
"[-505803, -504803)",212,-505303.0,0.212
"[-504803, -503803)",72,-504303.0,0.072
"[-503803, -502803)",85,-503303.0,0.085
"[-502803, -501803)",391,-502303.0,0.391
"[-501803, -500803)",275,-501303.0,0.275
"[-500803, -499803)",17,-500303.0,0.017
"[-499803, -498803)",899,-499303.0,0.899
"[-498803, -497803)",23,-498303.0,0.023
"[-497803, -496803)",60,-497303.0,0.06
"[-496803, -495803)",18,-496303.0,0.018
"[-495803, -494803)",49,-495303.0,0.049
"[-494803, -493803)",0,-494303.0,0.0
"[-493803, -492803)",885,-493303.0,0.885
"[-492803, -491803)",1076,-492303.0,1.076
"[-491803, -490803)",2857,-491303.0,2.857
"[-490803, -489803)",1831,-490303.0,1.831
"[-489803, -488803)",258,-489303.0,0.258
"[-488803, -487803)",813,-488303.0,0.813
"[-487803, -486803)",19,-487303.0,0.019
"[-486803, -485803)",21,-486303.0,0.021
"[-485803, -484803)",17,-485303.0,0.017
"[-484803, -483803)",344,-484303.0,0.344
"[-483803, -482803)",1261,-483303.0,1.261
"[-482803, -481803)",1916,-482303.0,1.916
"[-481803, -480803)",159,-481303.0,0.159
"[-480803, -479803)",1263,-480303.0,1.263
"[-479803, -478803)",52,-479303.0,0.052
"[-478803, -477803)",47,-478303.0,0.047
"[-477803, -476803)",19,-477303.0,0.019
"[-476803, -475803)",21,-476303.0,0.021
"[-475803, -474803)",15,-475303.0,0.015
"[-474803, -473803)",1110,-474303.0,1.11
"[-473803, -472803)",38,-473303.0,0.038
"[-472803, -471803)",61,-472303.0,0.061
"[-471803, -470803)",1256,-471303.0,1.256
"[-470803, -469803)",606,-470303.0,0.606
"[-469803, -468803)",575,-469303.0,0.575
"[-468803, -467803)",1245,-468303.0,1.245
"[-467803, -466803)",352,-467303.0,0.352
"[-466803, -465803)",179,-466303.0,0.179
"[-465803, -464803)",293,-465303.0,0.293
"[-464803, -463803)",1761,-464303.0,1.761
"[-463803, -462803)",34,-463303.0,0.034
"[-462803, -461803)",35,-462303.0,0.035
"[-461803, -460803)",1258,-461303.0,1.258
"[-460803, -459803)",632,-460303.0,0.632
"[-459803, -458803)",2287,-459303.0,2.287
"[-458803, -457803)",607,-458303.0,0.607
"[-457803, -456803)",409,-457303.0,0.409
"[-456803, -455803)",920,-456303.0,0.92
"[-455803, -454803)",20,-455303.0,0.02
"[-454803, -453803)",1213,-454303.0,1.213
"[-453803, -452803)",856,-453303.0,0.856
"[-452803, -451803)",67,-452303.0,0.067
"[-451803, -450803)",28,-451303.0,0.028
"[-450803, -449803)",62,-450303.0,0.062
"[-449803, -448803)",376,-449303.0,0.376
"[-448803, -447803)",506,-448303.0,0.506
"[-447803, -446803)",240,-447303.0,0.24
"[-446803, -445803)",1150,-446303.0,1.15
"[-445803, -444803)",58,-445303.0,0.058
"[-444803, -443803)",30,-444303.0,0.03
"[-443803, -442803)",1323,-443303.0,1.323
"[-442803, -441803)",945,-442303.0,0.945
"[-441803, -440803)",1765,-441303.0,1.765
"[-440803, -439803)",42,-440303.0,0.042
"[-439803, -438803)",172,-439303.0,0.172
"[-438803, -437803)",552,-438303.0,0.552
"[-437803, -436803)",735,-437303.0,0.735
"[-436803, -435803)",40,-436303.0,0.04
"[-435803, -434803)",115,-435303.0,0.115
"[-434803, -433803)",145,-434303.0,0.145
"[-433803, -432803)",600,-433303.0,0.6
"[-432803, -431803)",1916,-432303.0,1.916
"[-431803, -430803)",1385,-431303.0,1.385
"[-430803, -429803)",2964,-430303.0,2.964
"[-429803, -428803)",114,-429303.0,0.114
"[-428803, -427803)",2044,-428303.0,2.044
"[-427803, -426803)",653,-427303.0,0.653
"[-426803, -425803)",417,-426303.0,0.417
"[-425803, -424803)",143,-425303.0,0.143
"[-424803, -423803)",781,-424303.0,0.781
"[-423803, -422803)",1176,-423303.0,1.176
"[-422803, -421803)",762,-422303.0,0.762
"[-421803, -420803)",22,-421303.0,0.022
"[-420803, -419803)",32,-420303.0,0.032
"[-419803, -418803)",235,-419303.0,0.235
"[-418803, -417803)",851,-418303.0,0.851
"[-417803, -416803)",1265,-417303.0,1.265
"[-416803, -415803)",160,-416303.0,0.16
"[-415803, -414803)",239,-415303.0,0.239
"[-414803, -413803)",1672,-414303.0,1.672
"[-413803, -412803)",116,-413303.0,0.116
"[-412803, -411803)",1958,-412303.0,1.958
"[-411803, -410803)",4025,-411303.0,4.025
"[-410803, -409803)",1585,-410303.0,1.585
"[-409803, -408803)",244,-409303.0,0.244
"[-408803, -407803)",3739,-408303.0,3.739
"[-407803, -406803)",377,-407303.0,0.377
"[-406803, -405803)",685,-406303.0,0.685
"[-405803, -404803)",13,-405303.0,0.013
"[-404803, -403803)",1300,-404303.0,1.3
"[-403803, -402803)",403,-403303.0,0.403
"[-402803, -401803)",126,-402303.0,0.126
"[-401803, -400803)",1597,-401303.0,1.597
"[-400803, -399803)",384,-400303.0,0.384
"[-399803, -398803)",353,-399303.0,0.353
"[-398803, -397803)",1472,-398303.0,1.472
"[-397803, -396803)",123,-397303.0,0.123
