Distance_Bin,Value,Bin_Center,Density_per_bp
"[-557007, -556007)",0,-556507.0,0.0
"[-556007, -555007)",2751,-555507.0,2.751
"[-555007, -554007)",697,-554507.0,0.697
"[-554007, -553007)",1166,-553507.0,1.166
"[-553007, -552007)",4924,-552507.0,4.924
"[-552007, -551007)",1244,-551507.0,1.244
"[-551007, -550007)",1078,-550507.0,1.078
"[-550007, -549007)",11303,-549507.0,11.303
"[-549007, -548007)",817,-548507.0,0.817
"[-548007, -547007)",1593,-547507.0,1.593
"[-547007, -546007)",628,-546507.0,0.628
"[-546007, -545007)",1300,-545507.0,1.3
"[-545007, -544007)",2874,-544507.0,2.874
"[-544007, -543007)",926,-543507.0,0.926
"[-543007, -542007)",303,-542507.0,0.303
"[-542007, -541007)",815,-541507.0,0.815
"[-541007, -540007)",52,-540507.0,0.052
"[-540007, -539007)",295,-539507.0,0.295
"[-539007, -538007)",43,-538507.0,0.043
"[-538007, -537007)",471,-537507.0,0.471
"[-537007, -536007)",2355,-536507.0,2.355
"[-536007, -535007)",490,-535507.0,0.49
"[-535007, -534007)",951,-534507.0,0.951
"[-534007, -533007)",4287,-533507.0,4.287
"[-533007, -532007)",593,-532507.0,0.593
"[-532007, -531007)",2147,-531507.0,2.147
"[-531007, -530007)",322,-530507.0,0.322
"[-530007, -529007)",1299,-529507.0,1.299
"[-529007, -528007)",309,-528507.0,0.309
"[-528007, -527007)",1156,-527507.0,1.156
"[-527007, -526007)",3981,-526507.0,3.981
"[-526007, -525007)",2221,-525507.0,2.221
"[-525007, -524007)",410,-524507.0,0.41
"[-524007, -523007)",1489,-523507.0,1.489
"[-523007, -522007)",511,-522507.0,0.511
"[-522007, -521007)",1044,-521507.0,1.044
"[-521007, -520007)",1372,-520507.0,1.372
"[-520007, -519007)",11,-519507.0,0.011
"[-519007, -518007)",485,-518507.0,0.485
"[-518007, -517007)",1298,-517507.0,1.298
"[-517007, -516007)",72,-516507.0,0.072
"[-516007, -515007)",2348,-515507.0,2.348
"[-515007, -514007)",810,-514507.0,0.81
"[-514007, -513007)",883,-513507.0,0.883
"[-513007, -512007)",1153,-512507.0,1.153
"[-512007, -511007)",907,-511507.0,0.907
"[-511007, -510007)",895,-510507.0,0.895
"[-510007, -509007)",1738,-509507.0,1.738
"[-509007, -508007)",939,-508507.0,0.939
"[-508007, -507007)",529,-507507.0,0.529
"[-507007, -506007)",1459,-506507.0,1.459
"[-506007, -505007)",225,-505507.0,0.225
"[-505007, -504007)",960,-504507.0,0.96
"[-504007, -503007)",1284,-503507.0,1.284
"[-503007, -502007)",1352,-502507.0,1.352
"[-502007, -501007)",1373,-501507.0,1.373
"[-501007, -500007)",1487,-500507.0,1.487
"[-500007, -499007)",1665,-499507.0,1.665
"[-499007, -498007)",4863,-498507.0,4.863
"[-498007, -497007)",915,-497507.0,0.915
"[-497007, -496007)",984,-496507.0,0.984
"[-496007, -495007)",678,-495507.0,0.678
"[-495007, -494007)",827,-494507.0,0.827
"[-494007, -493007)",844,-493507.0,0.844
"[-493007, -492007)",1656,-492507.0,1.656
"[-492007, -491007)",1174,-491507.0,1.174
"[-491007, -490007)",187,-490507.0,0.187
"[-490007, -489007)",519,-489507.0,0.519
"[-489007, -488007)",1963,-488507.0,1.963
"[-488007, -487007)",52,-487507.0,0.052
"[-487007, -486007)",978,-486507.0,0.978
"[-486007, -485007)",813,-485507.0,0.813
"[-485007, -484007)",1414,-484507.0,1.414
"[-484007, -483007)",859,-483507.0,0.859
"[-483007, -482007)",1224,-482507.0,1.224
"[-482007, -481007)",996,-481507.0,0.996
"[-481007, -480007)",5832,-480507.0,5.832
"[-480007, -479007)",2143,-479507.0,2.143
"[-479007, -478007)",833,-478507.0,0.833
"[-478007, -477007)",180,-477507.0,0.18
"[-477007, -476007)",1667,-476507.0,1.667
"[-476007, -475007)",443,-475507.0,0.443
"[-475007, -474007)",608,-474507.0,0.608
"[-474007, -473007)",1832,-473507.0,1.832
"[-473007, -472007)",1061,-472507.0,1.061
"[-472007, -471007)",1173,-471507.0,1.173
"[-471007, -470007)",1546,-470507.0,1.546
"[-470007, -469007)",657,-469507.0,0.657
"[-469007, -468007)",1098,-468507.0,1.098
"[-468007, -467007)",1353,-467507.0,1.353
"[-467007, -466007)",12,-466507.0,0.012
"[-466007, -465007)",189,-465507.0,0.189
"[-465007, -464007)",29,-464507.0,0.029
"[-464007, -463007)",18,-463507.0,0.018
"[-463007, -462007)",16,-462507.0,0.016
"[-462007, -461007)",25,-461507.0,0.025
"[-461007, -460007)",978,-460507.0,0.978
"[-460007, -459007)",3035,-459507.0,3.035
"[-459007, -458007)",842,-458507.0,0.842
"[-458007, -457007)",1557,-457507.0,1.557
"[-457007, -456007)",1261,-456507.0,1.261
"[-456007, -455007)",554,-455507.0,0.554
"[-455007, -454007)",602,-454507.0,0.602
"[-454007, -453007)",603,-453507.0,0.603
"[-453007, -452007)",238,-452507.0,0.238
"[-452007, -451007)",89,-451507.0,0.089
"[-451007, -450007)",1129,-450507.0,1.129
"[-450007, -449007)",3129,-449507.0,3.129
"[-449007, -448007)",1295,-448507.0,1.295
"[-448007, -447007)",1678,-447507.0,1.678
