Distance_Bin,Value,Bin_Center,Density_per_bp
"[-150500.0, -149500.0)",0,-150000.0,0.0
"[-149500.0, -148500.0)",16,-149000.0,0.016
"[-148500.0, -147500.0)",194,-148000.0,0.194
"[-147500.0, -146500.0)",187,-147000.0,0.187
"[-146500.0, -145500.0)",320,-146000.0,0.32
"[-145500.0, -144500.0)",249,-145000.0,0.249
"[-144500.0, -143500.0)",389,-144000.0,0.389
"[-143500.0, -142500.0)",147,-143000.0,0.147
"[-142500.0, -141500.0)",158,-142000.0,0.158
"[-141500.0, -140500.0)",122,-141000.0,0.122
"[-140500.0, -139500.0)",123,-140000.0,0.123
"[-139500.0, -138500.0)",160,-139000.0,0.16
"[-138500.0, -137500.0)",136,-138000.0,0.136
"[-137500.0, -136500.0)",154,-137000.0,0.154
"[-136500.0, -135500.0)",169,-136000.0,0.169
"[-135500.0, -134500.0)",104,-135000.0,0.104
"[-134500.0, -133500.0)",110,-134000.0,0.11
"[-133500.0, -132500.0)",68,-133000.0,0.068
"[-132500.0, -131500.0)",127,-132000.0,0.127
"[-131500.0, -130500.0)",62,-131000.0,0.062
"[-130500.0, -129500.0)",57,-130000.0,0.057
"[-129500.0, -128500.0)",75,-129000.0,0.075
"[-128500.0, -127500.0)",75,-128000.0,0.075
"[-127500.0, -126500.0)",90,-127000.0,0.09
"[-126500.0, -125500.0)",114,-126000.0,0.114
"[-125500.0, -124500.0)",71,-125000.0,0.071
"[-124500.0, -123500.0)",54,-124000.0,0.054
"[-123500.0, -122500.0)",40,-123000.0,0.04
"[-122500.0, -121500.0)",59,-122000.0,0.059
"[-121500.0, -120500.0)",110,-121000.0,0.11
"[-120500.0, -119500.0)",68,-120000.0,0.068
"[-119500.0, -118500.0)",56,-119000.0,0.056
"[-118500.0, -117500.0)",70,-118000.0,0.07
"[-117500.0, -116500.0)",89,-117000.0,0.089
"[-116500.0, -115500.0)",266,-116000.0,0.266
"[-115500.0, -114500.0)",110,-115000.0,0.11
"[-114500.0, -113500.0)",48,-114000.0,0.048
"[-113500.0, -112500.0)",60,-113000.0,0.06
"[-112500.0, -111500.0)",97,-112000.0,0.097
"[-111500.0, -110500.0)",71,-111000.0,0.071
"[-110500.0, -109500.0)",65,-110000.0,0.065
"[-109500.0, -108500.0)",59,-109000.0,0.059
"[-108500.0, -107500.0)",104,-108000.0,0.104
"[-107500.0, -106500.0)",61,-107000.0,0.061
"[-106500.0, -105500.0)",72,-106000.0,0.072
"[-105500.0, -104500.0)",60,-105000.0,0.06
"[-104500.0, -103500.0)",49,-104000.0,0.049
"[-103500.0, -102500.0)",73,-103000.0,0.073
"[-102500.0, -101500.0)",69,-102000.0,0.069
"[-101500.0, -100500.0)",139,-101000.0,0.139
"[-100500.0, -99500.0)",129,-100000.0,0.129
"[-99500.0, -98500.0)",95,-99000.0,0.095
"[-98500.0, -97500.0)",68,-98000.0,0.068
"[-97500.0, -96500.0)",107,-97000.0,0.107
"[-96500.0, -95500.0)",100,-96000.0,0.1
"[-95500.0, -94500.0)",44,-95000.0,0.044
"[-94500.0, -93500.0)",94,-94000.0,0.094
"[-93500.0, -92500.0)",108,-93000.0,0.108
"[-92500.0, -91500.0)",82,-92000.0,0.082
"[-91500.0, -90500.0)",46,-91000.0,0.046
"[-90500.0, -89500.0)",165,-90000.0,0.165
"[-89500.0, -88500.0)",29,-89000.0,0.029
"[-88500.0, -87500.0)",29,-88000.0,0.029
"[-87500.0, -86500.0)",57,-87000.0,0.057
"[-86500.0, -85500.0)",58,-86000.0,0.058
"[-85500.0, -84500.0)",68,-85000.0,0.068
"[-84500.0, -83500.0)",143,-84000.0,0.143
"[-83500.0, -82500.0)",134,-83000.0,0.134
"[-82500.0, -81500.0)",57,-82000.0,0.057
"[-81500.0, -80500.0)",54,-81000.0,0.054
"[-80500.0, -79500.0)",93,-80000.0,0.093
"[-79500.0, -78500.0)",115,-79000.0,0.115
"[-78500.0, -77500.0)",57,-78000.0,0.057
"[-77500.0, -76500.0)",49,-77000.0,0.049
"[-76500.0, -75500.0)",59,-76000.0,0.059
"[-75500.0, -74500.0)",76,-75000.0,0.076
"[-74500.0, -73500.0)",194,-74000.0,0.194
"[-73500.0, -72500.0)",57,-73000.0,0.057
"[-72500.0, -71500.0)",118,-72000.0,0.118
"[-71500.0, -70500.0)",102,-71000.0,0.102
"[-70500.0, -69500.0)",21,-70000.0,0.021
"[-69500.0, -68500.0)",103,-69000.0,0.103
"[-68500.0, -67500.0)",139,-68000.0,0.139
"[-67500.0, -66500.0)",84,-67000.0,0.084
"[-66500.0, -65500.0)",83,-66000.0,0.083
"[-65500.0, -64500.0)",75,-65000.0,0.075
"[-64500.0, -63500.0)",49,-64000.0,0.049
"[-63500.0, -62500.0)",50,-63000.0,0.05
"[-62500.0, -61500.0)",51,-62000.0,0.051
"[-61500.0, -60500.0)",136,-61000.0,0.136
"[-60500.0, -59500.0)",47,-60000.0,0.047
"[-59500.0, -58500.0)",36,-59000.0,0.036
"[-58500.0, -57500.0)",184,-58000.0,0.184
"[-57500.0, -56500.0)",57,-57000.0,0.057
"[-56500.0, -55500.0)",62,-56000.0,0.062
"[-55500.0, -54500.0)",107,-55000.0,0.107
"[-54500.0, -53500.0)",27,-54000.0,0.027
"[-53500.0, -52500.0)",393,-53000.0,0.393
"[-52500.0, -51500.0)",124,-52000.0,0.124
"[-51500.0, -50500.0)",143,-51000.0,0.143
"[-50500.0, -49500.0)",118,-50000.0,0.118
"[-49500.0, -48500.0)",84,-49000.0,0.084
"[-48500.0, -47500.0)",51,-48000.0,0.051
"[-47500.0, -46500.0)",158,-47000.0,0.158
"[-46500.0, -45500.0)",55,-46000.0,0.055
"[-45500.0, -44500.0)",148,-45000.0,0.148
"[-44500.0, -43500.0)",134,-44000.0,0.134
"[-43500.0, -42500.0)",131,-43000.0,0.131
"[-42500.0, -41500.0)",307,-42000.0,0.307
"[-41500.0, -40500.0)",209,-41000.0,0.209
"[-40500.0, -39500.0)",130,-40000.0,0.13
"[-39500.0, -38500.0)",103,-39000.0,0.103
"[-38500.0, -37500.0)",130,-38000.0,0.13
"[-37500.0, -36500.0)",166,-37000.0,0.166
"[-36500.0, -35500.0)",87,-36000.0,0.087
"[-35500.0, -34500.0)",93,-35000.0,0.093
"[-34500.0, -33500.0)",206,-34000.0,0.206
"[-33500.0, -32500.0)",143,-33000.0,0.143
"[-32500.0, -31500.0)",32,-32000.0,0.032
"[-31500.0, -30500.0)",33,-31000.0,0.033
