Distance_Bin,Value,Bin_Center,Density_per_bp
"[-115441, -114441)",0,-114941.0,0.0
"[-114441, -113441)",2484,-113941.0,2.484
"[-113441, -112441)",199,-112941.0,0.199
"[-112441, -111441)",147,-111941.0,0.147
"[-111441, -110441)",92,-110941.0,0.092
"[-110441, -109441)",39,-109941.0,0.039
"[-109441, -108441)",106,-108941.0,0.106
"[-108441, -107441)",206,-107941.0,0.206
"[-107441, -106441)",636,-106941.0,0.636
"[-106441, -105441)",147,-105941.0,0.147
"[-105441, -104441)",401,-104941.0,0.401
"[-104441, -103441)",382,-103941.0,0.382
"[-103441, -102441)",332,-102941.0,0.332
"[-102441, -101441)",457,-101941.0,0.457
"[-101441, -100441)",829,-100941.0,0.829
"[-100441, -99441)",457,-99941.0,0.457
"[-99441, -98441)",238,-98941.0,0.238
"[-98441, -97441)",405,-97941.0,0.405
"[-97441, -96441)",1747,-96941.0,1.747
"[-96441, -95441)",248,-95941.0,0.248
"[-95441, -94441)",326,-94941.0,0.326
"[-94441, -93441)",290,-93941.0,0.29
"[-93441, -92441)",186,-92941.0,0.186
"[-92441, -91441)",1298,-91941.0,1.298
"[-91441, -90441)",1656,-90941.0,1.656
"[-90441, -89441)",3336,-89941.0,3.336
"[-89441, -88441)",265,-88941.0,0.265
"[-88441, -87441)",793,-87941.0,0.793
"[-87441, -86441)",1764,-86941.0,1.764
"[-86441, -85441)",592,-85941.0,0.592
"[-85441, -84441)",568,-84941.0,0.568
"[-84441, -83441)",198,-83941.0,0.198
"[-83441, -82441)",1032,-82941.0,1.032
"[-82441, -81441)",60,-81941.0,0.06
"[-81441, -80441)",141,-80941.0,0.141
"[-80441, -79441)",391,-79941.0,0.391
"[-79441, -78441)",902,-78941.0,0.902
"[-78441, -77441)",981,-77941.0,0.981
"[-77441, -76441)",1581,-76941.0,1.581
"[-76441, -75441)",1543,-75941.0,1.543
"[-75441, -74441)",1651,-74941.0,1.651
"[-74441, -73441)",1527,-73941.0,1.527
"[-73441, -72441)",1586,-72941.0,1.586
"[-72441, -71441)",1066,-71941.0,1.066
"[-71441, -70441)",912,-70941.0,0.912
"[-70441, -69441)",1540,-69941.0,1.54
"[-69441, -68441)",416,-68941.0,0.416
"[-68441, -67441)",543,-67941.0,0.543
"[-67441, -66441)",2960,-66941.0,2.96
"[-66441, -65441)",1290,-65941.0,1.29
"[-65441, -64441)",55,-64941.0,0.055
"[-64441, -63441)",3005,-63941.0,3.005
"[-63441, -62441)",3165,-62941.0,3.165
"[-62441, -61441)",4588,-61941.0,4.588
"[-61441, -60441)",1432,-60941.0,1.432
"[-60441, -59441)",1951,-59941.0,1.951
"[-59441, -58441)",889,-58941.0,0.889
"[-58441, -57441)",2226,-57941.0,2.226
"[-57441, -56441)",573,-56941.0,0.573
"[-56441, -55441)",3389,-55941.0,3.389
"[-55441, -54441)",2267,-54941.0,2.267
"[-54441, -53441)",2634,-53941.0,2.634
"[-53441, -52441)",3964,-52941.0,3.964
"[-52441, -51441)",2053,-51941.0,2.053
"[-51441, -50441)",2704,-50941.0,2.704
"[-50441, -49441)",677,-49941.0,0.677
"[-49441, -48441)",2185,-48941.0,2.185
"[-48441, -47441)",2401,-47941.0,2.401
"[-47441, -46441)",1609,-46941.0,1.609
"[-46441, -45441)",4997,-45941.0,4.997
"[-45441, -44441)",1495,-44941.0,1.495
"[-44441, -43441)",2992,-43941.0,2.992
"[-43441, -42441)",3452,-42941.0,3.452
"[-42441, -41441)",1814,-41941.0,1.814
"[-41441, -40441)",1314,-40941.0,1.314
"[-40441, -39441)",3100,-39941.0,3.1
"[-39441, -38441)",3492,-38941.0,3.492
"[-38441, -37441)",2581,-37941.0,2.581
"[-37441, -36441)",2516,-36941.0,2.516
"[-36441, -35441)",8163,-35941.0,8.163
"[-35441, -34441)",2770,-34941.0,2.77
"[-34441, -33441)",510,-33941.0,0.51
"[-33441, -32441)",1377,-32941.0,1.377
"[-32441, -31441)",1210,-31941.0,1.21
"[-31441, -30441)",2349,-30941.0,2.349
"[-30441, -29441)",1150,-29941.0,1.15
"[-29441, -28441)",6853,-28941.0,6.853
"[-28441, -27441)",827,-27941.0,0.827
"[-27441, -26441)",860,-26941.0,0.86
"[-26441, -25441)",713,-25941.0,0.713
"[-25441, -24441)",760,-24941.0,0.76
"[-24441, -23441)",3467,-23941.0,3.467
"[-23441, -22441)",6222,-22941.0,6.222
"[-22441, -21441)",2504,-21941.0,2.504
"[-21441, -20441)",23,-20941.0,0.023
"[-20441, -19441)",2153,-19941.0,2.153
"[-19441, -18441)",2284,-18941.0,2.284
"[-18441, -17441)",2330,-17941.0,2.33
"[-17441, -16441)",384,-16941.0,0.384
"[-16441, -15441)",787,-15941.0,0.787
"[-15441, -14441)",447,-14941.0,0.447
"[-14441, -13441)",1591,-13941.0,1.591
"[-13441, -12441)",2443,-12941.0,2.443
"[-12441, -11441)",1636,-11941.0,1.636
"[-11441, -10441)",4840,-10941.0,4.84
"[-10441, -9441)",9273,-9941.0,9.273
"[-9441, -8441)",8136,-8941.0,8.136
"[-8441, -7441)",5596,-7941.0,5.596
"[-7441, -6441)",3306,-6941.0,3.306
"[-6441, -5441)",3939,-5941.0,3.939
"[-5441, -4441)",2935,-4941.0,2.935
"[-4441, -3441)",542,-3941.0,0.542
"[-3441, -2441)",7376,-2941.0,7.376
"[-2441, -1441)",1325,-1941.0,1.325
"[-1441, -441)",808,-941.0,0.808
"[-441, 559)",5274,59.0,5.274
"[559, 1559)",1632,1059.0,1.632
"[1559, 2559)",5004,2059.0,5.004
"[2559, 3559)",644,3059.0,0.644
