Distance_Bin,Value,Bin_Center,Density_per_bp
"[-152522, -151522)",0,-152022.0,0.0
"[-151522, -150522)",164,-151022.0,0.164
"[-150522, -149522)",102,-150022.0,0.102
"[-149522, -148522)",94,-149022.0,0.094
"[-148522, -147522)",51,-148022.0,0.051
"[-147522, -146522)",51,-147022.0,0.051
"[-146522, -145522)",55,-146022.0,0.055
"[-145522, -144522)",115,-145022.0,0.115
"[-144522, -143522)",77,-144022.0,0.077
"[-143522, -142522)",81,-143022.0,0.081
"[-142522, -141522)",181,-142022.0,0.181
"[-141522, -140522)",136,-141022.0,0.136
"[-140522, -139522)",136,-140022.0,0.136
"[-139522, -138522)",91,-139022.0,0.091
"[-138522, -137522)",88,-138022.0,0.088
"[-137522, -136522)",169,-137022.0,0.169
"[-136522, -135522)",117,-136022.0,0.117
"[-135522, -134522)",122,-135022.0,0.122
"[-134522, -133522)",129,-134022.0,0.129
"[-133522, -132522)",98,-133022.0,0.098
"[-132522, -131522)",90,-132022.0,0.09
"[-131522, -130522)",184,-131022.0,0.184
"[-130522, -129522)",116,-130022.0,0.116
"[-129522, -128522)",118,-129022.0,0.118
"[-128522, -127522)",137,-128022.0,0.137
"[-127522, -126522)",202,-127022.0,0.202
"[-126522, -125522)",90,-126022.0,0.09
"[-125522, -124522)",40,-125022.0,0.04
"[-124522, -123522)",69,-124022.0,0.069
"[-123522, -122522)",116,-123022.0,0.116
"[-122522, -121522)",142,-122022.0,0.142
"[-121522, -120522)",94,-121022.0,0.094
"[-120522, -119522)",212,-120022.0,0.212
"[-119522, -118522)",219,-119022.0,0.219
"[-118522, -117522)",230,-118022.0,0.23
"[-117522, -116522)",275,-117022.0,0.275
"[-116522, -115522)",157,-116022.0,0.157
"[-115522, -114522)",129,-115022.0,0.129
"[-114522, -113522)",113,-114022.0,0.113
"[-113522, -112522)",88,-113022.0,0.088
"[-112522, -111522)",102,-112022.0,0.102
"[-111522, -110522)",61,-111022.0,0.061
"[-110522, -109522)",70,-110022.0,0.07
"[-109522, -108522)",127,-109022.0,0.127
"[-108522, -107522)",161,-108022.0,0.161
"[-107522, -106522)",118,-107022.0,0.118
"[-106522, -105522)",235,-106022.0,0.235
"[-105522, -104522)",96,-105022.0,0.096
"[-104522, -103522)",68,-104022.0,0.068
"[-103522, -102522)",184,-103022.0,0.184
"[-102522, -101522)",58,-102022.0,0.058
"[-101522, -100522)",52,-101022.0,0.052
"[-100522, -99522)",84,-100022.0,0.084
"[-99522, -98522)",162,-99022.0,0.162
"[-98522, -97522)",100,-98022.0,0.1
"[-97522, -96522)",100,-97022.0,0.1
"[-96522, -95522)",7,-96022.0,0.007
"[-95522, -94522)",50,-95022.0,0.05
"[-94522, -93522)",128,-94022.0,0.128
"[-93522, -92522)",169,-93022.0,0.169
"[-92522, -91522)",67,-92022.0,0.067
"[-91522, -90522)",16,-91022.0,0.016
"[-90522, -89522)",165,-90022.0,0.165
"[-89522, -88522)",119,-89022.0,0.119
"[-88522, -87522)",21,-88022.0,0.021
"[-87522, -86522)",9,-87022.0,0.009
"[-86522, -85522)",36,-86022.0,0.036
"[-85522, -84522)",20,-85022.0,0.02
"[-84522, -83522)",70,-84022.0,0.07
"[-83522, -82522)",359,-83022.0,0.359
"[-82522, -81522)",305,-82022.0,0.305
"[-81522, -80522)",239,-81022.0,0.239
"[-80522, -79522)",213,-80022.0,0.213
"[-79522, -78522)",27,-79022.0,0.027
"[-78522, -77522)",125,-78022.0,0.125
"[-77522, -76522)",98,-77022.0,0.098
"[-76522, -75522)",115,-76022.0,0.115
"[-75522, -74522)",108,-75022.0,0.108
"[-74522, -73522)",20,-74022.0,0.02
"[-73522, -72522)",9,-73022.0,0.009
"[-72522, -71522)",90,-72022.0,0.09
"[-71522, -70522)",72,-71022.0,0.072
"[-70522, -69522)",116,-70022.0,0.116
"[-69522, -68522)",166,-69022.0,0.166
"[-68522, -67522)",68,-68022.0,0.068
"[-67522, -66522)",104,-67022.0,0.104
"[-66522, -65522)",55,-66022.0,0.055
"[-65522, -64522)",41,-65022.0,0.041
"[-64522, -63522)",133,-64022.0,0.133
"[-63522, -62522)",72,-63022.0,0.072
"[-62522, -61522)",56,-62022.0,0.056
"[-61522, -60522)",52,-61022.0,0.052
"[-60522, -59522)",65,-60022.0,0.065
"[-59522, -58522)",137,-59022.0,0.137
"[-58522, -57522)",93,-58022.0,0.093
"[-57522, -56522)",90,-57022.0,0.09
"[-56522, -55522)",109,-56022.0,0.109
"[-55522, -54522)",123,-55022.0,0.123
"[-54522, -53522)",47,-54022.0,0.047
"[-53522, -52522)",55,-53022.0,0.055
"[-52522, -51522)",89,-52022.0,0.089
"[-51522, -50522)",33,-51022.0,0.033
"[-50522, -49522)",88,-50022.0,0.088
