Distance_Bin,Value,Bin_Center,Density_per_bp
"[-575000.0, -565000.0)",0,-570000.0,0.0
"[-565000.0, -555000.0)",343,-560000.0,0.0343
"[-555000.0, -545000.0)",2078,-550000.0,0.2078
"[-545000.0, -535000.0)",1140,-540000.0,0.114
"[-535000.0, -525000.0)",892,-530000.0,0.0892
"[-525000.0, -515000.0)",650,-520000.0,0.065
"[-515000.0, -505000.0)",816,-510000.0,0.0816
"[-505000.0, -495000.0)",1919,-500000.0,0.1919
"[-495000.0, -485000.0)",873,-490000.0,0.0873
"[-485000.0, -475000.0)",890,-480000.0,0.089
"[-475000.0, -465000.0)",722,-470000.0,0.0722
"[-465000.0, -455000.0)",594,-460000.0,0.0594
"[-455000.0, -445000.0)",648,-450000.0,0.0648
"[-445000.0, -435000.0)",646,-440000.0,0.0646
"[-435000.0, -425000.0)",912,-430000.0,0.0912
"[-425000.0, -415000.0)",833,-420000.0,0.0833
"[-415000.0, -405000.0)",594,-410000.0,0.0594
"[-405000.0, -395000.0)",576,-400000.0,0.0576
"[-395000.0, -385000.0)",679,-390000.0,0.0679
"[-385000.0, -375000.0)",554,-380000.0,0.0554
"[-375000.0, -365000.0)",590,-370000.0,0.059
"[-365000.0, -355000.0)",737,-360000.0,0.0737
"[-355000.0, -345000.0)",730,-350000.0,0.073
"[-345000.0, -335000.0)",993,-340000.0,0.0993
"[-335000.0, -325000.0)",688,-330000.0,0.0688
"[-325000.0, -315000.0)",450,-320000.0,0.045
"[-315000.0, -305000.0)",576,-310000.0,0.0576
"[-305000.0, -295000.0)",748,-300000.0,0.0748
"[-295000.0, -285000.0)",530,-290000.0,0.053
"[-285000.0, -275000.0)",644,-280000.0,0.0644
"[-275000.0, -265000.0)",625,-270000.0,0.0625
"[-265000.0, -255000.0)",851,-260000.0,0.0851
"[-255000.0, -245000.0)",566,-250000.0,0.0566
"[-245000.0, -235000.0)",414,-240000.0,0.0414
"[-235000.0, -225000.0)",523,-230000.0,0.0523
"[-225000.0, -215000.0)",909,-220000.0,0.0909
"[-215000.0, -205000.0)",645,-210000.0,0.0645
"[-205000.0, -195000.0)",584,-200000.0,0.0584
"[-195000.0, -185000.0)",767,-190000.0,0.0767
"[-185000.0, -175000.0)",664,-180000.0,0.0664
"[-175000.0, -165000.0)",609,-170000.0,0.0609
"[-165000.0, -155000.0)",312,-160000.0,0.0312
"[-155000.0, -145000.0)",835,-150000.0,0.0835
"[-145000.0, -135000.0)",734,-140000.0,0.0734
"[-135000.0, -125000.0)",841,-130000.0,0.0841
"[-125000.0, -115000.0)",1166,-120000.0,0.1166
"[-115000.0, -105000.0)",926,-110000.0,0.0926
"[-105000.0, -95000.0)",1053,-100000.0,0.1053
"[-95000.0, -85000.0)",823,-90000.0,0.0823
"[-85000.0, -75000.0)",959,-80000.0,0.0959
"[-75000.0, -65000.0)",960,-70000.0,0.096
"[-65000.0, -55000.0)",947,-60000.0,0.0947
"[-55000.0, -45000.0)",836,-50000.0,0.0836
"[-45000.0, -35000.0)",933,-40000.0,0.0933
"[-35000.0, -25000.0)",1157,-30000.0,0.1157
"[-25000.0, -15000.0)",582,-20000.0,0.0582
"[-15000.0, -5000.0)",1040,-10000.0,0.104
"[-5000.0, 5000.0)",1466,0.0,0.1466
"[5000.0, 15000.0)",1612,10000.0,0.1612
"[15000.0, 25000.0)",945,20000.0,0.0945
"[25000.0, 35000.0)",1535,30000.0,0.1535
"[35000.0, 45000.0)",702,40000.0,0.0702
"[45000.0, 55000.0)",836,50000.0,0.0836
"[55000.0, 65000.0)",735,60000.0,0.0735
"[65000.0, 75000.0)",914,70000.0,0.0914
"[75000.0, 85000.0)",576,80000.0,0.0576
"[85000.0, 95000.0)",1004,90000.0,0.1004
"[95000.0, 105000.0)",570,100000.0,0.057
"[105000.0, 115000.0)",622,110000.0,0.0622
"[115000.0, 125000.0)",922,120000.0,0.0922
"[125000.0, 135000.0)",810,130000.0,0.081
"[135000.0, 145000.0)",1059,140000.0,0.1059
"[145000.0, 155000.0)",708,150000.0,0.0708
"[155000.0, 165000.0)",635,160000.0,0.0635
"[165000.0, 175000.0)",612,170000.0,0.0612
"[175000.0, 185000.0)",472,180000.0,0.0472
"[185000.0, 195000.0)",586,190000.0,0.0586
"[195000.0, 205000.0)",708,200000.0,0.0708
"[205000.0, 215000.0)",610,210000.0,0.061
"[215000.0, 225000.0)",672,220000.0,0.0672
"[225000.0, 235000.0)",874,230000.0,0.0874
"[235000.0, 245000.0)",664,240000.0,0.0664
"[245000.0, 255000.0)",1892,250000.0,0.1892
"[255000.0, 265000.0)",610,260000.0,0.061
"[265000.0, 275000.0)",1261,270000.0,0.1261
"[275000.0, 285000.0)",1040,280000.0,0.104
"[285000.0, 295000.0)",2060,290000.0,0.206
"[295000.0, 305000.0)",1742,300000.0,0.1742
"[305000.0, 315000.0)",608,310000.0,0.0608
"[315000.0, 325000.0)",634,320000.0,0.0634
"[325000.0, 335000.0)",641,330000.0,0.0641
"[335000.0, 345000.0)",513,340000.0,0.0513
"[345000.0, 355000.0)",538,350000.0,0.0538
"[355000.0, 365000.0)",511,360000.0,0.0511
"[365000.0, 375000.0)",1137,370000.0,0.1137
"[375000.0, 385000.0)",782,380000.0,0.0782
"[385000.0, 395000.0)",1713,390000.0,0.1713
"[395000.0, 405000.0)",0,400000.0,0.0
"[405000.0, 415000.0)",0,410000.0,0.0
"[415000.0, 425000.0)",0,420000.0,0.0
"[425000.0, 435000.0)",0,430000.0,0.0
"[435000.0, 445000.0)",0,440000.0,0.0
"[445000.0, 455000.0)",0,450000.0,0.0
"[455000.0, 465000.0)",0,460000.0,0.0
"[465000.0, 475000.0)",0,470000.0,0.0
"[475000.0, 485000.0)",0,480000.0,0.0
"[485000.0, 495000.0)",0,490000.0,0.0
"[495000.0, 505000.0)",0,500000.0,0.0
"[505000.0, 515000.0)",0,510000.0,0.0
"[515000.0, 525000.0)",0,520000.0,0.0
"[525000.0, 535000.0)",0,530000.0,0.0
"[535000.0, 545000.0)",0,540000.0,0.0
"[545000.0, 555000.0)",0,550000.0,0.0
"[555000.0, 565000.0)",0,560000.0,0.0
"[565000.0, 575000.0)",0,570000.0,0.0
