Distance_Bin,Value,Bin_Center,Density_per_bp
"[-225000.0, -215000.0)",0,-220000.0,0.0
"[-215000.0, -205000.0)",0,-210000.0,0.0
"[-205000.0, -195000.0)",0,-200000.0,0.0
"[-195000.0, -185000.0)",0,-190000.0,0.0
"[-185000.0, -175000.0)",0,-180000.0,0.0
"[-175000.0, -165000.0)",0,-170000.0,0.0
"[-165000.0, -155000.0)",0,-160000.0,0.0
"[-155000.0, -145000.0)",0,-150000.0,0.0
"[-145000.0, -135000.0)",0,-140000.0,0.0
"[-135000.0, -125000.0)",0,-130000.0,0.0
"[-125000.0, -115000.0)",0,-120000.0,0.0
"[-115000.0, -105000.0)",544,-110000.0,0.0544
"[-105000.0, -95000.0)",673,-100000.0,0.0673
"[-95000.0, -85000.0)",847,-90000.0,0.0847
"[-85000.0, -75000.0)",774,-80000.0,0.0774
"[-75000.0, -65000.0)",1080,-70000.0,0.108
"[-65000.0, -55000.0)",1318,-60000.0,0.1318
"[-55000.0, -45000.0)",1475,-50000.0,0.1475
"[-45000.0, -35000.0)",1693,-40000.0,0.1693
"[-35000.0, -25000.0)",1842,-30000.0,0.1842
"[-25000.0, -15000.0)",1423,-20000.0,0.1423
"[-15000.0, -5000.0)",2019,-10000.0,0.2019
"[-5000.0, 5000.0)",1444,0.0,0.1444
"[5000.0, 15000.0)",2463,10000.0,0.2463
"[15000.0, 25000.0)",1387,20000.0,0.1387
"[25000.0, 35000.0)",1053,30000.0,0.1053
"[35000.0, 45000.0)",1339,40000.0,0.1339
"[45000.0, 55000.0)",1432,50000.0,0.1432
"[55000.0, 65000.0)",1220,60000.0,0.122
"[65000.0, 75000.0)",633,70000.0,0.0633
"[75000.0, 85000.0)",759,80000.0,0.0759
"[85000.0, 95000.0)",725,90000.0,0.0725
"[95000.0, 105000.0)",972,100000.0,0.0972
"[105000.0, 115000.0)",1353,110000.0,0.1353
"[115000.0, 125000.0)",945,120000.0,0.0945
"[125000.0, 135000.0)",882,130000.0,0.0882
"[135000.0, 145000.0)",830,140000.0,0.083
"[145000.0, 155000.0)",756,150000.0,0.0756
"[155000.0, 165000.0)",710,160000.0,0.071
"[165000.0, 175000.0)",465,170000.0,0.0465
"[175000.0, 185000.0)",823,180000.0,0.0823
"[185000.0, 195000.0)",1256,190000.0,0.1256
"[195000.0, 205000.0)",957,200000.0,0.0957
"[205000.0, 215000.0)",0,210000.0,0.0
"[215000.0, 225000.0)",0,220000.0,0.0
