Distance_Bin,Value,Bin_Center,Density_per_bp
"[-450764, -449764)",0,-450264.0,0.0
"[-449764, -448764)",5049,-449264.0,5.049
"[-448764, -447764)",2335,-448264.0,2.335
"[-447764, -446764)",270,-447264.0,0.27
"[-446764, -445764)",570,-446264.0,0.57
"[-445764, -444764)",654,-445264.0,0.654
"[-444764, -443764)",2651,-444264.0,2.651
"[-443764, -442764)",1196,-443264.0,1.196
"[-442764, -441764)",616,-442264.0,0.616
"[-441764, -440764)",1925,-441264.0,1.925
"[-440764, -439764)",1930,-440264.0,1.93
"[-439764, -438764)",916,-439264.0,0.916
"[-438764, -437764)",1248,-438264.0,1.248
"[-437764, -436764)",1169,-437264.0,1.169
"[-436764, -435764)",732,-436264.0,0.732
"[-435764, -434764)",1857,-435264.0,1.857
"[-434764, -433764)",1238,-434264.0,1.238
"[-433764, -432764)",1257,-433264.0,1.257
"[-432764, -431764)",1593,-432264.0,1.593
"[-431764, -430764)",947,-431264.0,0.947
"[-430764, -429764)",4952,-430264.0,4.952
"[-429764, -428764)",894,-429264.0,0.894
"[-428764, -427764)",1740,-428264.0,1.74
"[-427764, -426764)",2199,-427264.0,2.199
"[-426764, -425764)",123,-426264.0,0.123
"[-425764, -424764)",116,-425264.0,0.116
"[-424764, -423764)",109,-424264.0,0.109
"[-423764, -422764)",426,-423264.0,0.426
"[-422764, -421764)",183,-422264.0,0.183
"[-421764, -420764)",343,-421264.0,0.343
"[-420764, -419764)",456,-420264.0,0.456
"[-419764, -418764)",886,-419264.0,0.886
"[-418764, -417764)",401,-418264.0,0.401
"[-417764, -416764)",753,-417264.0,0.753
"[-416764, -415764)",173,-416264.0,0.173
"[-415764, -414764)",1139,-415264.0,1.139
"[-414764, -413764)",1527,-414264.0,1.527
"[-413764, -412764)",1351,-413264.0,1.351
"[-412764, -411764)",619,-412264.0,0.619
"[-411764, -410764)",4143,-411264.0,4.143
"[-410764, -409764)",406,-410264.0,0.406
"[-409764, -408764)",196,-409264.0,0.196
"[-408764, -407764)",216,-408264.0,0.216
"[-407764, -406764)",2531,-407264.0,2.531
"[-406764, -405764)",981,-406264.0,0.981
"[-405764, -404764)",439,-405264.0,0.439
"[-404764, -403764)",389,-404264.0,0.389
"[-403764, -402764)",1348,-403264.0,1.348
"[-402764, -401764)",0,-402264.0,0.0
"[-401764, -400764)",971,-401264.0,0.971
"[-400764, -399764)",2243,-400264.0,2.243
"[-399764, -398764)",691,-399264.0,0.691
"[-398764, -397764)",73,-398264.0,0.073
"[-397764, -396764)",1776,-397264.0,1.776
"[-396764, -395764)",356,-396264.0,0.356
"[-395764, -394764)",667,-395264.0,0.667
"[-394764, -393764)",245,-394264.0,0.245
"[-393764, -392764)",509,-393264.0,0.509
"[-392764, -391764)",873,-392264.0,0.873
"[-391764, -390764)",731,-391264.0,0.731
"[-390764, -389764)",3558,-390264.0,3.558
"[-389764, -388764)",969,-389264.0,0.969
"[-388764, -387764)",1080,-388264.0,1.08
"[-387764, -386764)",5020,-387264.0,5.02
"[-386764, -385764)",37,-386264.0,0.037
"[-385764, -384764)",27,-385264.0,0.027
"[-384764, -383764)",1353,-384264.0,1.353
"[-383764, -382764)",1384,-383264.0,1.384
"[-382764, -381764)",343,-382264.0,0.343
"[-381764, -380764)",1041,-381264.0,1.041
"[-380764, -379764)",409,-380264.0,0.409
"[-379764, -378764)",1490,-379264.0,1.49
"[-378764, -377764)",529,-378264.0,0.529
"[-377764, -376764)",525,-377264.0,0.525
"[-376764, -375764)",1664,-376264.0,1.664
"[-375764, -374764)",2204,-375264.0,2.204
"[-374764, -373764)",652,-374264.0,0.652
"[-373764, -372764)",3184,-373264.0,3.184
"[-372764, -371764)",6951,-372264.0,6.951
"[-371764, -370764)",5341,-371264.0,5.341
"[-370764, -369764)",2039,-370264.0,2.039
"[-369764, -368764)",1003,-369264.0,1.003
"[-368764, -367764)",551,-368264.0,0.551
"[-367764, -366764)",989,-367264.0,0.989
"[-366764, -365764)",2519,-366264.0,2.519
"[-365764, -364764)",1244,-365264.0,1.244
"[-364764, -363764)",1770,-364264.0,1.77
"[-363764, -362764)",632,-363264.0,0.632
"[-362764, -361764)",1154,-362264.0,1.154
"[-361764, -360764)",942,-361264.0,0.942
"[-360764, -359764)",469,-360264.0,0.469
"[-359764, -358764)",525,-359264.0,0.525
"[-358764, -357764)",319,-358264.0,0.319
"[-357764, -356764)",189,-357264.0,0.189
"[-356764, -355764)",405,-356264.0,0.405
"[-355764, -354764)",1623,-355264.0,1.623
"[-354764, -353764)",924,-354264.0,0.924
"[-353764, -352764)",1606,-353264.0,1.606
"[-352764, -351764)",626,-352264.0,0.626
"[-351764, -350764)",383,-351264.0,0.383
"[-350764, -349764)",2629,-350264.0,2.629
"[-349764, -348764)",720,-349264.0,0.72
"[-348764, -347764)",1606,-348264.0,1.606
"[-347764, -346764)",428,-347264.0,0.428
"[-346764, -345764)",3167,-346264.0,3.167
"[-345764, -344764)",1678,-345264.0,1.678
"[-344764, -343764)",945,-344264.0,0.945
"[-343764, -342764)",8359,-343264.0,8.359
"[-342764, -341764)",1099,-342264.0,1.099
"[-341764, -340764)",9,-341264.0,0.009
"[-340764, -339764)",5,-340264.0,0.005
"[-339764, -338764)",125,-339264.0,0.125
"[-338764, -337764)",5507,-338264.0,5.507
"[-337764, -336764)",193,-337264.0,0.193
"[-336764, -335764)",133,-336264.0,0.133
"[-335764, -334764)",1056,-335264.0,1.056
"[-334764, -333764)",90,-334264.0,0.09
"[-333764, -332764)",2508,-333264.0,2.508
"[-332764, -331764)",940,-332264.0,0.94
"[-331764, -330764)",170,-331264.0,0.17
"[-330764, -329764)",421,-330264.0,0.421
"[-329764, -328764)",327,-329264.0,0.327
"[-328764, -327764)",1035,-328264.0,1.035
"[-327764, -326764)",224,-327264.0,0.224
"[-326764, -325764)",340,-326264.0,0.34
"[-325764, -324764)",710,-325264.0,0.71
"[-324764, -323764)",3041,-324264.0,3.041
"[-323764, -322764)",1396,-323264.0,1.396
"[-322764, -321764)",25,-322264.0,0.025
"[-321764, -320764)",32,-321264.0,0.032
"[-320764, -319764)",60,-320264.0,0.06
"[-319764, -318764)",7124,-319264.0,7.124
"[-318764, -317764)",2379,-318264.0,2.379
"[-317764, -316764)",4817,-317264.0,4.817
"[-316764, -315764)",3054,-316264.0,3.054
"[-315764, -314764)",2441,-315264.0,2.441
"[-314764, -313764)",1533,-314264.0,1.533
"[-313764, -312764)",431,-313264.0,0.431
"[-312764, -311764)",976,-312264.0,0.976
"[-311764, -310764)",1066,-311264.0,1.066
"[-310764, -309764)",1321,-310264.0,1.321
"[-309764, -308764)",910,-309264.0,0.91
"[-308764, -307764)",1262,-308264.0,1.262
"[-307764, -306764)",721,-307264.0,0.721
"[-306764, -305764)",402,-306264.0,0.402
"[-305764, -304764)",691,-305264.0,0.691
"[-304764, -303764)",2286,-304264.0,2.286
"[-303764, -302764)",827,-303264.0,0.827
"[-302764, -301764)",2173,-302264.0,2.173
"[-301764, -300764)",1887,-301264.0,1.887
"[-300764, -299764)",4670,-300264.0,4.67
"[-299764, -298764)",781,-299264.0,0.781
"[-298764, -297764)",4065,-298264.0,4.065
"[-297764, -296764)",671,-297264.0,0.671
"[-296764, -295764)",417,-296264.0,0.417
"[-295764, -294764)",240,-295264.0,0.24
"[-294764, -293764)",673,-294264.0,0.673
"[-293764, -292764)",3098,-293264.0,3.098
"[-292764, -291764)",845,-292264.0,0.845
"[-291764, -290764)",2021,-291264.0,2.021
"[-290764, -289764)",1645,-290264.0,1.645
"[-289764, -288764)",360,-289264.0,0.36
"[-288764, -287764)",500,-288264.0,0.5
"[-287764, -286764)",565,-287264.0,0.565
"[-286764, -285764)",960,-286264.0,0.96
"[-285764, -284764)",1267,-285264.0,1.267
"[-284764, -283764)",23,-284264.0,0.023
"[-283764, -282764)",40,-283264.0,0.04
"[-282764, -281764)",3147,-282264.0,3.147
"[-281764, -280764)",278,-281264.0,0.278
"[-280764, -279764)",1024,-280264.0,1.024
"[-279764, -278764)",325,-279264.0,0.325
"[-278764, -277764)",162,-278264.0,0.162
"[-277764, -276764)",2143,-277264.0,2.143
"[-276764, -275764)",329,-276264.0,0.329
"[-275764, -274764)",1467,-275264.0,1.467
"[-274764, -273764)",542,-274264.0,0.542
