Distance_Bin,Value,Bin_Center,Density_per_bp
"[-615000.0, -605000.0)",0,-610000.0,0.0
"[-605000.0, -595000.0)",0,-600000.0,0.0
"[-595000.0, -585000.0)",0,-590000.0,0.0
"[-585000.0, -575000.0)",0,-580000.0,0.0
"[-575000.0, -565000.0)",0,-570000.0,0.0
"[-565000.0, -555000.0)",0,-560000.0,0.0
"[-555000.0, -545000.0)",0,-550000.0,0.0
"[-545000.0, -535000.0)",0,-540000.0,0.0
"[-535000.0, -525000.0)",0,-530000.0,0.0
"[-525000.0, -515000.0)",0,-520000.0,0.0
"[-515000.0, -505000.0)",0,-510000.0,0.0
"[-505000.0, -495000.0)",95,-500000.0,0.0095
"[-495000.0, -485000.0)",406,-490000.0,0.0406
"[-485000.0, -475000.0)",1030,-480000.0,0.103
"[-475000.0, -465000.0)",900,-470000.0,0.09
"[-465000.0, -455000.0)",788,-460000.0,0.0788
"[-455000.0, -445000.0)",483,-450000.0,0.0483
"[-445000.0, -435000.0)",650,-440000.0,0.065
"[-435000.0, -425000.0)",704,-430000.0,0.0704
"[-425000.0, -415000.0)",904,-420000.0,0.0904
"[-415000.0, -405000.0)",631,-410000.0,0.0631
"[-405000.0, -395000.0)",664,-400000.0,0.0664
"[-395000.0, -385000.0)",595,-390000.0,0.0595
"[-385000.0, -375000.0)",790,-380000.0,0.079
"[-375000.0, -365000.0)",832,-370000.0,0.0832
"[-365000.0, -355000.0)",481,-360000.0,0.0481
"[-355000.0, -345000.0)",917,-350000.0,0.0917
"[-345000.0, -335000.0)",1236,-340000.0,0.1236
"[-335000.0, -325000.0)",871,-330000.0,0.0871
"[-325000.0, -315000.0)",540,-320000.0,0.054
"[-315000.0, -305000.0)",580,-310000.0,0.058
"[-305000.0, -295000.0)",914,-300000.0,0.0914
"[-295000.0, -285000.0)",902,-290000.0,0.0902
"[-285000.0, -275000.0)",674,-280000.0,0.0674
"[-275000.0, -265000.0)",761,-270000.0,0.0761
"[-265000.0, -255000.0)",578,-260000.0,0.0578
"[-255000.0, -245000.0)",494,-250000.0,0.0494
"[-245000.0, -235000.0)",797,-240000.0,0.0797
"[-235000.0, -225000.0)",687,-230000.0,0.0687
"[-225000.0, -215000.0)",739,-220000.0,0.0739
"[-215000.0, -205000.0)",868,-210000.0,0.0868
"[-205000.0, -195000.0)",551,-200000.0,0.0551
"[-195000.0, -185000.0)",711,-190000.0,0.0711
"[-185000.0, -175000.0)",765,-180000.0,0.0765
"[-175000.0, -165000.0)",910,-170000.0,0.091
"[-165000.0, -155000.0)",443,-160000.0,0.0443
"[-155000.0, -145000.0)",778,-150000.0,0.0778
"[-145000.0, -135000.0)",926,-140000.0,0.0926
"[-135000.0, -125000.0)",1011,-130000.0,0.1011
"[-125000.0, -115000.0)",813,-120000.0,0.0813
"[-115000.0, -105000.0)",959,-110000.0,0.0959
"[-105000.0, -95000.0)",1109,-100000.0,0.1109
"[-95000.0, -85000.0)",1068,-90000.0,0.1068
"[-85000.0, -75000.0)",1297,-80000.0,0.1297
"[-75000.0, -65000.0)",892,-70000.0,0.0892
"[-65000.0, -55000.0)",1087,-60000.0,0.1087
"[-55000.0, -45000.0)",978,-50000.0,0.0978
"[-45000.0, -35000.0)",870,-40000.0,0.087
"[-35000.0, -25000.0)",887,-30000.0,0.0887
"[-25000.0, -15000.0)",1208,-20000.0,0.1208
"[-15000.0, -5000.0)",1744,-10000.0,0.1744
"[-5000.0, 5000.0)",1448,0.0,0.1448
"[5000.0, 15000.0)",1392,10000.0,0.1392
"[15000.0, 25000.0)",1120,20000.0,0.112
"[25000.0, 35000.0)",1781,30000.0,0.1781
"[35000.0, 45000.0)",2095,40000.0,0.2095
"[45000.0, 55000.0)",1412,50000.0,0.1412
"[55000.0, 65000.0)",1307,60000.0,0.1307
"[65000.0, 75000.0)",2424,70000.0,0.2424
"[75000.0, 85000.0)",1570,80000.0,0.157
"[85000.0, 95000.0)",917,90000.0,0.0917
"[95000.0, 105000.0)",1228,100000.0,0.1228
"[105000.0, 115000.0)",867,110000.0,0.0867
"[115000.0, 125000.0)",647,120000.0,0.0647
"[125000.0, 135000.0)",1117,130000.0,0.1117
"[135000.0, 145000.0)",674,140000.0,0.0674
"[145000.0, 155000.0)",954,150000.0,0.0954
"[155000.0, 165000.0)",1121,160000.0,0.1121
"[165000.0, 175000.0)",397,170000.0,0.0397
"[175000.0, 185000.0)",863,180000.0,0.0863
"[185000.0, 195000.0)",328,190000.0,0.0328
"[195000.0, 205000.0)",904,200000.0,0.0904
"[205000.0, 215000.0)",963,210000.0,0.0963
"[215000.0, 225000.0)",796,220000.0,0.0796
"[225000.0, 235000.0)",557,230000.0,0.0557
"[235000.0, 245000.0)",1323,240000.0,0.1323
"[245000.0, 255000.0)",711,250000.0,0.0711
"[255000.0, 265000.0)",811,260000.0,0.0811
"[265000.0, 275000.0)",884,270000.0,0.0884
"[275000.0, 285000.0)",1176,280000.0,0.1176
"[285000.0, 295000.0)",878,290000.0,0.0878
"[295000.0, 305000.0)",768,300000.0,0.0768
"[305000.0, 315000.0)",1123,310000.0,0.1123
"[315000.0, 325000.0)",2264,320000.0,0.2264
"[325000.0, 335000.0)",1203,330000.0,0.1203
"[335000.0, 345000.0)",758,340000.0,0.0758
"[345000.0, 355000.0)",879,350000.0,0.0879
"[355000.0, 365000.0)",927,360000.0,0.0927
"[365000.0, 375000.0)",458,370000.0,0.0458
"[375000.0, 385000.0)",703,380000.0,0.0703
"[385000.0, 395000.0)",918,390000.0,0.0918
"[395000.0, 405000.0)",527,400000.0,0.0527
"[405000.0, 415000.0)",1222,410000.0,0.1222
"[415000.0, 425000.0)",967,420000.0,0.0967
"[425000.0, 435000.0)",569,430000.0,0.0569
"[435000.0, 445000.0)",664,440000.0,0.0664
"[445000.0, 455000.0)",738,450000.0,0.0738
