Distance_Bin,Value,Bin_Center,Density_per_bp
"[-269051, -268051)",0,-268551.0,0.0
"[-268051, -267051)",333,-267551.0,0.333
"[-267051, -266051)",201,-266551.0,0.201
"[-266051, -265051)",246,-265551.0,0.246
"[-265051, -264051)",369,-264551.0,0.369
"[-264051, -263051)",234,-263551.0,0.234
"[-263051, -262051)",368,-262551.0,0.368
"[-262051, -261051)",129,-261551.0,0.129
"[-261051, -260051)",149,-260551.0,0.149
"[-260051, -259051)",78,-259551.0,0.078
"[-259051, -258051)",127,-258551.0,0.127
"[-258051, -257051)",113,-257551.0,0.113
"[-257051, -256051)",55,-256551.0,0.055
"[-256051, -255051)",35,-255551.0,0.035
"[-255051, -254051)",120,-254551.0,0.12
"[-254051, -253051)",172,-253551.0,0.172
"[-253051, -252051)",136,-252551.0,0.136
"[-252051, -251051)",154,-251551.0,0.154
"[-251051, -250051)",36,-250551.0,0.036
"[-250051, -249051)",36,-249551.0,0.036
"[-249051, -248051)",27,-248551.0,0.027
"[-248051, -247051)",105,-247551.0,0.105
"[-247051, -246051)",55,-246551.0,0.055
"[-246051, -245051)",66,-245551.0,0.066
"[-245051, -244051)",148,-244551.0,0.148
"[-244051, -243051)",112,-243551.0,0.112
"[-243051, -242051)",106,-242551.0,0.106
"[-242051, -241051)",228,-241551.0,0.228
"[-241051, -240051)",96,-240551.0,0.096
"[-240051, -239051)",97,-239551.0,0.097
"[-239051, -238051)",160,-238551.0,0.16
"[-238051, -237051)",156,-237551.0,0.156
"[-237051, -236051)",73,-236551.0,0.073
"[-236051, -235051)",108,-235551.0,0.108
"[-235051, -234051)",169,-234551.0,0.169
"[-234051, -233051)",89,-233551.0,0.089
"[-233051, -232051)",38,-232551.0,0.038
"[-232051, -231051)",78,-231551.0,0.078
"[-231051, -230051)",177,-230551.0,0.177
"[-230051, -229051)",63,-229551.0,0.063
"[-229051, -228051)",99,-228551.0,0.099
"[-228051, -227051)",51,-227551.0,0.051
"[-227051, -226051)",90,-226551.0,0.09
"[-226051, -225051)",78,-225551.0,0.078
"[-225051, -224051)",111,-224551.0,0.111
"[-224051, -223051)",130,-223551.0,0.13
"[-223051, -222051)",36,-222551.0,0.036
"[-222051, -221051)",182,-221551.0,0.182
"[-221051, -220051)",71,-220551.0,0.071
"[-220051, -219051)",55,-219551.0,0.055
"[-219051, -218051)",61,-218551.0,0.061
"[-218051, -217051)",81,-217551.0,0.081
"[-217051, -216051)",138,-216551.0,0.138
"[-216051, -215051)",86,-215551.0,0.086
"[-215051, -214051)",52,-214551.0,0.052
"[-214051, -213051)",103,-213551.0,0.103
"[-213051, -212051)",52,-212551.0,0.052
"[-212051, -211051)",75,-211551.0,0.075
"[-211051, -210051)",63,-210551.0,0.063
"[-210051, -209051)",63,-209551.0,0.063
"[-209051, -208051)",63,-208551.0,0.063
"[-208051, -207051)",17,-207551.0,0.017
"[-207051, -206051)",19,-206551.0,0.019
"[-206051, -205051)",76,-205551.0,0.076
"[-205051, -204051)",47,-204551.0,0.047
"[-204051, -203051)",24,-203551.0,0.024
"[-203051, -202051)",21,-202551.0,0.021
"[-202051, -201051)",13,-201551.0,0.013
"[-201051, -200051)",106,-200551.0,0.106
"[-200051, -199051)",175,-199551.0,0.175
"[-199051, -198051)",146,-198551.0,0.146
"[-198051, -197051)",227,-197551.0,0.227
"[-197051, -196051)",78,-196551.0,0.078
"[-196051, -195051)",104,-195551.0,0.104
"[-195051, -194051)",130,-194551.0,0.13
"[-194051, -193051)",128,-193551.0,0.128
"[-193051, -192051)",45,-192551.0,0.045
"[-192051, -191051)",111,-191551.0,0.111
"[-191051, -190051)",82,-190551.0,0.082
"[-190051, -189051)",45,-189551.0,0.045
"[-189051, -188051)",89,-188551.0,0.089
"[-188051, -187051)",69,-187551.0,0.069
"[-187051, -186051)",57,-186551.0,0.057
"[-186051, -185051)",155,-185551.0,0.155
"[-185051, -184051)",37,-184551.0,0.037
"[-184051, -183051)",56,-183551.0,0.056
"[-183051, -182051)",75,-182551.0,0.075
"[-182051, -181051)",40,-181551.0,0.04
"[-181051, -180051)",65,-180551.0,0.065
"[-180051, -179051)",23,-179551.0,0.023
"[-179051, -178051)",17,-178551.0,0.017
"[-178051, -177051)",46,-177551.0,0.046
"[-177051, -176051)",227,-176551.0,0.227
"[-176051, -175051)",122,-175551.0,0.122
"[-175051, -174051)",56,-174551.0,0.056
"[-174051, -173051)",76,-173551.0,0.076
"[-173051, -172051)",117,-172551.0,0.117
"[-172051, -171051)",92,-171551.0,0.092
"[-171051, -170051)",124,-170551.0,0.124
"[-170051, -169051)",24,-169551.0,0.024
"[-169051, -168051)",75,-168551.0,0.075
"[-168051, -167051)",96,-167551.0,0.096
"[-167051, -166051)",93,-166551.0,0.093
"[-166051, -165051)",116,-165551.0,0.116
"[-165051, -164051)",92,-164551.0,0.092
"[-164051, -163051)",154,-163551.0,0.154
"[-163051, -162051)",51,-162551.0,0.051
"[-162051, -161051)",44,-161551.0,0.044
"[-161051, -160051)",63,-160551.0,0.063
"[-160051, -159051)",114,-159551.0,0.114
