Distance_Bin,Value,Bin_Center,Density_per_bp
"[-441162, -440162)",0,-440662.0,0.0
"[-440162, -439162)",3520,-439662.0,3.52
"[-439162, -438162)",907,-438662.0,0.907
"[-438162, -437162)",2348,-437662.0,2.348
"[-437162, -436162)",37,-436662.0,0.037
"[-436162, -435162)",350,-435662.0,0.35
"[-435162, -434162)",2348,-434662.0,2.348
"[-434162, -433162)",1675,-433662.0,1.675
"[-433162, -432162)",842,-432662.0,0.842
"[-432162, -431162)",1126,-431662.0,1.126
"[-431162, -430162)",1040,-430662.0,1.04
"[-430162, -429162)",703,-429662.0,0.703
"[-429162, -428162)",1730,-428662.0,1.73
"[-428162, -427162)",2209,-427662.0,2.209
"[-427162, -426162)",1065,-426662.0,1.065
"[-426162, -425162)",993,-425662.0,0.993
"[-425162, -424162)",1439,-424662.0,1.439
"[-424162, -423162)",828,-423662.0,0.828
"[-423162, -422162)",1456,-422662.0,1.456
"[-422162, -421162)",1428,-421662.0,1.428
"[-421162, -420162)",785,-420662.0,0.785
"[-420162, -419162)",12297,-419662.0,12.297
"[-419162, -418162)",2866,-418662.0,2.866
"[-418162, -417162)",7902,-417662.0,7.902
"[-417162, -416162)",766,-416662.0,0.766
"[-416162, -415162)",2472,-415662.0,2.472
"[-415162, -414162)",1098,-414662.0,1.098
"[-414162, -413162)",288,-413662.0,0.288
"[-413162, -412162)",609,-412662.0,0.609
"[-412162, -411162)",481,-411662.0,0.481
"[-411162, -410162)",459,-410662.0,0.459
"[-410162, -409162)",1691,-409662.0,1.691
"[-409162, -408162)",1045,-408662.0,1.045
"[-408162, -407162)",66,-407662.0,0.066
"[-407162, -406162)",53,-406662.0,0.053
"[-406162, -405162)",228,-405662.0,0.228
"[-405162, -404162)",25,-404662.0,0.025
"[-404162, -403162)",853,-403662.0,0.853
"[-403162, -402162)",662,-402662.0,0.662
"[-402162, -401162)",3675,-401662.0,3.675
"[-401162, -400162)",653,-400662.0,0.653
"[-400162, -399162)",40,-399662.0,0.04
"[-399162, -398162)",29,-398662.0,0.029
"[-398162, -397162)",460,-397662.0,0.46
"[-397162, -396162)",375,-396662.0,0.375
"[-396162, -395162)",665,-395662.0,0.665
"[-395162, -394162)",1098,-394662.0,1.098
"[-394162, -393162)",1550,-393662.0,1.55
"[-393162, -392162)",390,-392662.0,0.39
"[-392162, -391162)",1704,-391662.0,1.704
"[-391162, -390162)",453,-390662.0,0.453
