Distance_Bin,Value,Bin_Center,Density_per_bp
"[-115442, -114442)",0,-114942.0,0.0
"[-114442, -113442)",2185,-113942.0,2.185
"[-113442, -112442)",678,-112942.0,0.678
"[-112442, -111442)",318,-111942.0,0.318
"[-111442, -110442)",100,-110942.0,0.1
"[-110442, -109442)",313,-109942.0,0.313
"[-109442, -108442)",375,-108942.0,0.375
"[-108442, -107442)",559,-107942.0,0.559
"[-107442, -106442)",754,-106942.0,0.754
"[-106442, -105442)",277,-105942.0,0.277
"[-105442, -104442)",364,-104942.0,0.364
"[-104442, -103442)",281,-103942.0,0.281
"[-103442, -102442)",341,-102942.0,0.341
"[-102442, -101442)",885,-101942.0,0.885
"[-101442, -100442)",918,-100942.0,0.918
"[-100442, -99442)",544,-99942.0,0.544
"[-99442, -98442)",465,-98942.0,0.465
"[-98442, -97442)",682,-97942.0,0.682
"[-97442, -96442)",2662,-96942.0,2.662
"[-96442, -95442)",644,-95942.0,0.644
"[-95442, -94442)",447,-94942.0,0.447
"[-94442, -93442)",296,-93942.0,0.296
"[-93442, -92442)",118,-92942.0,0.118
"[-92442, -91442)",1699,-91942.0,1.699
"[-91442, -90442)",1899,-90942.0,1.899
"[-90442, -89442)",5449,-89942.0,5.449
"[-89442, -88442)",2790,-88942.0,2.79
"[-88442, -87442)",968,-87942.0,0.968
"[-87442, -86442)",2004,-86942.0,2.004
"[-86442, -85442)",695,-85942.0,0.695
"[-85442, -84442)",534,-84942.0,0.534
"[-84442, -83442)",521,-83942.0,0.521
"[-83442, -82442)",1378,-82942.0,1.378
"[-82442, -81442)",77,-81942.0,0.077
"[-81442, -80442)",296,-80942.0,0.296
"[-80442, -79442)",337,-79942.0,0.337
"[-79442, -78442)",1427,-78942.0,1.427
"[-78442, -77442)",1403,-77942.0,1.403
"[-77442, -76442)",2075,-76942.0,2.075
"[-76442, -75442)",2160,-75942.0,2.16
"[-75442, -74442)",2997,-74942.0,2.997
"[-74442, -73442)",2470,-73942.0,2.47
"[-73442, -72442)",2301,-72942.0,2.301
"[-72442, -71442)",1220,-71942.0,1.22
"[-71442, -70442)",1611,-70942.0,1.611
"[-70442, -69442)",2022,-69942.0,2.022
"[-69442, -68442)",714,-68942.0,0.714
"[-68442, -67442)",835,-67942.0,0.835
"[-67442, -66442)",3121,-66942.0,3.121
"[-66442, -65442)",1677,-65942.0,1.677
"[-65442, -64442)",90,-64942.0,0.09
"[-64442, -63442)",2993,-63942.0,2.993
"[-63442, -62442)",4038,-62942.0,4.038
"[-62442, -61442)",4846,-61942.0,4.846
"[-61442, -60442)",1565,-60942.0,1.565
"[-60442, -59442)",3068,-59942.0,3.068
"[-59442, -58442)",1235,-58942.0,1.235
"[-58442, -57442)",2418,-57942.0,2.418
"[-57442, -56442)",675,-56942.0,0.675
"[-56442, -55442)",3362,-55942.0,3.362
"[-55442, -54442)",2959,-54942.0,2.959
"[-54442, -53442)",4127,-53942.0,4.127
"[-53442, -52442)",8384,-52942.0,8.384
"[-52442, -51442)",2471,-51942.0,2.471
"[-51442, -50442)",3666,-50942.0,3.666
"[-50442, -49442)",1380,-49942.0,1.38
"[-49442, -48442)",3006,-48942.0,3.006
"[-48442, -47442)",3283,-47942.0,3.283
"[-47442, -46442)",3051,-46942.0,3.051
"[-46442, -45442)",5036,-45942.0,5.036
"[-45442, -44442)",1456,-44942.0,1.456
"[-44442, -43442)",5481,-43942.0,5.481
"[-43442, -42442)",4117,-42942.0,4.117
"[-42442, -41442)",1959,-41942.0,1.959
"[-41442, -40442)",888,-40942.0,0.888
"[-40442, -39442)",2722,-39942.0,2.722
"[-39442, -38442)",3909,-38942.0,3.909
"[-38442, -37442)",3752,-37942.0,3.752
"[-37442, -36442)",3834,-36942.0,3.834
"[-36442, -35442)",8598,-35942.0,8.598
"[-35442, -34442)",2771,-34942.0,2.771
"[-34442, -33442)",719,-33942.0,0.719
"[-33442, -32442)",3279,-32942.0,3.279
"[-32442, -31442)",1592,-31942.0,1.592
"[-31442, -30442)",2636,-30942.0,2.636
"[-30442, -29442)",1781,-29942.0,1.781
"[-29442, -28442)",10164,-28942.0,10.164
"[-28442, -27442)",1103,-27942.0,1.103
"[-27442, -26442)",951,-26942.0,0.951
"[-26442, -25442)",759,-25942.0,0.759
"[-25442, -24442)",992,-24942.0,0.992
"[-24442, -23442)",3640,-23942.0,3.64
"[-23442, -22442)",6309,-22942.0,6.309
"[-22442, -21442)",2944,-21942.0,2.944
"[-21442, -20442)",30,-20942.0,0.03
"[-20442, -19442)",2819,-19942.0,2.819
"[-19442, -18442)",3311,-18942.0,3.311
"[-18442, -17442)",3756,-17942.0,3.756
"[-17442, -16442)",431,-16942.0,0.431
"[-16442, -15442)",952,-15942.0,0.952
"[-15442, -14442)",703,-14942.0,0.703
"[-14442, -13442)",1922,-13942.0,1.922
"[-13442, -12442)",4152,-12942.0,4.152
"[-12442, -11442)",2258,-11942.0,2.258
"[-11442, -10442)",6788,-10942.0,6.788
"[-10442, -9442)",10331,-9942.0,10.331
"[-9442, -8442)",9369,-8942.0,9.369
"[-8442, -7442)",5655,-7942.0,5.655
"[-7442, -6442)",3466,-6942.0,3.466
"[-6442, -5442)",3858,-5942.0,3.858
"[-5442, -4442)",4081,-4942.0,4.081
"[-4442, -3442)",689,-3942.0,0.689
"[-3442, -2442)",6782,-2942.0,6.782
"[-2442, -1442)",1751,-1942.0,1.751
"[-1442, -442)",1092,-942.0,1.092
"[-442, 558)",7567,58.0,7.567
"[558, 1558)",2703,1058.0,2.703
"[1558, 2558)",6499,2058.0,6.499
"[2558, 3558)",663,3058.0,0.663
"[3558, 4558)",5846,4058.0,5.846
"[4558, 5558)",2155,5058.0,2.155
"[5558, 6558)",1885,6058.0,1.885
"[6558, 7558)",3585,7058.0,3.585
"[7558, 8558)",17189,8058.0,17.189
"[8558, 9558)",27201,9058.0,27.201
"[9558, 10558)",4259,10058.0,4.259
"[10558, 11558)",13864,11058.0,13.864
"[11558, 12558)",3493,12058.0,3.493
"[12558, 13558)",12598,13058.0,12.598
"[13558, 14558)",667,14058.0,0.667
"[14558, 15558)",641,15058.0,0.641
"[15558, 16558)",1130,16058.0,1.13
"[16558, 17558)",6046,17058.0,6.046
"[17558, 18558)",3379,18058.0,3.379
"[18558, 19558)",4625,19058.0,4.625
"[19558, 20558)",1620,20058.0,1.62
"[20558, 21558)",1062,21058.0,1.062
"[21558, 22558)",1894,22058.0,1.894
"[22558, 23558)",10369,23058.0,10.369
"[23558, 24558)",141,24058.0,0.141
"[24558, 25558)",2256,25058.0,2.256
"[25558, 26558)",1162,26058.0,1.162
"[26558, 27558)",3119,27058.0,3.119
"[27558, 28558)",2261,28058.0,2.261
"[28558, 29558)",3308,29058.0,3.308
"[29558, 30558)",1126,30058.0,1.126
