Distance_Bin,Value,Bin_Center,Density_per_bp
"[-225000.0, -215000.0)",0,-220000.0,0.0
"[-215000.0, -205000.0)",0,-210000.0,0.0
"[-205000.0, -195000.0)",0,-200000.0,0.0
"[-195000.0, -185000.0)",0,-190000.0,0.0
"[-185000.0, -175000.0)",0,-180000.0,0.0
"[-175000.0, -165000.0)",0,-170000.0,0.0
"[-165000.0, -155000.0)",0,-160000.0,0.0
"[-155000.0, -145000.0)",0,-150000.0,0.0
"[-145000.0, -135000.0)",0,-140000.0,0.0
"[-135000.0, -125000.0)",0,-130000.0,0.0
"[-125000.0, -115000.0)",0,-120000.0,0.0
"[-115000.0, -105000.0)",463,-110000.0,0.0463
"[-105000.0, -95000.0)",560,-100000.0,0.056
"[-95000.0, -85000.0)",733,-90000.0,0.0733
"[-85000.0, -75000.0)",674,-80000.0,0.0674
"[-75000.0, -65000.0)",940,-70000.0,0.094
"[-65000.0, -55000.0)",1129,-60000.0,0.1129
"[-55000.0, -45000.0)",1259,-50000.0,0.1259
"[-45000.0, -35000.0)",1475,-40000.0,0.1475
"[-35000.0, -25000.0)",1603,-30000.0,0.1603
"[-25000.0, -15000.0)",1263,-20000.0,0.1263
"[-15000.0, -5000.0)",1702,-10000.0,0.1702
"[-5000.0, 5000.0)",1235,0.0,0.1235
"[5000.0, 15000.0)",2204,10000.0,0.2204
"[15000.0, 25000.0)",1168,20000.0,0.1168
"[25000.0, 35000.0)",910,30000.0,0.091
"[35000.0, 45000.0)",1171,40000.0,0.1171
"[45000.0, 55000.0)",1251,50000.0,0.1251
"[55000.0, 65000.0)",1012,60000.0,0.1012
"[65000.0, 75000.0)",549,70000.0,0.0549
"[75000.0, 85000.0)",653,80000.0,0.0653
"[85000.0, 95000.0)",622,90000.0,0.0622
"[95000.0, 105000.0)",878,100000.0,0.0878
"[105000.0, 115000.0)",1168,110000.0,0.1168
"[115000.0, 125000.0)",868,120000.0,0.0868
"[125000.0, 135000.0)",786,130000.0,0.0786
"[135000.0, 145000.0)",671,140000.0,0.0671
"[145000.0, 155000.0)",706,150000.0,0.0706
"[155000.0, 165000.0)",567,160000.0,0.0567
"[165000.0, 175000.0)",389,170000.0,0.0389
"[175000.0, 185000.0)",681,180000.0,0.0681
"[185000.0, 195000.0)",1070,190000.0,0.107
"[195000.0, 205000.0)",792,200000.0,0.0792
"[205000.0, 215000.0)",0,210000.0,0.0
"[215000.0, 225000.0)",0,220000.0,0.0
