Distance_Bin,Value,Bin_Center,Density_per_bp
"[-497957, -496957)",0,-497457.0,0.0
"[-496957, -495957)",1905,-496457.0,1.905
"[-495957, -494957)",0,-495457.0,0.0
"[-494957, -493957)",0,-494457.0,0.0
"[-493957, -492957)",0,-493457.0,0.0
"[-492957, -491957)",0,-492457.0,0.0
"[-491957, -490957)",0,-491457.0,0.0
"[-490957, -489957)",172,-490457.0,0.172
"[-489957, -488957)",826,-489457.0,0.826
"[-488957, -487957)",475,-488457.0,0.475
"[-487957, -486957)",182,-487457.0,0.182
"[-486957, -485957)",2277,-486457.0,2.277
"[-485957, -484957)",640,-485457.0,0.64
"[-484957, -483957)",527,-484457.0,0.527
"[-483957, -482957)",862,-483457.0,0.862
"[-482957, -481957)",1806,-482457.0,1.806
"[-481957, -480957)",374,-481457.0,0.374
"[-480957, -479957)",826,-480457.0,0.826
"[-479957, -478957)",991,-479457.0,0.991
"[-478957, -477957)",1490,-478457.0,1.49
"[-477957, -476957)",572,-477457.0,0.572
"[-476957, -475957)",7455,-476457.0,7.455
"[-475957, -474957)",65,-475457.0,0.065
"[-474957, -473957)",1531,-474457.0,1.531
"[-473957, -472957)",4430,-473457.0,4.43
"[-472957, -471957)",644,-472457.0,0.644
"[-471957, -470957)",818,-471457.0,0.818
"[-470957, -469957)",84,-470457.0,0.084
"[-469957, -468957)",1838,-469457.0,1.838
"[-468957, -467957)",177,-468457.0,0.177
"[-467957, -466957)",340,-467457.0,0.34
"[-466957, -465957)",374,-466457.0,0.374
"[-465957, -464957)",824,-465457.0,0.824
"[-464957, -463957)",753,-464457.0,0.753
"[-463957, -462957)",592,-463457.0,0.592
"[-462957, -461957)",1736,-462457.0,1.736
"[-461957, -460957)",3461,-461457.0,3.461
"[-460957, -459957)",695,-460457.0,0.695
"[-459957, -458957)",184,-459457.0,0.184
"[-458957, -457957)",581,-458457.0,0.581
"[-457957, -456957)",30,-457457.0,0.03
"[-456957, -455957)",17,-456457.0,0.017
"[-455957, -454957)",571,-455457.0,0.571
"[-454957, -453957)",122,-454457.0,0.122
"[-453957, -452957)",982,-453457.0,0.982
"[-452957, -451957)",454,-452457.0,0.454
"[-451957, -450957)",1706,-451457.0,1.706
"[-450957, -449957)",211,-450457.0,0.211
"[-449957, -448957)",101,-449457.0,0.101
"[-448957, -447957)",424,-448457.0,0.424
"[-447957, -446957)",868,-447457.0,0.868
"[-446957, -445957)",28,-446457.0,0.028
"[-445957, -444957)",10,-445457.0,0.01
"[-444957, -443957)",636,-444457.0,0.636
"[-443957, -442957)",3483,-443457.0,3.483
"[-442957, -441957)",917,-442457.0,0.917
"[-441957, -440957)",898,-441457.0,0.898
"[-440957, -439957)",1255,-440457.0,1.255
"[-439957, -438957)",15,-439457.0,0.015
"[-438957, -437957)",132,-438457.0,0.132
"[-437957, -436957)",112,-437457.0,0.112
"[-436957, -435957)",51,-436457.0,0.051
"[-435957, -434957)",160,-435457.0,0.16
"[-434957, -433957)",311,-434457.0,0.311
"[-433957, -432957)",485,-433457.0,0.485
"[-432957, -431957)",497,-432457.0,0.497
"[-431957, -430957)",236,-431457.0,0.236
"[-430957, -429957)",657,-430457.0,0.657
"[-429957, -428957)",726,-429457.0,0.726
"[-428957, -427957)",198,-428457.0,0.198
"[-427957, -426957)",921,-427457.0,0.921
"[-426957, -425957)",361,-426457.0,0.361
"[-425957, -424957)",1465,-425457.0,1.465
"[-424957, -423957)",209,-424457.0,0.209
"[-423957, -422957)",861,-423457.0,0.861
"[-422957, -421957)",3751,-422457.0,3.751
"[-421957, -420957)",1260,-421457.0,1.26
"[-420957, -419957)",3012,-420457.0,3.012
"[-419957, -418957)",33,-419457.0,0.033
"[-418957, -417957)",561,-418457.0,0.561
"[-417957, -416957)",382,-417457.0,0.382
"[-416957, -415957)",848,-416457.0,0.848
"[-415957, -414957)",2268,-415457.0,2.268
"[-414957, -413957)",1423,-414457.0,1.423
