Distance_Bin,Value,Bin_Center,Density_per_bp
"[-785000.0, -775000.0)",0,-780000.0,0.0
"[-775000.0, -765000.0)",0,-770000.0,0.0
"[-765000.0, -755000.0)",0,-760000.0,0.0
"[-755000.0, -745000.0)",0,-750000.0,0.0
"[-745000.0, -735000.0)",0,-740000.0,0.0
"[-735000.0, -725000.0)",0,-730000.0,0.0
"[-725000.0, -715000.0)",0,-720000.0,0.0
"[-715000.0, -705000.0)",0,-710000.0,0.0
"[-705000.0, -695000.0)",0,-700000.0,0.0
"[-695000.0, -685000.0)",0,-690000.0,0.0
"[-685000.0, -675000.0)",0,-680000.0,0.0
"[-675000.0, -665000.0)",0,-670000.0,0.0
"[-665000.0, -655000.0)",0,-660000.0,0.0
"[-655000.0, -645000.0)",0,-650000.0,0.0
"[-645000.0, -635000.0)",0,-640000.0,0.0
"[-635000.0, -625000.0)",0,-630000.0,0.0
"[-625000.0, -615000.0)",0,-620000.0,0.0
"[-615000.0, -605000.0)",0,-610000.0,0.0
"[-605000.0, -595000.0)",0,-600000.0,0.0
"[-595000.0, -585000.0)",0,-590000.0,0.0
"[-585000.0, -575000.0)",0,-580000.0,0.0
"[-575000.0, -565000.0)",0,-570000.0,0.0
"[-565000.0, -555000.0)",0,-560000.0,0.0
"[-555000.0, -545000.0)",0,-550000.0,0.0
"[-545000.0, -535000.0)",0,-540000.0,0.0
"[-535000.0, -525000.0)",0,-530000.0,0.0
"[-525000.0, -515000.0)",0,-520000.0,0.0
"[-515000.0, -505000.0)",0,-510000.0,0.0
"[-505000.0, -495000.0)",0,-500000.0,0.0
"[-495000.0, -485000.0)",0,-490000.0,0.0
"[-485000.0, -475000.0)",0,-480000.0,0.0
"[-475000.0, -465000.0)",0,-470000.0,0.0
"[-465000.0, -455000.0)",0,-460000.0,0.0
"[-455000.0, -445000.0)",0,-450000.0,0.0
"[-445000.0, -435000.0)",0,-440000.0,0.0
"[-435000.0, -425000.0)",0,-430000.0,0.0
"[-425000.0, -415000.0)",0,-420000.0,0.0
"[-415000.0, -405000.0)",0,-410000.0,0.0
"[-405000.0, -395000.0)",0,-400000.0,0.0
"[-395000.0, -385000.0)",0,-390000.0,0.0
"[-385000.0, -375000.0)",0,-380000.0,0.0
"[-375000.0, -365000.0)",0,-370000.0,0.0
"[-365000.0, -355000.0)",0,-360000.0,0.0
"[-355000.0, -345000.0)",0,-350000.0,0.0
"[-345000.0, -335000.0)",0,-340000.0,0.0
"[-335000.0, -325000.0)",174,-330000.0,0.0174
"[-325000.0, -315000.0)",933,-320000.0,0.0933
"[-315000.0, -305000.0)",967,-310000.0,0.0967
"[-305000.0, -295000.0)",905,-300000.0,0.0905
"[-295000.0, -285000.0)",947,-290000.0,0.0947
"[-285000.0, -275000.0)",523,-280000.0,0.0523
"[-275000.0, -265000.0)",609,-270000.0,0.0609
"[-265000.0, -255000.0)",654,-260000.0,0.0654
"[-255000.0, -245000.0)",753,-250000.0,0.0753
"[-245000.0, -235000.0)",891,-240000.0,0.0891
"[-235000.0, -225000.0)",866,-230000.0,0.0866
"[-225000.0, -215000.0)",945,-220000.0,0.0945
"[-215000.0, -205000.0)",1621,-210000.0,0.1621
"[-205000.0, -195000.0)",958,-200000.0,0.0958
"[-195000.0, -185000.0)",579,-190000.0,0.0579
"[-185000.0, -175000.0)",578,-180000.0,0.0578
"[-175000.0, -165000.0)",682,-170000.0,0.0682
"[-165000.0, -155000.0)",1037,-160000.0,0.1037
"[-155000.0, -145000.0)",232,-150000.0,0.0232
"[-145000.0, -135000.0)",429,-140000.0,0.0429
"[-135000.0, -125000.0)",561,-130000.0,0.0561
"[-125000.0, -115000.0)",661,-120000.0,0.0661
"[-115000.0, -105000.0)",1089,-110000.0,0.1089
"[-105000.0, -95000.0)",925,-100000.0,0.0925
"[-95000.0, -85000.0)",940,-90000.0,0.094
"[-85000.0, -75000.0)",772,-80000.0,0.0772
"[-75000.0, -65000.0)",734,-70000.0,0.0734
"[-65000.0, -55000.0)",646,-60000.0,0.0646
"[-55000.0, -45000.0)",893,-50000.0,0.0893
"[-45000.0, -35000.0)",906,-40000.0,0.0906
"[-35000.0, -25000.0)",1028,-30000.0,0.1028
"[-25000.0, -15000.0)",1434,-20000.0,0.1434
"[-15000.0, -5000.0)",904,-10000.0,0.0904
"[-5000.0, 5000.0)",1400,0.0,0.14
"[5000.0, 15000.0)",1260,10000.0,0.126
"[15000.0, 25000.0)",1165,20000.0,0.1165
"[25000.0, 35000.0)",851,30000.0,0.0851
"[35000.0, 45000.0)",893,40000.0,0.0893
"[45000.0, 55000.0)",968,50000.0,0.0968
"[55000.0, 65000.0)",1168,60000.0,0.1168
"[65000.0, 75000.0)",1037,70000.0,0.1037
"[75000.0, 85000.0)",867,80000.0,0.0867
"[85000.0, 95000.0)",635,90000.0,0.0635
"[95000.0, 105000.0)",994,100000.0,0.0994
"[105000.0, 115000.0)",697,110000.0,0.0697
"[115000.0, 125000.0)",832,120000.0,0.0832
"[125000.0, 135000.0)",581,130000.0,0.0581
"[135000.0, 145000.0)",770,140000.0,0.077
"[145000.0, 155000.0)",962,150000.0,0.0962
"[155000.0, 165000.0)",805,160000.0,0.0805
"[165000.0, 175000.0)",753,170000.0,0.0753
"[175000.0, 185000.0)",678,180000.0,0.0678
"[185000.0, 195000.0)",1026,190000.0,0.1026
"[195000.0, 205000.0)",709,200000.0,0.0709
"[205000.0, 215000.0)",395,210000.0,0.0395
"[215000.0, 225000.0)",539,220000.0,0.0539
"[225000.0, 235000.0)",646,230000.0,0.0646
"[235000.0, 245000.0)",2526,240000.0,0.2526
"[245000.0, 255000.0)",740,250000.0,0.074
"[255000.0, 265000.0)",705,260000.0,0.0705
"[265000.0, 275000.0)",1770,270000.0,0.177
"[275000.0, 285000.0)",533,280000.0,0.0533
"[285000.0, 295000.0)",554,290000.0,0.0554
"[295000.0, 305000.0)",563,300000.0,0.0563
"[305000.0, 315000.0)",596,310000.0,0.0596
"[315000.0, 325000.0)",630,320000.0,0.063
"[325000.0, 335000.0)",599,330000.0,0.0599
"[335000.0, 345000.0)",870,340000.0,0.087
"[345000.0, 355000.0)",735,350000.0,0.0735
"[355000.0, 365000.0)",796,360000.0,0.0796
"[365000.0, 375000.0)",548,370000.0,0.0548
"[375000.0, 385000.0)",1337,380000.0,0.1337
"[385000.0, 395000.0)",531,390000.0,0.0531
"[395000.0, 405000.0)",508,400000.0,0.0508
"[405000.0, 415000.0)",392,410000.0,0.0392
"[415000.0, 425000.0)",710,420000.0,0.071
"[425000.0, 435000.0)",747,430000.0,0.0747
"[435000.0, 445000.0)",935,440000.0,0.0935
"[445000.0, 455000.0)",695,450000.0,0.0695
"[455000.0, 465000.0)",557,460000.0,0.0557
"[465000.0, 475000.0)",444,470000.0,0.0444
"[475000.0, 485000.0)",378,480000.0,0.0378
"[485000.0, 495000.0)",507,490000.0,0.0507
"[495000.0, 505000.0)",617,500000.0,0.0617
"[505000.0, 515000.0)",889,510000.0,0.0889
"[515000.0, 525000.0)",787,520000.0,0.0787
"[525000.0, 535000.0)",638,530000.0,0.0638
"[535000.0, 545000.0)",535,540000.0,0.0535
"[545000.0, 555000.0)",849,550000.0,0.0849
"[555000.0, 565000.0)",696,560000.0,0.0696
"[565000.0, 575000.0)",640,570000.0,0.064
"[575000.0, 585000.0)",825,580000.0,0.0825
"[585000.0, 595000.0)",681,590000.0,0.0681
"[595000.0, 605000.0)",451,600000.0,0.0451
"[605000.0, 615000.0)",499,610000.0,0.0499
"[615000.0, 625000.0)",447,620000.0,0.0447
"[625000.0, 635000.0)",608,630000.0,0.0608
"[635000.0, 645000.0)",825,640000.0,0.0825
"[645000.0, 655000.0)",1461,650000.0,0.1461
"[655000.0, 665000.0)",1158,660000.0,0.1158
"[665000.0, 675000.0)",578,670000.0,0.0578
"[675000.0, 685000.0)",948,680000.0,0.0948
"[685000.0, 695000.0)",465,690000.0,0.0465
"[695000.0, 705000.0)",594,700000.0,0.0594
"[705000.0, 715000.0)",517,710000.0,0.0517
"[715000.0, 725000.0)",1002,720000.0,0.1002
"[725000.0, 735000.0)",944,730000.0,0.0944
"[735000.0, 745000.0)",715,740000.0,0.0715
"[745000.0, 755000.0)",1093,750000.0,0.1093
"[755000.0, 765000.0)",2161,760000.0,0.2161
"[765000.0, 775000.0)",0,770000.0,0.0
"[775000.0, 785000.0)",0,780000.0,0.0
