Distance_Bin,Value,Bin_Center,Density_per_bp
"[-269031, -268031)",0,-268531.0,0.0
"[-268031, -267031)",2400,-267531.0,2.4
"[-267031, -266031)",2421,-266531.0,2.421
"[-266031, -265031)",2045,-265531.0,2.045
"[-265031, -264031)",7963,-264531.0,7.963
"[-264031, -263031)",1071,-263531.0,1.071
"[-263031, -262031)",6950,-262531.0,6.95
"[-262031, -261031)",475,-261531.0,0.475
"[-261031, -260031)",515,-260531.0,0.515
"[-260031, -259031)",400,-259531.0,0.4
"[-259031, -258031)",501,-258531.0,0.501
"[-258031, -257031)",1611,-257531.0,1.611
"[-257031, -256031)",153,-256531.0,0.153
"[-256031, -255031)",13,-255531.0,0.013
"[-255031, -254031)",1137,-254531.0,1.137
"[-254031, -253031)",3310,-253531.0,3.31
"[-253031, -252031)",372,-252531.0,0.372
"[-252031, -251031)",4316,-251531.0,4.316
"[-251031, -250031)",102,-250531.0,0.102
"[-250031, -249031)",77,-249531.0,0.077
"[-249031, -248031)",22,-248531.0,0.022
"[-248031, -247031)",1132,-247531.0,1.132
"[-247031, -246031)",957,-246531.0,0.957
"[-246031, -245031)",484,-245531.0,0.484
"[-245031, -244031)",1086,-244531.0,1.086
"[-244031, -243031)",1545,-243531.0,1.545
"[-243031, -242031)",1325,-242531.0,1.325
"[-242031, -241031)",4982,-241531.0,4.982
"[-241031, -240031)",118,-240531.0,0.118
"[-240031, -239031)",768,-239531.0,0.768
"[-239031, -238031)",3027,-238531.0,3.027
"[-238031, -237031)",1618,-237531.0,1.618
"[-237031, -236031)",326,-236531.0,0.326
"[-236031, -235031)",1184,-235531.0,1.184
"[-235031, -234031)",1544,-234531.0,1.544
"[-234031, -233031)",317,-233531.0,0.317
"[-233031, -232031)",92,-232531.0,0.092
"[-232031, -231031)",243,-231531.0,0.243
"[-231031, -230031)",627,-230531.0,0.627
"[-230031, -229031)",552,-229531.0,0.552
"[-229031, -228031)",689,-228531.0,0.689
"[-228031, -227031)",208,-227531.0,0.208
"[-227031, -226031)",1192,-226531.0,1.192
"[-226031, -225031)",1148,-225531.0,1.148
"[-225031, -224031)",1598,-224531.0,1.598
"[-224031, -223031)",963,-223531.0,0.963
"[-223031, -222031)",309,-222531.0,0.309
"[-222031, -221031)",1474,-221531.0,1.474
"[-221031, -220031)",718,-220531.0,0.718
"[-220031, -219031)",265,-219531.0,0.265
"[-219031, -218031)",243,-218531.0,0.243
"[-218031, -217031)",2459,-217531.0,2.459
"[-217031, -216031)",2914,-216531.0,2.914
"[-216031, -215031)",473,-215531.0,0.473
"[-215031, -214031)",343,-214531.0,0.343
"[-214031, -213031)",764,-213531.0,0.764
"[-213031, -212031)",149,-212531.0,0.149
"[-212031, -211031)",371,-211531.0,0.371
"[-211031, -210031)",338,-210531.0,0.338
"[-210031, -209031)",271,-209531.0,0.271
"[-209031, -208031)",133,-208531.0,0.133
"[-208031, -207031)",8,-207531.0,0.008
"[-207031, -206031)",47,-206531.0,0.047
"[-206031, -205031)",699,-205531.0,0.699
"[-205031, -204031)",213,-204531.0,0.213
"[-204031, -203031)",113,-203531.0,0.113
"[-203031, -202031)",11,-202531.0,0.011
"[-202031, -201031)",14,-201531.0,0.014
"[-201031, -200031)",1162,-200531.0,1.162
"[-200031, -199031)",1792,-199531.0,1.792
"[-199031, -198031)",3744,-198531.0,3.744
"[-198031, -197031)",6350,-197531.0,6.35
"[-197031, -196031)",427,-196531.0,0.427
"[-196031, -195031)",688,-195531.0,0.688
"[-195031, -194031)",1673,-194531.0,1.673
"[-194031, -193031)",234,-193531.0,0.234
"[-193031, -192031)",158,-192531.0,0.158
"[-192031, -191031)",1609,-191531.0,1.609
"[-191031, -190031)",698,-190531.0,0.698
"[-190031, -189031)",196,-189531.0,0.196
"[-189031, -188031)",1427,-188531.0,1.427
"[-188031, -187031)",248,-187531.0,0.248
"[-187031, -186031)",205,-186531.0,0.205
"[-186031, -185031)",2378,-185531.0,2.378
"[-185031, -184031)",148,-184531.0,0.148
"[-184031, -183031)",274,-183531.0,0.274
"[-183031, -182031)",176,-182531.0,0.176
"[-182031, -181031)",514,-181531.0,0.514
"[-181031, -180031)",352,-180531.0,0.352
"[-180031, -179031)",53,-179531.0,0.053
"[-179031, -178031)",33,-178531.0,0.033
"[-178031, -177031)",314,-177531.0,0.314
"[-177031, -176031)",1891,-176531.0,1.891
"[-176031, -175031)",1167,-175531.0,1.167
"[-175031, -174031)",357,-174531.0,0.357
"[-174031, -173031)",548,-173531.0,0.548
"[-173031, -172031)",2173,-172531.0,2.173
"[-172031, -171031)",876,-171531.0,0.876
"[-171031, -170031)",731,-170531.0,0.731
"[-170031, -169031)",5,-169531.0,0.005
"[-169031, -168031)",281,-168531.0,0.281
"[-168031, -167031)",1116,-167531.0,1.116
"[-167031, -166031)",19883,-166531.0,19.883
"[-166031, -165031)",845,-165531.0,0.845
"[-165031, -164031)",711,-164531.0,0.711
"[-164031, -163031)",2382,-163531.0,2.382
"[-163031, -162031)",368,-162531.0,0.368
"[-162031, -161031)",170,-161531.0,0.17
"[-161031, -160031)",256,-160531.0,0.256
"[-160031, -159031)",1295,-159531.0,1.295
"[-159031, -158031)",460,-158531.0,0.46
"[-158031, -157031)",440,-157531.0,0.44
"[-157031, -156031)",1122,-156531.0,1.122
"[-156031, -155031)",525,-155531.0,0.525
"[-155031, -154031)",441,-154531.0,0.441
"[-154031, -153031)",532,-153531.0,0.532
"[-153031, -152031)",2815,-152531.0,2.815
"[-152031, -151031)",399,-151531.0,0.399
"[-151031, -150031)",33,-150531.0,0.033
"[-150031, -149031)",342,-149531.0,0.342
"[-149031, -148031)",3915,-148531.0,3.915
"[-148031, -147031)",5234,-147531.0,5.234
"[-147031, -146031)",1823,-146531.0,1.823
"[-146031, -145031)",1966,-145531.0,1.966
"[-145031, -144031)",241,-144531.0,0.241
"[-144031, -143031)",1137,-143531.0,1.137
"[-143031, -142031)",673,-142531.0,0.673
"[-142031, -141031)",211,-141531.0,0.211
"[-141031, -140031)",1929,-140531.0,1.929
"[-140031, -139031)",259,-139531.0,0.259
"[-139031, -138031)",1276,-138531.0,1.276
"[-138031, -137031)",176,-137531.0,0.176
"[-137031, -136031)",483,-136531.0,0.483
"[-136031, -135031)",926,-135531.0,0.926
"[-135031, -134031)",1599,-134531.0,1.599
"[-134031, -133031)",237,-133531.0,0.237
"[-133031, -132031)",346,-132531.0,0.346
"[-132031, -131031)",12,-131531.0,0.012
"[-131031, -130031)",799,-130531.0,0.799
"[-130031, -129031)",6470,-129531.0,6.47
"[-129031, -128031)",1131,-128531.0,1.131
"[-128031, -127031)",331,-127531.0,0.331
"[-127031, -126031)",305,-126531.0,0.305
"[-126031, -125031)",350,-125531.0,0.35
"[-125031, -124031)",5,-124531.0,0.005
"[-124031, -123031)",129,-123531.0,0.129
"[-123031, -122031)",156,-122531.0,0.156
"[-122031, -121031)",536,-121531.0,0.536
"[-121031, -120031)",303,-120531.0,0.303
"[-120031, -119031)",236,-119531.0,0.236
"[-119031, -118031)",1852,-118531.0,1.852
"[-118031, -117031)",404,-117531.0,0.404
"[-117031, -116031)",402,-116531.0,0.402
"[-116031, -115031)",804,-115531.0,0.804
"[-115031, -114031)",701,-114531.0,0.701
"[-114031, -113031)",343,-113531.0,0.343
"[-113031, -112031)",545,-112531.0,0.545
"[-112031, -111031)",339,-111531.0,0.339
"[-111031, -110031)",799,-110531.0,0.799
"[-110031, -109031)",670,-109531.0,0.67
"[-109031, -108031)",2528,-108531.0,2.528
"[-108031, -107031)",1494,-107531.0,1.494
"[-107031, -106031)",1419,-106531.0,1.419
"[-106031, -105031)",802,-105531.0,0.802
"[-105031, -104031)",190,-104531.0,0.19
"[-104031, -103031)",914,-103531.0,0.914
"[-103031, -102031)",865,-102531.0,0.865
"[-102031, -101031)",1268,-101531.0,1.268
"[-101031, -100031)",6023,-100531.0,6.023
"[-100031, -99031)",800,-99531.0,0.8
"[-99031, -98031)",1170,-98531.0,1.17
"[-98031, -97031)",1631,-97531.0,1.631
"[-97031, -96031)",1124,-96531.0,1.124
"[-96031, -95031)",1922,-95531.0,1.922
"[-95031, -94031)",1623,-94531.0,1.623
"[-94031, -93031)",34,-93531.0,0.034
"[-93031, -92031)",18,-92531.0,0.018
"[-92031, -91031)",11,-91531.0,0.011
"[-91031, -90031)",8,-90531.0,0.008
"[-90031, -89031)",2341,-89531.0,2.341
"[-89031, -88031)",20,-88531.0,0.02
"[-88031, -87031)",295,-87531.0,0.295
"[-87031, -86031)",216,-86531.0,0.216
"[-86031, -85031)",1,-85531.0,0.001
"[-85031, -84031)",319,-84531.0,0.319
"[-84031, -83031)",3499,-83531.0,3.499
"[-83031, -82031)",1733,-82531.0,1.733
"[-82031, -81031)",2497,-81531.0,2.497
"[-81031, -80031)",1166,-80531.0,1.166
"[-80031, -79031)",524,-79531.0,0.524
"[-79031, -78031)",292,-78531.0,0.292
"[-78031, -77031)",103,-77531.0,0.103
"[-77031, -76031)",42,-76531.0,0.042
"[-76031, -75031)",1650,-75531.0,1.65
"[-75031, -74031)",667,-74531.0,0.667
"[-74031, -73031)",925,-73531.0,0.925
"[-73031, -72031)",10764,-72531.0,10.764
"[-72031, -71031)",2704,-71531.0,2.704
"[-71031, -70031)",3252,-70531.0,3.252
"[-70031, -69031)",1403,-69531.0,1.403
"[-69031, -68031)",1243,-68531.0,1.243
"[-68031, -67031)",495,-67531.0,0.495
"[-67031, -66031)",659,-66531.0,0.659
"[-66031, -65031)",736,-65531.0,0.736
"[-65031, -64031)",92,-64531.0,0.092
"[-64031, -63031)",1724,-63531.0,1.724
"[-63031, -62031)",1058,-62531.0,1.058
"[-62031, -61031)",895,-61531.0,0.895
"[-61031, -60031)",231,-60531.0,0.231
"[-60031, -59031)",988,-59531.0,0.988
"[-59031, -58031)",1962,-58531.0,1.962
"[-58031, -57031)",3958,-57531.0,3.958
"[-57031, -56031)",215,-56531.0,0.215
"[-56031, -55031)",212,-55531.0,0.212
"[-55031, -54031)",36,-54531.0,0.036
"[-54031, -53031)",242,-53531.0,0.242
"[-53031, -52031)",3,-52531.0,0.003
"[-52031, -51031)",1292,-51531.0,1.292
"[-51031, -50031)",3012,-50531.0,3.012
"[-50031, -49031)",3085,-49531.0,3.085
"[-49031, -48031)",6179,-48531.0,6.179
"[-48031, -47031)",2243,-47531.0,2.243
"[-47031, -46031)",4087,-46531.0,4.087
"[-46031, -45031)",2280,-45531.0,2.28
"[-45031, -44031)",701,-44531.0,0.701
"[-44031, -43031)",346,-43531.0,0.346
"[-43031, -42031)",2832,-42531.0,2.832
"[-42031, -41031)",33,-41531.0,0.033
"[-41031, -40031)",135,-40531.0,0.135
"[-40031, -39031)",2973,-39531.0,2.973
"[-39031, -38031)",527,-38531.0,0.527
"[-38031, -37031)",2122,-37531.0,2.122
"[-37031, -36031)",1324,-36531.0,1.324
"[-36031, -35031)",324,-35531.0,0.324
"[-35031, -34031)",904,-34531.0,0.904
"[-34031, -33031)",777,-33531.0,0.777
"[-33031, -32031)",2669,-32531.0,2.669
"[-32031, -31031)",1914,-31531.0,1.914
"[-31031, -30031)",69,-30531.0,0.069
"[-30031, -29031)",407,-29531.0,0.407
"[-29031, -28031)",231,-28531.0,0.231
"[-28031, -27031)",47,-27531.0,0.047
"[-27031, -26031)",451,-26531.0,0.451
"[-26031, -25031)",0,-25531.0,0.0
"[-25031, -24031)",4283,-24531.0,4.283
"[-24031, -23031)",3215,-23531.0,3.215
"[-23031, -22031)",6441,-22531.0,6.441
"[-22031, -21031)",883,-21531.0,0.883
"[-21031, -20031)",2759,-20531.0,2.759
"[-20031, -19031)",3,-19531.0,0.003
"[-19031, -18031)",35,-18531.0,0.035
"[-18031, -17031)",1802,-17531.0,1.802
"[-17031, -16031)",13271,-16531.0,13.271
"[-16031, -15031)",247,-15531.0,0.247
"[-15031, -14031)",11266,-14531.0,11.266
"[-14031, -13031)",631,-13531.0,0.631
"[-13031, -12031)",272,-12531.0,0.272
"[-12031, -11031)",1107,-11531.0,1.107
"[-11031, -10031)",526,-10531.0,0.526
"[-10031, -9031)",21061,-9531.0,21.061
"[-9031, -8031)",5203,-8531.0,5.203
"[-8031, -7031)",4246,-7531.0,4.246
"[-7031, -6031)",100398,-6531.0,100.398
"[-6031, -5031)",16764,-5531.0,16.764
"[-5031, -4031)",3854,-4531.0,3.854
"[-4031, -3031)",1524,-3531.0,1.524
"[-3031, -2031)",1483,-2531.0,1.483
"[-2031, -1031)",1660,-1531.0,1.66
"[-1031, -31)",1818,-531.0,1.818
"[-31, 969)",5741,469.0,5.741
"[969, 1969)",4,1469.0,0.004
"[1969, 2969)",0,2469.0,0.0
"[2969, 3969)",9742,3469.0,9.742
"[3969, 4969)",7526,4469.0,7.526
"[4969, 5969)",6080,5469.0,6.08
"[5969, 6969)",122,6469.0,0.122
"[6969, 7969)",3209,7469.0,3.209
"[7969, 8969)",240,8469.0,0.24
"[8969, 9969)",513,9469.0,0.513
"[9969, 10969)",6008,10469.0,6.008
"[10969, 11969)",4260,11469.0,4.26
"[11969, 12969)",1903,12469.0,1.903
"[12969, 13969)",1526,13469.0,1.526
"[13969, 14969)",7487,14469.0,7.487
"[14969, 15969)",8208,15469.0,8.208
"[15969, 16969)",702,16469.0,0.702
"[16969, 17969)",101,17469.0,0.101
"[17969, 18969)",3768,18469.0,3.768
"[18969, 19969)",1942,19469.0,1.942
"[19969, 20969)",1053,20469.0,1.053
"[20969, 21969)",1862,21469.0,1.862
