Distance_Bin,Value,Bin_Center,Density_per_bp
"[-151873, -150873)",0,-151373.0,0.0
"[-150873, -149873)",2886,-150373.0,2.886
"[-149873, -148873)",2313,-149373.0,2.313
"[-148873, -147873)",1335,-148373.0,1.335
"[-147873, -146873)",7406,-147373.0,7.406
"[-146873, -145873)",1478,-146373.0,1.478
"[-145873, -144873)",6066,-145373.0,6.066
"[-144873, -143873)",1999,-144373.0,1.999
"[-143873, -142873)",2481,-143373.0,2.481
"[-142873, -141873)",1848,-142373.0,1.848
"[-141873, -140873)",7585,-141373.0,7.585
"[-140873, -139873)",3044,-140373.0,3.044
"[-139873, -138873)",8097,-139373.0,8.097
"[-138873, -137873)",478,-138373.0,0.478
"[-137873, -136873)",4331,-137373.0,4.331
"[-136873, -135873)",500,-136373.0,0.5
"[-135873, -134873)",464,-135373.0,0.464
"[-134873, -133873)",3241,-134373.0,3.241
"[-133873, -132873)",1435,-133373.0,1.435
"[-132873, -131873)",3989,-132373.0,3.989
"[-131873, -130873)",593,-131373.0,0.593
"[-130873, -129873)",670,-130373.0,0.67
"[-129873, -128873)",2963,-129373.0,2.963
"[-128873, -127873)",12696,-128373.0,12.696
"[-127873, -126873)",2436,-127373.0,2.436
"[-126873, -125873)",363,-126373.0,0.363
"[-125873, -124873)",831,-125373.0,0.831
"[-124873, -123873)",2259,-124373.0,2.259
"[-123873, -122873)",576,-123373.0,0.576
"[-122873, -121873)",1642,-122373.0,1.642
"[-121873, -120873)",7203,-121373.0,7.203
"[-120873, -119873)",437,-120373.0,0.437
"[-119873, -118873)",355,-119373.0,0.355
"[-118873, -117873)",136,-118373.0,0.136
"[-117873, -116873)",276,-117373.0,0.276
"[-116873, -115873)",751,-116373.0,0.751
"[-115873, -114873)",597,-115373.0,0.597
"[-114873, -113873)",2467,-114373.0,2.467
"[-113873, -112873)",775,-113373.0,0.775
"[-112873, -111873)",546,-112373.0,0.546
"[-111873, -110873)",1969,-111373.0,1.969
"[-110873, -109873)",890,-110373.0,0.89
"[-109873, -108873)",590,-109373.0,0.59
"[-108873, -107873)",271,-108373.0,0.271
"[-107873, -106873)",504,-107373.0,0.504
"[-106873, -105873)",124,-106373.0,0.124
"[-105873, -104873)",64,-105373.0,0.064
"[-104873, -103873)",327,-104373.0,0.327
"[-103873, -102873)",160,-103373.0,0.16
"[-102873, -101873)",490,-102373.0,0.49
"[-101873, -100873)",2346,-101373.0,2.346
"[-100873, -99873)",72,-100373.0,0.072
"[-99873, -98873)",581,-99373.0,0.581
"[-98873, -97873)",395,-98373.0,0.395
"[-97873, -96873)",859,-97373.0,0.859
"[-96873, -95873)",1872,-96373.0,1.872
"[-95873, -94873)",489,-95373.0,0.489
"[-94873, -93873)",93,-94373.0,0.093
"[-93873, -92873)",26,-93373.0,0.026
"[-92873, -91873)",61,-92373.0,0.061
"[-91873, -90873)",102,-91373.0,0.102
"[-90873, -89873)",37,-90373.0,0.037
"[-89873, -88873)",136,-89373.0,0.136
"[-88873, -87873)",135,-88373.0,0.135
"[-87873, -86873)",1298,-87373.0,1.298
"[-86873, -85873)",501,-86373.0,0.501
"[-85873, -84873)",3577,-85373.0,3.577
"[-84873, -83873)",3236,-84373.0,3.236
"[-83873, -82873)",39,-83373.0,0.039
"[-82873, -81873)",776,-82373.0,0.776
"[-81873, -80873)",18,-81373.0,0.018
"[-80873, -79873)",32,-80373.0,0.032
"[-79873, -78873)",2,-79373.0,0.002
"[-78873, -77873)",12,-78373.0,0.012
"[-77873, -76873)",1831,-77373.0,1.831
"[-76873, -75873)",310,-76373.0,0.31
"[-75873, -74873)",187,-75373.0,0.187
