Distance_Bin,Value,Bin_Center,Density_per_bp
"[-356684, -355684)",0,-356184.0,0.0
"[-355684, -354684)",2234,-355184.0,2.234
"[-354684, -353684)",697,-354184.0,0.697
"[-353684, -352684)",1059,-353184.0,1.059
"[-352684, -351684)",14756,-352184.0,14.756
"[-351684, -350684)",2090,-351184.0,2.09
"[-350684, -349684)",2147,-350184.0,2.147
"[-349684, -348684)",3324,-349184.0,3.324
"[-348684, -347684)",1473,-348184.0,1.473
"[-347684, -346684)",710,-347184.0,0.71
"[-346684, -345684)",706,-346184.0,0.706
"[-345684, -344684)",1612,-345184.0,1.612
"[-344684, -343684)",1322,-344184.0,1.322
"[-343684, -342684)",396,-343184.0,0.396
"[-342684, -341684)",385,-342184.0,0.385
"[-341684, -340684)",607,-341184.0,0.607
"[-340684, -339684)",1478,-340184.0,1.478
"[-339684, -338684)",2261,-339184.0,2.261
"[-338684, -337684)",1073,-338184.0,1.073
"[-337684, -336684)",601,-337184.0,0.601
"[-336684, -335684)",587,-336184.0,0.587
"[-335684, -334684)",836,-335184.0,0.836
"[-334684, -333684)",2519,-334184.0,2.519
"[-333684, -332684)",1133,-333184.0,1.133
"[-332684, -331684)",146,-332184.0,0.146
"[-331684, -330684)",145,-331184.0,0.145
"[-330684, -329684)",178,-330184.0,0.178
"[-329684, -328684)",925,-329184.0,0.925
"[-328684, -327684)",2775,-328184.0,2.775
"[-327684, -326684)",2008,-327184.0,2.008
"[-326684, -325684)",581,-326184.0,0.581
"[-325684, -324684)",622,-325184.0,0.622
"[-324684, -323684)",2220,-324184.0,2.22
"[-323684, -322684)",518,-323184.0,0.518
"[-322684, -321684)",1702,-322184.0,1.702
"[-321684, -320684)",947,-321184.0,0.947
"[-320684, -319684)",1320,-320184.0,1.32
"[-319684, -318684)",2453,-319184.0,2.453
"[-318684, -317684)",852,-318184.0,0.852
"[-317684, -316684)",976,-317184.0,0.976
"[-316684, -315684)",454,-316184.0,0.454
"[-315684, -314684)",390,-315184.0,0.39
"[-314684, -313684)",1633,-314184.0,1.633
"[-313684, -312684)",141,-313184.0,0.141
"[-312684, -311684)",93,-312184.0,0.093
"[-311684, -310684)",147,-311184.0,0.147
"[-310684, -309684)",627,-310184.0,0.627
"[-309684, -308684)",484,-309184.0,0.484
"[-308684, -307684)",1722,-308184.0,1.722
"[-307684, -306684)",652,-307184.0,0.652
"[-306684, -305684)",208,-306184.0,0.208
"[-305684, -304684)",434,-305184.0,0.434
"[-304684, -303684)",469,-304184.0,0.469
"[-303684, -302684)",679,-303184.0,0.679
"[-302684, -301684)",14067,-302184.0,14.067
"[-301684, -300684)",3052,-301184.0,3.052
"[-300684, -299684)",695,-300184.0,0.695
"[-299684, -298684)",1119,-299184.0,1.119
"[-298684, -297684)",679,-298184.0,0.679
"[-297684, -296684)",738,-297184.0,0.738
"[-296684, -295684)",295,-296184.0,0.295
"[-295684, -294684)",690,-295184.0,0.69
"[-294684, -293684)",67,-294184.0,0.067
"[-293684, -292684)",1002,-293184.0,1.002
"[-292684, -291684)",558,-292184.0,0.558
"[-291684, -290684)",204,-291184.0,0.204
"[-290684, -289684)",240,-290184.0,0.24
"[-289684, -288684)",68,-289184.0,0.068
"[-288684, -287684)",122,-288184.0,0.122
"[-287684, -286684)",852,-287184.0,0.852
"[-286684, -285684)",73,-286184.0,0.073
"[-285684, -284684)",1081,-285184.0,1.081
"[-284684, -283684)",4,-284184.0,0.004
"[-283684, -282684)",4,-283184.0,0.004
"[-282684, -281684)",40,-282184.0,0.04
"[-281684, -280684)",247,-281184.0,0.247
"[-280684, -279684)",500,-280184.0,0.5
"[-279684, -278684)",3556,-279184.0,3.556
"[-278684, -277684)",1206,-278184.0,1.206
"[-277684, -276684)",278,-277184.0,0.278
"[-276684, -275684)",3,-276184.0,0.003
"[-275684, -274684)",112,-275184.0,0.112
"[-274684, -273684)",23,-274184.0,0.023
"[-273684, -272684)",386,-273184.0,0.386
"[-272684, -271684)",887,-272184.0,0.887
"[-271684, -270684)",179,-271184.0,0.179
"[-270684, -269684)",363,-270184.0,0.363
"[-269684, -268684)",8,-269184.0,0.008
"[-268684, -267684)",85,-268184.0,0.085
"[-267684, -266684)",450,-267184.0,0.45
"[-266684, -265684)",801,-266184.0,0.801
"[-265684, -264684)",384,-265184.0,0.384
"[-264684, -263684)",406,-264184.0,0.406
"[-263684, -262684)",803,-263184.0,0.803
"[-262684, -261684)",2487,-262184.0,2.487
"[-261684, -260684)",1211,-261184.0,1.211
"[-260684, -259684)",2440,-260184.0,2.44
"[-259684, -258684)",3490,-259184.0,3.49
"[-258684, -257684)",742,-258184.0,0.742
"[-257684, -256684)",107,-257184.0,0.107
"[-256684, -255684)",1923,-256184.0,1.923
"[-255684, -254684)",1168,-255184.0,1.168
"[-254684, -253684)",683,-254184.0,0.683
"[-253684, -252684)",1664,-253184.0,1.664
"[-252684, -251684)",353,-252184.0,0.353
"[-251684, -250684)",358,-251184.0,0.358
"[-250684, -249684)",452,-250184.0,0.452
"[-249684, -248684)",770,-249184.0,0.77
"[-248684, -247684)",69,-248184.0,0.069
"[-247684, -246684)",17,-247184.0,0.017
"[-246684, -245684)",91,-246184.0,0.091
"[-245684, -244684)",57,-245184.0,0.057
"[-244684, -243684)",15,-244184.0,0.015
"[-243684, -242684)",134,-243184.0,0.134
"[-242684, -241684)",1477,-242184.0,1.477
"[-241684, -240684)",591,-241184.0,0.591
"[-240684, -239684)",195,-240184.0,0.195
"[-239684, -238684)",311,-239184.0,0.311
"[-238684, -237684)",1072,-238184.0,1.072
"[-237684, -236684)",13,-237184.0,0.013
"[-236684, -235684)",4,-236184.0,0.004
"[-235684, -234684)",1,-235184.0,0.001
"[-234684, -233684)",1418,-234184.0,1.418
"[-233684, -232684)",1840,-233184.0,1.84
"[-232684, -231684)",580,-232184.0,0.58
"[-231684, -230684)",425,-231184.0,0.425
"[-230684, -229684)",733,-230184.0,0.733
"[-229684, -228684)",1805,-229184.0,1.805
"[-228684, -227684)",760,-228184.0,0.76
"[-227684, -226684)",467,-227184.0,0.467
"[-226684, -225684)",1169,-226184.0,1.169
"[-225684, -224684)",1976,-225184.0,1.976
"[-224684, -223684)",2615,-224184.0,2.615
"[-223684, -222684)",573,-223184.0,0.573
"[-222684, -221684)",631,-222184.0,0.631
"[-221684, -220684)",7973,-221184.0,7.973
"[-220684, -219684)",1144,-220184.0,1.144
"[-219684, -218684)",497,-219184.0,0.497
"[-218684, -217684)",51,-218184.0,0.051
"[-217684, -216684)",1476,-217184.0,1.476
"[-216684, -215684)",1547,-216184.0,1.547
"[-215684, -214684)",168,-215184.0,0.168
"[-214684, -213684)",650,-214184.0,0.65
"[-213684, -212684)",3490,-213184.0,3.49
"[-212684, -211684)",536,-212184.0,0.536
"[-211684, -210684)",280,-211184.0,0.28
"[-210684, -209684)",23,-210184.0,0.023
"[-209684, -208684)",11,-209184.0,0.011
"[-208684, -207684)",19,-208184.0,0.019
"[-207684, -206684)",102,-207184.0,0.102
"[-206684, -205684)",209,-206184.0,0.209
"[-205684, -204684)",4905,-205184.0,4.905
"[-204684, -203684)",1661,-204184.0,1.661
"[-203684, -202684)",389,-203184.0,0.389
"[-202684, -201684)",572,-202184.0,0.572
"[-201684, -200684)",1616,-201184.0,1.616
"[-200684, -199684)",1089,-200184.0,1.089
"[-199684, -198684)",501,-199184.0,0.501
"[-198684, -197684)",134,-198184.0,0.134
"[-197684, -196684)",4,-197184.0,0.004
"[-196684, -195684)",196,-196184.0,0.196
"[-195684, -194684)",1764,-195184.0,1.764
"[-194684, -193684)",1610,-194184.0,1.61
"[-193684, -192684)",1248,-193184.0,1.248
"[-192684, -191684)",235,-192184.0,0.235
"[-191684, -190684)",119,-191184.0,0.119
"[-190684, -189684)",1011,-190184.0,1.011
"[-189684, -188684)",1334,-189184.0,1.334
"[-188684, -187684)",576,-188184.0,0.576
"[-187684, -186684)",638,-187184.0,0.638
"[-186684, -185684)",2491,-186184.0,2.491
"[-185684, -184684)",64,-185184.0,0.064
"[-184684, -183684)",757,-184184.0,0.757
"[-183684, -182684)",439,-183184.0,0.439
"[-182684, -181684)",958,-182184.0,0.958
"[-181684, -180684)",224,-181184.0,0.224
"[-180684, -179684)",839,-180184.0,0.839
"[-179684, -178684)",794,-179184.0,0.794
"[-178684, -177684)",3183,-178184.0,3.183
"[-177684, -176684)",536,-177184.0,0.536
"[-176684, -175684)",410,-176184.0,0.41
"[-175684, -174684)",553,-175184.0,0.553
"[-174684, -173684)",58,-174184.0,0.058
"[-173684, -172684)",251,-173184.0,0.251
"[-172684, -171684)",1086,-172184.0,1.086
"[-171684, -170684)",771,-171184.0,0.771
"[-170684, -169684)",400,-170184.0,0.4
"[-169684, -168684)",797,-169184.0,0.797
"[-168684, -167684)",1392,-168184.0,1.392
"[-167684, -166684)",1328,-167184.0,1.328
"[-166684, -165684)",774,-166184.0,0.774
"[-165684, -164684)",457,-165184.0,0.457
"[-164684, -163684)",31,-164184.0,0.031
"[-163684, -162684)",29,-163184.0,0.029
"[-162684, -161684)",3126,-162184.0,3.126
"[-161684, -160684)",514,-161184.0,0.514
"[-160684, -159684)",369,-160184.0,0.369
"[-159684, -158684)",684,-159184.0,0.684
