Distance_Bin,Value,Bin_Center,Density_per_bp
"[-106632, -105632)",0,-106132.0,0.0
"[-105632, -104632)",3483,-105132.0,3.483
"[-104632, -103632)",1067,-104132.0,1.067
"[-103632, -102632)",1261,-103132.0,1.261
"[-102632, -101632)",6380,-102132.0,6.38
"[-101632, -100632)",3758,-101132.0,3.758
"[-100632, -99632)",9797,-100132.0,9.797
"[-99632, -98632)",1413,-99132.0,1.413
"[-98632, -97632)",994,-98132.0,0.994
"[-97632, -96632)",1783,-97132.0,1.783
"[-96632, -95632)",1001,-96132.0,1.001
"[-95632, -94632)",2336,-95132.0,2.336
"[-94632, -93632)",5557,-94132.0,5.557
"[-93632, -92632)",1532,-93132.0,1.532
"[-92632, -91632)",707,-92132.0,0.707
"[-91632, -90632)",2359,-91132.0,2.359
"[-90632, -89632)",4715,-90132.0,4.715
"[-89632, -88632)",2647,-89132.0,2.647
"[-88632, -87632)",1254,-88132.0,1.254
"[-87632, -86632)",2768,-87132.0,2.768
"[-86632, -85632)",3072,-86132.0,3.072
"[-85632, -84632)",1694,-85132.0,1.694
"[-84632, -83632)",6552,-84132.0,6.552
"[-83632, -82632)",403,-83132.0,0.403
"[-82632, -81632)",736,-82132.0,0.736
"[-81632, -80632)",374,-81132.0,0.374
"[-80632, -79632)",2255,-80132.0,2.255
"[-79632, -78632)",2490,-79132.0,2.49
"[-78632, -77632)",1101,-78132.0,1.101
"[-77632, -76632)",1226,-77132.0,1.226
"[-76632, -75632)",625,-76132.0,0.625
"[-75632, -74632)",726,-75132.0,0.726
"[-74632, -73632)",304,-74132.0,0.304
"[-73632, -72632)",1457,-73132.0,1.457
"[-72632, -71632)",493,-72132.0,0.493
"[-71632, -70632)",3162,-71132.0,3.162
"[-70632, -69632)",199,-70132.0,0.199
"[-69632, -68632)",1147,-69132.0,1.147
"[-68632, -67632)",1196,-68132.0,1.196
"[-67632, -66632)",6938,-67132.0,6.938
"[-66632, -65632)",1833,-66132.0,1.833
"[-65632, -64632)",1959,-65132.0,1.959
"[-64632, -63632)",327,-64132.0,0.327
"[-63632, -62632)",209,-63132.0,0.209
"[-62632, -61632)",341,-62132.0,0.341
"[-61632, -60632)",632,-61132.0,0.632
"[-60632, -59632)",1298,-60132.0,1.298
"[-59632, -58632)",766,-59132.0,0.766
"[-58632, -57632)",1517,-58132.0,1.517
"[-57632, -56632)",3789,-57132.0,3.789
"[-56632, -55632)",646,-56132.0,0.646
"[-55632, -54632)",819,-55132.0,0.819
"[-54632, -53632)",3774,-54132.0,3.774
"[-53632, -52632)",1730,-53132.0,1.73
"[-52632, -51632)",5516,-52132.0,5.516
"[-51632, -50632)",11913,-51132.0,11.913
"[-50632, -49632)",7030,-50132.0,7.03
"[-49632, -48632)",4955,-49132.0,4.955
"[-48632, -47632)",1823,-48132.0,1.823
"[-47632, -46632)",2055,-47132.0,2.055
"[-46632, -45632)",260,-46132.0,0.26
"[-45632, -44632)",108,-45132.0,0.108
"[-44632, -43632)",74,-44132.0,0.074
"[-43632, -42632)",2292,-43132.0,2.292
"[-42632, -41632)",805,-42132.0,0.805
"[-41632, -40632)",578,-41132.0,0.578
"[-40632, -39632)",1619,-40132.0,1.619
"[-39632, -38632)",1218,-39132.0,1.218
"[-38632, -37632)",5181,-38132.0,5.181
"[-37632, -36632)",1332,-37132.0,1.332
"[-36632, -35632)",3323,-36132.0,3.323
"[-35632, -34632)",11050,-35132.0,11.05
"[-34632, -33632)",3035,-34132.0,3.035
"[-33632, -32632)",1521,-33132.0,1.521
"[-32632, -31632)",1159,-32132.0,1.159
"[-31632, -30632)",2982,-31132.0,2.982
"[-30632, -29632)",486,-30132.0,0.486
"[-29632, -28632)",1536,-29132.0,1.536
"[-28632, -27632)",2021,-28132.0,2.021
"[-27632, -26632)",2661,-27132.0,2.661
"[-26632, -25632)",922,-26132.0,0.922
"[-25632, -24632)",451,-25132.0,0.451
"[-24632, -23632)",1709,-24132.0,1.709
"[-23632, -22632)",1342,-23132.0,1.342
"[-22632, -21632)",2881,-22132.0,2.881
"[-21632, -20632)",917,-21132.0,0.917
"[-20632, -19632)",1714,-20132.0,1.714
"[-19632, -18632)",789,-19132.0,0.789
"[-18632, -17632)",514,-18132.0,0.514
"[-17632, -16632)",295,-17132.0,0.295
"[-16632, -15632)",430,-16132.0,0.43
"[-15632, -14632)",467,-15132.0,0.467
"[-14632, -13632)",819,-14132.0,0.819
"[-13632, -12632)",2034,-13132.0,2.034
"[-12632, -11632)",4945,-12132.0,4.945
"[-11632, -10632)",7015,-11132.0,7.015
"[-10632, -9632)",2331,-10132.0,2.331
"[-9632, -8632)",716,-9132.0,0.716
"[-8632, -7632)",2304,-8132.0,2.304
"[-7632, -6632)",28032,-7132.0,28.032
"[-6632, -5632)",4424,-6132.0,4.424
"[-5632, -4632)",2100,-5132.0,2.1
"[-4632, -3632)",1651,-4132.0,1.651
"[-3632, -2632)",8469,-3132.0,8.469
"[-2632, -1632)",3898,-2132.0,3.898
"[-1632, -632)",5952,-1132.0,5.952
"[-632, 368)",4537,-132.0,4.537
"[368, 1368)",1370,868.0,1.37
"[1368, 2368)",3532,1868.0,3.532
"[2368, 3368)",2575,2868.0,2.575
"[3368, 4368)",1770,3868.0,1.77
"[4368, 5368)",2134,4868.0,2.134
"[5368, 6368)",3179,5868.0,3.179
"[6368, 7368)",373,6868.0,0.373
"[7368, 8368)",4408,7868.0,4.408
"[8368, 9368)",419,8868.0,0.419
"[9368, 10368)",9021,9868.0,9.021
"[10368, 11368)",3106,10868.0,3.106
"[11368, 12368)",7803,11868.0,7.803
"[12368, 13368)",1530,12868.0,1.53
"[13368, 14368)",1237,13868.0,1.237
"[14368, 15368)",15,14868.0,0.015
"[15368, 16368)",1109,15868.0,1.109
"[16368, 17368)",9789,16868.0,9.789
"[17368, 18368)",3324,17868.0,3.324
"[18368, 19368)",1143,18868.0,1.143
"[19368, 20368)",883,19868.0,0.883
"[20368, 21368)",3102,20868.0,3.102
"[21368, 22368)",99,21868.0,0.099
"[22368, 23368)",1039,22868.0,1.039
"[23368, 24368)",730,23868.0,0.73
"[24368, 25368)",345,24868.0,0.345
"[25368, 26368)",3253,25868.0,3.253
"[26368, 27368)",886,26868.0,0.886
"[27368, 28368)",115,27868.0,0.115
"[28368, 29368)",2119,28868.0,2.119
"[29368, 30368)",533,29868.0,0.533
"[30368, 31368)",405,30868.0,0.405
"[31368, 32368)",706,31868.0,0.706
"[32368, 33368)",3072,32868.0,3.072
"[33368, 34368)",1198,33868.0,1.198
"[34368, 35368)",50,34868.0,0.05
"[35368, 36368)",3368,35868.0,3.368
"[36368, 37368)",23,36868.0,0.023
"[37368, 38368)",4383,37868.0,4.383
"[38368, 39368)",147,38868.0,0.147
"[39368, 40368)",7,39868.0,0.007
"[40368, 41368)",3507,40868.0,3.507
"[41368, 42368)",375,41868.0,0.375
"[42368, 43368)",281,42868.0,0.281
"[43368, 44368)",1494,43868.0,1.494
"[44368, 45368)",2364,44868.0,2.364
"[45368, 46368)",1728,45868.0,1.728
"[46368, 47368)",16,46868.0,0.016
"[47368, 48368)",72,47868.0,0.072
"[48368, 49368)",63,48868.0,0.063
"[49368, 50368)",27,49868.0,0.027
"[50368, 51368)",28,50868.0,0.028
"[51368, 52368)",287,51868.0,0.287
"[52368, 53368)",6,52868.0,0.006
"[53368, 54368)",2614,53868.0,2.614
"[54368, 55368)",1442,54868.0,1.442
"[55368, 56368)",272,55868.0,0.272
"[56368, 57368)",22,56868.0,0.022
"[57368, 58368)",4,57868.0,0.004
"[58368, 59368)",359,58868.0,0.359
"[59368, 60368)",370,59868.0,0.37
"[60368, 61368)",525,60868.0,0.525
"[61368, 62368)",1877,61868.0,1.877
"[62368, 63368)",1043,62868.0,1.043
"[63368, 64368)",226,63868.0,0.226
"[64368, 65368)",668,64868.0,0.668
"[65368, 66368)",586,65868.0,0.586
"[66368, 67368)",1535,66868.0,1.535
"[67368, 68368)",1531,67868.0,1.531
"[68368, 69368)",2334,68868.0,2.334
"[69368, 70368)",8508,69868.0,8.508
"[70368, 71368)",2454,70868.0,2.454
"[71368, 72368)",2094,71868.0,2.094
"[72368, 73368)",911,72868.0,0.911
"[73368, 74368)",633,73868.0,0.633
"[74368, 75368)",892,74868.0,0.892
"[75368, 76368)",818,75868.0,0.818
"[76368, 77368)",509,76868.0,0.509
"[77368, 78368)",966,77868.0,0.966
"[78368, 79368)",329,78868.0,0.329
"[79368, 80368)",771,79868.0,0.771
"[80368, 81368)",180,80868.0,0.18
"[81368, 82368)",1495,81868.0,1.495
"[82368, 83368)",805,82868.0,0.805
"[83368, 84368)",1913,83868.0,1.913
"[84368, 85368)",2767,84868.0,2.767
"[85368, 86368)",232,85868.0,0.232
"[86368, 87368)",500,86868.0,0.5
"[87368, 88368)",603,87868.0,0.603
"[88368, 89368)",580,88868.0,0.58
"[89368, 90368)",190,89868.0,0.19
"[90368, 91368)",485,90868.0,0.485
"[91368, 92368)",483,91868.0,0.483
"[92368, 93368)",2089,92868.0,2.089
"[93368, 94368)",673,93868.0,0.673
"[94368, 95368)",451,94868.0,0.451
"[95368, 96368)",1552,95868.0,1.552
"[96368, 97368)",867,96868.0,0.867
"[97368, 98368)",790,97868.0,0.79
"[98368, 99368)",1959,98868.0,1.959
"[99368, 100368)",1143,99868.0,1.143
"[100368, 101368)",1608,100868.0,1.608
"[101368, 102368)",1151,101868.0,1.151
"[102368, 103368)",580,102868.0,0.58
"[103368, 104368)",1075,103868.0,1.075
"[104368, 105368)",122,104868.0,0.122
"[105368, 106368)",41,105868.0,0.041
"[106368, 107368)",4550,106868.0,4.55
"[107368, 108368)",3647,107868.0,3.647
"[108368, 109368)",7914,108868.0,7.914
"[109368, 110368)",3662,109868.0,3.662
"[110368, 111368)",1942,110868.0,1.942
"[111368, 112368)",1484,111868.0,1.484
"[112368, 113368)",2894,112868.0,2.894
"[113368, 114368)",583,113868.0,0.583
"[114368, 115368)",492,114868.0,0.492
"[115368, 116368)",167,115868.0,0.167
"[116368, 117368)",213,116868.0,0.213
"[117368, 118368)",228,117868.0,0.228
"[118368, 119368)",434,118868.0,0.434
"[119368, 120368)",640,119868.0,0.64
"[120368, 121368)",176,120868.0,0.176
"[121368, 122368)",626,121868.0,0.626
"[122368, 123368)",16,122868.0,0.016
"[123368, 124368)",885,123868.0,0.885
"[124368, 125368)",752,124868.0,0.752
"[125368, 126368)",1251,125868.0,1.251
"[126368, 127368)",55,126868.0,0.055
"[127368, 128368)",173,127868.0,0.173
"[128368, 129368)",574,128868.0,0.574
"[129368, 130368)",34,129868.0,0.034
"[130368, 131368)",1081,130868.0,1.081
"[131368, 132368)",872,131868.0,0.872
"[132368, 133368)",716,132868.0,0.716
"[133368, 134368)",194,133868.0,0.194
"[134368, 135368)",20,134868.0,0.02
"[135368, 136368)",794,135868.0,0.794
"[136368, 137368)",1384,136868.0,1.384
"[137368, 138368)",312,137868.0,0.312
"[138368, 139368)",364,138868.0,0.364
"[139368, 140368)",834,139868.0,0.834
"[140368, 141368)",1064,140868.0,1.064
"[141368, 142368)",19,141868.0,0.019
"[142368, 143368)",266,142868.0,0.266
"[143368, 144368)",583,143868.0,0.583
"[144368, 145368)",419,144868.0,0.419
"[145368, 146368)",1003,145868.0,1.003
"[146368, 147368)",35,146868.0,0.035
"[147368, 148368)",169,147868.0,0.169
"[148368, 149368)",26,148868.0,0.026
"[149368, 150368)",209,149868.0,0.209
"[150368, 151368)",1028,150868.0,1.028
"[151368, 152368)",7564,151868.0,7.564
"[152368, 153368)",387,152868.0,0.387
"[153368, 154368)",20,153868.0,0.02
"[154368, 155368)",24,154868.0,0.024
"[155368, 156368)",722,155868.0,0.722
"[156368, 157368)",184,156868.0,0.184
"[157368, 158368)",572,157868.0,0.572
"[158368, 159368)",492,158868.0,0.492
"[159368, 160368)",398,159868.0,0.398
"[160368, 161368)",1105,160868.0,1.105
"[161368, 162368)",3198,161868.0,3.198
"[162368, 163368)",399,162868.0,0.399
"[163368, 164368)",177,163868.0,0.177
"[164368, 165368)",105,164868.0,0.105
"[165368, 166368)",299,165868.0,0.299
"[166368, 167368)",3386,166868.0,3.386
"[167368, 168368)",66,167868.0,0.066
"[168368, 169368)",379,168868.0,0.379
"[169368, 170368)",462,169868.0,0.462
"[170368, 171368)",1356,170868.0,1.356
"[171368, 172368)",175,171868.0,0.175
"[172368, 173368)",1025,172868.0,1.025
"[173368, 174368)",5572,173868.0,5.572
"[174368, 175368)",8933,174868.0,8.933
"[175368, 176368)",7451,175868.0,7.451
"[176368, 177368)",150,176868.0,0.15
"[177368, 178368)",371,177868.0,0.371
"[178368, 179368)",596,178868.0,0.596
"[179368, 180368)",369,179868.0,0.369
"[180368, 181368)",1554,180868.0,1.554
"[181368, 182368)",473,181868.0,0.473
"[182368, 183368)",243,182868.0,0.243
"[183368, 184368)",1634,183868.0,1.634
"[184368, 185368)",1151,184868.0,1.151
