Distance_Bin,Value,Bin_Center,Density_per_bp
"[-327588, -326588)",0,-327088.0,0.0
"[-326588, -325588)",2759,-326088.0,2.759
"[-325588, -324588)",874,-325088.0,0.874
"[-324588, -323588)",2603,-324088.0,2.603
"[-323588, -322588)",2677,-323088.0,2.677
"[-322588, -321588)",971,-322088.0,0.971
"[-321588, -320588)",3331,-321088.0,3.331
"[-320588, -319588)",1584,-320088.0,1.584
"[-319588, -318588)",450,-319088.0,0.45
"[-318588, -317588)",166,-318088.0,0.166
"[-317588, -316588)",2252,-317088.0,2.252
"[-316588, -315588)",928,-316088.0,0.928
"[-315588, -314588)",832,-315088.0,0.832
"[-314588, -313588)",991,-314088.0,0.991
"[-313588, -312588)",443,-313088.0,0.443
"[-312588, -311588)",922,-312088.0,0.922
"[-311588, -310588)",2126,-311088.0,2.126
"[-310588, -309588)",336,-310088.0,0.336
"[-309588, -308588)",851,-309088.0,0.851
"[-308588, -307588)",778,-308088.0,0.778
"[-307588, -306588)",436,-307088.0,0.436
"[-306588, -305588)",497,-306088.0,0.497
"[-305588, -304588)",1378,-305088.0,1.378
"[-304588, -303588)",552,-304088.0,0.552
"[-303588, -302588)",1215,-303088.0,1.215
"[-302588, -301588)",679,-302088.0,0.679
"[-301588, -300588)",530,-301088.0,0.53
"[-300588, -299588)",1065,-300088.0,1.065
"[-299588, -298588)",3011,-299088.0,3.011
"[-298588, -297588)",615,-298088.0,0.615
"[-297588, -296588)",282,-297088.0,0.282
"[-296588, -295588)",51,-296088.0,0.051
"[-295588, -294588)",359,-295088.0,0.359
"[-294588, -293588)",528,-294088.0,0.528
"[-293588, -292588)",4027,-293088.0,4.027
"[-292588, -291588)",1159,-292088.0,1.159
"[-291588, -290588)",240,-291088.0,0.24
"[-290588, -289588)",282,-290088.0,0.282
"[-289588, -288588)",608,-289088.0,0.608
"[-288588, -287588)",1275,-288088.0,1.275
"[-287588, -286588)",1533,-287088.0,1.533
"[-286588, -285588)",2778,-286088.0,2.778
"[-285588, -284588)",934,-285088.0,0.934
"[-284588, -283588)",613,-284088.0,0.613
"[-283588, -282588)",712,-283088.0,0.712
"[-282588, -281588)",883,-282088.0,0.883
"[-281588, -280588)",86,-281088.0,0.086
"[-280588, -279588)",126,-280088.0,0.126
"[-279588, -278588)",867,-279088.0,0.867
"[-278588, -277588)",549,-278088.0,0.549
"[-277588, -276588)",96,-277088.0,0.096
"[-276588, -275588)",31,-276088.0,0.031
"[-275588, -274588)",8,-275088.0,0.008
"[-274588, -273588)",716,-274088.0,0.716
"[-273588, -272588)",120,-273088.0,0.12
"[-272588, -271588)",88,-272088.0,0.088
"[-271588, -270588)",1276,-271088.0,1.276
"[-270588, -269588)",327,-270088.0,0.327
"[-269588, -268588)",855,-269088.0,0.855
"[-268588, -267588)",2110,-268088.0,2.11
"[-267588, -266588)",39,-267088.0,0.039
"[-266588, -265588)",148,-266088.0,0.148
"[-265588, -264588)",1656,-265088.0,1.656
"[-264588, -263588)",462,-264088.0,0.462
"[-263588, -262588)",274,-263088.0,0.274
"[-262588, -261588)",61,-262088.0,0.061
"[-261588, -260588)",2028,-261088.0,2.028
"[-260588, -259588)",921,-260088.0,0.921
"[-259588, -258588)",738,-259088.0,0.738
"[-258588, -257588)",102,-258088.0,0.102
"[-257588, -256588)",327,-257088.0,0.327
"[-256588, -255588)",1579,-256088.0,1.579
"[-255588, -254588)",582,-255088.0,0.582
"[-254588, -253588)",1217,-254088.0,1.217
"[-253588, -252588)",3570,-253088.0,3.57
"[-252588, -251588)",836,-252088.0,0.836
"[-251588, -250588)",81,-251088.0,0.081
"[-250588, -249588)",155,-250088.0,0.155
"[-249588, -248588)",1404,-249088.0,1.404
"[-248588, -247588)",182,-248088.0,0.182
"[-247588, -246588)",2970,-247088.0,2.97
"[-246588, -245588)",25,-246088.0,0.025
"[-245588, -244588)",1121,-245088.0,1.121
"[-244588, -243588)",1352,-244088.0,1.352
"[-243588, -242588)",1911,-243088.0,1.911
"[-242588, -241588)",741,-242088.0,0.741
"[-241588, -240588)",587,-241088.0,0.587
"[-240588, -239588)",1880,-240088.0,1.88
"[-239588, -238588)",1026,-239088.0,1.026
"[-238588, -237588)",12,-238088.0,0.012
"[-237588, -236588)",932,-237088.0,0.932
"[-236588, -235588)",428,-236088.0,0.428
"[-235588, -234588)",1349,-235088.0,1.349
"[-234588, -233588)",4043,-234088.0,4.043
"[-233588, -232588)",396,-233088.0,0.396
"[-232588, -231588)",463,-232088.0,0.463
"[-231588, -230588)",553,-231088.0,0.553
"[-230588, -229588)",2258,-230088.0,2.258
"[-229588, -228588)",874,-229088.0,0.874
"[-228588, -227588)",253,-228088.0,0.253
"[-227588, -226588)",697,-227088.0,0.697
"[-226588, -225588)",304,-226088.0,0.304
"[-225588, -224588)",465,-225088.0,0.465
"[-224588, -223588)",50,-224088.0,0.05
"[-223588, -222588)",364,-223088.0,0.364
"[-222588, -221588)",533,-222088.0,0.533
"[-221588, -220588)",202,-221088.0,0.202
"[-220588, -219588)",667,-220088.0,0.667
"[-219588, -218588)",277,-219088.0,0.277
"[-218588, -217588)",1848,-218088.0,1.848
"[-217588, -216588)",8631,-217088.0,8.631
"[-216588, -215588)",622,-216088.0,0.622
"[-215588, -214588)",1987,-215088.0,1.987
"[-214588, -213588)",553,-214088.0,0.553
"[-213588, -212588)",257,-213088.0,0.257
"[-212588, -211588)",272,-212088.0,0.272
"[-211588, -210588)",60,-211088.0,0.06
"[-210588, -209588)",424,-210088.0,0.424
"[-209588, -208588)",1030,-209088.0,1.03
"[-208588, -207588)",4348,-208088.0,4.348
"[-207588, -206588)",1168,-207088.0,1.168
"[-206588, -205588)",1061,-206088.0,1.061
"[-205588, -204588)",670,-205088.0,0.67
"[-204588, -203588)",586,-204088.0,0.586
"[-203588, -202588)",494,-203088.0,0.494
"[-202588, -201588)",442,-202088.0,0.442
"[-201588, -200588)",276,-201088.0,0.276
"[-200588, -199588)",757,-200088.0,0.757
"[-199588, -198588)",72,-199088.0,0.072
"[-198588, -197588)",2035,-198088.0,2.035
"[-197588, -196588)",107,-197088.0,0.107
"[-196588, -195588)",2353,-196088.0,2.353
"[-195588, -194588)",266,-195088.0,0.266
"[-194588, -193588)",295,-194088.0,0.295
"[-193588, -192588)",209,-193088.0,0.209
"[-192588, -191588)",145,-192088.0,0.145
"[-191588, -190588)",883,-191088.0,0.883
"[-190588, -189588)",299,-190088.0,0.299
"[-189588, -188588)",541,-189088.0,0.541
"[-188588, -187588)",313,-188088.0,0.313
"[-187588, -186588)",1028,-187088.0,1.028
"[-186588, -185588)",172,-186088.0,0.172
