Distance_Bin,Value,Bin_Center,Density_per_bp
"[-450763, -449763)",0,-450263.0,0.0
"[-449763, -448763)",144,-449263.0,0.144
"[-448763, -447763)",99,-448263.0,0.099
"[-447763, -446763)",51,-447263.0,0.051
"[-446763, -445763)",101,-446263.0,0.101
"[-445763, -444763)",106,-445263.0,0.106
"[-444763, -443763)",132,-444263.0,0.132
"[-443763, -442763)",126,-443263.0,0.126
"[-442763, -441763)",99,-442263.0,0.099
"[-441763, -440763)",165,-441263.0,0.165
"[-440763, -439763)",126,-440263.0,0.126
"[-439763, -438763)",109,-439263.0,0.109
"[-438763, -437763)",136,-438263.0,0.136
"[-437763, -436763)",127,-437263.0,0.127
"[-436763, -435763)",98,-436263.0,0.098
"[-435763, -434763)",82,-435263.0,0.082
"[-434763, -433763)",114,-434263.0,0.114
"[-433763, -432763)",127,-433263.0,0.127
"[-432763, -431763)",105,-432263.0,0.105
"[-431763, -430763)",54,-431263.0,0.054
"[-430763, -429763)",118,-430263.0,0.118
"[-429763, -428763)",75,-429263.0,0.075
"[-428763, -427763)",101,-428263.0,0.101
"[-427763, -426763)",125,-427263.0,0.125
"[-426763, -425763)",59,-426263.0,0.059
"[-425763, -424763)",29,-425263.0,0.029
"[-424763, -423763)",28,-424263.0,0.028
"[-423763, -422763)",36,-423263.0,0.036
"[-422763, -421763)",20,-422263.0,0.02
"[-421763, -420763)",35,-421263.0,0.035
"[-420763, -419763)",65,-420263.0,0.065
"[-419763, -418763)",85,-419263.0,0.085
"[-418763, -417763)",39,-418263.0,0.039
"[-417763, -416763)",73,-417263.0,0.073
"[-416763, -415763)",14,-416263.0,0.014
"[-415763, -414763)",77,-415263.0,0.077
"[-414763, -413763)",45,-414263.0,0.045
"[-413763, -412763)",92,-413263.0,0.092
"[-412763, -411763)",41,-412263.0,0.041
"[-411763, -410763)",98,-411263.0,0.098
"[-410763, -409763)",72,-410263.0,0.072
"[-409763, -408763)",18,-409263.0,0.018
"[-408763, -407763)",39,-408263.0,0.039
"[-407763, -406763)",115,-407263.0,0.115
"[-406763, -405763)",107,-406263.0,0.107
"[-405763, -404763)",56,-405263.0,0.056
"[-404763, -403763)",55,-404263.0,0.055
"[-403763, -402763)",101,-403263.0,0.101
"[-402763, -401763)",0,-402263.0,0.0
"[-401763, -400763)",31,-401263.0,0.031
"[-400763, -399763)",132,-400263.0,0.132
"[-399763, -398763)",49,-399263.0,0.049
"[-398763, -397763)",22,-398263.0,0.022
"[-397763, -396763)",91,-397263.0,0.091
"[-396763, -395763)",48,-396263.0,0.048
"[-395763, -394763)",49,-395263.0,0.049
"[-394763, -393763)",35,-394263.0,0.035
"[-393763, -392763)",60,-393263.0,0.06
"[-392763, -391763)",93,-392263.0,0.093
"[-391763, -390763)",51,-391263.0,0.051
"[-390763, -389763)",147,-390263.0,0.147
"[-389763, -388763)",70,-389263.0,0.07
"[-388763, -387763)",117,-388263.0,0.117
"[-387763, -386763)",171,-387263.0,0.171
"[-386763, -385763)",14,-386263.0,0.014
"[-385763, -384763)",9,-385263.0,0.009
"[-384763, -383763)",57,-384263.0,0.057
"[-383763, -382763)",108,-383263.0,0.108
"[-382763, -381763)",78,-382263.0,0.078
"[-381763, -380763)",68,-381263.0,0.068
"[-380763, -379763)",50,-380263.0,0.05
"[-379763, -378763)",118,-379263.0,0.118
"[-378763, -377763)",71,-378263.0,0.071
"[-377763, -376763)",42,-377263.0,0.042
"[-376763, -375763)",82,-376263.0,0.082
"[-375763, -374763)",112,-375263.0,0.112
"[-374763, -373763)",63,-374263.0,0.063
"[-373763, -372763)",154,-373263.0,0.154
"[-372763, -371763)",110,-372263.0,0.11
"[-371763, -370763)",65,-371263.0,0.065
"[-370763, -369763)",53,-370263.0,0.053
"[-369763, -368763)",76,-369263.0,0.076
"[-368763, -367763)",41,-368263.0,0.041
"[-367763, -366763)",78,-367263.0,0.078
"[-366763, -365763)",139,-366263.0,0.139
"[-365763, -364763)",93,-365263.0,0.093
"[-364763, -363763)",72,-364263.0,0.072
"[-363763, -362763)",42,-363263.0,0.042
"[-362763, -361763)",58,-362263.0,0.058
"[-361763, -360763)",55,-361263.0,0.055
"[-360763, -359763)",32,-360263.0,0.032
"[-359763, -358763)",61,-359263.0,0.061
"[-358763, -357763)",34,-358263.0,0.034
"[-357763, -356763)",37,-357263.0,0.037
"[-356763, -355763)",57,-356263.0,0.057
"[-355763, -354763)",118,-355263.0,0.118
"[-354763, -353763)",71,-354263.0,0.071
"[-353763, -352763)",51,-353263.0,0.051
"[-352763, -351763)",72,-352263.0,0.072
"[-351763, -350763)",56,-351263.0,0.056
"[-350763, -349763)",81,-350263.0,0.081
"[-349763, -348763)",41,-349263.0,0.041
"[-348763, -347763)",90,-348263.0,0.09
"[-347763, -346763)",28,-347263.0,0.028
"[-346763, -345763)",91,-346263.0,0.091
"[-345763, -344763)",79,-345263.0,0.079
"[-344763, -343763)",73,-344263.0,0.073
"[-343763, -342763)",153,-343263.0,0.153
"[-342763, -341763)",57,-342263.0,0.057
"[-341763, -340763)",2,-341263.0,0.002
"[-340763, -339763)",4,-340263.0,0.004
"[-339763, -338763)",24,-339263.0,0.024
"[-338763, -337763)",95,-338263.0,0.095
"[-337763, -336763)",22,-337263.0,0.022
"[-336763, -335763)",37,-336263.0,0.037
"[-335763, -334763)",51,-335263.0,0.051
"[-334763, -333763)",18,-334263.0,0.018
"[-333763, -332763)",78,-333263.0,0.078
"[-332763, -331763)",81,-332263.0,0.081
"[-331763, -330763)",10,-331263.0,0.01
"[-330763, -329763)",29,-330263.0,0.029
"[-329763, -328763)",28,-329263.0,0.028
"[-328763, -327763)",70,-328263.0,0.07
"[-327763, -326763)",22,-327263.0,0.022
"[-326763, -325763)",44,-326263.0,0.044
"[-325763, -324763)",80,-325263.0,0.08
