Distance_Bin,Value,Bin_Center,Density_per_bp
"[-106632, -105632)",0,-106132.0,0.0
"[-105632, -104632)",267,-105132.0,0.267
"[-104632, -103632)",132,-104132.0,0.132
"[-103632, -102632)",178,-103132.0,0.178
"[-102632, -101632)",346,-102132.0,0.346
"[-101632, -100632)",289,-101132.0,0.289
"[-100632, -99632)",258,-100132.0,0.258
"[-99632, -98632)",187,-99132.0,0.187
"[-98632, -97632)",173,-98132.0,0.173
"[-97632, -96632)",156,-97132.0,0.156
"[-96632, -95632)",96,-96132.0,0.096
"[-95632, -94632)",275,-95132.0,0.275
"[-94632, -93632)",208,-94132.0,0.208
"[-93632, -92632)",113,-93132.0,0.113
"[-92632, -91632)",138,-92132.0,0.138
"[-91632, -90632)",100,-91132.0,0.1
"[-90632, -89632)",173,-90132.0,0.173
"[-89632, -88632)",199,-89132.0,0.199
"[-88632, -87632)",178,-88132.0,0.178
"[-87632, -86632)",234,-87132.0,0.234
"[-86632, -85632)",104,-86132.0,0.104
"[-85632, -84632)",110,-85132.0,0.11
"[-84632, -83632)",331,-84132.0,0.331
"[-83632, -82632)",76,-83132.0,0.076
"[-82632, -81632)",92,-82132.0,0.092
"[-81632, -80632)",48,-81132.0,0.048
"[-80632, -79632)",152,-80132.0,0.152
"[-79632, -78632)",151,-79132.0,0.151
"[-78632, -77632)",107,-78132.0,0.107
"[-77632, -76632)",153,-77132.0,0.153
"[-76632, -75632)",97,-76132.0,0.097
"[-75632, -74632)",82,-75132.0,0.082
"[-74632, -73632)",49,-74132.0,0.049
"[-73632, -72632)",93,-73132.0,0.093
"[-72632, -71632)",74,-72132.0,0.074
"[-71632, -70632)",184,-71132.0,0.184
"[-70632, -69632)",22,-70132.0,0.022
"[-69632, -68632)",98,-69132.0,0.098
"[-68632, -67632)",134,-68132.0,0.134
"[-67632, -66632)",157,-67132.0,0.157
"[-66632, -65632)",126,-66132.0,0.126
"[-65632, -64632)",95,-65132.0,0.095
"[-64632, -63632)",49,-64132.0,0.049
"[-63632, -62632)",67,-63132.0,0.067
"[-62632, -61632)",81,-62132.0,0.081
"[-61632, -60632)",96,-61132.0,0.096
"[-60632, -59632)",177,-60132.0,0.177
"[-59632, -58632)",122,-59132.0,0.122
"[-58632, -57632)",154,-58132.0,0.154
"[-57632, -56632)",214,-57132.0,0.214
"[-56632, -55632)",90,-56132.0,0.09
"[-55632, -54632)",108,-55132.0,0.108
"[-54632, -53632)",126,-54132.0,0.126
"[-53632, -52632)",119,-53132.0,0.119
"[-52632, -51632)",193,-52132.0,0.193
"[-51632, -50632)",337,-51132.0,0.337
"[-50632, -49632)",306,-50132.0,0.306
"[-49632, -48632)",207,-49132.0,0.207
"[-48632, -47632)",80,-48132.0,0.08
"[-47632, -46632)",118,-47132.0,0.118
"[-46632, -45632)",59,-46132.0,0.059
"[-45632, -44632)",27,-45132.0,0.027
"[-44632, -43632)",26,-44132.0,0.026
"[-43632, -42632)",106,-43132.0,0.106
"[-42632, -41632)",102,-42132.0,0.102
"[-41632, -40632)",127,-41132.0,0.127
"[-40632, -39632)",146,-40132.0,0.146
"[-39632, -38632)",69,-39132.0,0.069
"[-38632, -37632)",200,-38132.0,0.2
"[-37632, -36632)",114,-37132.0,0.114
"[-36632, -35632)",170,-36132.0,0.17
"[-35632, -34632)",163,-35132.0,0.163
"[-34632, -33632)",139,-34132.0,0.139
"[-33632, -32632)",131,-33132.0,0.131
"[-32632, -31632)",138,-32132.0,0.138
"[-31632, -30632)",254,-31132.0,0.254
"[-30632, -29632)",50,-30132.0,0.05
"[-29632, -28632)",94,-29132.0,0.094
"[-28632, -27632)",142,-28132.0,0.142
"[-27632, -26632)",96,-27132.0,0.096
"[-26632, -25632)",115,-26132.0,0.115
"[-25632, -24632)",70,-25132.0,0.07
"[-24632, -23632)",157,-24132.0,0.157
"[-23632, -22632)",132,-23132.0,0.132
"[-22632, -21632)",197,-22132.0,0.197
"[-21632, -20632)",70,-21132.0,0.07
"[-20632, -19632)",220,-20132.0,0.22
"[-19632, -18632)",128,-19132.0,0.128
"[-18632, -17632)",90,-18132.0,0.09
"[-17632, -16632)",92,-17132.0,0.092
"[-16632, -15632)",93,-16132.0,0.093
"[-15632, -14632)",124,-15132.0,0.124
"[-14632, -13632)",162,-14132.0,0.162
"[-13632, -12632)",264,-13132.0,0.264
"[-12632, -11632)",314,-12132.0,0.314
"[-11632, -10632)",299,-11132.0,0.299
"[-10632, -9632)",189,-10132.0,0.189
"[-9632, -8632)",85,-9132.0,0.085
"[-8632, -7632)",181,-8132.0,0.181
"[-7632, -6632)",520,-7132.0,0.52
"[-6632, -5632)",172,-6132.0,0.172
"[-5632, -4632)",123,-5132.0,0.123
"[-4632, -3632)",134,-4132.0,0.134
"[-3632, -2632)",351,-3132.0,0.351
"[-2632, -1632)",198,-2132.0,0.198
"[-1632, -632)",213,-1132.0,0.213
"[-632, 368)",184,-132.0,0.184
"[368, 1368)",140,868.0,0.14
"[1368, 2368)",268,1868.0,0.268
"[2368, 3368)",209,2868.0,0.209
"[3368, 4368)",123,3868.0,0.123
"[4368, 5368)",167,4868.0,0.167
"[5368, 6368)",143,5868.0,0.143
"[6368, 7368)",63,6868.0,0.063
"[7368, 8368)",229,7868.0,0.229
"[8368, 9368)",121,8868.0,0.121
"[9368, 10368)",288,9868.0,0.288
"[10368, 11368)",152,10868.0,0.152
"[11368, 12368)",277,11868.0,0.277
"[12368, 13368)",110,12868.0,0.11
"[13368, 14368)",100,13868.0,0.1
"[14368, 15368)",13,14868.0,0.013
"[15368, 16368)",81,15868.0,0.081
"[16368, 17368)",414,16868.0,0.414
"[17368, 18368)",189,17868.0,0.189
"[18368, 19368)",98,18868.0,0.098
"[19368, 20368)",103,19868.0,0.103
"[20368, 21368)",119,20868.0,0.119
"[21368, 22368)",39,21868.0,0.039
"[22368, 23368)",56,22868.0,0.056
"[23368, 24368)",69,23868.0,0.069
"[24368, 25368)",27,24868.0,0.027
"[25368, 26368)",133,25868.0,0.133
"[26368, 27368)",93,26868.0,0.093
"[27368, 28368)",36,27868.0,0.036
"[28368, 29368)",153,28868.0,0.153
"[29368, 30368)",87,29868.0,0.087
"[30368, 31368)",76,30868.0,0.076
"[31368, 32368)",67,31868.0,0.067
"[32368, 33368)",165,32868.0,0.165
"[33368, 34368)",144,33868.0,0.144
"[34368, 35368)",12,34868.0,0.012
"[35368, 36368)",153,35868.0,0.153
"[36368, 37368)",15,36868.0,0.015
"[37368, 38368)",126,37868.0,0.126
"[38368, 39368)",38,38868.0,0.038
"[39368, 40368)",8,39868.0,0.008
"[40368, 41368)",134,40868.0,0.134
"[41368, 42368)",87,41868.0,0.087
"[42368, 43368)",72,42868.0,0.072
"[43368, 44368)",169,43868.0,0.169
"[44368, 45368)",207,44868.0,0.207
"[45368, 46368)",170,45868.0,0.17
"[46368, 47368)",23,46868.0,0.023
"[47368, 48368)",22,47868.0,0.022
"[48368, 49368)",11,48868.0,0.011
"[49368, 50368)",14,49868.0,0.014
"[50368, 51368)",9,50868.0,0.009
"[51368, 52368)",51,51868.0,0.051
"[52368, 53368)",13,52868.0,0.013
"[53368, 54368)",136,53868.0,0.136
"[54368, 55368)",122,54868.0,0.122
"[55368, 56368)",43,55868.0,0.043
"[56368, 57368)",31,56868.0,0.031
"[57368, 58368)",10,57868.0,0.01
"[58368, 59368)",69,58868.0,0.069
"[59368, 60368)",75,59868.0,0.075
"[60368, 61368)",51,60868.0,0.051
"[61368, 62368)",112,61868.0,0.112
"[62368, 63368)",119,62868.0,0.119
"[63368, 64368)",26,63868.0,0.026
"[64368, 65368)",100,64868.0,0.1
"[65368, 66368)",76,65868.0,0.076
"[66368, 67368)",101,66868.0,0.101
"[67368, 68368)",146,67868.0,0.146
"[68368, 69368)",179,68868.0,0.179
"[69368, 70368)",273,69868.0,0.273
"[70368, 71368)",185,70868.0,0.185
"[71368, 72368)",142,71868.0,0.142
"[72368, 73368)",125,72868.0,0.125
"[73368, 74368)",62,73868.0,0.062
"[74368, 75368)",62,74868.0,0.062
"[75368, 76368)",110,75868.0,0.11
"[76368, 77368)",76,76868.0,0.076
"[77368, 78368)",106,77868.0,0.106
"[78368, 79368)",65,78868.0,0.065
"[79368, 80368)",67,79868.0,0.067
"[80368, 81368)",59,80868.0,0.059
"[81368, 82368)",107,81868.0,0.107
"[82368, 83368)",85,82868.0,0.085
