Distance_Bin,Value,Bin_Center,Density_per_bp
"[-115440, -114440)",0,-114940.0,0.0
"[-114440, -113440)",148,-113940.0,0.148
"[-113440, -112440)",31,-112940.0,0.031
"[-112440, -111440)",23,-111940.0,0.023
"[-111440, -110440)",28,-110940.0,0.028
"[-110440, -109440)",18,-109940.0,0.018
"[-109440, -108440)",15,-108940.0,0.015
"[-108440, -107440)",71,-107940.0,0.071
"[-107440, -106440)",61,-106940.0,0.061
"[-106440, -105440)",18,-105940.0,0.018
"[-105440, -104440)",52,-104940.0,0.052
"[-104440, -103440)",42,-103940.0,0.042
"[-103440, -102440)",37,-102940.0,0.037
"[-102440, -101440)",41,-101940.0,0.041
"[-101440, -100440)",36,-100940.0,0.036
"[-100440, -99440)",38,-99940.0,0.038
"[-99440, -98440)",42,-98940.0,0.042
"[-98440, -97440)",60,-97940.0,0.06
"[-97440, -96440)",102,-96940.0,0.102
"[-96440, -95440)",51,-95940.0,0.051
"[-95440, -94440)",43,-94940.0,0.043
"[-94440, -93440)",38,-93940.0,0.038
"[-93440, -92440)",25,-92940.0,0.025
"[-92440, -91440)",73,-91940.0,0.073
"[-91440, -90440)",107,-90940.0,0.107
"[-90440, -89440)",171,-89940.0,0.171
"[-89440, -88440)",50,-88940.0,0.05
"[-88440, -87440)",61,-87940.0,0.061
"[-87440, -86440)",119,-86940.0,0.119
"[-86440, -85440)",42,-85940.0,0.042
"[-85440, -84440)",58,-84940.0,0.058
"[-84440, -83440)",80,-83940.0,0.08
"[-83440, -82440)",84,-82940.0,0.084
"[-82440, -81440)",36,-81940.0,0.036
"[-81440, -80440)",25,-80940.0,0.025
"[-80440, -79440)",27,-79940.0,0.027
"[-79440, -78440)",90,-78940.0,0.09
"[-78440, -77440)",77,-77940.0,0.077
"[-77440, -76440)",89,-76940.0,0.089
"[-76440, -75440)",116,-75940.0,0.116
"[-75440, -74440)",136,-74940.0,0.136
"[-74440, -73440)",135,-73940.0,0.135
"[-73440, -72440)",98,-72940.0,0.098
"[-72440, -71440)",80,-71940.0,0.08
"[-71440, -70440)",70,-70940.0,0.07
"[-70440, -69440)",81,-69940.0,0.081
"[-69440, -68440)",86,-68940.0,0.086
"[-68440, -67440)",48,-67940.0,0.048
"[-67440, -66440)",151,-66940.0,0.151
"[-66440, -65440)",81,-65940.0,0.081
"[-65440, -64440)",36,-64940.0,0.036
"[-64440, -63440)",94,-63940.0,0.094
"[-63440, -62440)",157,-62940.0,0.157
"[-62440, -61440)",165,-61940.0,0.165
"[-61440, -60440)",109,-60940.0,0.109
"[-60440, -59440)",109,-59940.0,0.109
"[-59440, -58440)",79,-58940.0,0.079
"[-58440, -57440)",135,-57940.0,0.135
"[-57440, -56440)",46,-56940.0,0.046
"[-56440, -55440)",125,-55940.0,0.125
"[-55440, -54440)",144,-54940.0,0.144
"[-54440, -53440)",142,-53940.0,0.142
"[-53440, -52440)",130,-52940.0,0.13
"[-52440, -51440)",111,-51940.0,0.111
"[-51440, -50440)",173,-50940.0,0.173
"[-50440, -49440)",74,-49940.0,0.074
"[-49440, -48440)",65,-48940.0,0.065
"[-48440, -47440)",90,-47940.0,0.09
"[-47440, -46440)",79,-46940.0,0.079
"[-46440, -45440)",255,-45940.0,0.255
"[-45440, -44440)",138,-44940.0,0.138
"[-44440, -43440)",150,-43940.0,0.15
"[-43440, -42440)",124,-42940.0,0.124
"[-42440, -41440)",110,-41940.0,0.11
"[-41440, -40440)",83,-40940.0,0.083
"[-40440, -39440)",149,-39940.0,0.149
"[-39440, -38440)",172,-38940.0,0.172
"[-38440, -37440)",148,-37940.0,0.148
"[-37440, -36440)",180,-36940.0,0.18
"[-36440, -35440)",241,-35940.0,0.241
"[-35440, -34440)",153,-34940.0,0.153
"[-34440, -33440)",57,-33940.0,0.057
"[-33440, -32440)",104,-32940.0,0.104
"[-32440, -31440)",125,-31940.0,0.125
"[-31440, -30440)",172,-30940.0,0.172
"[-30440, -29440)",135,-29940.0,0.135
"[-29440, -28440)",351,-28940.0,0.351
"[-28440, -27440)",214,-27940.0,0.214
"[-27440, -26440)",194,-26940.0,0.194
"[-26440, -25440)",172,-25940.0,0.172
"[-25440, -24440)",211,-24940.0,0.211
"[-24440, -23440)",212,-23940.0,0.212
"[-23440, -22440)",219,-22940.0,0.219
"[-22440, -21440)",127,-21940.0,0.127
"[-21440, -20440)",15,-20940.0,0.015
"[-20440, -19440)",94,-19940.0,0.094
"[-19440, -18440)",157,-18940.0,0.157
