Distance_Bin,Value,Bin_Center,Density_per_bp
"[-445000.0, -435000.0)",0,-440000.0,0.0
"[-435000.0, -425000.0)",0,-430000.0,0.0
"[-425000.0, -415000.0)",0,-420000.0,0.0
"[-415000.0, -405000.0)",0,-410000.0,0.0
"[-405000.0, -395000.0)",0,-400000.0,0.0
"[-395000.0, -385000.0)",0,-390000.0,0.0
"[-385000.0, -375000.0)",0,-380000.0,0.0
"[-375000.0, -365000.0)",0,-370000.0,0.0
"[-365000.0, -355000.0)",0,-360000.0,0.0
"[-355000.0, -345000.0)",0,-350000.0,0.0
"[-345000.0, -335000.0)",0,-340000.0,0.0
"[-335000.0, -325000.0)",0,-330000.0,0.0
"[-325000.0, -315000.0)",0,-320000.0,0.0
"[-315000.0, -305000.0)",0,-310000.0,0.0
"[-305000.0, -295000.0)",0,-300000.0,0.0
"[-295000.0, -285000.0)",0,-290000.0,0.0
"[-285000.0, -275000.0)",0,-280000.0,0.0
"[-275000.0, -265000.0)",0,-270000.0,0.0
"[-265000.0, -255000.0)",0,-260000.0,0.0
"[-255000.0, -245000.0)",0,-250000.0,0.0
"[-245000.0, -235000.0)",0,-240000.0,0.0
"[-235000.0, -225000.0)",0,-230000.0,0.0
"[-225000.0, -215000.0)",0,-220000.0,0.0
"[-215000.0, -205000.0)",0,-210000.0,0.0
"[-205000.0, -195000.0)",0,-200000.0,0.0
"[-195000.0, -185000.0)",0,-190000.0,0.0
"[-185000.0, -175000.0)",0,-180000.0,0.0
"[-175000.0, -165000.0)",0,-170000.0,0.0
"[-165000.0, -155000.0)",0,-160000.0,0.0
"[-155000.0, -145000.0)",1591,-150000.0,0.1591
"[-145000.0, -135000.0)",1246,-140000.0,0.1246
"[-135000.0, -125000.0)",966,-130000.0,0.0966
"[-125000.0, -115000.0)",723,-120000.0,0.0723
"[-115000.0, -105000.0)",1027,-110000.0,0.1027
"[-105000.0, -95000.0)",484,-100000.0,0.0484
"[-95000.0, -85000.0)",754,-90000.0,0.0754
"[-85000.0, -75000.0)",827,-80000.0,0.0827
"[-75000.0, -65000.0)",1137,-70000.0,0.1137
"[-65000.0, -55000.0)",461,-60000.0,0.0461
"[-55000.0, -45000.0)",981,-50000.0,0.0981
"[-45000.0, -35000.0)",1415,-40000.0,0.1415
"[-35000.0, -25000.0)",1267,-30000.0,0.1267
"[-25000.0, -15000.0)",1229,-20000.0,0.1229
"[-15000.0, -5000.0)",1349,-10000.0,0.1349
"[-5000.0, 5000.0)",1580,0.0,0.158
"[5000.0, 15000.0)",1219,10000.0,0.1219
"[15000.0, 25000.0)",941,20000.0,0.0941
"[25000.0, 35000.0)",796,30000.0,0.0796
"[35000.0, 45000.0)",1547,40000.0,0.1547
"[45000.0, 55000.0)",618,50000.0,0.0618
"[55000.0, 65000.0)",1017,60000.0,0.1017
"[65000.0, 75000.0)",1058,70000.0,0.1058
"[75000.0, 85000.0)",576,80000.0,0.0576
"[85000.0, 95000.0)",1029,90000.0,0.1029
"[95000.0, 105000.0)",739,100000.0,0.0739
"[105000.0, 115000.0)",1344,110000.0,0.1344
"[115000.0, 125000.0)",960,120000.0,0.096
"[125000.0, 135000.0)",880,130000.0,0.088
"[135000.0, 145000.0)",791,140000.0,0.0791
"[145000.0, 155000.0)",732,150000.0,0.0732
"[155000.0, 165000.0)",821,160000.0,0.0821
"[165000.0, 175000.0)",620,170000.0,0.062
"[175000.0, 185000.0)",1185,180000.0,0.1185
"[185000.0, 195000.0)",559,190000.0,0.0559
"[195000.0, 205000.0)",779,200000.0,0.0779
"[205000.0, 215000.0)",674,210000.0,0.0674
"[215000.0, 225000.0)",533,220000.0,0.0533
"[225000.0, 235000.0)",479,230000.0,0.0479
"[235000.0, 245000.0)",613,240000.0,0.0613
"[245000.0, 255000.0)",647,250000.0,0.0647
"[255000.0, 265000.0)",487,260000.0,0.0487
"[265000.0, 275000.0)",740,270000.0,0.074
"[275000.0, 285000.0)",513,280000.0,0.0513
"[285000.0, 295000.0)",1369,290000.0,0.1369
"[295000.0, 305000.0)",1440,300000.0,0.144
"[305000.0, 315000.0)",683,310000.0,0.0683
"[315000.0, 325000.0)",1078,320000.0,0.1078
"[325000.0, 335000.0)",260,330000.0,0.026
"[335000.0, 345000.0)",1268,340000.0,0.1268
"[345000.0, 355000.0)",1143,350000.0,0.1143
"[355000.0, 365000.0)",359,360000.0,0.0359
"[365000.0, 375000.0)",590,370000.0,0.059
"[375000.0, 385000.0)",215,380000.0,0.0215
"[385000.0, 395000.0)",1087,390000.0,0.1087
"[395000.0, 405000.0)",621,400000.0,0.0621
"[405000.0, 415000.0)",826,410000.0,0.0826
"[415000.0, 425000.0)",2275,420000.0,0.2275
"[425000.0, 435000.0)",0,430000.0,0.0
"[435000.0, 445000.0)",0,440000.0,0.0
