Distance_Bin,Value,Bin_Center,Density_per_bp
"[-239263, -238263)",0,-238763.0,0.0
"[-238263, -237263)",2354,-237763.0,2.354
"[-237263, -236263)",711,-236763.0,0.711
"[-236263, -235263)",1236,-235763.0,1.236
"[-235263, -234263)",4163,-234763.0,4.163
"[-234263, -233263)",1201,-233763.0,1.201
"[-233263, -232263)",5368,-232763.0,5.368
"[-232263, -231263)",1899,-231763.0,1.899
"[-231263, -230263)",1196,-230763.0,1.196
"[-230263, -229263)",2820,-229763.0,2.82
"[-229263, -228263)",698,-228763.0,0.698
"[-228263, -227263)",3016,-227763.0,3.016
"[-227263, -226263)",992,-226763.0,0.992
"[-226263, -225263)",1017,-225763.0,1.017
"[-225263, -224263)",1890,-224763.0,1.89
"[-224263, -223263)",806,-223763.0,0.806
"[-223263, -222263)",601,-222763.0,0.601
"[-222263, -221263)",209,-221763.0,0.209
"[-221263, -220263)",648,-220763.0,0.648
"[-220263, -219263)",3236,-219763.0,3.236
"[-219263, -218263)",1385,-218763.0,1.385
"[-218263, -217263)",1717,-217763.0,1.717
"[-217263, -216263)",3093,-216763.0,3.093
"[-216263, -215263)",361,-215763.0,0.361
"[-215263, -214263)",682,-214763.0,0.682
"[-214263, -213263)",743,-213763.0,0.743
"[-213263, -212263)",1545,-212763.0,1.545
"[-212263, -211263)",645,-211763.0,0.645
"[-211263, -210263)",494,-210763.0,0.494
"[-210263, -209263)",4380,-209763.0,4.38
"[-209263, -208263)",1620,-208763.0,1.62
"[-208263, -207263)",1718,-207763.0,1.718
"[-207263, -206263)",1407,-206763.0,1.407
"[-206263, -205263)",1173,-205763.0,1.173
"[-205263, -204263)",827,-204763.0,0.827
"[-204263, -203263)",854,-203763.0,0.854
"[-203263, -202263)",642,-202763.0,0.642
"[-202263, -201263)",3228,-201763.0,3.228
"[-201263, -200263)",385,-200763.0,0.385
"[-200263, -199263)",176,-199763.0,0.176
"[-199263, -198263)",1090,-198763.0,1.09
"[-198263, -197263)",882,-197763.0,0.882
"[-197263, -196263)",297,-196763.0,0.297
"[-196263, -195263)",134,-195763.0,0.134
"[-195263, -194263)",2089,-194763.0,2.089
"[-194263, -193263)",8988,-193763.0,8.988
"[-193263, -192263)",608,-192763.0,0.608
"[-192263, -191263)",594,-191763.0,0.594
"[-191263, -190263)",1496,-190763.0,1.496
"[-190263, -189263)",1061,-189763.0,1.061
"[-189263, -188263)",949,-188763.0,0.949
"[-188263, -187263)",494,-187763.0,0.494
"[-187263, -186263)",1771,-186763.0,1.771
"[-186263, -185263)",642,-185763.0,0.642
"[-185263, -184263)",602,-184763.0,0.602
"[-184263, -183263)",275,-183763.0,0.275
"[-183263, -182263)",909,-182763.0,0.909
"[-182263, -181263)",538,-181763.0,0.538
"[-181263, -180263)",403,-180763.0,0.403
"[-180263, -179263)",671,-179763.0,0.671
"[-179263, -178263)",1030,-178763.0,1.03
"[-178263, -177263)",1263,-177763.0,1.263
"[-177263, -176263)",741,-176763.0,0.741
"[-176263, -175263)",724,-175763.0,0.724
"[-175263, -174263)",1957,-174763.0,1.957
"[-174263, -173263)",26,-173763.0,0.026
"[-173263, -172263)",234,-172763.0,0.234
"[-172263, -171263)",620,-171763.0,0.62
"[-171263, -170263)",569,-170763.0,0.569
"[-170263, -169263)",48,-169763.0,0.048
"[-169263, -168263)",863,-168763.0,0.863
"[-168263, -167263)",591,-167763.0,0.591
"[-167263, -166263)",6858,-166763.0,6.858
"[-166263, -165263)",4573,-165763.0,4.573
"[-165263, -164263)",651,-164763.0,0.651
"[-164263, -163263)",719,-163763.0,0.719
"[-163263, -162263)",1987,-162763.0,1.987
"[-162263, -161263)",459,-161763.0,0.459
"[-161263, -160263)",148,-160763.0,0.148
"[-160263, -159263)",152,-159763.0,0.152
"[-159263, -158263)",1040,-158763.0,1.04
"[-158263, -157263)",952,-157763.0,0.952
"[-157263, -156263)",86,-156763.0,0.086
"[-156263, -155263)",181,-155763.0,0.181
"[-155263, -154263)",235,-154763.0,0.235
"[-154263, -153263)",2465,-153763.0,2.465
"[-153263, -152263)",1216,-152763.0,1.216
"[-152263, -151263)",1712,-151763.0,1.712
"[-151263, -150263)",2579,-150763.0,2.579
"[-150263, -149263)",934,-149763.0,0.934
